,Produto,Preço Base,Preço Final
0,LINGUIÇA PIF PAF CALABRESA FINA 240G,9.89,9.89
1,LINGUIÇA TROPEIRA PAIO 400G,13.59,13.59
2,LINGUIÇA SUINCO PERNIL DE BACON 600G,18.59,18.59
3,PERTENCE PARA FEIJOADA SAUDALI 1KG,17.9,17.9
4,LINGUIÇA RIVELLI FGO PACOTE 1KG,17.9,17.9
5,BACON SUINCO 500G FATIADO,30.69,30.69
6,LINGUIÇA TROPEIRA CALABRESA 400G,14.29,14.29
7,LINGUIÇA PIF PAF FRANGO 1KG,25.19,25.19
8,LINGUIÇA SAUDALI PERNIL BACON 1KG,22.9,22.9
9,BACON SAUDALI 350G FATIADO,15.9,15.9
10,LINGUIÇA SAUDALI PERNIL 1KG ALHO,22.9,22.9
11,LINGUIÇA SUINCO PERNIL DE ALHO 600G,18.59,18.59
12,LINGUIÇA SADIA MISTA FINA 240G,10.55,10.55
13,LINGUIÇA PERDIGAO SUINA DEF.240G,9.89,9.89
14,"COXA COM SOBRECOXA FRANGO PACOTE 1,400KG",13.82,13.82
15,LINGUIÇA PI PAF TIPO CALABRESA 500G,18.59,18.59
