,Produto,Preço Base,Preço Final,Codigo_GTIN,2022-10-20
0,"LINGUICA CALABRESA PIF PAF 240G
",9.89,9.89,7896581343314,
1,"LINGUIÇA PAIO SADIA
",13.59,13.59,7893000906204,
2,"LINGUICA DE PERNIL SUINCO C BACON 600G
",18.59,18.59,7898659790778,
3,"PERTENCE P FEIJOADA KG
",17.9,17.9,2900000098398,
4,"MOELA DE FRANGO PACOTE RIVELLI 1KG
",17.9,17.9,7898149200350,
5,"BACON SUINCO FAT 500G
",30.69,30.69,7898659790167,
6,"LINGUIÇA CALABRESA TROPEIRA GOMOS
",14.29,14.29,7897147210897,
7,"LINGUICA PIF PAF
",25.19,25.19,7896581337450,
8,"LINGUIÇA DE PERNIL SUÍNO SAUDALI 1KG
",22.9,22.9,7898229384185,
9,"BACON FATIADO SAUDA 350G
",15.9,15.9,7898229386219,
10,"LINGUIÇA DE PERNIL SUÍNO SAUDALI 1KG
",22.9,22.9,7898229384185,
11,"LINGUICA SUINCO PERNIL KG
",18.59,18.59,7898950833242,
12,"LINGUIÇA MISTA FININHA SADIA 240G
",10.55,10.55,7893000069350,
13,"LINGUICA PERDIGAO PAIO DEF.750
",9.89,9.89,7891515015046,
14,"COXA E SOBRECOXA DE FRANGO
",13.82,13.82,200006666,
15,"LINGUIÇA TIPO CALABRESA PIF PAF PACOTE 500G
",18.59,18.59,7896581353641,
