,Produto,Preço Base,Preço Final
0,Água Sanitária Santa Clara Embalagem 1 Litro,4.99,4.99
1,Limpador Brilhalumínio Tradicional Embalagem 500Ml,3.99,3.99
2,Limpador Multiuso Gold Original Veja 500Ml,5.99,5.99
3,Limpador Sensualidad Casa e Perfume 500Ml,5.99,5.99
4,Limpador Multiuso Veja Floral Oferta 500Ml,5.99,5.99
5,Desinfetante para Alimentos Três Barras 300Ml,9.99,9.99
6,Detergente Ypê Clear 500Ml,3.99,3.99
7,Detergente Ypê Neutro 500Ml,3.99,3.99
8,Detergente Coco Ypê 500Ml,3.99,3.99
9,Detergente Liquido Ype Clear 500Ml Leve 24 Pague 22 Unidades,3.99,3.99
10,1Un Lava Roupa Omo Lavagem Perfeita 1.6Kg Grátis 150G.,29.99,29.99
11,"Lava-Roupas Pó Lavagem Perfeita Omo 1,6Kg",29.99,29.99
12,Lava-Roupas Pó Lavagem Perfeita Omo 800G,17.99,17.99
13,Sabão em Barra Neutro Ypê 1Kg,17.99,17.99
14,Sabao Glic Ype Neutro 900G,17.99,17.99
15,Amaciante Comfort Tradicional Explosao Azul 1.8L,24.99,24.99
16,"Amaciante Tradicional Puro Cuidado Comfort 1,8L",24.99,24.99
17,Cloro Santa Clara Super Forte Embalagem 1 Litro,5.99,5.99
18,Lava Roupas 900Ml Omo Sc Protecao Antiodor,19.99,19.99
19,Amac Comfort Conc Intense 500Ml,12.99,12.99
20,Tira Manchas em Pó Vanish Multi Power Oxi Action para Roupas Coloridas 450G,34.99,34.99
21,Esponja de Aço Bombril Pacote 60G,2.99,2.99
22,Saco de Lixo Peg Lixo Cozinha e Banheiro 100 Unidades,14.99,14.99
23,Esponja de Aço 60G Bombril com 8Un,2.99,2.99
24,Saco para Lixo Peglixo 100 Litros 20 Unidades,14.99,14.99
25,Esponja de Limpeza Pesada Scotch Brite,3.99,3.99
26,Saco de Lixo 15 Litros Peg Lixo com 80 Sacos,14.99,14.99
27,Saco de Lixo Preto 30L Peg Lixo Rolo 40Un,14.99,14.99
28,Saco de Lixo Peg Lixo 50L 40 Un,14.99,14.99
29,Açúcar Refinado União 1Kg,7.99,7.99
30,Açúcar Cristal LAçúcar Embalagem 2Kg,9.99,9.99
31,Açúcar Cristal Laçúcar Embalagem 1Kg,4.99,4.99
32,Açucar União Demerara 1Kg,9.99,9.99
33,Adoçante Sacarina Zero Cal 100Ml,7.99,7.99
34,Adoçante Líquido Sucralose Linea 75Ml,14.99,14.99
35,Açúcar Cristal União Orgânico Pacote 1Kg,13.99,13.99
36,Açúcar Demerara Lugen Embalagem 500G,10.99,10.99
37,Açúcar de Coco Lugen Embalagem 150G,19.99,19.99
38,Xylitol Lugen 200G,34.99,34.99
39,Açúcar Mascavo Lugen Embalagem 500G,9.99,9.99
40,Arroz Prato Fino Tipo1 2Kg,14.99,14.99
41,Arroz Prato Fino 1Kg Tp1,7.99,7.99
42,Arroz Integral Prato Fino Pacote 1Kg,9.99,9.99
43,Arroz Parboilizado Prato Fino Tipo 1 Pacote 1Kg,9.99,9.99
44,Arroz Arbóreo Paganini 1Kg,26.99,26.99
45,Arroz Integral Ráris 7 Cereais Pacote 1Kg,24.99,24.99
46,Arroz Integral 7 Grãos Ráris 500G,16.99,16.99
47,Arroz Carnarolli Italiano Scotti Embalagem 1Kg,19.99,19.99
48,Arroz Integral Agulinha Lugen 1Kg,19.99,19.99
49,Farinha de Trigo sem Fermento Dona Benta 1Kg,8.99,8.99
50,Farofa Pronta Yoki Temperada 500G,7.99,7.99
51,Fubá Mimoso Fino Sinhá 1Kg,5.99,5.99
52,Cuscuz Sinhá 500G,3.99,3.99
53,Farinha de Rosca Pacha 500G,7.99,7.99
54,Amido de Milho Maizena Tradicional 200G,4.99,4.99
55,Tapioca Delioca Embalagem 560G,12.99,12.99
56,Farinha de Mandioca Zumbizinha 1Kg,7.99,7.99
57,Farinha de Milho Biju Sinhá 500G,4.99,4.99
58,Polvilho Azedo Amafil Pacote Plástico 1Kg,12.99,12.99
59,Farofa da Terrinha Tradicional 400G,7.99,7.99
60,Polvilho Doce Amafil 1Kg,14.99,14.99
61,Farinha de Trigo com Fermento Dona Benta 1Kg,8.99,8.99
62,Couscous Paganini 1Kg,39.99,39.99
63,Farinha de Trigo La Molisana 1Kg,12.99,12.99
64,Farinha de Linhaça Marrom Lugen 200G,8.99,8.99
65,Fubá Moinho D'água São Lucas 1Kg,6.99,6.99
66,Fécula de Mandioca Lugen 400G,10.99,10.99
67,Farinha de Linhaça Dourada Lugen 200G,11.99,11.99
68,Farinha de Amêndoas Lugen Alimentos 100G,24.99,24.99
69,Fubá São Lucas Moinho D'água 1Kg,6.99,6.99
70,Farofa Yoki Mandioca Tradicional 500G,7.99,7.99
71,Proteína de Soja Fina Lugen 250G,9.99,9.99
72,Farinha de Quinoa Lugen 200G,18.99,18.99
73,Proteína Texturizada de Soja Grossa Lugen 200G,8.99,8.99
74,Farinha de Aveia Lugen 500G,9.99,9.99
75,Farinha de Trigo Integral Lugen Embalagem 500G,8.99,8.99
76,Farofa Pronta Moreá Sabor Costela Embalagem 350G,7.99,7.99
77,Farinha de Arroz Lugen Embalagem 500G,8.99,8.99
78,Feijão Carioca Galante 1Kg,12.99,12.99
79,Feijão Fradinho Pachá 500G,6.99,6.99
80,Feijão Preto Galante 1Kg,9.99,9.99
81,Feijão Roxo Galante 1Kg,14.99,14.99
82,Feijão Branco Pachá Embalagem 500G,9.99,9.99
83,Feijão Preto,12.99,12.99
84,Feijão Carioca a Granel T2 Kg,12.99,12.99
85,Feijão Jalo Pacha Embalagem 1Kg,17.99,17.99
86,Feijão Jalo Galante Tipo 1 1Kg,17.99,17.99
87,Feijão Roxo,12.99,12.99
88,Milho para Pipoca Tipo 1 Yoki Premium 500G,8.99,8.99
89,Canjica Branca Pacha Embalagem 500G,8.99,8.99
90,Trigo para Kibe Pachá Embalagem 500G,6.99,6.99
91,Canjiquinha Amarela Pacha 500G,3.99,3.99
92,Lentilha Pachá 500G,14.99,14.99
93,Ervilha Seca Pachá 500G,9.99,9.99
94,Grão de Bico Pachá 500G,9.99,9.99
95,Pipoca de Micro-Ondas Sabor Natural Yoki 100G,3.99,3.99
96,Canjiquinha Pink Amarela 500G,3.99,3.99
97,Gergelim Descascado Lugen Embalagem 150G,14.99,14.99
98,Quinoa em Flocos Lugen 150G,14.9,14.9
99,Quinoa em Grãos Lugen Embalagem 200 G,14.9,14.9
100,Canjiquinha São Lucas 500G,5.99,5.99
101,Gergelim com Casca Lugen 150G,10.99,10.99
102,Macarrão Instantâneo Galinha Caipira Nissin Lámen 85G,3.99,3.99
103,Macarrão Instantâneo Nissin Lámen Carne 85G,3.99,3.99
104,Macarrão Santa Amália Ovos Tagliarini 500G,9.99,9.99
105,Macarrão Santa Amália com Ovos Fettuccine N3 Pacote 500G,9.99,9.99
106,Macarrão Instantâneo Nissin Yakissoba 500G,11.99,11.99
107,Macarrão Santa Amália com Ovos Gravata Pacote 500G,9.99,9.99
108,Macarrão Espaguete Santa Amália com Ovos N8 Pacote 500G,6.99,6.99
109,Macarrão Penne Santa Amália Zero Glúten Penne Pacote 500G,9.99,9.99
110,Macarrão Santa Amália com Ovos Padre Nosso Pacote 500G,6.99,6.99
111,Fusilli Paganini 500G,12.99,12.99
112,Spaghetti Paganini 500G,12.99,12.99
113,Massa para Lasanha Santa Amália com Ovos Pacote 500G,13.99,13.99
114,Macarrão de Cecco Capelli D'angelo Embalagem 500G,19.99,19.99
115,Macarrão Fusilli La Molisana Bronzo Embalagem 500G,12.99,12.99
116,Macarrão Pappardelle de Cecco 500G,19.99,19.99
117,Macarrão La Molisana Rigate Bronzo Embalagem 500G,12.99,12.99
118,Macarrão Espaguete La Molisana Bronzo Embalagem 500G,9.99,9.99
119,Macarrão Espaguete de Cecco 500G,19.99,19.99
120,Óleo de Soja Abc 900Ml,9.99,9.99
121,Óleo de Soja Liza 900Ml,10.99,10.99
122,Azeite Português Extra Virgem Andorinha Vidro 500Ml,29.99,29.99
123,Óleo de Soja Refinado Abc Pet 900Ml,9.99,9.99
124,Azeite de Oliva Extra Virgem Clássico Espanhol Borges 500Ml,29.99,29.99
125,Óleo de Canola Liza 900Ml,24.99,24.99
126,Óleo de Girassol Liza Pet 900Ml,29.99,29.99
127,Vinagre de Álcool Tinto Belmont Agrin Pet 750Ml,4.99,4.99
128,Óleo de Canola Tipo1 Liza 900Ml,24.99,24.99
129,Óleo de Milho Liza Pet 900Ml,24.99,24.99
130,Óleo de Coco sem Sabor Copra 200Ml,19.99,19.99
131,Vinagre de Maçã Orgânico 4% Acidez São Francisco 500Ml,29.99,29.99
132,Vinagre de Maça Belmont Pet 750Ml,7.99,7.99
133,Vinagre Branco de Álcool Belmont Agrin Pet 750Ml,4.99,4.99
134,Óleo de Coco Extra Virgem Copra 200Ml,34.99,34.99
135,Azeite Dende Cepera 100Ml,9.99,9.99
136,Óleo de Gergelim Torrado Hot Wok Embalagem 100Ml,14.99,14.99
137,Azeite de Oliva Extra Virgem Grego Delfos 500Ml,39.99,39.99
138,Ovo Branco Perfa Grande 30Un,19.99,19.99
139,Ovo Branco Perfa 30Un,19.99,19.99
140,Ovos Vermelhos Filmado Per'fa 30Un,24.99,24.99
141,Ovo Caipira Grande Vermelho Turma do Chico Bento Bandeja 20 Unidades,24.99,24.99
