,Produto,Preço Base,Preço Final
0,Limpador Multiuso Veja 10% Desconto 500Ml,5.99,5.99
1,"Álcool Nobre 76,9 1 Litro",10.99,10.99
2,Água Sanitária Santa Clara Embalagem 2 Litros,7.99,7.99
3,Água Sanitária Santa Clara Embalagem 1 Litro,4.99,4.99
4,Limpador Multiuso Gold Original Veja 500Ml,5.99,5.99
5,Sapólio Radium Pó Clássico,7.99,7.99
6,Limpador Sensualidad Casa e Perfume 500Ml,5.99,5.99
7,Limpador Agradable Casa e Perfume 500Ml,5.99,5.99
8,Lustra Móvel Poliflor Lavanda 200Ml,12.99,12.99
9,Lustra Móveis Poliflor Lavanda 200Ml,12.99,12.99
10,Desinfetante Original Bruto Lysoform 1L,14.99,14.99
11,Cera Líquida Brilhowax Incolor 750Ml,12.99,12.99
12,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,5.99,5.99
13,Limpador Multiuso Veja Floral Oferta 500Ml,5.99,5.99
14,Limpador Multiuso Veja Gold Campestre 500Ml,5.99,5.99
15,Desinfetante Pinho Sol Original 500Ml,8.99,8.99
16,Limpador Veja Multiuso Original Pague 500Ml Embalagem 650Ml,5.99,5.99
17,Limpador Casa e Perfume Passione Embalagem 500Ml,5.99,5.99
18,Alcool Flops Tradicional 46.2 Inpm 500Ml,5.99,5.99
19,Desinfetante para Alimentos Três Barras 300Ml,9.99,9.99
20,Detergente Ypê Clear 500Ml,3.99,3.99
21,Detergente Ypê Neutro 500Ml,3.99,3.99
22,Detergente Coco Ypê 500Ml,3.99,3.99
23,Detergente Liquido Ype Clear 500Ml Leve 24 Pague 22 Unidades,3.99,3.99
24,"Lava-Roupas Pó Lavagem Perfeita Omo 1,6Kg",29.99,29.99
25,1Un Lava Roupa Omo Lavagem Perfeita 1.6Kg Grátis 150G.,29.99,29.99
26,Lava-Roupas Pó Lavagem Perfeita Omo 800G,17.99,17.99
27,Sabão em Barra Neutro Ypê 1Kg,17.99,17.99
28,Sabao Glic Ype Neutro 900G,17.99,17.99
29,"Amaciante Tradicional Puro Cuidado Comfort 1,8L",24.99,24.99
30,Lava-Roupas Pó Omo Lavagem Perfeita Sanitiza & Higieniza Caixa 800G,17.99,17.99
31,Cloro Santa Clara Super Forte Embalagem 1 Litro,5.99,5.99
32,Lava Roupas 900Ml Omo Sc Protecao Antiodor,19.99,19.99
33,Amac Comfort Conc Intense 500Ml,12.99,12.99
34,Esponja de Aço Bombril Pacote 60G,2.99,2.99
35,Saco de Lixo Peg Lixo Cozinha e Banheiro 100 Unidades,14.99,14.99
36,Esponja de Aço 60G Bombril com 8Un,2.99,2.99
37,Saco para Lixo Peglixo 100 Litros 20 Unidades,14.99,14.99
38,Esponja de Limpeza Pesada Scotch Brite,3.99,3.99
39,Saco de Lixo 15 Litros Peg Lixo com 80 Sacos,14.99,14.99
40,Saco de Lixo Preto 30L Peg Lixo Rolo 40Un,14.99,14.99
41,Saco de Lixo Peg Lixo 50L 40 Un,14.99,14.99
42,Açúcar Refinado União 1Kg,7.99,7.99
43,Açúcar Cristal LAçúcar Embalagem 2Kg,9.99,9.99
44,Açucar União Demerara 1Kg,9.99,9.99
45,Adoçante com Stevia Magro 80Ml,10.99,10.99
46,Adoçante Sacarina Zero Cal 100Ml,7.99,7.99
47,Adoçante Líquido Sucralose Linea 75Ml,14.99,14.99
48,Açúcar de Coco Lugen Embalagem 150G,19.99,19.99
49,Açúcar Mascavo Lugen Embalagem 500G,9.99,9.99
