,Produto,Preço Base,Preço Final
0,Limpador Multiuso Veja 10% Desconto 500Ml,5.99,5.99
1,"Álcool Nobre 76,9 1 Litro",10.99,10.99
2,Água Sanitária Santa Clara Embalagem 2 Litros,7.99,7.99
3,Água Sanitária Santa Clara Embalagem 1 Litro,4.99,4.99
4,Limpador Brilhalumínio Tradicional Embalagem 500Ml,3.99,3.99
5,Limpador Agradable Casa e Perfume 500Ml,5.99,5.99
6,Desinfetante Original Bruto Lysoform 1L,14.99,14.99
7,Limpador Limpeza Pesada Veja X-14 Grátis 20% de Desconto Frasco 500Ml,9.99,9.99
8,Limpador Limpeza Pesada Veja 500Ml,14.99,14.99
9,Cera Líquida Brilhowax Incolor 750Ml,12.99,12.99
10,Limpador Multiuso Veja Floral Oferta 500Ml,5.99,5.99
11,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,5.99,5.99
12,Limpador Multiuso Veja Gold Campestre 500Ml,5.99,5.99
13,Desinfetante Pinho Sol Original 500Ml,8.99,8.99
14,Desinfetante para Alimentos Três Barras 300Ml,9.99,9.99
15,Limpador Veja Multiuso Original Pague 500Ml Embalagem 650Ml,5.99,5.99
16,Limpador Bela Flore Casa e Perfume 500Ml,5.99,5.99
17,Limpador Casa e Perfume Passione Embalagem 500Ml,5.99,5.99
18,Alcool Flops Tradicional 46.2 Inpm 500Ml,5.99,5.99
19,Limpador Veja com Álcool Limpeza Pesada Original 500Ml,14.99,14.99
20,Limpador Multiuso Super Globo Embalagem 500Ml,6.99,6.99
21,Detergente Ypê Clear 500Ml,3.99,3.99
22,Detergente Ypê Neutro 500Ml,3.99,3.99
23,Detergente Coco Ypê 500Ml,3.99,3.99
24,Detergente Liquido Ype Clear 500Ml Leve 24 Pague 22 Unidades,3.99,3.99
25,1Un Lava Roupa Omo Lavagem Perfeita 1.6Kg Grátis 150G.,29.99,29.99
26,"Lava-Roupas Pó Lavagem Perfeita Omo 1,6Kg",29.99,29.99
27,Lava-Roupas Pó Lavagem Perfeita Omo 800G,17.99,17.99
28,Sabão em Barra Neutro Ypê 1Kg,17.99,17.99
29,Sabao Glic Ype Neutro 900G,17.99,17.99
30,Amaciante Comfort Original Concentrado Oferta Embalagem 500Ml,12.99,12.99
31,"Amaciante Tradicional Puro Cuidado Comfort 1,8L",24.99,24.99
32,Tira Manchas Gel Vanish Crystal White sem Cloro Refil 500Ml,14.99,14.99
33,Tira Manchas Gel Vanish Roupas Brancas 500Ml,14.99,14.99
34,Cloro Santa Clara Super Forte Embalagem 1 Litro,5.99,5.99
35,Lava-Roupas Pó Omo Lavagem Perfeita Sanitiza & Higieniza Caixa 800G,17.99,17.99
36,Tira Manchas Vanish Super Barra 75G,9.99,9.99
37,Tira Manchas Vanish Roupas Brancas 450G,34.99,34.99
38,Lava Roupas 900Ml Omo Sc Protecao Antiodor,19.99,19.99
39,Amac Comfort Conc Intense 500Ml,12.99,12.99
40,Tira Manchas em Pó Vanish Multi Power Oxi Action para Roupas Coloridas 450G,34.99,34.99
41,Amaciante Concentrado Comfort Intense Cuidado Essencial 500Ml,12.99,12.99
42,Sabão em Barra Ufe Coco 1Kg,24.99,24.99
43,Sabão Líquido Coquel Coco 500Ml,14.99,14.99
44,Esponja de Aço Bombril Pacote 60G,2.99,2.99
45,Saco de Lixo Peg Lixo Cozinha e Banheiro 100 Unidades,14.99,14.99
46,Esponja de Aço 60G Bombril com 8Un,2.99,2.99
47,Esponja de Limpeza Pesada Scotch Brite,3.99,3.99
