,Produto,Preço Base,Preço Final
0,Limpador Multiuso Veja 10% Desconto 500Ml,5.99,5.99
1,Água Sanitária Santa Clara Embalagem 2 Litros,7.99,7.99
2,Água Sanitária Santa Clara Embalagem 1 Litro,4.99,4.99
3,Tira Limo Veja X14 Cloro Ativo Squeeze Oferta 500Ml,14.99,14.99
4,Limpador Agradable Casa e Perfume 500Ml,5.99,5.99
5,Lustra Móvel Poliflor Lavanda 200Ml,12.99,12.99
6,Lustra Móveis Poliflor Lavanda 200Ml,12.99,12.99
7,Limpador Limpeza Pesada Veja X-14 Grátis 20% de Desconto Frasco 500Ml,9.99,9.99
8,Desinfetante Original Bruto Lysoform 1L,14.99,14.99
9,Cera Líquida Brilhowax Incolor 750Ml,12.99,12.99
10,Desinfetante Pinho Sol Original 500Ml,8.99,8.99
11,Limpador Veja Multiuso Original Pague 500Ml Embalagem 650Ml,5.99,5.99
12,Desinfetante para Alimentos Três Barras 300Ml,9.99,9.99
13,Limpa Brilha Alum Brilhex Tradicional 500Ml,3.99,3.99
14,Detergente Ypê Clear 500Ml,3.99,3.99
15,Detergente Ypê Neutro 500Ml,3.99,3.99
16,Detergente Coco Ypê 500Ml,3.99,3.99
17,Detergente Liquido Ype Clear 500Ml Leve 24 Pague 22 Unidades,3.99,3.99
18,Lava-Roupas Pó Lavagem Perfeita Omo 800G,17.99,17.99
19,Sabão em Barra Neutro Ypê 1Kg,17.99,17.99
20,Sabao Glic Ype Neutro 900G,17.99,17.99
21,Amaciante Comfort Tradicional Explosao Azul 1.8L,24.99,24.99
22,"Amaciante Tradicional Puro Cuidado Comfort 1,8L",24.99,24.99
23,Lava-Roupas Pó Omo Lavagem Perfeita Sanitiza & Higieniza Caixa 800G,17.99,17.99
24,Cloro Santa Clara Super Forte Embalagem 1 Litro,5.99,5.99
25,Tira Manchas Vanish Roupas Brancas 450G,34.99,34.99
26,Lava Roupas 900Ml Omo Sc Protecao Antiodor,19.99,19.99
27,Amac Comfort Conc Intense 500Ml,12.99,12.99
28,Sabão Líquido Coquel Coco 500Ml,14.99,14.99
29,Esponja de Aço Bombril Pacote 60G,2.99,2.99
30,Saco de Lixo Peg Lixo Cozinha e Banheiro 100 Unidades,14.99,14.99
31,Esponja de Aço 60G Bombril com 8Un,2.99,2.99
32,Saco para Lixo Peglixo 100 Litros 20 Unidades,14.99,14.99
33,Esponja de Limpeza Pesada Scotch Brite,3.99,3.99
34,Saco de Lixo 15 Litros Peg Lixo com 80 Sacos,14.99,14.99
35,Saco de Lixo Preto 30L Peg Lixo Rolo 40Un,14.99,14.99
36,Saco de Lixo Zé do Saco 100 Litros 25Un,24.99,24.99
37,Saco de Lixo Zé do Saco 25 Unidade 50 Litros,24.99,24.99
38,Açúcar Refinado União 1Kg,7.99,7.99
39,Açúcar Cristal LAçúcar Embalagem 2Kg,9.99,9.99
40,Açúcar Cristal Laçúcar Embalagem 1Kg,4.99,4.99
41,Açucar União Demerara 1Kg,9.99,9.99
42,Adoçante com Stevia Magro 80Ml,10.99,10.99
43,Adoçante Sacarina Zero Cal 100Ml,7.99,7.99
44,Adoçante Líquido Sucralose Linea 75Ml,14.99,14.99
45,Açúcar Cristal União Orgânico Pacote 1Kg,13.99,13.99
46,Xylitol Lugen 200G,34.99,34.99
47,Açúcar Mascavo Lugen Embalagem 500G,9.99,9.99
48,Arroz Prato Fino Tipo1 2Kg,14.99,14.99
49,Arroz Prato Fino 1Kg Tp1,7.99,7.99
50,Arroz Integral Prato Fino Pacote 1Kg,9.99,9.99
51,Arroz Parboilizado Prato Fino Tipo 1 Pacote 1Kg,9.99,9.99
52,Arroz Arbóreo Paganini 1Kg,26.99,26.99
53,Arroz Integral Ráris 7 Grãos Alho Poró 500G,16.99,16.99
54,Arroz Integral 7 Grãos Cenoura Ráris 500G,16.99,16.99
55,Arroz Integral 7 Grãos Ráris 500G,16.99,16.99
56,Arroz Arbório Italiano Scotti Embalagem 1Kg,19.99,19.99
57,Arroz Carnarolli Italiano Scotti Embalagem 1Kg,19.99,19.99
58,Farinha de Trigo sem Fermento Dona Benta 1Kg,8.99,8.99
59,Fubá Mimoso Fino Sinhá 1Kg,5.99,5.99
60,Cuscuz Sinhá 500G,3.99,3.99
61,Farofa Temperada da Terrinha Tradicional Embalagem 300G,7.99,7.99
62,Farinha de Rosca Pacha 500G,7.99,7.99
