,Produto,Preço Base,Preço Final
0,Limpador Multiuso Veja 10% Desconto 500Ml,5.99,5.99
1,Água Sanitária Santa Clara Embalagem 2 Litros,7.99,7.99
2,Água Sanitária Santa Clara Embalagem 1 Litro,4.99,4.99
3,Limpador Brilhalumínio Tradicional Embalagem 500Ml,3.99,3.99
4,Limpador Agradable Casa e Perfume 500Ml,5.99,5.99
5,Limpador Limpeza Pesada Veja 500Ml,14.99,14.99
6,Desinfetante Original Bruto Lysoform 1L,14.99,14.99
7,Desinfetante Pinho Sol Original 500Ml,8.99,8.99
8,Limpador Veja Multiuso Original Pague 500Ml Embalagem 650Ml,5.99,5.99
9,Limpador Veja com Álcool Limpeza Pesada Original 500Ml,14.99,14.99
10,Desinfetante para Alimentos Três Barras 300Ml,9.99,9.99
11,Detergente Ypê Clear 500Ml,3.99,3.99
12,Detergente Coco Ypê 500Ml,3.99,3.99
13,Detergente Liquido Ype Clear 500Ml Leve 24 Pague 22 Unidades,3.99,3.99
14,Lava-Roupas Pó Lavagem Perfeita Omo 800G,17.99,17.99
15,Amaciante Comfort Original Concentrado Oferta Embalagem 500Ml,12.99,12.99
16,Tira Manchas Gel Vanish Roupas Brancas 500Ml,14.99,14.99
17,Tira Manchas Gel Vanish Crystal White sem Cloro Refil 500Ml,14.99,14.99
18,Cloro Santa Clara Super Forte Embalagem 1 Litro,5.99,5.99
19,Amaciante Concentrado Comfort Intense Cuidado Essencial 500Ml,12.99,12.99
20,Sabão Líquido Coquel Coco 500Ml,14.99,14.99
21,Sabão em Barra Ufe Coco Pacote 200G,6.99,6.99
22,Esponja de Aço Bombril Pacote 60G,2.99,2.99
23,Saco de Lixo Peg Lixo Cozinha e Banheiro 100 Unidades,14.99,14.99
24,Esponja de Aço 60G Bombril com 8Un,2.99,2.99
25,Esponja de Limpeza Pesada Scotch Brite,3.99,3.99
26,Saco de Lixo Zé do Saco 100 Litros 25Un,24.99,24.99
27,Saco de Lixo Zé do Saco 25 Unidade 50 Litros,24.99,24.99
28,Açúcar Refinado União 1Kg,7.99,7.99
29,Açúcar Cristal LAçúcar Embalagem 2Kg,9.99,9.99
30,Açúcar Cristal Laçúcar Embalagem 1Kg,4.99,4.99
31,Adoçante com Stevia Magro 80Ml,10.99,10.99
32,Adoçante Líquido Sucralose Linea 75Ml,14.99,14.99
33,Acucar Magro Light 500G,14.99,14.99
34,Açúcar Demerara Lugen Embalagem 500G,10.99,10.99
35,Açúcar Mascavo Lugen Embalagem 500G,9.99,9.99
36,Arroz Prato Fino Tipo1 2Kg,14.99,14.99
37,Arroz Prato Fino 1Kg Tp1,7.99,7.99
38,Arroz Integral Prato Fino Pacote 1Kg,9.99,9.99
39,Arroz Arbório Italiano Scotti Embalagem 1Kg,19.99,19.99
40,Arroz Carnarolli Italiano Scotti Embalagem 1Kg,19.99,19.99
41,Arroz Raris 500G 7 Cereais,16.99,16.99
42,Farinha de Trigo sem Fermento Dona Benta 1Kg,8.99,8.99
43,Tapioca da Terrinha Pacote 500G,6.99,6.99
44,Fubá Mimoso Fino Sinhá 1Kg,5.99,5.99
45,Farofa Temperada da Terrinha Tradicional Embalagem 300G,7.99,7.99
46,Farinha de Rosca Pacha 500G,7.99,7.99
47,Farinha de Mandioca Pachá Torrada Embalagem 1Kg,7.99,7.99
48,Amido de Milho Maizena Tradicional 200G,4.99,4.99
49,Tapioca Delioca Embalagem 560G,12.99,12.99
50,Farinha de Mandioca Zumbizinha 1Kg,7.99,7.99
51,Farinha de Milho Biju Sinhá 500G,4.99,4.99
52,Polvilho Azedo Amafil Pacote Plástico 1Kg,12.99,12.99
53,Polvilho Doce Amafil 1Kg,12.99,12.99
54,Farinha Panko Pink Embalagem 200G,9.99,9.99
55,Farinha de Trigo com Fermento Dona Benta 1Kg,8.99,8.99
56,Farinha de Mandioca Torrada Zumbi Embalagem 1Kg,8.99,8.99
57,Farinha de Trigo La Molisana 1Kg,12.99,12.99
58,Farofa de Mandioca Sabor Bacon Moreá Pacote 350G,7.99,7.99
59,Farelo de Trigo Lugen Fino 250G,5.99,5.99
60,Farofa de Mandioca Morea Picante 350G,7.99,7.99
61,Farinha de Banana Verde Lugen 200G,14.99,14.99
62,Farinha de Arroz Lugen Embalagem 500G,8.99,8.99
63,Farinha de Linhaça Marrom Lugen 200G,8.99,8.99
64,Proteína de Soja Fina Lugen 250G,9.99,9.99
