,Produto,Preço Base,Preço Final
0,"Álcool Nobre 76,9 1 Litro",10.99,10.99
1,Água Sanitária Santa Clara Embalagem 2 Litros,7.99,7.99
2,Água Sanitária Santa Clara Embalagem 1 Litro,4.99,4.99
3,Limpador Brilhalumínio Tradicional Embalagem 500Ml,3.99,3.99
4,Limpador Agradable Casa e Perfume 500Ml,5.99,5.99
5,Limpador Sensualidad Casa e Perfume 500Ml,5.99,5.99
6,Lustra Móvel Poliflor Lavanda 200Ml,12.99,12.99
7,Lustra Móveis Poliflor Lavanda 200Ml,12.99,12.99
8,Desinfetante Original Bruto Lysoform 1L,14.99,14.99
9,Limpa Vidros Veja Vidrex Squeeze Oferta 500Ml,7.99,7.99
10,Cera Líquida Brilhowax Incolor 750Ml,12.99,12.99
11,Limpador Multiuso Veja Floral Oferta 500Ml,5.99,5.99
12,Desinfetante Pinho Sol Original 500Ml,8.99,8.99
13,Limpador Bela Flore Casa e Perfume 500Ml,5.99,5.99
14,Limpador Casa e Perfume Amable 500Ml,5.99,5.99
15,Limpador Casa e Perfume Passione Embalagem 500Ml,5.99,5.99
16,Alcool Flops Tradicional 46.2 Inpm 500Ml,5.99,5.99
17,Desinfetante para Alimentos Três Barras 300Ml,13.99,13.99
18,Limpa Brilha Alum Brilhex Tradicional 500Ml,3.99,3.99
19,Detergente Ypê Clear 500Ml,3.99,3.99
20,Detergente Ypê Neutro 500Ml,3.99,3.99
21,Detergente Coco Ypê 500Ml,3.99,3.99
22,Detergente Liquido Ype Clear 500Ml Leve 24 Pague 22 Unidades,3.99,3.99
23,Lava-Roupas Pó Lavagem Perfeita Omo 800G,17.99,17.99
24,Sabão em Barra Neutro Ypê 1Kg,17.99,17.99
25,Sabao Glic Ype Neutro 900G,17.99,17.99
26,"Amaciante Tradicional Puro Cuidado Comfort 1,8L",24.99,24.99
27,Tira Manchas Vanish Super Barra 75G,9.99,9.99
28,Lava-Roupas Pó Omo Lavagem Perfeita Sanitiza & Higieniza Caixa 800G,17.99,17.99
29,Cloro Santa Clara Super Forte Embalagem 1 Litro,5.99,5.99
30,Lava Roupas 900Ml Omo Sc Protecao Antiodor,19.99,19.99
31,Sabão em Barra Ufe Coco 1Kg,24.99,24.99
32,Esponja de Aço Bombril Pacote 60G,2.99,2.99
33,Saco de Lixo Peg Lixo Cozinha e Banheiro 100 Unidades,14.99,14.99
34,Esponja de Aço 60G Bombril com 8Un,2.99,2.99
35,Saco para Lixo Peglixo 100 Litros 20 Unidades,14.99,14.99
36,Esponja de Limpeza Pesada Scotch Brite,3.99,3.99
37,Saco de Lixo 15 Litros Peg Lixo com 80 Sacos,14.99,14.99
38,Saco de Lixo Preto 30L Peg Lixo Rolo 40Un,14.99,14.99
39,Saco de Lixo Peg Lixo 50L 40 Un,14.99,14.99
40,Saco de Lixo Zé do Saco 25 Unidade 50 Litros,24.99,24.99
41,Saco de Lixo Preto 200L Peg Lixo 10Un,32.99,32.99
42,Saco de Lixo Zé do Saco 100 Litros 25Un,24.99,24.99
43,Açúcar Refinado União 1Kg,7.99,7.99
44,Açúcar Cristal LAçúcar Embalagem 2Kg,9.99,9.99
45,Açúcar Cristal Laçúcar Embalagem 1Kg,4.99,4.99
46,Açucar União Demerara 1Kg,9.99,9.99
47,Adoçante com Stevia Magro 80Ml,10.99,10.99
48,Adoçante Sacarina Zero Cal 100Ml,7.99,7.99
49,Adoçante Líquido Sucralose Linea 75Ml,14.99,14.99
50,Acucar Magro Light 500G,14.99,14.99
51,Açúcar Mascavo Lugen 1Kg,16.99,16.99
52,Açúcar de Coco Lugen Embalagem 150G,19.99,19.99
53,Açúcar Mascavo Lugen Embalagem 500G,9.99,9.99
54,Arroz Prato Fino Tipo1 2Kg,14.99,14.99
55,Arroz Prato Fino 1Kg Tp1,7.99,7.99
56,Arroz Integral Prato Fino Pacote 1Kg,9.99,9.99
57,Arroz Parboilizado Prato Fino Tipo 1 Pacote 1Kg,9.99,9.99
58,Arroz Raris 1K Int,14.99,14.99
59,Arroz Integral Ráris 7 Grãos Alho Poró 500G,16.99,16.99
60,Arroz Arbório Italiano Scotti Embalagem 1Kg,19.99,19.99
61,Arroz Carnarolli Italiano Scotti Embalagem 1Kg,19.99,19.99
62,Arroz Raris 500G 7 Cereais,16.99,16.99
63,Costela Bovina Kg,29.99,29.99
64,Farinha de Trigo sem Fermento Dona Benta 1Kg,8.99,8.99
65,Farofa Pronta Yoki Temperada 500G,7.99,7.99
66,Fubá Mimoso Fino Sinhá 1Kg,5.99,5.99
67,Cuscuz Sinhá 500G,3.99,3.99
68,Amido de Milho Maizena Embalagem Leve 500G Pague 380G,10.99,10.99
69,Farinha de Mandioca Pachá Torrada Embalagem 1Kg,7.99,7.99
70,Amido de Milho Maizena Tradicional 200G,4.99,4.99
71,Farinha de Mandioca Zumbizinha 1Kg,7.99,7.99
72,Farinha de Milho Biju Sinhá 500G,4.99,4.99
73,Polvilho Azedo Amafil Pacote Plástico 1Kg,12.99,12.99
74,Farofa da Terrinha Tradicional 400G,7.99,7.99
75,Polvilho Doce Amafil 1Kg,12.99,12.99
76,Amido Milho Maizena 500G,10.99,10.99
77,Farofa Temperada Moreá Sabor Alho 350G,7.99,7.99
78,Farinha de Mandioca Torrada Zumbi Embalagem 1Kg,8.99,8.99
79,Farofa de Mandioca Sabor Bacon Moreá Pacote 350G,7.99,7.99
80,Fécula de Mandioca Lugen 400G,10.99,10.99
81,Farinha de Maçã Peruana Lugen 100G,22.99,22.99
82,Farofa de Mandioca Morea Tradicional Embalagem 350G,7.99,7.99
83,Farinha de Aveia Lugen 500G,9.99,9.99
84,Farinha de Arroz Lugen Embalagem 500G,8.99,8.99
85,Farofa de Mandioca Morea Picante 350G,7.99,7.99
86,Proteína de Soja Fina Lugen 250G,9.99,9.99
87,Farofa de Mandioca Morea com Pequi Embalagem 350G,7.99,7.99
88,Farinha de Linhaça Dourada Lugen 200G,11.99,11.99
89,Farofa Pronta Moreá Sabor Costela Embalagem 350G,7.99,7.99
90,Farofa Moreá Sabor Churrasco Embalagem 350G,7.99,7.99
91,Farofa de Mandioca Temperada Morea Alho Embalagem 350G,7.99,7.99
92,Farinha de Banana Verde Lugen 200G,14.99,14.99
93,Farinha de Chia Lugen Embalagem 150G,16.99,16.99
94,Farofa de Mandioca Temperada Morea Bacon Embalagem 350G,7.99,7.99
95,Farofa Yoki Mandioca Tradicional 500G,7.99,7.99
96,Farinha de Linhaça Marrom Lugen 200G,8.99,8.99
97,Farinha de Trigo Integral Lugen Embalagem 500G,8.99,8.99
98,Farinha de Coco Lugen 200G,14.99,14.99
99,Farofa de Mandioca Moreá Sabor Tradicional 350G,7.99,7.99
100,Farofa Mareá Sabor Galinha Caipira Embalagem 350G,7.99,7.99
101,Farofa Pronta Moreá Sabor Churrasco 350G,7.99,7.99
102,Fubá São Lucas Moinho D'água 1Kg,6.99,6.99
103,Fubá Moinho D'água São Lucas 1Kg,6.99,6.99
104,Flocos de Milho Lugen Leite Condensado 200G,8.99,8.99
105,Farinha de Quinoa Lugen 200G,22.99,22.99
106,Proteína Texturizada de Soja Grossa Lugen 200G,6.99,6.99
107,Farofa Pronta Morea Tradicional Embalagem 350G,7.99,7.99
108,Farinha de Amêndoas Lugen Alimentos 100G,24.99,24.99
109,Farofa de Mandioca Morea Temperada com Pequi Embalagem 350G,7.99,7.99
110,Farofa de Mandioca Morea Temperada Picante Embalagem 350G,7.99,7.99
111,Farinha de Beringela Lugen 150G,14.99,14.99
112,Feijão Carioca Galante 1Kg,12.99,12.99
113,Feijão Fradinho Pachá 500G,6.99,6.99
114,Feijão Preto Kg,12.99,12.99
115,Feijão Preto Galante 1Kg,9.99,9.99
116,Feijão Roxo Galante 1Kg,14.99,14.99
117,Feijão Branco Pachá Embalagem 500G,9.99,9.99
118,Feijão Jalo Pacha Embalagem 1Kg,17.99,17.99
119,Feijão Carioca Kg,12.99,12.99
120,Feijão Roxo,12.99,12.99
121,Milho Pipoca Pacha Premium 500G,5.99,5.99
122,Canjica Branca Pacha Embalagem 500G,8.99,8.99
123,Trigo para Kibe Pachá Embalagem 500G,6.99,6.99
124,Canjiquinha Amarela Pacha 500G,3.99,3.99
125,Pipoca de Microondas Popcorn Manteiga de Cinema Yoki 100G,3.99,3.99
126,Lentilha Pachá 500G,14.99,14.99
127,Pipoca de Microondas Yoki Popcorn Manteiga 100G,3.99,3.99
128,Ervilha Seca Pachá 500G,9.99,9.99
129,Grão de Bico Pachá 500G,9.99,9.99
130,Pipoca de Micro-Ondas Sabor Natural Yoki 100G,3.99,3.99
131,Canjiquinha Pink Amarela 500G,3.99,3.99
132,Semente de Linhaça Marrom Lugen 200G,7.99,7.99
133,Gergelim Preto Lugen 150G,14.99,14.99
134,Mix de Sementes Lugen 150G,16.99,16.99
135,Semente de Chia Lugen Embalagem 100G,10.99,10.99
136,Amaranto em Flocos Lugen 150G,19.99,19.99
137,Quinoa em Grãos Lugen Embalagem 200 G,14.99,14.99
138,Semente de Chia Lugen 200G,22.99,22.99
139,Gergelim com Casca Lugen 150G,10.99,10.99
140,Canjiquinha São Lucas 500G,5.99,5.99
141,Semente de Linhaça Dourada Lugen 200G,11.99,11.99
142,"Aveia, Chia e Linhaça Lugen Embalagem 200G",14.99,14.99
143,"Chia, Quinoa e Amaranto Lugen 150G",16.99,16.99
144,Gergelim Descascado Lugen Embalagem 150G,14.99,14.99
145,Macarrão Instantâneo Galinha Caipira Nissin Lámen 85G,3.99,3.99
146,Macarrão Instantâneo Nissin Lámen Galinha 85G,3.99,3.99
147,Macarrão Instantâneo Nissin Lámen Carne 85G,3.99,3.99
148,Macarrão Santa Amália Ovos Tagliarini 500G,9.99,9.99
