,Produto,Preço Base,Preço Final
0,Limpador Multiuso Veja 10% Desconto 500Ml,5.99,5.99
1,"Álcool Nobre 76,9 1 Litro",10.99,10.99
2,Água Sanitária Santa Clara Embalagem 2 Litros,7.99,7.99
3,Água Sanitária Santa Clara Embalagem 1 Litro,4.99,4.99
4,Sapólio Radium Pó Clássico,9.99,9.99
5,Lustra Móvel Poliflor Lavanda 200Ml,12.99,12.99
6,Lustra Móveis Poliflor Lavanda 200Ml,12.99,12.99
7,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,5.99,5.99
8,Limpador Multiuso Veja Floral Oferta 500Ml,5.99,5.99
9,Limpador Multiuso Veja Gold Campestre 500Ml,5.99,5.99
10,Desinfetante Pinho Sol Original 500Ml,8.99,8.99
11,Limpador Veja Multiuso Original Pague 500Ml Embalagem 650Ml,5.99,5.99
12,Alcool Flops Tradicional 46.2 Inpm 500Ml,5.99,5.99
13,Desinfetante para Alimentos Três Barras 300Ml,10.99,10.99
14,Detergente Ypê Clear 500Ml,3.99,3.99
15,Detergente Ypê Neutro 500Ml,3.99,3.99
16,Detergente Coco Ypê 500Ml,3.99,3.99
17,Detergente Liquido Ype Clear 500Ml Leve 24 Pague 22 Unidades,3.99,3.99
18,"Lava-Roupas Pó Lavagem Perfeita Omo 1,6Kg",29.99,29.99
19,1Un Lava Roupa Omo Lavagem Perfeita 1.6Kg Grátis 150G.,29.99,29.99
20,Lava-Roupas Pó Lavagem Perfeita Omo 800G,17.99,17.99
21,Sabão em Barra Neutro Ypê 1Kg,17.99,17.99
22,Sabao Glic Ype Neutro 900G,17.99,17.99
23,"Amaciante Tradicional Puro Cuidado Comfort 1,8L",24.99,24.99
24,Cloro Santa Clara Super Forte Embalagem 1 Litro,5.99,5.99
25,Lava Roupas 900Ml Omo Sc Protecao Antiodor,19.99,19.99
26,Sabão Líquido Coquel Coco 500Ml,14.99,14.99
27,Esponja de Aço Bombril Pacote 60G,2.99,2.99
28,Esponja de Aço 60G Bombril com 8Un,2.99,2.99
29,Saco para Lixo Peglixo 100 Litros 20 Unidades,14.99,14.99
30,Esponja de Limpeza Pesada Scotch Brite,3.99,3.99
31,Saco de Lixo 15 Litros Peg Lixo com 80 Sacos,14.99,14.99
32,Saco de Lixo Peg Lixo 50L 40 Un,14.99,14.99
33,Saco de Lixo Zé do Saco 25 Unidade 50 Litros,24.99,24.99
34,Saco de Lixo Zé do Saco 100 Litros 25Un,29.99,29.99
35,Açúcar Cristal Laçúcar 5Kg,19.99,19.99
36,Açúcar Refinado União 1Kg,7.99,7.99
37,Açúcar Cristal LAçúcar Embalagem 2Kg,9.99,9.99
38,Açúcar Cristal Laçúcar Embalagem 1Kg,4.99,4.99
39,Açucar União Demerara 1Kg,9.99,9.99
40,Adoçante com Stevia Magro 80Ml,10.99,10.99
41,Adoçante Sacarina Zero Cal 100Ml,7.99,7.99
42,Adoçante Líquido Sucralose Linea 75Ml,14.99,14.99
43,Açúcar Cristal União Orgânico Pacote 1Kg,13.99,13.99
44,Açúcar Demerara Lugen Embalagem 500G,10.99,10.99
45,Xylitol Lugen 200G,34.99,34.99
46,Açúcar Mascavo Lugen Embalagem 500G,9.99,9.99
47,Açúcar Mascavo Lugen 1Kg,17.99,17.99
48,Açúcar de Coco Lugen Embalagem 150G,19.99,19.99
49,Arroz Prato Fino Tipo1 2Kg,14.99,14.99
50,Arroz Prato Fino 1Kg Tp1,8.99,8.99
51,Arroz Integral Prato Fino Pacote 1Kg,11.99,11.99
