,Produto,Preço Base,Preço Final
0,Limpador Multiuso Veja 10% Desconto 500Ml,5.99,5.99
1,"Álcool Nobre 76,9 1 Litro",10.99,10.99
2,Água Sanitária Santa Clara Embalagem 2 Litros,7.99,7.99
3,Água Sanitária Santa Clara Embalagem 1 Litro,4.99,4.99
4,Limpador Sensualidad Casa e Perfume 500Ml,5.99,5.99
5,Limpador Agradable Casa e Perfume 500Ml,5.99,5.99
6,Desinfetante Original Bruto Lysoform 1L,14.99,14.99
7,Desinfetante Pinho Sol Original 500Ml,8.99,8.99
8,Limpador Veja Multiuso Original Pague 500Ml Embalagem 650Ml,5.99,5.99
9,Limpador Casa e Perfume Passione Embalagem 500Ml,5.99,5.99
10,Desinfetante para Alimentos Três Barras 300Ml,9.99,9.99
11,Detergente Ypê Clear 500Ml,3.99,3.99
12,Detergente Ypê Neutro 500Ml,3.99,3.99
13,Detergente Coco Ypê 500Ml,3.99,3.99
14,Detergente Liquido Ype Clear 500Ml Leve 24 Pague 22 Unidades,3.99,3.99
15,Lava-Roupas Pó Lavagem Perfeita Omo 800G,17.99,17.99
16,Sabão em Barra Neutro Ypê 1Kg,17.99,17.99
17,Sabao Glic Ype Neutro 900G,17.99,17.99
18,"Amaciante Tradicional Puro Cuidado Comfort 1,8L",24.99,24.99
19,Cloro Santa Clara Super Forte Embalagem 1 Litro,5.99,5.99
20,Lava Roupas 900Ml Omo Sc Protecao Antiodor,19.99,19.99
21,Amac Comfort Conc Intense 500Ml,12.99,12.99
22,Sabão Líquido Coquel Coco 500Ml,14.99,14.99
23,Sabão em Barra Ufe Coco Pacote 200G,6.99,6.99
24,Saco de Lixo Peg Lixo Cozinha e Banheiro 100 Unidades,14.99,14.99
25,Saco para Lixo Peglixo 100 Litros 20 Unidades,14.99,14.99
26,Esponja de Limpeza Pesada Scotch Brite,3.99,3.99
27,Saco de Lixo 15 Litros Peg Lixo com 80 Sacos,14.99,14.99
28,Saco de Lixo Preto 30L Peg Lixo Rolo 40Un,14.99,14.99
29,Saco de Lixo Peg Lixo 50L 40 Un,14.99,14.99
30,Saco de Lixo Zé do Saco 25 Unidade 50 Litros,24.99,24.99
31,Saco de Lixo Zé do Saco 100 Litros 25Un,24.99,24.99
32,Açúcar Refinado União 1Kg,7.99,7.99
33,Açúcar Cristal LAçúcar Embalagem 2Kg,9.99,9.99
34,Açúcar Cristal Laçúcar Embalagem 1Kg,4.99,4.99
35,Açucar União Demerara 1Kg,9.99,9.99
36,Adoçante Sacarina Zero Cal 100Ml,7.99,7.99
37,Adoçante Líquido Sucralose Linea 75Ml,14.99,14.99
38,Acucar Magro Light 500G,14.99,14.99
39,Açúcar de Coco Lugen Embalagem 150G,19.99,19.99
40,Xylitol Lugen 200G,34.99,34.99
41,Açúcar Mascavo Lugen Embalagem 500G,9.99,9.99
42,Açúcar Demerara Lugen Embalagem 500G,10.99,10.99
43,Arroz Prato Fino Tipo1 2Kg,14.99,14.99
44,Arroz Prato Fino 1Kg Tp1,7.99,7.99
45,Arroz Integral Prato Fino Pacote 1Kg,9.99,9.99
46,Arroz Carnarolli Italiano Scotti Embalagem 1Kg,19.99,19.99
47,Arroz Raris 500G 7 Cereais,16.99,16.99
48,Farinha de Trigo sem Fermento Dona Benta 1Kg,8.99,8.99
49,Farofa Pronta Yoki Temperada 500G,7.99,7.99
50,Fubá Mimoso Fino Sinhá 1Kg,5.99,5.99
51,Cuscuz Sinhá 500G,3.99,3.99
52,Farinha de Rosca Pacha 500G,7.99,7.99
