,Produto,Preço Base,Preço Final
0,Limpador Multiuso Veja 10% Desconto 500Ml,5.99,5.99
1,Água Sanitária Santa Clara Embalagem 1 Litro,4.99,4.99
2,Limpador Sensualidad Casa e Perfume 500Ml,5.99,5.99
3,Lustra Móvel Poliflor Lavanda 200Ml,12.99,12.99
4,Lustra Móveis Poliflor Lavanda 200Ml,12.99,12.99
5,Desinfetante Original Bruto Lysoform 1L,14.99,14.99
6,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,5.99,5.99
7,Limpador Multiuso Veja Floral Oferta 500Ml,5.99,5.99
8,Limpador Multiuso Veja Gold Campestre 500Ml,5.99,5.99
9,Limpador Veja Multiuso Original Pague 500Ml Embalagem 650Ml,5.99,5.99
10,Desinfetante para Alimentos Três Barras 300Ml,9.99,9.99
11,Detergente Ypê Clear 500Ml,3.99,3.99
12,Detergente Ypê Neutro 500Ml,3.99,3.99
13,Detergente Coco Ypê 500Ml,3.99,3.99
14,Detergente Liquido Ype Clear 500Ml Leve 24 Pague 22 Unidades,3.99,3.99
15,"Lava-Roupas Pó Lavagem Perfeita Omo 1,6Kg",29.99,29.99
16,1Un Lava Roupa Omo Lavagem Perfeita 1.6Kg Grátis 150G.,29.99,29.99
17,Sabão em Barra Neutro Ypê 1Kg,17.99,17.99
18,Sabao Glic Ype Neutro 900G,17.99,17.99
19,Amaciante Comfort Original Concentrado Oferta Embalagem 500Ml,12.99,12.99
20,Cloro Santa Clara Super Forte Embalagem 1 Litro,5.99,5.99
21,Amaciante Concentrado Comfort Intense Cuidado Essencial 500Ml,12.99,12.99
22,Sabão Líquido Coquel Coco 500Ml,14.99,14.99
23,Esponja de Aço Bombril Pacote 60G,2.99,2.99
24,Esponja de Aço 60G Bombril com 8Un,2.99,2.99
25,Saco para Lixo Peglixo 100 Litros 20 Unidades,14.99,14.99
26,Esponja de Limpeza Pesada Scotch Brite,3.99,3.99
27,Saco de Lixo Zé do Saco 25 Unidade 50 Litros,24.99,24.99
28,Açúcar Refinado União 1Kg,7.99,7.99
29,Açúcar Cristal LAçúcar Embalagem 2Kg,10.99,10.99
30,Açúcar Cristal Laçúcar Embalagem 1Kg,5.99,5.99
31,Açúcar Demerara Lugen Embalagem 500G,11.99,11.99
32,Açúcar Mascavo Lugen Embalagem 500G,9.99,9.99
33,Arroz Prato Fino Tipo1 2Kg,14.99,14.99
34,Arroz Prato Fino 1Kg Tp1,9.99,9.99
35,Arroz Integral Prato Fino Pacote 1Kg,12.99,9.99
36,Arroz Arbório Italiano Scotti Embalagem 1Kg,19.99,19.99
37,Farinha de Trigo sem Fermento Dona Benta 1Kg,8.99,8.99
38,Tapioca da Terrinha Pacote 500G,7.99,7.99
39,Fubá Mimoso Fino Sinhá 1Kg,5.99,5.99
