,Produto,Preço Base,Preço Final
0,Limpador Multiuso Veja 10% Desconto 500Ml,5.99,5.99
1,Água Sanitária Santa Clara Embalagem 2 Litros,7.99,7.99
2,Água Sanitária Santa Clara Embalagem 1 Litro,4.99,4.99
3,Limpador Agradable Casa e Perfume 500Ml,5.99,5.99
4,Limpador Sensualidad Casa e Perfume 500Ml,5.99,5.99
5,Desinfetante Pinho Sol Original 500Ml,8.99,8.99
6,Limpador Veja Multiuso Original Pague 500Ml Embalagem 650Ml,5.99,5.99
7,Limpador Bela Flore Casa e Perfume 500Ml,5.99,5.99
8,Alcool Flops Tradicional 46.2 Inpm 500Ml,5.99,5.99
9,Desinfetante para Alimentos Três Barras 300Ml,9.99,9.99
10,Detergente Ypê Clear 500Ml,3.99,3.99
11,Detergente Ypê Neutro 500Ml,3.99,3.99
12,Detergente Coco Ypê 500Ml,3.99,3.99
13,Detergente Liquido Ype Clear 500Ml Leve 24 Pague 22 Unidades,3.99,3.99
14,Lava-Roupas Pó Lavagem Perfeita Omo 800G,17.99,17.99
15,Sabão em Barra Neutro Ypê 1Kg,17.99,17.99
16,Sabao Glic Ype Neutro 900G,17.99,17.99
17,Amaciante Comfort Original Concentrado Oferta Embalagem 500Ml,12.99,12.99
18,Lava-Roupas Pó Omo Lavagem Perfeita Sanitiza & Higieniza Caixa 800G,17.99,17.99
19,Cloro Santa Clara Super Forte Embalagem 1 Litro,5.99,5.99
20,Amac Comfort Conc Intense 500Ml,12.99,12.99
21,Amaciante Concentrado Comfort Intense Cuidado Essencial 500Ml,12.99,12.99
22,Sabão em Barra Ufe Coco 1Kg,24.99,24.99
23,Sabão Líquido Coquel Coco 500Ml,14.99,14.99
24,Esponja de Aço Bombril Pacote 60G,2.99,2.99
25,Saco de Lixo Peg Lixo Cozinha e Banheiro 100 Unidades,14.99,14.99
26,Esponja de Aço 60G Bombril com 8Un,2.99,2.99
27,Saco para Lixo Peglixo 100 Litros 20 Unidades,14.99,14.99
28,Esponja de Limpeza Pesada Scotch Brite,3.99,3.99
29,Saco de Lixo 15 Litros Peg Lixo com 80 Sacos,14.99,14.99
30,Saco de Lixo Preto 30L Peg Lixo Rolo 40Un,14.99,14.99
31,Saco de Lixo Peg Lixo 50L 40 Un,14.99,14.99
32,Saco de Lixo Zé do Saco 25 Unidade 50 Litros,24.99,24.99
33,Saco de Lixo Zé do Saco 100 Litros 25Un,24.99,24.99
34,Açúcar Cristal Laçúcar 5Kg,19.99,19.99
35,Açúcar Refinado União 1Kg,7.99,7.99
36,Açúcar Cristal LAçúcar Embalagem 2Kg,9.99,9.99
37,Açúcar Cristal Laçúcar Embalagem 1Kg,4.99,4.99
38,Açucar União Demerara 1Kg,9.99,9.99
39,Adoçante Líquido Sucralose Linea 75Ml,14.99,14.99
40,Açúcar Cristal União Orgânico Pacote 1Kg,13.99,13.99
41,Açúcar Mascavo Lugen Embalagem 500G,9.99,9.99
42,Xylitol Lugen 200G,34.99,34.99
43,Açúcar de Coco Lugen Embalagem 150G,19.99,19.99
44,Açúcar Mascavo Lugen 1Kg,16.99,16.99
45,Arroz Prato Fino Tipo1 2Kg,14.99,14.99
46,Arroz Prato Fino 1Kg Tp1,7.99,7.99
47,Arroz Integral Prato Fino Pacote 1Kg,9.99,9.99
48,Arroz Integral Ráris 7 Grãos Alho Poró 500G,16.99,16.99
49,Arroz Integral 7 Grãos Cenoura Ráris 500G,16.99,16.99
50,Arroz Integral 7 Grãos Ráris 500G,16.99,16.99
51,Arroz Arbório Italiano Scotti Embalagem 1Kg,19.99,19.99
52,Farinha de Trigo sem Fermento Dona Benta 1Kg,8.99,8.99
53,Tapioca da Terrinha Pacote 500G,6.99,6.99
54,Fubá Mimoso Fino Sinhá 1Kg,5.99,5.99
55,Cuscuz Sinhá 500G,3.99,3.99
56,Amido de Milho Maizena Embalagem Leve 500G Pague 380G,10.99,10.99
57,Farinha de Rosca Pacha 500G,7.99,7.99
58,Farinha de Mandioca Pachá Torrada Embalagem 1Kg,7.99,7.99
59,Amido de Milho Maizena Tradicional 200G,4.99,4.99
60,Tapioca Delioca Embalagem 560G,12.99,12.99
61,Flocos de Milho Pré-Cozido Quaker Milharina Pacote 500G,5.99,5.99
62,Farinha de Milho Biju Sinhá 500G,4.99,4.99
63,Polvilho Azedo Amafil Pacote Plástico 1Kg,12.99,12.99
64,Polvilho Doce Amafil 1Kg,12.99,12.99
