,Produto,Preço Base,Preço Final
0,Água Sanitária Classic 5 Litros,12.5,12.5
1,Pastilha Adesiva Sany Lavanda Embalagem 3 Un,3.3,3.3
2,Água Sanitária Classic Embalagem 2 Litros,5.6,5.6
3,Água Sanitária Classic 1Litro,3.2,3.2
4,Tira Limo Veja X14 Cloro Ativo Squeeze Oferta 500Ml,13.0,13.0
5,Saponáceo Cremoso Multiuso Limão Bom Bril Sapólio Radium 250Ml,8.5,8.5
6,Limpador Sanitário Lipex Caixa Acoplada Embalagem 50G,10.0,10.0
7,Pastilha Adesiva Pato Lavanda Oferta Embalagem 3Un,7.9,7.9
8,Super Cloro Classic Extra Forte 2L,7.6,7.6
9,Desinfetante Classic Capim Limão Eucalipto Embalagem 2 Litros,5.9,5.9
10,Limpador Uau Multiuso Flores e Folhas 500Ml,4.1,4.1
11,Limpador Uau Multiuso Lavanda 500Ml,5.1,5.1
12,Limpador Uau Perfumes Flores Vermelhas e Sedução 500Ml,6.2,6.2
13,Limpa Piso Uau Laminado 750Ml,7.9,7.9
14,Limpador Limpeza Pesada Veja X-14 Grátis 20% de Desconto Frasco 500Ml,9.9,9.9
15,Limpador Perfumado Veja Lavanda 1L,9.5,9.5
16,Soda Cáustica Yara 950G,16.5,16.5
17,Desentupidor de Piá Diabo Verde Embalagem 300G,16.0,16.0
18,Pedra Sanitária de Lavanda Azulim 25G,1.2,1.2
19,Cera Líquida Special Taco/Madeiras Ingleza Maxx 750Ml,14.0,14.0
20,Limpador Uau Cloro Ativo Limpeza Pesada 500Ml,6.5,6.5
21,Cera Líquida Incolor Brilho Fácil 750Ml,13.9,13.9
22,Pedra Sanitária Sany Mix Lavanda Embalagem 25G,1.9,1.9
23,Limpador Azulim Lavanda Embalagem 1L,7.6,7.6
24,Desinfetante Start Vorel Jasmim Embalagem 2L,7.5,7.5
25,Bry Lustra Móveis de Lavanda Ingleza 200Ml,6.2,6.2
26,Limpa Vidros Veja Vidrex Squeeze Oferta 500Ml,9.6,9.6
27,Pastilha Sanitária Sany Mix Citrus Embalagem 3Un,3.0,3.0
28,Cera Líquida Brilhowax Incolor 750Ml,11.5,11.5
29,Limpador Multiuso Ação Clareadora Uau 500Ml,6.0,6.0
30,Brilha-Móveis Lavanda Destac Squeeze 500Ml Grátis 20% de Desconto,15.5,15.5
31,Álcool Itajá 46Graus Embalagem 1Litro,7.9,7.9
32,Limpador Sany Mix Brilha Alumínio 2 em 1 Embalagem 300Ml,3.5,3.5
33,Limpa Forno Diabo Verde Embalagem 250G,15.0,15.0
34,Cera Líquida Ingleza Maxx Incolor 750Ml,15.1,15.1
35,Limpa Pedra Start Pedrex Embalagem 2L,23.0,23.0
36,Desinfetante Líquido Original Lysoform 500Ml,7.95,7.95
37,Limpador Casa e Perfume Bela Flore Embalagem 1L,9.9,9.9
38,Tira Ferrugem Azulim 50Ml,7.5,7.5
39,Limpador Multiuso com Álcool Brilho Instantâneo Uau Frasco 500Ml,3.9,3.9
40,Sapólio Radium Pó Lavanda 300G,4.5,4.5
41,Limpa Vidros Veja Vidrex Tradicional 500Ml,8.0,8.0
42,Gel Adesivo Pato Marine + Aplicador 38G,24.5,24.5
43,Lustra Móveis Lavanda Preço Especial Poliflor 500Ml,19.9,19.9
44,Limpador Mr Músculo Cloro Gel Citrus Oferta 500Ml,7.9,7.9
45,Desinfetante Classic Eucalipto 5 Litros,13.5,13.5
46,Limpador Veja Limpeza Pesada Floral Campestre 500Ml,8.5,8.5
47,Pedra Sanitária Bosque de Pinho Oferta Glade 25G,3.0,3.0
48,Desinfetante Pinho Sol Original 1000Ml,12.5,12.5
49,Sapólio Radium Pedra Clássico 200G,2.5,2.5
50,Limpador Universal Start Maximoom Embalagem 2 Litros,35.0,35.0
51,Removedor Start Mágico Super Sujeira Pesada 2L,31.0,31.0
52,Desinfetante Suave Odor Lysoform Bruto Bombril 1L,13.8,13.8
53,Óleo de Peroba King 100Ml,11.0,11.0
54,Desinfetante Classic Floral Embalagem 2 Litros,5.9,5.9
55,Limpador Multiuso Classic Tradicional 500Ml,3.5,3.5
56,Desinfetante Lysoform Original 5Litros,64.0,64.0
57,Limpador Diluível Ajax Fresh Blue 500Ml,11.0,11.0
58,Pastilha para Caixa Acoplada Sany Pinho Embalagem 50G,4.2,4.2
59,Limpa Vidros Spray Veja Vidrex Cristal Oferta 500Ml,22.5,22.5
60,Desinfetante Classic Lavanda Embalagem 2 Litros,5.9,5.9
61,Cera Líquida Ingleza Maxx Laminados Embalagem 750Ml,14.0,14.0
62,Desinfetante de Gatilho Lysoform 500Ml,11.9,11.9
63,Limpador Veja Multiuso Orig. Lv500 Pg450,5.5,5.5
64,Desinfetante Azulim Zerobac Cristal 46 Graus 1L,8.5,8.5
65,Remediador Biológico Biol 2000 Sachê,26.9,26.9
66,Desinfetante Classic Eucalipto Embalagem 2 Litros,5.9,5.9
67,Saponáceo Cremoso Azulim Embalagem 300Ml,5.7,5.7
68,Limpador Gel Brilhex 4 em 1 Pinho 1 Litro,5.5,5.5
69,Limpador Multiuso Azulim Lavanda Embalagem 300Ml,5.6,5.6
70,Pastilha Premium Hidroazul 200G,11.9,11.9
71,Água Sanitária Du-Lar 5L,12.6,12.6
72,Desinfetante Brilhex Leite de Rosas 1 Litro,4.5,4.5
73,Álcool Gel Q Otimo 500G,7.6,7.6
74,Desincrustante 750Ml Limpa Chapa e Grill,35.8,35.8
75,Solução Hidróxido Sódio de Sodio Start 2L,64.0,64.0
76,Cera Ingleza Ardósia Verde 5L,68.0,68.0
77,Removedor de Cera Mágico Embalagem 5 Litros,61.0,61.0
78,Desinfetante Brilhex Lavanda 1 Litro,4.5,4.5
