,Produto,Preço Base,Preço Final
0,Água Sanitária Classic 5 Litros,12.48,12.48
1,Kit Multiuso Mais Perfume 500Ml Azulim 3Un,9.98,9.98
2,Álcool Etílico Hidratado 70º Inpm Uzu 1L,7.99,7.99
3,"Álcool Líquido Nobre 76,9 Inpm 500Ml",5.99,5.99
4,Sapólio Radium Cremoso Lavanda 300Ml,9.49,9.49
5,Limpador Multiuso Veja 10% Desconto 500Ml,4.99,4.99
6,Água Sanitária Marina Embalagem 2L,6.49,6.49
7,Água Sanitária Marina Embalagem 1L,3.69,3.69
8,Água Sanitária Santa Clara 5L,12.99,12.99
9,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",6.29,6.29
10,Água Sanitária Santa Clara Embalagem 2 Litros,6.29,4.98
11,Água Sanitária Classic Embalagem 2 Litros,6.19,6.19
12,Álcool 70% Asseptgel Start Embalagem 500Ml,7.69,7.69
13,Água Sanitária Santa Clara Embalagem 1 Litro,3.59,3.59
14,Sapólio Cremoso Radium Lavanda 250Ml,9.49,9.49
15,Soda Cáustica Escorpião 1Kg,34.98,34.98
16,Querosene Jacaré Lata 900Ml,19.98,19.98
17,Desinfetante Marina Talco Embalagem 2 Litros,4.99,4.99
18,Tira Limo Veja X14 Cloro Ativo Squeeze Oferta 500Ml,14.98,14.98
19,Kit Limpador Multiuso Azulim 550Ml 3Un,9.98,9.98
20,Água Sanitária Classic 1Litro,3.59,3.59
21,Limpador Multiuso Cif Cremoso Original Oferta 450Ml,15.98,15.98
22,Tira Limo Azulim Embalagem 500Ml,4.99,3.99
23,Limpador Cremoso Cif Original 250Ml,9.98,9.98
24,Limpa Alumínio Marina Verde Embalagem 500Ml,2.49,2.49
25,Desinfetante Casa Km Casa & Perfume Passione Embalagem 1L,8.99,8.99
26,Limpador Multiuso Uau Rosas Sedução 500Ml,4.98,4.98
27,Limpador Agradable Casa e Perfume 1L,8.99,8.99
28,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.98,2.98
29,Limpador Multiuso Super Globo Floral Embalagem 500Ml,3.69,3.69
30,Kit Econômico Azulim Multiuso 4X1,12.98,12.98
31,Água Sanitária Marina 5 Litros,10.98,10.98
32,Limpador Casa e Perfume Sensualidad 1L,8.99,8.99
33,Cloro Super Cloro Classic Extra Forte 1 Litro,4.19,4.19
34,Pedra Sanitária Q-Odor Lavanda 40G,2.98,2.98
35,Pedra Sanitária Mil Aromas Fragrâncias Embalagem 25G,3.49,3.49
36,Limpador Multiuso Cif 500Ml Leve 3 Pague até 50% 3ºunidade Multiuso+Antibac,12.99,12.99
37,Limpador Cif Cremoso Original Oferta Embalagem 500Ml,15.98,15.98
38,Limpador Sensazione Casa & Perfume 1L,8.99,8.99
39,Gel Adesivo Aplik Limão Embalagem 3 Un,7.99,7.99
40,Casa e Perfume Sensazine 500Ml,4.99,4.99
41,Limpador Uau Perfumes Flores Vermelhas Embalagem 1 Litro,6.98,5.99
42,Cloro Gel Vim Lavanda 700Ml,12.99,12.99
43,Sapólio Radium Pó Clássico,5.98,4.99
44,Desengordurante Uau Squeeze 500Ml,7.49,7.49
45,Pedra Sanitária Inspira Lavanda 1Un,3.49,3.49
46,Desinfetante Santa Clara Lavanda Embalagem 2 Litros,6.69,6.69
47,Limpador Sensualidad Casa e Perfume 500Ml,4.99,4.99
48,Limpador Agradable Casa e Perfume 500Ml,4.99,4.99
49,Pastilhas Ades Inspira Lavanda 20%Desc 3Un,5.99,5.99
50,Limpador Azulim Multiuso Embalagem 500Ml,3.49,2.99
51,Limpador Uau Multiuso Flores e Folhas 500Ml,4.98,4.98
52,Limpador Uau Multiuso Lavanda 500Ml,4.98,4.98
53,Desinfetante Marina Marine Embalagem 2 Litros,4.99,4.99
54,Lustra Móveis Poliflor Lavanda 200Ml,7.99,7.99
55,Soda Cáustica Yara 950G,15.99,15.99
