,Produto,Preço Base,Preço Final
0,Álcool Safra 70º 1 Litro,8.49,8.49
1,Álcool Líquido 70º Inpm Tupi 1L,7.99,7.99
2,Água Sanitária Qboa 1L,3.99,3.99
3,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,3.99,3.99
4,Limpador Multiuso Uau Rosas Sedução 500Ml,3.99,3.99
5,Limpador Agradable Casa e Perfume 1L,6.99,6.99
6,Limpador Casa e Perfume Sensualidad 1L,7.99,7.99
7,Limpador Uau Multiuso Lavanda 500Ml,3.99,3.99
8,Desentupidor de Piá Diabo Verde Embalagem 300G,16.89,16.89
9,Desinfetante Pinho Sol Original 500Ml,6.29,6.29
10,Pedra Sanitária Bosque de Pinho Oferta Glade 25G,2.99,2.99
11,Desinfetante de Lavanda Spray Lysoform 360Ml,26.9,26.9
12,Desinfetante Trop Pinho Lavanda Inglesa 500Ml,3.59,3.59
13,Álcool Farmax 70% 50Ml,2.99,2.99
14,Álcool Absoluto Antares 50Ml,4.49,4.49
15,Pedra Sanitária Bouquet Lavanda Embalagem com 25% de Desconto Glade 25G,2.99,2.99
16,Difusor de Ambiente Lavanda Glade 100Ml,22.49,22.49
17,Detergente Ypê Clear 500Ml,2.49,2.49
18,Detergente Ypê Neutro 500Ml,2.49,2.49
19,Detergente Líquido Maçã Ypê 500Ml,2.49,2.49
20,Sbp Multi Inseticida Aerossol Leve+ Pague- 450Ml,16.49,16.49
21,Inseticida Kelldrin Sc25 Embalagem 30Ml,6.99,6.99
22,Kit Aparelho + Repelente Elétrico Líquido Sbp Refil 35Ml,11.99,11.99
23,Repelente Sbp Elétrico Citronela Pastilha Refil Oferta 12Un,5.69,5.69
24,Repelente Sbp Elétrico Pastilha Refil Oferta 12 Un,8.99,8.99
25,Kit 1 Aparelho + 4 Repelente Elétrico Pastilha Sbp Noites Tranquilas,23.99,23.99
26,Repelente Eletrônico Amicus Zen Branco Unidade,33.99,33.99
27,1Un Lava Roupa Omo Lavagem Perfeita 1.6Kg Grátis 150G.,22.99,22.99
28,Sabão em Barra Neutro Ypê 1Kg,13.99,13.99
29,Amaciante Downy Brisa do Verão 500Ml,9.99,9.99
30,Lava Roupas e Amaciante Vida Macial 2X1l,22.99,22.99
31,Amaciante para Roupinhas de Bebê Vida Macia Amêndoas Embalagem 1Lt,8.49,8.49
32,Amaciante para Roupinhas de Bebê Vida Macia Camomila Embalagem 1L,8.49,8.49
33,Tira Manchas Vanish Super Barra 75G,5.99,5.99
34,Amaciante Concentrado Downy Frescor da Primavera Embalagem 500Ml,9.99,9.99
35,Amaciante Downy Água Fresca 500Ml,9.99,9.99
36,Sabão em Barra Ufe Coco Pacote 200G,3.69,3.69
37,Esponja para Louça Scotch Brite Limpeza Pesada Leve4 Pague3,7.99,7.99
38,Esponja Não Risca Laranja Scotch-Brite com 3Un,7.99,7.99
39,Esponja de Limpeza Extrema Scotch-Brite 4Un,7.99,7.99
40,Esponja para Limpeza de Banheiro Scotch-Brite - 3 Unidades,7.99,7.99
41,Esponja Multiuso Tinindo Embalagem Un,1.99,1.99
42,Luva Latex Procedimento Nobre P 100 Unidades,38.99,38.99
43,Luva de Látex para Procedimentos com Pó Tamanho G Nobre 100Un,35.99,35.99
44,Adoçante Sacarina Zero Cal 100Ml,6.49,6.49
45,Adoçante Sacarina Zero Cal 200Ml,9.99,9.99
46,Adoçante Líquido Sacarina Adocyl 100Ml,4.49,4.49
47,Adoçante Stevia Líquido Adocyl 80Ml,7.99,7.99
48,Adoçante Líquido Linea 2 X 75Ml + Grátis 25Ml Embalagem 3 Unidades,22.49,22.49
49,Adoçante Sucralose Adocyl 80Ml,7.69,7.69
50,Adoçante Líquido Stevia Linea 60Ml,16.49,16.49
51,Pipoca de Microondas Temperada com Toque de Chef Yoki 100G,3.99,3.99
52,Pipoca de Microondas Yoki Popcorn Manteiga 100G,3.99,3.99
53,Pipoca de Micro-Ondas Sabor Bacon Yoki 100G,3.99,3.99
54,Pipoca de Micro-Ondas Sabor Natural Yoki 100G,3.99,3.99
55,Macarrão Instantâneo Galinha Caipira Nissin Lámen 85G,2.69,2.69
56,Macarrão Instantâneo Nissin Turma da Mônica Tomate Suave 85G,2.69,2.69
57,Macarrão Instantâneo Nissin Turma da Mônica Galinha Suave 85G,2.69,2.69
58,Macarrão Instantâneo Nissin Lámen Carne 85G,2.69,2.69
59,Macarrão Instantâneo de Costela Cup Noodles 68G,4.89,4.89
60,Macarrão Instantâneo Cup Noodles Carne Defumada Pote 64G,4.89,4.89
61,Macarrão Instantâneo Cup Noodles Galinha Picante 68G,4.89,4.89
62,Macarrão Instantâneo Nissin Noodles Bolonhesa 72G,4.89,4.89
63,Nissin Cup Noodles Frango Teriyaki 72G,4.89,4.89
64,Macarrão Instantâneo Nissin Cup Noodles Galinha Caipira 69G,4.89,4.89
65,Macarrão Instantâneo Nissin Noodles Cheddar 69G,4.89,4.89
66,Óleo de Coco Copra Extra Virgem Sachê 15Ml,2.29,2.29
67,Óleo de Coco sem Sabor Copra 200Ml,17.99,17.99
68,Óleo de Coco Extra Virgem Copra Embalagem 100Ml,14.99,14.99
69,"Água Mineral com Gás Crystal 1,5L",3.99,3.99
70,Água Crystal com Gás 500Ml,2.59,2.59
71,Água Crystal sem Gás 5L,10.99,10.99
72,"Água Crystal sem Gás 1,5L",3.79,3.79
73,Água Crystal sem Gás 1L,3.39,3.39
74,Agua de Coco Sococo 1L,8.59,8.59
75,Água Crystal sem Gás 500Ml,2.39,2.39
76,Água de Coco Sococo 200Ml,2.59,2.59
77,Chá Ice Tea Leão Limão 450Ml,3.59,3.59
78,Isotônico de Tangerina Gatorade 500Ml,4.99,4.99
79,Energético Energy Green Monster 473Ml,8.99,8.99
80,Isotônico de Frutas Cítricas Gatorade 500Ml,4.99,4.99
81,Isotônicos Gatorade Morango e Maracujá Garrafa 500Ml,4.99,4.99
82,Energético Ultra Monster 473Ml,8.99,8.99
83,Energético Juice Mango Loco Monster 473Ml,8.99,8.99
84,Isotônico Gatorade Limão Garrafa 500Ml,4.99,4.99
85,Isotônico Gatorade Uva Garrafa 500Ml,4.99,4.99
86,Isotônico Sabor Morango com Melancia Gatorade 500Ml,4.99,4.99
87,Energético Monster Energy Ultra Violet Lata 473Ml,8.99,8.99
88,Isotônico Gatorade Laranja Garrafa 500Ml,4.99,4.99
89,Energético Monster Energy Absolutely Zero Lata 473Ml,8.99,8.99
90,Energético Monster Khaos Lata 473Ml,8.99,8.99
91,Isotônico I9 Sabor Maracujá Powerade 500Ml,4.99,4.99
92,Energético Red Bull Tradicional 250Ml,8.99,8.99
93,Isotônico Sabor Mix de Frutas Powerade 500Ml,5.79,5.79
94,Isotônico Powerade Uva Garrafa 500Ml,4.99,4.99
95,Energético Red Bull Energy Drink Tropical 250Ml,8.99,8.99
96,Energético Summer Melancia Red Bull Lata 250Ml,8.99,8.99
97,Energético Red Bull Sugarfree sem Açúcar 250Ml,8.99,8.99
98,Energético Monster Ultra Paradise Zero Açúcar Lata 473Ml,8.99,8.99
99,Energetico Reign Mango Matic 473Ml,8.99,8.99
100,Energético Monster Juice Pacific Punch Lata 473Ml,8.99,8.99
101,Suplemento Engov After Tangerina 250Ml,8.99,8.99
102,Suplemento After Engov 250Ml,8.99,8.99
103,Engov After Red Hits 250Ml,8.99,8.99
104,Hidralyte 45 Água de Coco Natulab 500Ml,16.81,13.81
105,Coca-Cola 2L,8.99,8.99
106,Coca- Cola sem Açucar 2L,9.99,9.99
107,Refrigerante Antarctica Guaraná 200Ml,1.59,1.59
108,Coca-Cola Original 200Ml,2.49,2.49
109,Refrigerante de Uva Sukita Caçulinha Garrafa 237Ml,1.59,1.59
110,Fanta Mistério Blue 350Ml,4.49,4.49
111,Refrigerante Guaraná Antarctica 2L,7.99,7.99
