,Produto,Preço Base,Preço Final
0,Álcool Líquido 70º Inpm Tupi 1L,7.99,7.99
1,Água Sanitária Qboa 1L,3.99,3.99
2,Limpador Uau Multiuso Lavanda 500Ml,3.99,3.99
3,Limpador Amable Casa e Perfume 1L,6.99,6.99
4,Desinfetante Pinho Trop Pinho e Menta 500Ml,3.59,3.59
5,Álcool Farmax 70% 50Ml,2.99,2.99
6,Álcool Absoluto Antares 50Ml,4.49,4.49
7,Álcool Sanitall 1L 70 Inpm,8.99,8.99
8,Floral Ansiedade - Vitta Florais 30Ml,29.99,29.99
9,Detergente Ypê Clear 500Ml,2.49,2.49
10,Detergente Ypê Neutro 500Ml,2.49,2.49
11,Detergente Líquido Neutro Limpol 500Ml,2.49,2.49
12,Detergente Líquido Maçã Ypê 500Ml,2.49,2.49
13,Sbp Multi Inseticida Aerossol Leve+ Pague- 450Ml,16.49,16.49
14,Inseticida Kelldrin Sc25 Embalagem 30Ml,6.99,6.99
15,Repelente Elétrico Raid Pastilha Oferta Refil 12Un,5.99,5.99
16,"Repelente Raid Elétrico Liquido 1 Aparelho + 1 Refil 32,9Ml",19.99,19.99
17,1Un Lava Roupa Omo Lavagem Perfeita 1.6Kg Grátis 150G.,22.99,22.99
18,Amaciante Downy Brisa do Verão 500Ml,9.99,9.99
19,Lava Roupas e Amaciante Vida Macial 2X1l,22.99,22.99
20,Amaciante para Roupinhas de Bebê Vida Macia Amêndoas Embalagem 1Lt,8.49,8.49
21,Amaciante para Roupinhas de Bebê Vida Macia Camomila Embalagem 1L,8.49,8.49
22,Amaciante Concentrado Downy Frescor da Primavera Embalagem 500Ml,9.99,9.99
23,Sabão Líquido Vida Macia Bebê Casa Km 1L,16.99,16.99
24,Amaciante Downy Água Fresca 500Ml,9.99,9.99
25,Esponja para Louça Scotch Brite Limpeza Pesada Leve4 Pague3,7.99,7.99
26,Esponja Não Risca Laranja Scotch-Brite com 3Un,7.99,7.99
27,Esponja para Limpeza de Banheiro Scotch-Brite - 3 Unidades,7.99,7.99
28,Esponja Multiuso Tinindo Embalagem Un,1.99,1.99
29,Luvas de Vinil P sem Pó Di Bella 100Un,35.99,35.99
30,Luva de Látex para Procedimentos com Pó Tamanho G Nobre 100Un,35.99,35.99
31,Adoçante Sacarina Zero Cal 100Ml,6.49,6.49
32,Adoçante Sacarina Zero Cal 200Ml,9.99,9.99
33,Adoçante Stevia Líquido Adocyl 80Ml,7.99,7.99
34,Adoçante Líquido Linea 2 X 75Ml + Grátis 25Ml Embalagem 3 Unidades,22.49,22.49
35,Adoçante Stévia Zero Cal 80Ml,13.99,13.99
36,Adoçante Sucralose Adocyl 80Ml,7.69,7.69
37,Pipoca de Microondas Temperada com Toque de Chef Yoki 100G,3.99,3.99
38,Pipoca de Microondas Popcorn Manteiga de Cinema Yoki 100G,3.99,3.99
39,Pipoca de Microondas Yoki Popcorn Manteiga 100G,3.99,3.99
40,Pipoca de Micro-Ondas Sabor Bacon Yoki 100G,3.99,3.99
41,Macarrão Instantâneo Galinha Caipira Nissin Lámen 85G,2.69,2.69
42,Macarrão Instantâneo Nissin Turma da Mônica Tomate Suave 85G,2.69,2.69
43,Macarrão Instantâneo Nissin Turma da Mônica Galinha Suave 85G,2.69,2.69
44,Macarrão Instantâneo Nissin Lámen Carne 85G,2.69,2.69
45,Macarrão Instantâneo de Costela Cup Noodles 68G,4.89,4.89
