,Produto,Preço Base,Preço Final
0,Água Sanitária Suprema 5L,12.98,12.98
1,Água Sanitária Super Globo Embalagem 5 Litros,14.98,14.98
2,Álcool Mega 70° 1Lt,9.59,9.59
3,Água Sanitária Start Tuff Embalagem 5L,13.98,13.98
4,Álcool Líquido 70º Inpm Flop's 1L,9.29,9.29
5,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",6.29,6.29
6,Desinfetante Marina Lavanda 2L,5.29,5.29
7,Limpador Multiuso Veja 10% Desconto 500Ml,4.89,4.89
8,Limpador Cif Cremoso Original Oferta Embalagem 500Ml,11.59,11.59
9,Álcool Líquido 70% Start 1L,11.59,11.59
10,Água Sanitária Santa Clara Embalagem 1 Litro,3.59,3.59
11,Água Sanitária Santa Clara 5L,13.29,13.29
12,Água Sanitária Suprema 2L,5.89,5.89
13,"Álcool Start 46,2º Embalagem 1L",11.59,11.59
14,Desinfetante Vorel Lavanda Start 2L,5.59,5.59
15,Água Sanitária Marina Embalagem 1L,2.98,2.98
16,Sapólio Radium Cremoso Cloro 300Ml,9.98,9.98
17,Lustra Móveis Destac Lavanda 200Ml,8.59,8.59
18,Limpador Veja Perfumes Flores do Mediterrâneo 30% Grátis 500Ml,4.98,4.98
19,Desinfetante Casa Km Casa & Perfume Passione Embalagem 1L,8.98,8.98
20,Limpador Cremoso Cif Original 250Ml,9.98,9.98
21,Pedra Sanitária Sampa Clean 25G,2.49,2.49
22,Desinfetante Batuta Oceano Ação Limpa Pisos Elimina Germes e Bactérias Embalagem 2L,7.98,7.98
23,Limpador Multiuso Cif Cremoso Original Oferta 450Ml,11.59,11.59
24,Água Sanitária Start Tuff 2L,6.29,6.29
25,Limpador Uau Cloro Ativo 2 Unidades de 500Ml Cada + Grátis Multiuso Lavanda 500Ml,17.98,17.98
26,Água Sanitária Ypê 2L,7.98,7.98
27,Água Sanitária Super Globo Embalagem 2 Litros,6.98,6.98
28,Desinfetante Batuta Lavanda Embalagem 2L,7.98,7.98
29,Desengordurante Uau Squeeze 500Ml,7.59,7.59
30,Limpador Cremoso Cif Original 450Ml,11.59,11.59
31,Soda Cáustica Escorpião 1Kg,34.98,34.98
32,Limpador Multiuso Uau Rosas Sedução 500Ml,4.59,4.59
33,Soda Cáustica Yara 950G,13.98,13.98
34,Limpadores Ypê Multi Uso Clássico 500Ml,4.98,4.98
35,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,4.59,4.59
36,Limpador Casa e Perfume Sensualidad 1L,8.98,8.98
37,"Limpador Perfumado Perfumes Flores Vermelhas e Sedução Uau Inglesa Leve 2L Pague 1,6L)",11.98,11.98
38,Limpador Uau Multiuso com Cloro Ativo Embalagem 500Ml,8.79,8.79
39,Limpador Agradable Casa e Perfume 1L,8.98,8.98
40,Detergente em Pó Casa e Roupa Urca 800G,4.98,4.98
41,Limpador Uau Perfumes Flores Vermelhas Embalagem 1 Litro,6.98,6.98
42,Limpador Uau Multiuso Lavanda 500Ml,4.59,4.59
43,Desentupidor de Piá Diabo Verde Embalagem 300G,17.98,17.98
44,Cera Líquida Special Taco/Madeiras Ingleza Maxx 750Ml,13.98,13.98
45,Limpa Piso Uau Laminado 750Ml,9.98,9.98
46,Limpador Multiuso Ação Clareadora Uau 500Ml,4.59,4.59
47,Cera Líquida Poliflor Pratic Incolor Oferta 750Ml,12.98,12.98
48,Bry Lustra Móveis de Lavanda Ingleza 200Ml,7.59,7.59
49,Limpador Multiuso Uau Cloro Ativo 500Ml,8.79,8.79
50,Limpador Diluível Ajax Fresh Limão 500Ml,8.98,8.98
