,Produto,Preço Base,Preço Final
0,Álcool 70% Asseptgel Start Embalagem 500Ml,6.29,6.29
1,Água Sanitária Suprema 5L,12.98,12.98
2,Água Sanitária Super Globo Embalagem 5 Litros,14.98,14.98
3,Álcool Mega 70° 1Lt,9.59,9.59
4,Água Sanitária Start Tuff Embalagem 5L,13.98,13.98
5,Álcool Líquido 70 Araucaria 1L,10.59,10.59
6,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",6.29,6.29
7,"Álcool Líquido Araucaria Uso Geral 46,2 Embalagem 1L",8.89,8.89
8,Desinfetante Marina Lavanda 2L,5.29,5.29
9,Água Sanitária Marina Embalagem 2L,5.19,5.19
10,Limpador Cif Cremoso Original Oferta Embalagem 500Ml,11.59,11.59
11,Água Sanitária Suprema 2L,5.89,5.89
12,Limpador Veja Perfumes Lavanda Oferta 500Ml,4.99,4.99
13,Desinfetante Vorel Lavanda Start 2L,5.59,5.59
14,Limpador Veja Perfumes Flores do Mediterrâneo 30% Grátis 500Ml,4.98,4.98
15,Álcool Líquido 70º Everest Embalagem 1L,9.98,9.98
16,Pedra Sanitária Sampa Clean 25G,2.49,2.49
17,Álcool Liquido Start 70% 5L,46.98,46.98
18,Desinfetante Batuta Oceano Ação Limpa Pisos Elimina Germes e Bactérias Embalagem 2L,7.98,7.98
19,Limpador Multiuso Cif Cremoso Original Oferta 450Ml,11.59,11.59
20,Água Sanitária Start Tuff 2L,6.29,6.29
21,Limpador Uau Cloro Ativo 2 Unidades de 500Ml Cada + Grátis Multiuso Lavanda 500Ml,17.98,17.98
22,Água Sanitária Ypê 2L,7.98,7.98
23,Kit Limpeza 2 Cloros de 500Ml + 1 Limpador Multiuso 500Ml Super Globo,9.98,9.98
24,Limpa Vidros Azulim Embalagem 500Ml,4.99,4.99
25,Água Sanitária Super Globo Embalagem 2 Litros,6.98,6.98
26,Desengordurante Uau Squeeze 500Ml,7.59,7.59
27,Limpador Cremoso Cif Original 450Ml,11.59,11.59
28,Soda Cáustica Escorpião 1Kg,34.98,34.98
29,Limp Alumínio Mix Embalagem 500Ml,2.98,2.98
30,Limpador Multiuso Uau Rosas Sedução 500Ml,4.59,4.59
31,Saponáceo Cremoso Multiuso Limão Bom Bril Sapólio Radium 250Ml,9.98,9.98
32,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,4.59,4.59
33,Limpador Perfumado Veja Lavanda 1L,9.98,9.98
34,"Limpador Perfumado Perfumes Flores Vermelhas e Sedução Uau Inglesa Leve 2L Pague 1,6L)",11.98,11.98
35,Limpador Agradable Casa e Perfume 1L,8.98,8.98
36,Lustra Móveis Poliflor Lavanda 200Ml,12.98,12.98
37,Detergente em Pó Casa e Roupa Urca 800G,4.98,4.98
38,Cloro Gel Vim Lavanda 700Ml,13.98,13.98
39,Limpador Uau Perfumes Flores Vermelhas Embalagem 1 Litro,6.98,6.98
