,Produto,Preço Base,Preço Final
0,"Álcool Araucaria 92,8 Inpm Embalagem 500Ml",4.98,4.98
1,Água Sanitária Suprema 5L,12.98,12.98
2,Água Sanitária Super Globo Embalagem 5 Litros,14.98,14.98
3,Água Sanitária Start Tuff Embalagem 5L,13.98,13.98
4,Álcool Líquido 70 Araucaria 1L,10.59,10.59
5,Álcool Líquido 70º Inpm Flop's 1L,9.29,9.29
6,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",6.29,6.29
7,Desinfetante Marina Lavanda 2L,5.29,5.29
8,Limpador Multiuso Veja 10% Desconto 500Ml,4.89,4.89
9,Água Sanitária Santa Clara Embalagem 2 Litros,5.98,5.98
10,Água Sanitária Santa Clara Embalagem 1 Litro,3.59,3.59
11,Água Sanitária Santa Clara 5L,13.29,13.29
12,Água Sanitária Suprema 2L,5.89,5.89
13,Limpador Veja Perfumes Lavanda Oferta 500Ml,4.99,4.99
14,Desinfetante Vorel Lavanda Start 2L,5.59,5.59
15,Água Sanitária Marina Embalagem 1L,2.98,2.98
16,Limpa Box Uau Blindex 200Ml,11.98,11.98
17,Limpador Veja Perfumes Flores do Mediterrâneo 30% Grátis 500Ml,4.98,4.98
18,Desinfetante Marina Talco Embalagem 2 Litros,5.29,5.29
19,Álcool Liquido Start 70% 5L,46.98,46.98
20,Limpador Multiuso Gold Original Veja 500Ml,4.89,4.89
21,Desinfetante Batuta Oceano Ação Limpa Pisos Elimina Germes e Bactérias Embalagem 2L,7.98,7.98
22,Água Sanitária Start Tuff 2L,6.29,5.48
23,Limpador Uau Cloro Ativo 2 Unidades de 500Ml Cada + Grátis Multiuso Lavanda 500Ml,17.98,17.98
24,"Álcool Líquido Araucária 46,2º Embalagem 500Ml",4.98,4.98
25,Desinfetante Batuta Lavanda Embalagem 2L,7.98,7.98
26,Pedra Sanitária Inspira Lavanda 1Un,2.98,2.98
27,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.79,2.79
28,Desengordurante Uau Squeeze 500Ml,7.59,7.59
29,Limpador Multiuso Uau Rosas Sedução 500Ml,4.59,4.59
30,Limpador Perfumado Veja Lavanda 1L,9.98,9.98
31,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,4.59,4.59
32,"Limpador Perfumado Perfumes Flores Vermelhas e Sedução Uau Inglesa Leve 2L Pague 1,6L)",11.98,11.98
33,Limpador Agradable Casa e Perfume 1L,8.98,8.98
34,Limpador Uau Multiuso com Cloro Ativo Embalagem 500Ml,8.79,8.79
35,Sapólio Radium Cremoso Original 250Ml,8.98,8.98
36,Lustra Móveis Poliflor Lavanda 200Ml,12.98,12.98
37,Detergente em Pó Casa e Roupa Urca 800G,4.98,4.98
38,Limpador Uau Perfumes Flores Vermelhas Embalagem 1 Litro,6.98,6.98
39,Limpador Uau Multiuso Lavanda 500Ml,4.59,4.59
40,Limpa Piso Uau Laminado 750Ml,9.98,9.98
41,Limpador Multiuso Ação Clareadora Uau 500Ml,4.59,4.59
42,Bry Lustra Móveis de Lavanda Ingleza 200Ml,7.59,7.59
43,Limpador Multiuso Uau Cloro Ativo 500Ml,8.79,8.79
44,Desinfetante Suprema Lavanda Bouquet Embalagem 2 Litros,5.98,5.98
45,Limpador Uau Perfumes Lavanda e Conforto Embalagem L1p800ml,6.98,6.98
46,Multiuso Limpa e Desinfecta Ação Bactericida Azulim 550Ml,3.59,3.59
47,Kit Econômico Azulim Multiuso 4X1,13.98,13.98
48,Kit Limpador Uau Desengordurante Cozinha Limão 500Ml 2Un,12.98,12.98
49,Desinfetante Vorel Citrus Embalagem 2L,5.59,5.59
50,Cera Líquida Incolor Brilho Fácil 750Ml,12.98,12.98
51,Sapólio Radium Pó Clássico,6.29,6.29
52,Limpa Alumínio Polylar Limão 500Ml,3.19,3.19
53,Desinfetante Flores do Campo Suprema 2L,5.98,5.98
54,Limpador Multiuso Azulim Original Azul 500Ml,3.59,3.59
55,Lustra Móveis Lavanda Preço Especial Poliflor 500Ml,17.59,17.59
56,Lustra Móveis Poliflor Lavanda 500Ml,17.59,17.59
57,Limpa Forno Diabo Verde Embalagem 250G,12.98,12.98
58,Limpador Sensualidad Casa e Perfume 500Ml,5.29,5.29
59,Limpa Pisos Uau Eliminador de Odores Embalagem 750Ml,9.98,9.98
60,Azulim Limpa Piso de Cerâmica e Azulejos Start Embalagem 2L,14.98,14.98
61,Limpa Forno Uau 450Ml,17.98,17.98
62,Limpador Azulim Azulejo Citrus Embalagem 1L,7.98,7.98
63,Desinfetante Suprema Oceanic Embalagem 2 Litros,5.98,5.98
64,Limpador Uau Multiuso Flores e Folhas 500Ml,4.59,4.59
65,Desinfetante Sanitário Inspira Lavanda 500Ml,13.98,13.98
66,Limpador Multiuso Veja Floral Oferta 500Ml,4.89,4.89
67,Bloco Sanitario Azulim Lavanda 50G,9.59,9.59
68,Limpador Azulim Lavanda Embalagem 1L,7.98,7.98
69,Cera Líquida Ingleza Maxx Incolor 750Ml,13.98,13.98
70,Lustra Móvel Poliflor Lavanda 200Ml,12.98,12.98
71,Sapólio Radium Cremoso Clássico Multiuso Bombril 250Ml,8.98,8.98
72,Limpador Amable Casa e Perfume 1L,8.98,8.98
73,Desinfetante Pinho Sol Original 500Ml,6.58,6.58
74,Limpa Piso Uau Cerâmicas 750Ml,9.98,9.98
75,Limpador Uau Requinte 500Ml,4.49,4.49
76,Desinfetante Lavanda Pinho Sol 500Ml,6.58,6.58
77,Limpa Piso Uau Rosas e Sedução 750Ml,9.98,9.98
78,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,4.89,4.89
79,Limpador Multiuso Veja Floral 500Ml,4.89,4.89
80,Limpa Pisos Uau Ação Clareadora Embalagem 750Ml,9.98,9.98
81,Pedra Sanitária Azulim Lavanda 25G,2.59,2.59
82,Limpador Multiuso com Álcool Brilho Instantâneo Uau Frasco 500Ml,4.59,4.59
83,Pedra Sanitária Santa Clara Lavanda Unidade 25G,2.39,2.39
84,Água Sanitária Superglobo Embalagem 1L,3.98,3.98
85,Pulverizador Tropical Guarany Spray 500Ml,9.98,9.98
86,Soda Cáustica Indaia Pote 1Kg,22.98,22.98
87,Desinfetante Bruto Suave Odor Lysoform 500Ml,5.98,5.98
88,Desinfetante Batuta Floral Embalagem 2L,7.98,7.98
