,Produto,Preço Base,Preço Final
0,Álcool 70% Asseptgel Start Embalagem 500Ml,6.29,6.29
1,Água Sanitária Suprema 5L,12.98,12.98
2,Álcool Mega 70° 1Lt,9.59,9.59
3,Kit Banheiro Azulim 500Ml,11.98,11.98
4,"Álcool Líquido Araucaria Uso Geral 46,2 Embalagem 1L",8.89,8.89
5,Desinfetante Marina Lavanda 2L,5.29,5.29
6,Água Sanitária Marina Embalagem 2L,5.19,5.19
7,Limpador Multiuso Veja 10% Desconto 500Ml,4.89,4.89
8,Água Sanitária Santa Clara Embalagem 1 Litro,3.59,3.59
9,Água Sanitária Suprema 2L,5.89,5.89
10,Limpador Veja Perfumes Lavanda Oferta 500Ml,4.99,4.99
11,Lustra Móveis Uau Perfumado Rosas e Sedução 200Ml,6.59,6.59
12,Água Sanitária Marina Embalagem 1L,2.98,2.98
13,Lustra Móveis Destac Lavanda 200Ml,8.59,8.59
14,Limpador Veja Perfumes Flores do Mediterrâneo 30% Grátis 500Ml,4.98,4.98
15,Desinfetante Casa Km Casa & Perfume Passione Embalagem 1L,8.98,8.98
16,Limpador Cremoso Cif Original 250Ml,9.98,9.98
17,Álcool Líquido 70º Everest Embalagem 1L,9.98,9.98
18,Pedra Sanitária Sampa Clean 25G,2.49,2.49
19,Limpador Multiuso Gold Original Veja 500Ml,4.89,4.89
20,Desinfetante Batuta Oceano Ação Limpa Pisos Elimina Germes e Bactérias Embalagem 2L,7.98,7.98
21,Água Sanitária Start Tuff 2L,6.29,6.29
22,Limpador Uau Cloro Ativo 2 Unidades de 500Ml Cada + Grátis Multiuso Lavanda 500Ml,17.98,17.98
23,Limpa Vidros Azulim Embalagem 500Ml,4.99,4.99
24,Desinfetante Batuta Lavanda Embalagem 2L,7.98,7.98
25,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.79,2.79
26,Desengordurante Uau Squeeze 500Ml,7.59,7.59
27,Soda Cáustica Escorpião 1Kg,34.98,34.98
28,Limpador Multiuso Uau Rosas Sedução 500Ml,4.59,4.59
29,Soda Cáustica Yara 950G,13.98,13.98
30,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,4.59,4.59
31,Limpador Casa e Perfume Sensualidad 1L,8.98,8.98
32,"Limpador Perfumado Perfumes Flores Vermelhas e Sedução Uau Inglesa Leve 2L Pague 1,6L)",11.98,11.98
33,"Água Sanitária Ypê Leve 2L Pague 1,8L Grátis 200Ml",8.98,8.98
34,Limpador Uau Multiuso com Cloro Ativo Embalagem 500Ml,8.79,8.79
35,Lustra Móveis Poliflor Lavanda 200Ml,12.98,12.98
36,Detergente em Pó Casa e Roupa Urca 800G,4.98,4.98
37,Limpador Uau Perfumes Flores Vermelhas Embalagem 1 Litro,6.98,6.98
38,Limpador Uau Multiuso Lavanda 500Ml,4.59,4.59
39,Cera Líquida Special Taco/Madeiras Ingleza Maxx 750Ml,13.98,13.98
