,Produto,Preço Base,Preço Final
0,LINGUIÇA PIF PAF CALABRESA FINA 240G,9.89,9.89
1,LINGUIÇA TROPEIRA PAIO 400G,13.59,13.59
2,LINGUIÇA SUINCO PERNIL DE BACON 600G,18.59,18.59
3,PERTENCE PARA FEIJOADA SAUDALI 1KG,17.9,17.9
4,LINGUIÇA RIVELLI FGO PACOTE 1KG,17.9,17.9
5,BACON SUINCO 500G FATIADO,30.69,30.69
6,LINGUIÇA TROPEIRA CALABRESA 400G,14.29,14.29
7,LINGUIÇA PIF PAF FRANGO 1KG,25.19,25.19
8,LINGUIÇA SAUDALI PERNIL BACON 1KG,22.9,22.9
9,BACON SAUDALI 350G FATIADO,15.9,15.9
10,LINGUIÇA SAUDALI PERNIL 1KG ALHO,22.9,22.9
11,LINGUIÇA SUINCO PERNIL DE ALHO 600G,18.59,18.59
12,LINGUIÇA SADIA MISTA FINA 240G,10.55,10.55
13,LINGUIÇA PERDIGAO SUINA DEF.240G,9.89,9.89
14,"COXA COM SOBRECOXA FRANGO PACOTE 1,400KG",13.82,13.82
15,LINGUIÇA PI PAF TIPO CALABRESA 500G,18.59,18.59
16,FILE DE PEITO FRANGO RESFRIADO 1KG,20.87,20.87
17,LINGUIÇA SAUDALI PERNIL 1KG,22.9,22.9
18,LINGUIÇA SAUDALI PETISCO 400G,9.99,9.99
19,LINGUIÇA PIF PAF SUINA CHURRASCO 1KG,17.58,17.58
20,LINGUIÇA SADIA CALABRESA PACOTE 500G,20.79,20.79
21,BACON AURORA FATIADO 250G,15.39,15.39
22,LINGUIÇA SAUDALI PERNIL ERVAS FINAS 1KG,22.9,22.9
23,COXÃO DURO ANGUS 600G,32.93,32.93
24,LINGUIÇA SAUDALI PERNIL PIMENTA 1KG,22.9,22.9
25,COSTELA BOVINA 1KG,28.58,28.58
26,BACON TROPEIRA CUBO 1KG,40.59,40.59
27,ASA DE FRANGO A GRANEL 1KG,15.38,15.38
28,ACÉM 600G,20.45,20.45
29,CHÃ DE DENTRO 600G,25.67,25.67
30,COPALOMBO SUINO 1KG,17.57,17.57
31,COXINHA ASA FRANGO RESFRIADO GRANEL 1KG,19.58,19.58
32,"PESCOÇO PERU PERDIGÃO 1,5KG",19.69,19.69
33,LINGUIÇA PERDIGAO TOSCANA ENROLADA 500G,21.89,21.89
34,INGREDIENTES PARA FEIJOADA PERDIGAO 880G,21.9,21.9
35,COXA DE FRANGO GRANEL 1KG,12.09,12.09
36,LINGUIÇA SUINCO PETISCO 500G,18.59,18.59
