,Produto,Preço Base,Preço Final
0,Adoçante Líquido Gold Aspartame Embalagem 65Ml,9.2,9.2
1,Açúcar Orgânico Demerara Native 1Kg,12.5,12.5
2,Açúcar Demerara Orgânico Itajá 1Kg,14.0,14.0
3,Adoçante com Stevia Magro 80Ml,8.5,8.5
4,Adoçante Sacarina Zero Cal 100Ml,6.9,6.9
5,Adoçante Sacarina Zero Cal 200Ml,11.9,11.9
6,Adoçante de Sucralose Zero Cal 100Ml,11.9,11.9
7,"Adoçante em Pó Stevita Sachê 50 Un - 0,6G Cada",10.5,10.5
8,Açúcar Mascavo,14.0,14.0
9,Eritritol,79.9,79.9
10,Adoçante Líquido Sucralose Linea 75Ml,12.5,12.5
11,Adoçante Linea Xilitol Embalagem 300G,51.5,51.5
12,Adoçante Stévia Zero Cal 80Ml,11.9,11.9
13,Adoçante Culinária com Stevia Lowçucar 400G,29.9,29.9
14,Adoçante Plus com Stevia Líquido Lowçucar 80Ml,19.65,19.65
15,Adoçante Stevita 30Ml,12.9,12.9
16,Adoçante Líquido Assugrin Embalagem 100Ml,6.9,6.9
17,Adoçante Dietético Líquido Magro 100Ml,5.9,5.9
18,Adoçante Lowçucar Sóstevia Líquido 80Ml,23.7,23.7
19,Adoçante Dietético Líquido Assugrin 200Ml,10.9,10.9
20,Adoçante Natural Zero Cal 65Ml,20.9,20.9
21,Adoçante Plus Tradicional Líquido Lowçucar 100Ml,4.5,4.5
22,Adoçante Culinário em Pó Forno e Fogão sem Lactose Linea 120G,27.9,27.9
23,Adoçante Magro Tradicional Líquido 200Ml,9.9,9.9
24,Magrins Adocante Liquido Xilitol 65Ml,17.9,17.9
25,Adocante Stevita Culinaria 400G,29.9,29.9
26,Adoçante Suquinha Dietetico Embalagem 100G,32.25,32.25
27,Adoçante Eritritol Linea 300G,52.7,52.7
28,Adoçante em Pó Tal e Qual Culinário Diet 500G,59.9,59.9
29,Adoçante Forno e Fogão Tanto Quanto Lowçucar 95G,20.9,20.9
30,Adoçante em Pó Sweet Natural Linea 30G com 50 Sachês de 600Mg,15.9,15.9
31,Adoc Docurinha Pouch 125G,24.9,24.9
32,Calda de Agave Orgânico Jasmine 330G,37.5,37.5
33,Adoçante Líquido Finn Sucralose Embalagem 65Ml,11.9,11.9
34,Adoçante Usemetade Forno e Fogão Embalagem 500G,26.9,26.9
35,Acucar Magro Light 500G,12.5,12.5
36,Adoçante Líquido Xilitol e Sucralose Linea 60Ml,19.9,19.9
