,Produto,Preço Base,Preço Final
0,Açúcar Mascavo,14.0,14.0
1,Eritritol,79.9,79.9
2,Adoçante Xilitol Kg,79.9,79.9
3,Frutose Lowcucar Caixa 200G,22.5,22.5
4,Açúcar de Coco,70.0,70.0
5,Adoçante Lowçucar Frutose Diet 500Gr,39.9,39.9
6,Açúcar Demerara,12.0,12.0
7,Arroz 12 Grãos Tradição Nobres Cereais Grings 500G,16.0,16.0
8,Tapioca Be Nature 500G,7.9,7.9
9,Farinha Amêndoa,76.0,76.0
10,Polvilho Azedo,16.0,16.0
11,Polvilho Doce,13.0,13.0
12,Couscous Divella 500G,32.5,32.5
13,Farinha Flocão de Milho Pachá 500G,3.9,3.9
14,Farinha de Arroz Urbano Mix Zero Glúten 1Kg,16.9,16.9
15,Farinha sem Gluten Aminna 500G,12.5,12.5
16,Farinha Beladri Especial sem Glúten 1Kg,29.6,29.6
17,Farinha de Coco Branca,40.0,40.0
18,Farinha Integral S/ Glúten Aminna 500G,13.5,13.5
19,Farinha de Arroz Urbano 1Kg,12.9,12.9
20,Farinha de Castanha de Cajú Oner sem Glúten 130G,13.9,13.9
21,Farinha de Amendoim,40.0,40.0
22,Farinha Multiuso sem Glúten Schär 500G,19.9,19.9
23,Farinha Linhaça Dourada Kg,25.0,25.0
24,Farinha Panko Kg,35.0,35.0
25,Farinha de Arroz Integral Urbano Embalagem 1Kg,16.9,16.9
26,Farinha de Coco Copra sem Glúten Embalagem 400G,15.4,15.4
27,Farinha Arroz Kg,12.0,12.0
28,Farinha de Ameixa,125.0,125.0
29,Farinha de Milho Kg,8.5,8.5
30,Farinha de Coco Santo Óleo Marrom 200G,8.1,8.1
31,Farinha de Maçã Peruana Grings Embalagem 100G,29.9,29.9
32,Farinha de Aveia sem Glúten Monama 220G,12.9,12.9
33,Farinha de Coco Santo Coco Embalagem 200G,9.75,9.75
34,Farinha de Banana Verde,35.0,35.0
35,Extrato de Soja Kg,17.0,17.0
36,Farinha de Amêndoas Oner 130G,22.5,22.5
37,Farelo Aveia Fino Kg,14.9,14.9
38,Farinha de Açaí,154.0,154.0
39,Farinha Berinjela Alibec Kg,35.0,35.0
40,Farinha Uva,35.0,35.0
41,Farinha Batata Doce Kg,35.0,35.0
42,Farinha Banana Verde Kg,31.5,31.5
43,Farinha Maca Peruana Kg,79.9,79.9
44,Farinha Chia Kg,20.0,20.0
45,Farinha de Castanha do Pará Oner 130G,14.9,14.9
46,Fibra de Laranja Kg,45.0,45.0
47,Farinha Quinua Kg,40.0,40.0
48,Farinha Grao de Bico Kg,26.0,26.0
49,Aveia Grossa,13.7,13.7
50,Chia Vida Saudável 100G,5.5,5.5
51,Óleo de Coco Copra Extra Virgem Sachê 15Ml,2.5,2.5
52,Óleo de Coco Coco Show sem Sabor 500Ml,34.9,34.9
53,Óleo de Coco sem Sabor Copra 200Ml,21.9,21.9
54,Óleo de Coco sem Sabor Copra 500Ml,39.9,39.9
55,Coco Show Óleo de Coco sem Sabor 200Ml,17.9,17.9
56,Óleo de Abacate 250Ml Pazze,49.9,49.9
57,Óleo de Coco Extra Virgem Copra 200Ml,29.9,29.9
58,Oleo de Coco Ext Virgem 200Ml Coco Show Copra,21.5,21.5
59,Óleo de Coco Santo Óleo Extra Virgem Extraído da Película 500Ml Vidro,36.95,36.95
60,Oleo de Coco Ext Virg 500Ml Coco Show Copra,29.9,29.9
61,Óleo Misto Pazze Girassol 250Ml,36.5,36.5
62,Óleo Linhaça Dourado Ev Pazze 250Ml,29.9,29.9
63,Óleo de Coco sem Sabor Pouch Copra 100Ml,8.4,8.4
64,Óleo de Gergelim Pazze Embalagem 250Ml,37.0,37.0
65,Óleo de Coco Na Palma Extravirgem sem Sabor 500Ml,33.9,33.9
66,Óleo de Coco Na Palma Extravirgem sem Sabor 200Ml,19.79,19.79
67,Óleo de Pequi Dhorta 150Ml,11.2,11.2
