,Produto,Preço Base,Preço Final
0,Água Sanitária Super Globo Embalagem 5 Litros,15.99,15.99
1,Kit Limpeza 2 Cloros de 500Ml + 1 Limpador Multiuso 500Ml Super Globo,10.99,10.99
2,"Álcool Líquido Araucaria Uso Geral 46,2 Embalagem 1L",8.99,8.99
3,Álcool Etílico Hidratado 70º Inpm Uzu 1L,10.98,10.98
4,Limpador Multiuso Veja 10% Desconto 500Ml,5.29,5.29
5,Água Sanitária Marina Embalagem 2L,6.35,6.35
6,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",6.99,6.99
7,Desinfetante Marina Lavanda 2L,8.05,8.05
8,Álcool 70% Asseptgel Start Embalagem 500Ml,5.69,5.69
9,Água Sanitária Santa Clara 5L,14.99,14.99
10,Água Sanitária Santa Clara Embalagem 2 Litros,7.3,5.28
11,Kit Banheiro Azulim 500Ml,8.98,8.98
12,Álcool Líquido 70% Start 1L,13.77,13.77
13,Água Sanitária Santa Clara Embalagem 1 Litro,4.23,4.23
14,"Álcool Líquido Araucária 46,2º Embalagem 500Ml",4.99,4.99
15,Sapólio Cremoso Radium Lavanda 250Ml,9.79,9.79
16,Kit Limpador Multiuso Azulim 550Ml 3Un,8.47,8.47
17,Desinfetante Marina Talco Embalagem 2 Litros,8.05,8.05
18,Água Sanitária Marina 5 Litros,14.89,14.89
19,Tira Limo Azulim Embalagem 500Ml,5.82,4.23
20,Kit Econômico Azulim Multiuso 4X1,12.98,12.98
21,Querosene Jacaré Lata 900Ml,23.99,23.99
22,Soda Cáustica Escorpião 1Kg,36.99,36.99
23,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,4.65,4.65
24,Limpador Multiuso Uau Rosas Sedução 500Ml,4.65,4.65
25,Limpador Desengordurante Cozinha Limão Veja 500Ml 20% de Desconto,14.83,14.83
26,Cloro Super Cloro Classic Extra Forte 1 Litro,4.76,4.76
27,Limpador Multiuso Cif 500Ml Leve 3 Pague até 50% 3ºunidade Multiuso+Antibac,10.99,10.99
28,Limpador Uau Cloro Ativo 2 Unidades de 500Ml Cada + Grátis Multiuso Lavanda 500Ml,16.95,16.95
29,Limpa Vidros Azulim Embalagem 500Ml,4.99,4.99
30,Saponáceo Cremoso Multiuso Limão Bom Bril Sapólio Radium 250Ml,9.99,9.99
31,Limpa Box Uau Blindex 200Ml,13.77,13.77
32,Limpador Uau Requinte 500Ml,4.99,4.99
33,Pastilha Adesiva Pato Lavanda Oferta Embalagem 3Un,9.53,9.53
34,Lustra Móvel Poliflor Lavanda 200Ml,12.98,12.98
35,Super Cloro Classic Extra Forte 2L,7.99,7.99
36,Tira Limo Veja Banheiro X14 500Ml,16.95,16.95
37,Gel Adesivo Sanitário Marine Refil Pato 12G,9.99,9.99
38,Desinfetante Pinho Lavanda Super Globo 500Ml,4.76,4.76
39,Cloro Gel Vim Lavanda 700Ml,18.85,18.85
40,Limpador Uau Perfumes Flores Vermelhas Embalagem 1 Litro,8.47,6.35
41,Desinfetante Classic Capim Limão Eucalipto Embalagem 2 Litros,6.99,6.99
42,Sapólio Radium Pó Clássico,5.93,5.29
43,Limpador Uau Multiuso Flores e Folhas 500Ml,4.39,4.39
44,Desengordurante Uau Squeeze 500Ml,7.52,7.52
45,Desinfetante Marina Marine Embalagem 2 Litros,8.05,8.05
46,Limpador Uau Perfumes Cuidado e Carinho 500Ml,4.99,4.99
47,Limpador Uau Perfumes Flores Vermelhas e Sedução 500Ml,4.99,4.99
48,Limpa Piso Uau Laminado 750Ml,10.59,10.59
49,Desinfetante de Lavanda Lysoform 1L,18.0,18.0
50,Limpa Porcelanato Azulim Powder Lavanda Embalagem 750Ml,8.49,8.49
51,Limpador Limpeza Pesada Veja X-14 Grátis 20% de Desconto Frasco 500Ml,8.79,8.79
52,Sapólio Radium Po com Cloro 300G,5.93,5.29
53,Limpador Limpeza Pesada Veja 500Ml,5.99,5.99
54,Limpador Multiuso Veja Maçã Verde 500Ml,5.29,5.29
55,Soda Cáustica Yara 950G,21.89,21.89
56,Lustra Móveis Poliflor Lavanda 200Ml,13.76,13.76
57,Limpador Diluível Ajax Festa das Flores Lavanda 500Ml,5.49,5.49
58,Desentupidor de Piá Diabo Verde Embalagem 300G,20.13,20.13
59,Desengordurante Veja Limão Squeeze 500Ml,13.76,13.76
60,Limpador Multiuso Cif Gel Oferta 475G,13.24,13.24
61,Pedra Sanitária de Lavanda Azulim 25G,2.53,2.53
62,Desinfetante Santa Clara Herbal Embalagem 2 Litros,6.99,6.99
63,Limpador Multiuso Super Globo Original 500Ml,3.81,3.81
64,Limpador Multiuso Veja Lavanda e Álcool Oferta 500Ml,4.97,4.97
65,Limpador Uau Limpa Vidros Embalagem 500Ml,8.29,8.29
66,Limpador Azulim Lavanda Embalagem 1L,7.83,6.35
67,Bry Lustra Móveis de Lavanda Ingleza 200Ml,7.49,7.49
68,Desengordurante Super Globo Squeeze 500Ml,5.19,5.19
69,Limpador Multiuso Uau Cloro Ativo 500Ml,10.48,10.48
70,Limpador Perfumado Uau Requinte Embalagem 1 Litro,8.47,6.35
71,Desengordurante Azulim Limpeza Pesada Limão Embalagem 500Ml,6.03,5.29
72,Limpador Azulim Azulejo Citrus Embalagem 1L,7.39,7.39
73,Pastilha Adesiva Floral Pato 3 Unidades,9.53,9.53
74,Limpa Piso Uau Rosas e Sedução 750Ml,9.99,9.99
75,Limpador Uau Flores e Sonhos 500Ml,4.99,4.99
76,Desinfetante Pinho Trop 1L,8.29,8.29
77,Limpador Perfumado Uau Flores e Sonhos Embalagem Leve 1 Litro Pague 800Ml,8.47,6.35
78,Desinfetante Bruto Suave Odor Lysoform 500Ml,6.99,6.99
79,Limpador Diluível Ajax Fresh Limão 500Ml,9.99,9.99
80,Limpador Perfumado Uau Cuidado e Carinho Embalagem 1 Litro,8.47,6.35
81,Cera Líquida Brilhowax Incolor 750Ml,12.5,12.5
82,"Limpador Perfumado Perfumes Flores Vermelhas e Sedução Uau Inglesa Leve 2L Pague 1,6L)",13.49,13.49
83,Limpador Uau Perfumes Lavanda e Conforto Ingleza Embalagem 500Ml,4.99,4.99
84,Limpador Multiuso Ação Clareadora Uau 500Ml,4.39,4.39
85,Limpador Multiuso Veja Floral Oferta 500Ml,6.35,6.35
