,Produto,Preço Base,Preço Final
0,Cloro Super Cloro Classic Extra Forte 1 Litro,3.99,3.99
1,Água Sanitária Classic 5 Litros,10.99,10.99
2,Água Sanitária Santa Clara Embalagem 2 Litros,5.49,5.49
3,Lustra Móveis Ypê Lavanda 200Ml,5.49,5.49
4,Álcool Líquido 70% Start 1L,10.49,10.49
5,Água Sanitária Santa Clara Embalagem 1 Litro,2.99,2.99
6,Água Sanitária Santa Clara 5L,12.49,12.49
7,Água Sanitária Classic Embalagem 2 Litros,4.49,4.49
8,Desinfetante Santa Clara Lavanda Embalagem 2 Litros,6.49,6.49
9,Lustra Móveis Uau Perfumado Rosas e Sedução 200Ml,5.39,5.39
10,Desinfetante Casa Km Casa & Perfume Passione Embalagem 1L,7.99,7.99
11,Limpador Cremoso Cif Original 250Ml,7.89,7.89
12,Lustra-Móveis Lavanda Peroba 200Ml,5.99,5.99
13,Água Sanitária Classic 1Litro,2.79,2.79
14,Limpador Perfumado Casa e Perfume Sensualidad Leve 1L Pague 900Ml,6.99,6.99
15,Limpador Multiuso Gold Original Veja 500Ml,3.99,3.99
16,Desinfetante Batuta Oceano Ação Limpa Pisos Elimina Germes e Bactérias Embalagem 2L,6.99,6.99
17,Limpador Sanitário Limpeza Profunda Gel Marine Pato 750Ml,12.49,12.49
18,Água Sanitária Ypê 2L,7.99,7.99
19,Limpador Limpa Alumínio Politriz Tradicional Embalagem 500Ml,2.69,2.69
20,"Álcool Líquido Araucária 46,2º Embalagem 500Ml",4.99,4.99
21,Água Sanitária Super Globo Embalagem 2 Litros,6.49,6.49
22,Desinfetante Batuta Lavanda Embalagem 2L,6.99,6.99
23,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.49,2.49
24,Super Cloro Classic Extra Forte 2L,6.99,6.99
25,Desengordurante Uau Squeeze 500Ml,5.99,5.99
26,Limpador Cremoso Cif Original 450Ml,11.99,11.99
27,Soda Cáustica Escorpião 1Kg,23.99,23.99
28,Soda Cáustica Yara 950G,11.99,11.99
29,Pedra Sanitária Master Sortida 25G,1.99,1.99
30,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,3.39,3.39
31,Limpador Casa e Perfume Sensualidad 1L,7.99,7.99
32,Desinfetante Classic Capim Limão Eucalipto Embalagem 2 Litros,4.29,4.29
33,Gel Adesivo Sanitário Marine Refil Pato 12G,7.49,7.49
34,Limpador Uau Perfumes Flores Vermelhas Embalagem 1 Litro,4.99,4.99
35,Limpador Uau Multiuso Lavanda 500Ml,3.39,3.39
36,Querosene Jacaré Lata 900Ml,16.99,16.99
37,Limpador Multiuso Ação Clareadora Uau 500Ml,3.39,3.39
38,Limpador Desengordurante Cozinha Limão Veja 500Ml 20% de Desconto,8.99,8.99
39,Casa e Perfume Sensazine 500Ml,4.79,4.79
40,Limpador Multiuso Uau Cloro Ativo 500Ml,7.49,7.49
41,Removedor King Embalagem 1L,19.99,19.99
42,Limpador Uau Perfumes Lavanda e Conforto Embalagem L1p800ml,4.99,4.99
43,Sapólio Radium Pó Clássico,5.19,5.19
44,Limpa Alumínio Polylar Limão 500Ml,2.49,2.49
45,Pastilha Adesiva Pato Lavanda Oferta Embalagem 3Un,7.99,7.99
46,Desinfetante Classic Floral 5 Litros,12.99,12.99
47,Limpador Uau Cloro Ativo Limpeza Pesada 500Ml,5.69,5.69
48,Tira Limo Azulim Embalagem 500Ml,4.19,4.19
49,Limpador Perfumado Uau Cuidado e Carinho Embalagem 1 Litro,4.99,4.99
50,Limpa Forno Diabo Verde Embalagem 250G,9.99,9.99
51,Limpador Sensualidad Casa e Perfume 500Ml,4.79,4.79
52,Água Sanitária Ypê 1L,3.99,3.99
53,Limpa Forno Uau 450Ml,13.99,13.99
54,Limpador Azulim Azulejo Citrus Embalagem 1L,5.99,5.99
55,Brilha-Móveis Lavanda Destac Squeeze 500Ml Grátis 20% de Desconto,9.99,9.99
