,Produto,Preço Base,Preço Final
0,Água Sanitária Dragão 2L,4.19,4.19
1,Limpador Multiuso Veja 10% Desconto 500Ml,4.59,4.59
2,Desinfetante Floral Dragão 2L,3.99,3.99
3,Álcool Líquido 70% Start 1L,9.45,9.45
4,Limpador Multi Uso Clareadora Super Globo 500Ml,3.49,3.49
5,Lustra Móveis Uau Perfumado Rosas e Sedução 200Ml,6.19,6.19
6,"Álcool Start 46,2º Embalagem 1L",8.79,8.79
7,Lustra Móveis Destac Lavanda 200Ml,6.25,6.25
8,Água Sanitária Classic 1Litro,2.95,2.95
9,Limpador Multiuso Gold Original Veja 500Ml,4.59,4.59
10,Desinfetante Batuta Lavanda Embalagem 2L,7.98,7.98
11,Limpador Agradable Casa e Perfume 1L,8.19,8.19
12,Limpador Uau Perfumes Flores Vermelhas Embalagem 1 Litro,5.95,5.95
13,Limpador Uau Multiuso Lavanda 500Ml,3.98,3.98
14,Limpa Piso Uau Laminado 750Ml,8.45,8.45
15,Limpador Multiuso Ação Clareadora Uau 500Ml,3.98,3.98
16,Limpador Uau Perfumes Lavanda e Conforto Embalagem L1p800ml,5.95,5.95
17,Pastilha Adesiva Pato Lavanda Oferta Embalagem 3Un,6.95,6.95
18,Sapólio Radium Po com Cloro 300G,5.15,5.15
19,Tira Limo Azulim Embalagem 500Ml,3.98,3.98
20,Desengordurante Azulim Limpeza Pesada Limão Embalagem 500Ml,5.65,5.65
21,Limpador Sanitário Gel Marine Pato 500Ml,6.98,6.98
22,Limpador Perfumado Uau Cuidado e Carinho Embalagem 1 Litro,5.95,5.95
23,Desinfetante de Lavanda Lysoform 1L,10.35,10.35
24,Limpador Sensualidad Casa e Perfume 500Ml,4.69,4.69
25,Água Sanitária Ypê 1L,4.39,4.39
26,Tira Limo Veja X14 Cloro Ativo Squeeze Oferta 500Ml,11.19,11.19
27,Limpador Multiuso Ypê Tira Manchas 500Ml,4.48,4.48
28,Limpador Agradable Casa e Perfume 500Ml,4.79,4.79
29,Limpador Azulim Lavanda Embalagem 1L,6.39,6.39
30,Sapólio Radium Cremoso Clássico Multiuso Bombril 250Ml,6.49,6.49
31,Lustra Móvel Poliflor Lavanda 200Ml,7.98,7.98
32,Limpador Uau Requinte 500Ml,3.98,3.98
33,Limpa Piso Uau Cerâmicas 750Ml,8.45,8.45
34,Desinfetante Lavanda Pinho Sol 500Ml,6.95,6.95
35,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,4.59,4.59
36,Cera Super Tacolac 500Ml,11.95,11.95
37,Limpa Pisos Uau Ação Clareadora Embalagem 750Ml,9.19,9.19
38,Limpador Multiuso Ypê com Álcool 500Ml,4.48,4.48
39,Água Sanitária Superglobo Embalagem 1L,3.29,3.29
40,Desinfetante Bruto Suave Odor Lysoform 500Ml,4.39,4.39
41,Desinfetante Batuta Floral Embalagem 2L,7.98,7.98
42,Removedor de Cera Azulim 1L,14.15,14.15
43,Limpa Pedra Start Pedrex Embalagem 2L,19.75,19.75
44,Desinfetante Ypê Bak Floral 500Ml,3.19,3.19
45,Água Sanitária Cloral Embalagem 2 Litros,3.99,3.99
46,Limpador Bela Flore Casa e Perfume 500Ml,4.79,4.79
47,Limpador Uau Flores e Sonhos 500Ml,3.98,3.98
48,Limpador Perfumado Uau Requinte Embalagem 1 Litro,5.95,5.95
49,Limpador Casa e Perfume Amable 500Ml,4.79,4.79
50,Desinfetante Pinho Sol Lavanda Oferta 500Ml,6.95,6.95
51,Limpador Multiuso Veja Lavanda e Álcool Oferta 500Ml,4.59,4.59
52,Desinfetante Pinho Sol Original 1000Ml,10.95,10.95
53,Limpador Casa e Perfume Bela Flore Embalagem 1L,8.19,8.19
54,Limpa Porcelanatos Azulim Power Citrus Embalagem 750Ml,8.35,8.35
55,Lustra Móveis Bry Jasmim Embalagem 200Ml,5.89,5.89
56,Desinfetante Pinho Bril Silvestre Plus 1L,5.79,5.79
57,Sapólio Radium Pó Lavanda 300G,5.15,5.15
58,Limpador Perfumado Intuizione New Casa & Perfume 500Ml,4.79,4.79
59,Limpa Vidros Veja Vidrex Squeeze Oferta 500Ml,6.69,6.69
60,Desinfetante Dragão Campestre Embalagem 2 Litros,3.99,3.99
61,Cera Líquida para Piso de Pedra Ardósia Verde Ingleza Embalagem 750Ml,9.95,9.95
62,Desodorizador Sanitário Pato Pastilha Adesiva Fresh 3 Unidades,6.95,6.95
63,Desinfetante Batuta Eucalipto Embalagem 2L,7.98,7.98
64,Desinfetante Classic Floral Embalagem 2 Litros,5.65,5.65
65,Anil Líquido Colman 200Ml,17.98,17.98
66,Desinfetante Citrus Lysoform 1L,9.98,9.98
67,Limpador Uau Harmonia 500Ml,3.98,3.98
68,Gel Limpador Lipex Marine Embalagem 7G,12.69,12.69
69,Desinfetante Pinho Flores de Limão Leve 500Ml Pague 450Ml,3.15,3.15
70,Óleo de Peroba King 100Ml,8.85,8.85
71,Cera Líquida Nugget Preto 33% de Desconto Embalagem 60Ml,13.38,13.38
72,Limpador Perfumado Uau Flores e Sonhos Embalagem Leve 1 Litro Pague 800Ml,5.95,5.95
73,Desengordurante Veja Limão Squeeze 500Ml,10.69,10.69
74,Desinfetante Pinho Bril Silvestre Plus 500Ml,3.15,3.15
75,Limpador Uau Multiuso Folhas Verdes Embalagem 500Ml,3.98,3.98
76,Sapólio Radium Pedra Clássico 200G,2.85,2.85
77,Limpador Uau Perfumes Brisa e Frescor Ingleza Frasco 1L 20% de Desconto,5.95,5.95
78,Limpador Uau Limpa Vidros Embalagem 500Ml,6.25,6.25
79,Desinfetante Pinho Sol Limão 500Ml,6.95,6.95
80,Desinfetante Ypê Bak Eucalipto 500Ml,3.19,3.19
81,Desinfetante Batuta Floral Embalagem 1 Litro,4.29,4.29
82,Graxa para Sapato em Pasta Preta Nugget Lata 36G,7.65,7.65
83,Pedra Sanitária Flores do Campo Glade,3.35,3.35
84,Limpador Gel Azulim Start Pinho 500G,7.38,7.38
85,Desengordurante Veja Limão Refil 500Ml,13.25,13.25
86,Desinfetante Lembrança de Infância Lysoform 360Ml,21.95,21.95
87,Desengordurante Spray Veja Cozinha Limão Oferta 500Ml,18.98,18.98
88,Desinfetante Uso Geral Ufe 750Ml,11.65,11.65
89,Limpador Multiuso Super Globo Embalagem 500Ml,4.95,4.95
90,Gel Sanitanio Lavanda Lipex 7G,13.45,13.45
91,Limpador Brilhalumínio Maçã Embalagem 500Ml,2.45,2.45
92,Desinfetante Classic Eucalipto Embalagem 2 Litros,5.65,5.65
93,Limpador Gel Brilhex 4 em 1 Pinho 1 Litro,8.38,8.38
94,Desinfetante Pearson Creolina Embalagem 50Ml,11.98,11.98
95,Limpador Gel Brilhex 3 em 1 Herbal 1Kg,8.38,8.38
96,Lava Louças Neutro Polylar 500Ml,1.49,1.49
97,Soda Cáustica Yara 480G,9.59,9.59
98,Pedra Sanitária Bouquet Lavanda Embalagem com 25% de Desconto Glade 25G,3.35,3.35
99,Eliminador de Odores Multiuso Hortelã Uau 500Ml,3.98,3.98
