,Produto,Preço Base,Preço Final
0,Adoçante Líquido Gold Aspartame Embalagem 65Ml,9.2,9.2
1,Açúcar Orgânico Demerara Native 1Kg,12.5,12.5
2,Açúcar Demerara Orgânico Itajá 1Kg,14.0,14.0
3,Adoçante com Stevia Magro 80Ml,8.5,8.5
4,Adoçante Sacarina Zero Cal 100Ml,6.9,6.9
5,Adoçante Linea Xilitol Embalagem 300G,51.5,51.5
6,Adoçante Culinária com Stevia Lowçucar 400G,29.9,29.9
7,Adoçante Doçurinha Embalagem 100G,24.9,24.9
8,Adoçante Líquido Assugrin Embalagem 100Ml,6.9,6.9
9,Adoçante Dietético Líquido Magro 100Ml,5.9,5.9
10,Açucar de Coco Kg,70.0,70.0
11,Adoçante Magro Tradicional Líquido 200Ml,9.9,9.9
12,Adocante Linea Sucralose 25Ml,6.5,6.5
13,Adoçante Culinário em Pó Forno e Fogão sem Lactose Linea 120G,27.9,27.9
14,Adoçante Linea Sweet Natural 60Ml,19.9,19.9
15,Adoçante Líquido Finn Sucralose Embalagem 65Ml,11.9,11.9
16,Adoçante em Pó Tal e Qual Culinário Diet 500G,59.9,59.9
17,Adoc Docurinha Pouch 125G,24.9,24.9
18,Adoçante Forno e Fogão Tanto Quanto Lowçucar 95G,20.9,20.9
19,Adoçante Eritritol Linea 300G,52.7,52.7
20,Adoçante Usemetade Forno e Fogão Embalagem 500G,26.9,26.9
21,Adoçante em Pó Sweet Natural Linea 30G com 50 Sachês de 600Mg,15.9,15.9
22,Adoçante Líquido Xilitol e Sucralose Linea 60Ml,19.9,19.9
23,Acucar Magro Light 500G,12.5,12.5
24,Stevita Liquida 80Ml,23.8,23.8
25,Adoçante Líquido Lowçucar Plus Tradicional Embalagem 200Ml,7.5,7.5
26,Adoçante Tal e Qual 60G,10.0,10.0
27,Adoçante Lowçucar Só Stévia Pote 150G,41.9,41.9
28,Calda de Agave Orgânico Jasmine 330G,37.5,37.5
29,Adoçante Finn Xilitol 65Ml,26.9,26.9
30,Adoçante Linea Sweet Natural 300G,35.9,35.9
31,Adocante Linea Sucralose 70G Po Granular,19.5,19.5
32,Adoçante Linea 250G,45.9,45.9
33,Adocante Liquido Finesweet 100% Natural 60Ml,24.7,24.7
34,Adoçante Líquido Jasmine Stevine Embalagem 80Ml,20.7,20.7
35,Adoçante Linea Sucralose Forno e Fogão Embalagem 400G,55.7,55.7
36,Adoçante Líquido Stevia Natus Embalagem 80Ml,16.6,16.6
