,Produto,Preço Base,Preço Final
0,Farinha de Trigo com Fermento Vilma 1Kg,5.8,5.8
1,Pipoca Microondas Pacha Manteiga Suave 100G,2.2,2.2
2,Pipoca de Microondas Yoki Popcorn Manteiga 100G,33.33,33.33
3,Macarrão Instantâneo Galinha Caipira Nissin Lámen 85G,1.69,1.69
4,Tempero de Churrasco Ajinomoto 500G,5.34,5.34
5,Água de Coco Ducoco 1L,8.0,8.0
6,Água de Coco Puro Coco 200Ml,2.5,2.5
7,Água Mineral sem Gás Aqualeve 510Ml,1.5,1.5
8,"Água Tropical sem Gás 1,5L",3.0,3.0
9,Isotônico de Laranja Gatorade 500Ml,4.8,4.8
10,Isotônico Sabor Morango com Melancia Gatorade 500Ml,4.8,4.8
11,Isotônico I9 Tangerina Garrafa 500Ml,4.5,4.5
12,Isotônico I9 Limão Garrafa 500Ml,4.5,4.5
13,Energético Monster Ultra Paradise Zero Açúcar Lata 473Ml,7.9,7.9
14,Energético Original Tnt Lata 473Ml,8.9,8.9
15,Isotônico I9 Uva Verde Garrafa 500Ml,4.5,4.5
16,Coca-Cola 2L,7.2,7.2
17,Coca-Cola Retornável 2L,6.9,6.9
18,Refrigerante de Guaraná Antárctica 200Ml,1.8,1.8
19,Sprite Original 2L,7.9,7.9
20,Coca- Cola S/ Açucar 2 Lts,8.9,8.9
21,Refrigerante Mate Couro Guaraná Tradicional Pet 2 Litros,6.9,6.9
22,Pepsi Cola 2L,7.9,7.9
23,Refrigerante Sukita Laranja Garrafa 2L,6.2,6.2
24,Água Tônica Zero Antarctica 350Ml,4.0,4.0
25,Coca-Cola Original 350Ml,3.5,3.5
26,Refrigerante de Uva Sukita 200Ml,1.8,1.8
27,Refrigerante de Uva Fanta 2L,7.9,7.9
28,Sprite Original 350Ml,3.5,3.5
29,Coca-Cola sem Açúcar Lata 350Ml,3.5,3.5
30,Refrigerante de Uva Sukita Garrafa 2L,6.2,6.2
31,Fanta Laranja 350Ml Un,3.5,3.5
32,Refrigerante de Uva Fanta 350Ml,3.5,3.5
33,Pepsi Cola 1L,3.6,3.6
34,Pepsi Cola 269 Ml,3.5,3.5
35,Suco Kapo 200Ml Morango,2.0,2.0
36,Néctar Tial Uva 330Ml,2.8,2.8
37,Suco Del Valle Néctar Pêssego 290Ml,3.5,3.5
38,Suco Daflora 390Ml Frutas Citricas,1.8,1.8
39,Néctar Sabor Laranja Tial 330Ml,2.8,2.8
40,"Suco de Uva Integral Casta Nativi 1,5L",13.5,13.5
41,Suco Kapo Uva 200Ml,2.0,2.0
42,Cerveja Heineken Garrafa 330Ml,6.2,6.2
43,Cerveja Heineken 350Ml,5.0,5.0
44,Cerveja Pilsen Litrinho Skol 300Ml,2.19,2.19
45,Cerveja Brahma 300Ml,2.2,2.2
46,Cerveja Retornável Antarctica 300Ml,2.2,2.2
47,Cerveja Pilsen Itaipava Lata 550Ml,3.99,3.99
48,Cerveja Amstel Puro Malte Lata 473Ml,4.7,4.7
49,Cerveja Heineken Lata 473Ml,6.0,6.0
50,Cerveja Pilsen Duplo Malte Brahma 473Ml,4.7,4.7
51,Cerveja Antártica 473Ml,4.0,4.0
52,Cerveja Pilsen Glacial Lata 473Ml,3.0,3.0
53,"Cerveja Corona Extra, Pilsen, 330Ml, Long Neck 1 Garrafa de Plástico Será Reciclada",6.7,6.7
54,Cerveja Pilsen Puro Malte Eisenbahn Lata 473Ml,4.8,4.8
55,Cerveja Itaipava Lata 473Ml,3.3,3.3
56,Cerveja Puro Malte Bohemia 473Ml,4.2,4.2
57,Cerveja Serrana 473Ml,3.1,3.1
58,Cerveja Bohemia Retornável 300Ml,2.3,2.3
59,Cerveja Pilsen Kaiser Lata 473Ml,3.2,3.2
60,Cerveja Sub Zero Antarctica 473Ml,3.8,3.8
61,Cerveja Puro Malte Retornável Skol 300Ml,2.1,2.1
62,Cerveja Pilsen Lokal Lata 473Ml,2.9,2.9
63,Cerveja Zero Brahma 350Ml,4.7,4.7
64,Cerveja Budweiser 330Ml,5.5,5.5
65,Cerveja Devassa Puro Malte Lata 473Ml,3.8,3.8
66,Cerveja Pilsen Brahma 473Ml,4.0,4.0
67,Cerveja Puro Malte Petra Origem Lata 473Ml,3.8,3.8
68,Cerveja Stella Artois Long Neck 330Ml,6.5,6.5
69,Cerveja Lager Puro Malte Crystal Tiger 473Ml,4.7,4.7
70,Cerveja Escura Caracu 350Ml,5.0,5.0
71,Cerveja Skol Pilsen Lata 473Ml Pack 12Un,4.0,4.0
72,Cerveja Puro Malte Skol 473Ml,4.5,4.5
73,Cerveja Estrella Galicia Premium Retornável 600Ml,8.4,8.4
74,Cerveja Petra Pilsen Lata 269Ml,3.2,3.2
75,Ice Syn Lemon 300Ml,3.2,3.2
76,Coquetel Corote Morango 500Ml,4.5,4.5
77,Whisky Honey Black Joker 980Ml,25.0,25.0
78,Vodka Ousadia Morango 500Ml,4.9,4.9
79,Vodka Ousadia Limão 500Ml,4.9,4.9
80,Drink Pronto Beats Gt Sabor Gin&Tônica Long Neck Skol 269Ml,8.9,8.9
81,Bebida Mista Senses Skol Beats 269Ml,7.7,7.7
82,Bebida Catuaba Comary Selvagem 1L,15.9,15.9
83,Smirnoff Ice Original 275Ml,8.1,8.1
84,Drink Pronto Beats Drinks Gt Sabor Gin&Tônica Skol 269Ml,6.75,6.75
85,Drink Pronto Beats Drinks Ginger Sabor Moscow Mule Skol 269Ml,6.75,6.75
86,Drink Pronto Beats Drinks Mint Sabor Mojito Skol 269Ml,6.75,6.75
87,Vinho Nacional Branco Seco Collina Del Sole Garrafa 750Ml,13.0,13.0
88,Aparelho de Barbear Probak Ii,2.5,2.5
89,Desodorante Aerossol Antitranspirante Masculino Bozzano Invisible 150Ml,8.9,8.9
90,Hidratante Desodorante Monange Hidratação Nutritiva Frutas Vermelhas 200Ml,7.9,7.9
91,Biscoito Wafer Bauducco Morango 140G,2.99,2.99
92,Salgadinho Gulão Sabor Churrasco Embalagem 120G,3.5,3.5
93,Salgadinho Heleninha Salsa e Cebola 120G,3.0,3.0
94,Salgadinho Helenitos de Queijo 80G,1.8,1.8
95,Caldo de Carne Knorr 19G,0.9,0.9
96,Bala Erlan Sortida 600G,0.1,0.1
97,Marshmallow Docile Maxmallows Twist Color Recheado Morango 50G,6.0,6.0
98,Bala Halls Extra Forte Embalagem 28G,1.5,1.5
99,Pastilha Docile Minty Hortela 17G,1.0,1.0
100,Pastilhas Docile Mini 12 120G,6.0,6.0
101,Bala Docile Gelatines Beijo 70G,6.0,6.0
102,Bala Lilith Maçã Verde 35G,1.0,1.0
103,Bala Docile Gelatines Dentes de Vampiro Embalagem 80G,6.0,6.0
104,Chicle Bola Big Big,0.15,0.15
105,Bala Recheada Erlan Hortelã 600G,0.1,0.1
106,Bala de Gelatina Docile Amoras Pacote 80G,6.0,6.0
107,Bala Docile Canudinho Ácido Morango Embalagem 15G,2.0,2.0
108,Bala de Gelatina Docile Gelatines Cubo Embalagem 80G,6.0,6.0
109,Pirulito Blong Black 600G,0.5,0.5
110,Bala Docile Gelatines Cobrinhas Cítricas 80G,6.0,6.0
111,Goma de Mascar Arcor Poosh! Morango Unidade 5G,0.2,0.2
112,Bala Docile Canudinho Morango Embalagem 70G,6.0,6.0
113,"Goma de Mascar Hortelã Chiclets 2,8G",0.4,0.4
114,Bala Docile Canudinho Color Morango Embalagem 70G,6.0,6.0
115,Bala Cory Icekiss Morango Embalagem 600G,0.1,0.1
116,Bala Mastigável Erlan Maçã Verde Embalagem 600G,0.1,0.1
117,Bala Docile Mini Minty Menta Extra Forte Embalagem 14G,2.0,2.0
118,Goma de Mascar Poosh Hortelã Recheado Arcor Un 6G,0.2,0.2
119,Bala Docile Gelatines Banana Embalagem 80G,6.0,6.0
120,Pirulito Cherry Pop Morango Embalagem 700G,0.5,0.5
121,Goma Docile Original Eucalipto 20G,1.0,1.0
122,"Bala Mentos Embalagem 24,1G",2.5,2.5
123,Drops Mastigável Lilith Maçã Verde Cory 15 Unidades 35G,0.1,0.1
124,Bala Goma Titan Gomet Pacote 100G,3.5,3.5
125,Bala de Goma Tubo Dutty Festini com 8Un,1.0,1.0
126,Chiclete Buzzy Studio Hortelã Caixa 100 Unidades,20.0,20.0
127,Goma de Mascar Zoah Sabor Morango Embalagem 200G,0.2,0.2
128,Goma de Mascar Adams Clorets Hortelã Embalagem 100G,0.4,0.4
129,Chocolate Talento Meio Amargo com Amêndoas Garoto Embalagem 25G,3.0,3.0
130,Chocolate Tri Sabor Napolitano Tortuguita 19G,1.2,1.2
131,Chocolate Caribe Garoto 28G,2.2,2.2
132,Chocolate Tortuguita Branco com Recheio de Chocolate Arcor 18G,1.2,1.2
133,Chocolate Baton Ao Leite 16G,1.25,1.25
134,Chocolate Garoto Talento Ao Leite com Castanhas-Do-Pará 25G,3.0,3.0
135,Chocolate Arcor Aerado Duo 30G,2.0,2.0
136,Moedas de Chocolate Roma 350G,0.5,0.5
137,Cocada Branca Jabolac Embalagem 300G,2.0,2.0
138,Canudinho Big Dino Cítrico Docile 26G,2.0,2.0
139,Gelatina de Framboesa Oetker 20G,1.5,1.5
140,Mistura para Bolo Vilma Cenoura Pacote 400G,5.4,5.4
141,Mistura para Bolo Vilma Laranja Sachê 400G,5.4,5.4
142,Bomba,2.0,2.0
143,Bebida Láctea Uht Chocolate Toddynho 200Ml,2.1,2.1
144,Geladinho Gula Fruts 55Ml 10Un,0.6,0.6
145,Gelo para Drink Sabor Água de Coco Coco Leve 200Ml,4.0,4.0
146,Gelo para Drink Sabor Morango Coco Leve 200G,4.0,4.0
147,Gelo Gelotimo Cubos 4Kg,12.0,12.0
148,Gelo para Drink Sabor Maracujá Coco Leve 200Ml,4.0,4.0
149,Vela Mariana 35G,10.0,10.0
150,Fósforo Fiat Lux Pinheiro 40Un,0.5,0.5
151,Prato Raso Descartável Copobras Pacote 10 Un,4.7,4.7
152,Garrafa Plástica de Suco com Tampa 500Ml Decoplast 100Un,1.0,1.0
153,Garfo para Refeição Cristal Grande Descartável Romana 10Un,4.3,4.3
154,Pulverizador Plast Girafa 500Ml,8.0,8.0
155,Estalos de Salão Fantasminha Kids 15 Unidades,1.5,1.5
156,Chinelo Ipanema Feminino Oasis Rosa N°33/34,16.47,16.47
157,Chinelo Masculino Rider Street Preto e Cinza N°37/38,17.5,17.5
158,Chinelo Rider Street Preto Cinza Infantil N° 34,18.03,18.03
159,"Chinelo Ipanema Infantil Turma da Mônica Preto, Preto e Amarelo Nº 23/24",19.09,19.09
160,Chinelo Ipanema Flow Azul Nº 33/34,13.38,13.38
