,Produto,Preço Base,Preço Final
0,Álcool Etílico Hidratado 70º Inpm Uzu 1L,7.29,7.29
1,Limpador Multiuso Veja 10% Desconto 500Ml,4.98,4.98
2,Água Sanitária Santa Clara Embalagem 2 Litros,5.98,5.98
3,Água Sanitária Santa Clara Embalagem 1 Litro,3.49,3.49
4,"Álcool Líquido Araucária 46,2º Embalagem 500Ml",4.98,4.98
5,Água Sanitária Super Globo Embalagem 2 Litros,6.79,6.79
6,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,4.79,4.79
7,Limpador Multiuso Uau Rosas Sedução 500Ml,4.79,4.79
8,Limpador Multiuso Super Globo Floral Embalagem 500Ml,3.69,3.69
9,Limpador Uau Requinte 500Ml,4.79,4.79
10,Limpador Uau Multiuso Flores e Folhas 500Ml,4.79,4.79
11,Limpador Uau Multiuso Lavanda 500Ml,4.79,4.79
12,Limpador Uau Perfumes Flores Vermelhas e Sedução 500Ml,4.79,4.79
13,Limpador Uau Perfumes Cuidado e Carinho 500Ml,4.79,4.79
14,Soda Cáustica Yara 950G,17.98,17.98
15,Sapólio Radium Cremoso Cloro 300Ml,7.39,7.39
16,Pedra Sanitária Q-Odor Marine 40G,3.29,3.29
17,Desengordurante Super Globo Squeeze 500Ml,5.69,5.69
18,Desinfetante Batuta Floral Embalagem 2L,7.98,7.98
19,Desinfetante Minuano Floral 500Ml,3.29,3.29
20,Limpador Multiuso Veja Floral 500Ml,4.98,4.98
21,Desinfetante Pinho Trop 1L,7.98,7.98
22,Limpador Uau Flores e Sonhos 500Ml,4.79,4.79
23,Água Sanitária Superglobo Embalagem 1L,3.79,3.79
24,Limpador Uau Perfumes Lavanda e Conforto Ingleza Embalagem 500Ml,4.79,4.79
25,Limpador Multiuso Ação Clareadora Uau 500Ml,4.79,4.79
26,Limpador Multiuso Veja Gold Campestre 500Ml,4.98,4.98
27,Desinfetante Batuta Lavanda Embalagem 2L,7.98,7.98
28,Desinfetante Pinho Sol Original 500Ml,6.98,6.98
29,Cera Líquida Ingleza Maxx Incolor 750Ml,14.89,14.89
30,Álcool Líquido Flops 96 Embalagem 500Ml,6.49,6.49
31,Desinfetante Marina Eucalipto Embalagem 2L,4.98,4.98
32,Limpador para Pisos Laminados Casa Km Brilho Fácil Embalagem 750Ml,12.29,12.29
33,Pedra Sanitária Q-Odor Pinho Embalagem 1 Un,3.29,3.29
34,Desinfetante Pinho Trop Fresh 500Ml,3.98,3.98
35,Limpador Multiuso Coco Veja Power Fusion Squeeze 500Ml,9.29,9.29
36,Limpador Multiuso Veja Lavanda e Álcool 500Ml,4.98,4.98
37,Desinfetante Pinho Sol Original 1000Ml,13.98,13.98
38,Limpador Multiuso Limpol Clássico 500Ml,4.39,4.39
39,Óleo de Peroba King 100Ml,8.98,8.98
40,Óleo de Peroba 200Ml,14.98,14.98
41,Limpador Veja Limpeza Pesada Cloro Ativo Embalagem 500Ml 10% de Desconto,8.98,8.98
42,Desinfetante Trop Pinho Lavanda Inglesa 500Ml,3.98,3.98
43,Desinfetante Batuta Oceano Ação Limpa Pisos Elimina Germes e Bactérias Embalagem 2L,7.98,7.98
44,Desinfetante Pinho Trop Fresh Leve 1000Ml Pague 900Ml,7.98,7.98
45,Desinfetante Pinho Flores de Limão Leve 500Ml Pague 450Ml,3.89,3.89
46,Desinfetante Pinho Sol Limão 1L,12.98,12.98
47,Desinfetante Pinho Trop Pinho e Menta 500Ml,3.98,3.98
48,Desinfetante Batuta Eucalipto Embalagem 2L,7.98,7.98
49,Desinfetante Minuano Eucalipto 500Ml,3.29,3.29
50,Desinfetante Pinho Trop Pinho Embalagem 1L,7.98,7.98
51,Desinfetante Pearson Creolina Embalagem 50Ml,14.98,14.98
52,Desinfetante Pinho Trop Limão Embalagem 500Ml,3.98,3.98
53,Cera Líquida Ingleza Ardósia Verde Embalagem 850Ml,10.98,10.98
54,Desinfetante Marina Erva Doce Embalagem 2 Litros,4.98,4.98
55,Cloro Bom Fort Caixa com 12 Uni 1L,3.39,3.39
56,Desinfetante Eucalipto Only,5.49,5.49
57,Limpador Gel Brilhex Pinho 2 Litros,14.9,14.9
58,Água Sanitária Du Lar 1L,3.39,3.39
59,"Álcool Uzu Cean 92,8% 1Lt",11.39,11.39
60,Cera Ingleza Brilhowax Incolor Embalagem 850Ml,10.79,10.79
61,Eliminador de Odores Multiuso Hortelã Uau 500Ml,4.79,4.79
62,Neutralizador de Odores Jardim de Pêonia Bom Ar Frasco 360Ml Embalagem Econômica,13.79,13.79
63,Purificador Ar Smart Talco 400Ml,12.98,12.98
64,Purificador Ar Smart Lavanda 400Ml,12.98,12.98
65,Detergente Ypê Clear 500Ml,2.59,2.59
66,Detergente Ypê Neutro 500Ml,2.59,2.59
67,Detergente Coco Ypê 500Ml,2.59,2.59
68,Detergente Limpol Coco 500Ml,2.49,2.49
69,Detergente Líquido Limpol Cristal Embalagem 500Ml,2.49,2.49
70,Detergente Ypê Clear Care 500Ml,2.59,2.59
71,Detergente Azulim Coco 500Ml,1.99,1.99
72,Detergente Líquido Azulim Neutro 500Ml,1.99,1.99
73,Detergente Limpol Maçã 500Ml,2.49,2.49
74,Detergente Líquido Azulim Citrus 500Ml,1.99,1.99
75,Detergente Limpol Limão 500Ml,2.49,2.49
76,Lava-Louças Líquido Clear Minuano Embalagem 500Ml,2.29,2.29
77,Detergente Líquido Lava Louça Minuano 1300 Maçã 500Ml,2.29,2.29
78,Detergente Liquido Maçã Smart 500Ml,1.99,1.99
79,Inseticida Raid Multi Insetos Eucalipto Oferta 420Ml,16.98,16.98
80,Inseticida Raid Multi Insetos Citronela Oferta 420Ml,16.98,16.98
81,Naftalina Cartela 10Un Alfa,2.89,2.89
82,1Un Lava Roupa Omo Lavagem Perfeita 1.6Kg Grátis 150G.,23.98,23.98
83,"Lava-Roupas Pó Lavagem Perfeita Omo 1,6Kg",22.98,22.98
84,Sabão em Pó Omo Lavagem Perfeita 400G,8.98,8.98
85,Lava-Roupas Pó Lavagem Perfeita Omo 800G,15.98,15.98
86,Sabão em Pó Urca Maxx Sachê 1Kg,7.49,7.49
87,Cloro Santa Clara Super Forte Unidade 2L,8.59,8.59
88,"Lava Roupas em Pó para Roupas Brancas e Coloridas Limpeza Total Brilhante 1,6Kg Grátis 150G",20.98,20.98
89,Sabao Glic Ype Neutro 900G,14.98,14.98
90,Amaciante Downy Brisa do Verão 500Ml,11.98,11.98
91,Lava Roupas em Pó Tixan Ypê Primavera 800G,12.49,12.49
92,Amaciante Ypê Aconchego 2L,10.98,10.98
93,"Lava-Roupas em Pó Concentrado Primavera Tixan Ypê 1,6Kg",22.98,22.98
94,Amaciante Brisa da Primavera Urca 2L,7.29,7.29
95,Amaciante Ypê Intenso Embalagem 2L,10.98,10.98
96,Lava Roupas em Pó Limpeza Total Brilhante 400G,8.29,8.29
97,Lava Roupas Pó Coquel Natureza Limpa Caixa Pg800g. e Lv.1Kg,10.59,10.59
98,Amaciante Downy Lirios do Campo 500Ml,11.98,11.98
99,"Lava-Roupas em Pó Roupas Brancas e Coloridas Brilhante Limpeza Total Pacote 1,6Kg",23.98,23.98
100,Amaciante Concentrado Cuidado Intensivo Comfort Leve 500 Pague 400Ml,11.49,11.49
101,Lava-Roupas em Pó Concentrado Maciez Tixan Ypê 400G,6.98,6.98
102,Amaciante Concentrado Downy Frescor da Primavera Embalagem 500Ml,11.98,11.98
103,Cloro Santa Clara Super Forte Embalagem 1 Litro,4.59,4.59
104,Amaciante de Roupa Diluído Toque de Carinho Baby Soft 2L,8.98,8.98
105,Amaciante Baby Soft Toque de Maciez 2L,8.98,8.98
106,Amaciante de Roupas Expressão de Carinho Suprema 2L,6.29,6.29
107,Amaciante Suprema Toque de Amor Embalagem 2L,6.29,6.29
108,Amaciante Suprema Felicita Embalagem 2L,6.29,6.29
109,Lava-Roupas em Pó Concentrado Primavera Tixan Ypê 400G,6.98,6.98
110,Sabão em Pó Comfort Fiber Protect 1.6Kg,25.98,25.98
111,Amaciante Alegres Encantos Amacitel 2L,9.29,9.29
112,Amaciante Flores Marina 2Litros,6.98,6.98
113,Amaciante para Roupas Concentrado Perfumes Flores da Manhã Brilhex 1L,10.89,10.89
114,Sabonete Marluce Alfazema 90G,1.39,1.39
115,Esponja de Aço Bombril Pacote 60G,2.89,2.89
116,Esponja Multiuso Smart Leve 4 Pague 3Un,4.49,4.49
117,Esponja de Aço Smart 60G,2.29,2.29
118,Esponja Multiuso Smart 1Un,1.39,1.39
119,Pano de Prato Encopa Silcado 46X62cm 1Un,3.98,3.98
120,Esponja Inox Flash Limp Limpeza Pesada 1Un,3.98,3.98
121,Limpador Multiuso Frescor Violeta Veja Explosão de Perfume 500Ml,6.29,6.29
122,Esponja Multiuso Flash Limp Poliéster 1Un,3.89,3.89
123,Palha de Aço Açobom N0 Embalagem 22G,1.69,1.69
124,Saco de Lixo Lixo Forte Reforçadão 100 Litros 20Un,21.98,21.98
125,Balde Eco Plástic Cor Sortida 12L Concreto,10.98,10.98
126,Saco de Lixo Lixo Forte Reforçado 60L 10 Un,5.98,5.98
127,Esponja Limpeza Delicada Smart com 2Un,4.79,4.79
128,Bucha Vegetal Medeiros,5.98,5.98
129,Flanela de Algodão Beauty 12Un,3.99,3.99
130,Saco de Lixo Lixo Forte Reforçado 100L 5 Un,5.98,5.98
131,Pano de Prato Bordado Inglês 44X70cm Embalagem 1Un,6.98,6.98
132,Saco de Lixo 30L Lixo Forte 10Un,3.98,3.98
133,Saco de Lixo Lixo Forte 100L 5 Un,4.29,4.29
134,Saco de Lixo Reforçado 60L Saco Forte 30Un,21.98,21.98
135,Esponja Brasileirinha Multiuso Dupla Face 1 Un,0.99,0.99
136,Açúcar Cristal Laçúcar 5Kg,17.98,17.98
137,Açúcar Cristal LAçúcar Embalagem 2Kg,7.98,7.98
138,Açúcar Cristal Laçúcar Embalagem 1Kg,3.98,3.98
