,Produto,Preço Base,Preço Final
0,Água Sanitária Classic 5 Litros,12.99,12.99
1,Limpador Multiuso Veja 10% Desconto 500Ml,4.29,4.29
2,Água Sanitária Marina Embalagem 1L,3.69,3.69
3,Água Sanitária Marina Embalagem 2L,5.89,5.89
4,Água Sanitária Santa Clara 5L,13.99,13.99
5,Água Sanitária Classic Embalagem 2 Litros,5.99,5.99
6,Lustra Móveis de Jasmim Ypê 200Ml,6.49,6.49
7,Água Sanitária Santa Clara Embalagem 2 Litros,5.99,5.99
8,Álcool Líquido 70% Start 1L,11.99,11.99
9,Kit Banheiro Azulim 500Ml,9.99,9.99
10,Água Sanitária Classic 1Litro,3.89,3.89
11,Água Sanitária Marina 5 Litros,13.49,13.49
12,Kit Econômico Azulim Multiuso 4X1,14.99,14.99
13,Limpa Alumínio Marina Verde Embalagem 500Ml,3.49,3.49
14,Desinfetante Casa Km Casa & Perfume Passione Embalagem 1L,8.49,8.49
15,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,4.19,4.19
16,Água Sanitária Super Globo Embalagem 2 Litros,6.99,6.99
17,Limpador Multiuso Super Globo Floral Embalagem 500Ml,3.39,3.39
18,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.99,2.99
19,Limpador Uau Cloro Ativo 2 Unidades de 500Ml Cada + Grátis Multiuso Lavanda 500Ml,16.99,16.99
20,Limpa Box Uau Blindex 200Ml,12.99,12.99
21,"Água Sanitária Ypê Leve 2L Pague 1,8L Grátis 200Ml",8.49,8.49
22,Pastilha Adesiva Pato Lavanda Oferta Embalagem 3Un,7.79,7.79
23,Saponáceo Ypê Premium Cremoso Lavanda 300Ml,6.99,6.99
24,Limpador Sensazione Casa & Perfume 1L,8.49,8.49
25,Super Cloro Classic Extra Forte 2L,8.49,8.49
26,Limpador Agradable Casa e Perfume 500Ml,4.99,4.99
27,Desinfetante Santa Clara Lavanda Embalagem 2 Litros,6.49,6.49
28,Limpador Multiuso Ypê Clássico 500Ml,4.99,4.99
29,Sapólio Radium Pó Clássico,6.45,6.45
30,Limpador Uau Multiuso Flores e Folhas 500Ml,4.19,4.19
31,Limpador Sensualidad Casa e Perfume 500Ml,4.99,4.99
32,Desengordurante Uau Squeeze 500Ml,7.99,7.99
33,Limpador Uau Multiuso Lavanda 500Ml,4.19,4.19
34,Limpador Uau Perfumes Cuidado e Carinho 500Ml,4.59,4.59
35,Desinfetante de Lavanda Lysoform 1L,12.99,12.99
36,Limpa Piso Uau Laminado 750Ml,9.98,9.98
37,Limpa Porcelanato Azulim Powder Lavanda Embalagem 750Ml,8.99,8.99
38,Desinfetante Original Bruto Lysoform 1L,12.99,12.99
39,Veja X-14 Tira Limo Limpador para Banheiro Pulverizador 500Ml com 30% de Desconto,15.99,15.99
40,Limpadores Ypê Multi Uso Clássico 500Ml,4.99,4.99
41,Soda Cáustica Yara 950G,14.99,14.99
42,Limpa Maquinas Mon Bijou 80G,9.99,9.99
43,Limpador Veja Perfumes Lavanda Oferta 500Ml,4.89,4.89
44,Água Sanitária Ypê 1L,4.99,4.99
45,Desinfetante Santa Clara Herbal Embalagem 2 Litros,6.49,6.49
46,Limpador Uau Cloro Ativo Limpeza Pesada 500Ml,6.59,6.59
47,Limpador Multiuso Veja Lavanda e Álcool Oferta 500Ml,4.29,4.29
48,Cera Líquida Incolor Brilho Fácil 750Ml,12.79,12.79
49,Veja Limpeza Pesada 2X1 500Ml Cloro Ativo,12.99,12.99
50,Limpador Desengordurante Cozinha Laranja Mr Músculo 400Ml,9.99,9.99
51,Limpador Uau Limpa Vidros Embalagem 500Ml,8.49,8.49
52,Limpador Azulim Lavanda Embalagem 1L,6.99,6.99
53,Desengordurante Super Globo Squeeze 500Ml,5.49,5.49
54,Bry Lustra Móveis de Lavanda Ingleza 200Ml,6.99,6.99
55,Limpador Multiuso Uau Cloro Ativo 500Ml,8.49,8.49
56,Limpador Multiuso Veja Power Fusion Limão 500Ml,9.98,9.98
57,Lustra Móveis Uau Perfumado Rosas e Sedução 200Ml,6.99,6.99
58,Pastilha Adesiva Inspira Limpeza Ativa Power Embalagem Leve 4Un Pague 3Un,6.79,6.79
59,Desinfetante Pinho Trop 1L,8.79,8.79
60,Limpador Diluível Ajax Fresh Limão 500Ml,9.49,9.49
61,Limpador Azulim Multiuso com Álcool para Inox Embalagem 550Ml,3.29,3.29
62,Cera Líquida Brilhowax Incolor 750Ml,9.98,9.98
63,Pastilha Adesiva Harpic Pinho 2Em1 Leve 3 Pague 2Un,13.99,13.99
64,Limpador Uau Perfumes Lavanda e Conforto Ingleza Embalagem 500Ml,4.59,4.59
65,Limpador Multiuso Veja Floral Oferta 500Ml,4.29,4.29
66,Água Sanitária Superglobo Embalagem 1L,3.99,3.99
67,Desinfetante Perfumado Azulim Mariner Embalagem 1L,6.25,6.25
68,Desinfetante Batuta Floral Embalagem 2L,7.99,7.99
69,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,4.29,4.29
70,Desinfetante Batuta Lavanda Embalagem 2L,7.99,7.99
71,Limpador Perfumado Intuizione New Casa & Perfume 500Ml,4.99,4.99
72,Lustra Móveis Flores e Folhas Uau 200Ml,6.99,6.99
73,Limpador Uau Multiuso Cloro Ativo 5 em 1 Lavanda 500Ml,8.49,8.49
74,Limpeza Pesada Uau Rosas e Sedução 500Ml,6.49,6.49
75,Desengordurante Cif Ultra Rápido Original 500Ml,16.99,16.99
76,Limpador Uau Brisa Frescor 500Ml,4.59,4.59
77,Limpador Multiuso Azulim Limão Verde 500Ml,3.29,3.29
78,Desinfetante Pinho Sol Original 500Ml,6.65,6.65
79,Desengordurante Mr Musculo Cozinha Limão Oferta 500Ml,17.49,17.49
80,Limpador Multiuso Super Globo Lavanda 500Ml,3.39,3.39
81,Cera Líquida Ingleza Maxx Incolor 750Ml,13.49,13.49
82,Limpa Pedra Start Pedrex Embalagem 2L,18.99,18.99
83,Pedra Sanitária Santa Clara Lavanda Unidade 25G,2.49,2.49
84,Pastilha Adesiva Aplik Marine Embalagem 3 Un,6.75,6.75
85,Soda Caustica Escorpião Embalagem 500G,17.99,17.99
86,Limpador Multiuso com Álcool Brilho Instantâneo Uau Frasco 500Ml,4.19,4.19
87,Limpador Bela Flore Casa e Perfume 500Ml,4.99,4.99
88,Limpa Piso Uau Cerâmicas 750Ml,9.98,9.98
89,Desinfetante Santa Clara Floral Embalagem 2 Litros,6.49,6.49
90,Limpador Desengordurante Pulverizador de Limão com 30% de Desconto Veja 500Ml,14.99,14.99
91,Limpador Multiuso Floral Uau Embalagem 500Ml,4.19,4.19
92,Pastilha Adesiva Inspira Marine Embalagem Leve 4Un Pague 3 Un,6.79,6.79
93,Desinfetante Uso Geral Cloro Gel Marine Poderosa Espumação Pato 500Ml,12.99,12.99
94,Limpa Alumínio Polylar Limão 500Ml,2.99,2.99
95,Desinfetante Pinho Bril Campos de Lavanda 1000Ml,7.99,7.99
96,Desinfetante Pinho Sol Lavanda Oferta 500Ml,5.99,5.99
97,Desinfetante Pinho Trop Fresh 500Ml,4.49,4.49
98,Cera Líquida Ingleza Max Ardosia Verde Embalagem 750Ml,13.49,13.49
99,Limpador Multiuso Frescor do Campo Azulim 500Ml,3.29,3.29
100,Limpador Destac para Pisos de Madeira Lavanda e Vanilla 750Ml,16.99,16.99
101,Desinfetante Pinho Bril Silvestre Plus 1L,7.99,7.99
102,Limpador Casa e Perfume Passione Embalagem 500Ml,4.99,4.99
103,Lustra Móveis Bry Alfazema Embalagem 200Ml,6.99,6.99
104,Pedra Sanitária Harpic Ar Plus Flores do Campo 25G,3.99,3.99
105,Desinfetante Pinho Sol Original Oferta 1000Ml,10.79,10.79
106,Limpador Uau Limpa Pisos Madeira 750Ml,9.98,9.98
107,Limpador Banheiro Oferta Mr Músculo 500Ml,11.99,11.99
108,Limpador Veja Limpeza Pesada Floral Campestre 500Ml,12.99,12.99
109,Desengordurante Multiuso Limão Classic 500Ml,5.49,5.49
110,Cera Polylar Incolor 750Ml,5.99,5.99
111,Brilha-Móveis Lavanda Destac Squeeze 500Ml,16.99,16.99
112,Desinfetante Pinho Sol Leve 500Ml Pague 450Ml,5.99,5.99
113,Desinfetante Classic Jasmim Embalagem 2 Litros,5.99,5.99
114,Desinfetante Pinho Bril Brisa do Mar 1000Ml,7.99,7.99
115,Desinfetante Azulim Erva Doce 140Ml,8.99,8.99
116,Cera Líquida Brilho Fácil Ardósia Embalagem 750Ml,12.79,12.79
117,Limpador Uau Desengordurante Refil Embalagem 500Ml,13.99,13.99
118,"Desinfetante Pinho Sol Lavanda 1,75 Litro",18.99,18.99
119,Desinfetante Azulim Erva Doce 1L,6.25,6.25
120,Limpador Multiuso Cif Cremoso Laranja 250Ml,9.98,9.98
121,Limpador Multiuso Uau Flores e Frescor Ingleza 500Ml,4.19,4.19
122,Cera Líquida Ingleza Maxx Vermelha 750Ml,13.49,13.49
123,Limpador Diluível Ajax Fresh 500Ml,9.49,9.49
124,Limpador Multiuso Veja Power Fusion Laranja 500Ml,8.99,8.99
125,Limpador Perfumado Ypê Jardim Secreto 500Ml,5.59,5.59
126,Desinfetante Multissuperfície Antibac Ypê 500Ml,6.99,6.99
127,Desinfetante Azulim Floratta 1L,6.25,6.25
128,Limpador Mistero Di Amore Casa & Perfume 1L,8.49,8.49
129,Desinfetante Suave Odor Lysoform Bruto Bombril 1L,12.99,12.99
130,Limpador Multiuso Super Globo Original Embalagem 500Ml,3.39,3.39
131,Limpador de Vidros Secagem Rápida Azulim 500Ml,12.99,12.99
132,Óleo de Peroba King 100Ml,9.98,9.98
133,Desengordurante Veja Limão Refil 500Ml,17.99,17.99
134,Desinfetante Classic Floral Embalagem 2 Litros,5.99,5.99
135,Limpador Perfumado Azulim Felicidade Embalagem 1L,6.79,6.79
136,Limpador Uau Multiuso Folhas Verdes Embalagem 500Ml,4.19,4.19
137,Desinfetante Eucalipto Santa Clara 2L,6.49,6.49
138,Limpa Pisos Uau Ação Clareadora Embalagem 750Ml,9.99,9.99
139,Limpador Uau Desengordurante 500Ml,11.99,11.99
140,Limpador Perfumado Natureza e Harmonia Ingleza Uau Leve 1L Pague 800Ml,7.99,7.99
141,Cera Líquida Ingleza Maxx Amarela Embalagem 750Ml,13.49,13.49
142,Limpador Veja Uso Direto Floral 900Ml,16.99,16.99
143,Desinfetante Batuta Oceano Ação Limpa Pisos Elimina Germes e Bactérias Embalagem 2L,7.99,7.99
144,Limpador Diluível Ajax Fresh Blue 500Ml,9.49,9.49
145,Cera Ingleza Ardosia Incolor Embalagem 750Ml,10.59,10.59
146,Desinfetante Pinho Bril Flores de Limão 1000Ml,7.99,7.99
147,Limpador Perfumado Azulim Carinho Embalagem 1L,6.79,6.79
148,Desinfetante Pinho Trop Pinho e Menta 500Ml,4.49,4.49
149,Desinfetante Pinho Trop Fresh Leve 1000Ml Pague 900Ml,8.79,8.79
150,Limpa Inox Uau 200Ml,13.99,13.99
151,Desinfetante Pinho Sol Limão 500Ml,6.65,6.65
152,Limpa Maquina de Roupas Mon Bijou 80G,9.99,9.99
153,Cera Líquida Brilho Fácil Amarela Embalagem 750Ml,12.79,12.79
154,Desinfetante Batuta Eucalipto Embalagem 2L,7.99,7.99
155,Pastilha Adesiva Harpic 2 em 1 Lavanda 3 Unidades,11.99,11.99
156,Limpa Vidro Super Globo 500Ml,4.99,4.99
157,Cera Ingleza para Sapatos Marrom Embalagem 60Ml,11.99,11.99
158,"Desinfetante Pinho Sol Original 1,75 Litro",18.99,18.99
159,Limpa Forno Easy Off 250Ml,18.99,18.99
160,Limpa Alumínio Polylar Verde Maçã 500Ml,2.99,2.99
161,Desinfetante de Gatilho Lysoform 500Ml,13.99,13.99
162,Desengordurante Marina 500Ml,5.49,5.49
163,Desinfetante Pearson Creolina Embalagem 50Ml,12.99,12.99
164,Desinfetante Casa e Cuidado Perfeita Proteção 500Ml,3.79,3.79
165,Limpador Multiuso Super Globo Campestre Embalagem 500Ml,3.39,3.39
166,Desinfetante Concentrado Azulim Eucalipto 140Ml,8.99,8.99
167,Limpador Veja Limpeza Pesada Laranja Citrus 500Ml,12.99,12.99
168,Limpador Limpeza Pesada 4 em 1 Alta Performance Uau 500Ml,5.99,5.99
169,Desinfetante Pinho Trop Citrus Leve 1000Ml Pague 900Ml,8.79,8.79
170,Limpador Uau Limpeza Pesada Alta Performance Embalagem 500Ml,6.49,6.49
171,Desinfetante Pinho Trop Pínho Menta Embalagem Leve 1L Pague 900Ml,8.79,8.79
172,Limpa Forno Easy Off Embalagem 226Ml,18.99,18.99
173,Desinfetante Pinho Trop Limão Embalagem 500Ml,4.49,4.49
174,Desinfetante Uso Geral Ufe 750Ml,12.99,12.99
175,Limpador Multiuso Squeeze com Alcool Super Globo 500Ml,3.39,3.39
176,Limpa Alumínio Marina Azul Embalagem 500Ml,3.49,3.49
177,Limpador Casa e Perfume Sensualidad Embalagem 500Ml Pague 400Ml,4.99,4.99
178,Cera para Calçados Ingleza Preta Embalagem 60Ml,9.98,9.98
179,Desinfetante Azulim Spray com Álcool 500Ml,11.99,11.99
180,Cera Líquida Brilhowax Vermelha 750Ml,9.98,9.98
181,Cera Polylar Verde 750Ml,5.99,5.99
182,Limpa Cerâmica Marina 1L,5.99,5.99
183,Desinf Paranaiba Pinho 2L,4.99,4.99
184,Limpador Perfumado Lavanda Inspiradora Paranaíba Embalagem 500Ml,3.69,3.69
185,Limpador Multiuso Super Globo Citrus 500Ml,3.39,3.39
186,Limpador Perf Paranaiba Frescor Embalagem 500Ml,3.69,3.69
187,Desinfetante Floral Paranaiba 2L,4.99,4.99
188,Pastilha Adesiva Marine Marina 3Un,5.99,5.99
189,Aguarrás Petrovila 500Ml,14.99,14.99
190,Pedra Sanitária Eucalipto Santa Clara Embalagem 25G,2.49,2.49
191,Desinf Paranaiba Lavanda 2L,4.99,4.99
192,Limpador Perf Paranaiba Romance Embalagem 500Ml,3.69,3.69
193,Pastilha Adesiva Lavanda Marina 3Un,5.99,5.99
194,Cera Líquida Brilho Máximo Incolor Poliflor 750Ml,19.98,19.98
195,Desinfetante Marina Pinho 5 Litros,13.99,13.99
196,Desinfetante Marina Eucalipto Embalagem 5 Litros,13.99,13.99
197,Limpador Marina Ceramicas e Azulejos Embalagem 1L,5.99,5.99
198,Limpador Perfumado Casa e Perfume Bela Fiore 500Ml,4.99,4.99
199,Desinfetante Eucalipto Paranaíba 2L,4.99,4.99
200,Limpa Vidros Classic Alvejante 500Ml,4.99,4.99
201,Antimofo Leve Brisa Erva Doce Embalagem 80G,7.49,7.49
202,Pedra Sanitária Bouquet Lavanda Embalagem com 25% de Desconto Glade 25G,2.99,2.99
203,Eliminador de Odores Multiuso Hortelã Uau 500Ml,4.19,4.19
204,Aromatizador Air Wick Lavanda Oferta 432Ml,13.99,13.99
205,Pedra Sanitária Harpic Aroma Plus Cloro 1Un,3.99,3.99
206,Bom Ar Air Wick Campos de Lavanda 360Ml,13.99,13.99
207,Essência Nogueira Talco Embalagem 125Ml,8.7,8.7
208,Desodorizador Aerossol Frutas e Flores Vibrantes Glade 360Ml,13.99,13.99
209,Neutralizador de Odores Cheirinho de Talco Bom Ar Frasco Embalagem Econômica 360Ml,13.99,13.99
210,Evita Mofo Leve Brisa Pastilha 1 Unidades,3.99,3.99
211,Pedra Sanitária Leve Brisa Embalagem 25G,2.69,2.69
212,Purificador Toque de Frescor Lavanda Oferta Glade 24Ml,18.99,18.99
213,Pedra Sanitária Harpic Aqua Marine 25G,3.99,3.99
214,Desodorizador Aerossol Lavanda Oferta Especial Glade 360Ml,13.99,13.99
