,Produto,Preço Base,Preço Final
0,Água Sanitária Classic 5 Litros,12.99,12.99
1,Água Sanitária Qboa 2L,7.69,7.69
2,Limpador Multiuso Veja 10% Desconto 500Ml,4.29,4.29
3,Água Sanitária Marina Embalagem 2L,5.89,5.89
4,Álcool 70% Asseptgel Start Embalagem 500Ml,6.39,6.39
5,Água Sanitária Classic Embalagem 2 Litros,5.99,5.99
6,Água Sanitária Santa Clara Embalagem 2 Litros,5.99,5.99
7,Álcool Líquido 70% Start 1L,11.99,11.99
8,Sapólio Cremoso Radium Lavanda 250Ml,8.99,8.99
9,Kit Limpador Multiuso Azulim 550Ml 3Un,8.79,8.79
10,Brilha Alumínio Uva Brilhaluminio 500Ml,2.99,2.99
11,Água Sanitária Marina 5 Litros,13.49,13.49
12,Limpador Perfumado Doce Vida Ypê 500Ml,3.9,3.9
13,Kit Econômico Azulim Multiuso 4X1,14.99,14.99
14,Limpador Cremoso Cif Original 250Ml,9.98,9.98
15,Soda Cáustica Escorpião 1Kg,31.99,31.99
16,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,4.19,4.19
17,Limpador Multiuso Uau Rosas Sedução 500Ml,4.19,4.19
18,Desinfetante Bak Lavanda Ypê 2L,11.99,11.99
19,Água Sanitária Super Globo Embalagem 2 Litros,6.99,6.99
20,Limpador Multiuso Super Globo Floral Embalagem 500Ml,3.39,3.39
21,Limpador Agradable Casa e Perfume 1L,8.49,8.49
22,Cloro Super Cloro Classic Extra Forte 1 Litro,4.49,4.49
23,Limpador Casa e Perfume Sensualidad 1L,8.49,8.49
24,Limpador Uau Cloro Ativo 2 Unidades de 500Ml Cada + Grátis Multiuso Lavanda 500Ml,16.99,16.99
25,Cloro Ativo Ypê Tira Limo Banheiro 520G,9.98,9.98
26,Saponáceo Cremoso Multiuso Limão Bom Bril Sapólio Radium 250Ml,8.99,8.99
27,"Água Sanitária Ypê Leve 2L Pague 1,8L Grátis 200Ml",8.49,8.49
28,Pastilha Adesiva Pato Lavanda Oferta Embalagem 3Un,7.79,7.79
29,Super Cloro Classic Extra Forte 2L,8.49,8.49
30,Gel Adesivo Sanitário Marine Refil Pato 12G,8.99,8.99
31,Limpador Sanitário de Lavanda Oferta Pato 750Ml,12.99,12.99
32,Desengordurante Veja Limão Refil 400Ml,10.99,10.99
33,Limpador Uau Perfumes Lavanda e Conforto Embalagem L1p800ml,7.99,7.99
34,Sapólio Radium Pó Clássico,6.45,6.45
35,Limpador Uau Multiuso Flores e Folhas 500Ml,4.19,4.19
36,Casa e Perfume Sensazine 500Ml,4.99,4.99
37,Limpador Sensualidad Casa e Perfume 500Ml,4.99,4.99
38,Limpador Sanitário Limpeza Profunda Gel Marine Pato 750Ml,12.99,12.99
39,Desengordurante Uau Squeeze 500Ml,7.99,7.99
40,Limpador Uau Multiuso Lavanda 500Ml,4.19,4.19
41,Limpador Uau Perfumes Cuidado e Carinho 500Ml,4.59,4.59
42,Limpador Uau Perfumes Flores Vermelhas e Sedução 500Ml,4.59,4.59
43,Desinfetante de Lavanda Lysoform 1L,12.99,12.99
44,Limpa Piso Uau Laminado 750Ml,9.98,9.98
45,Limpa Porcelanato Azulim Powder Lavanda Embalagem 750Ml,8.99,8.99
46,Desinfetante Original Bruto Lysoform 1L,12.99,12.99
