,Produto,Preço Base,Preço Final
0,Álcool Safra 70º 1 Litro,9.98,9.98
1,Álcool Mega 70° 1Lt,8.99,8.99
2,Limpador Multiuso Veja 10% Desconto 500Ml,4.29,4.29
3,Água Sanitária Marina Embalagem 1L,3.69,3.69
4,Água Sanitária Marina Embalagem 2L,5.89,4.49
5,Álcool 70% Asseptgel Start Embalagem 500Ml,6.39,6.39
6,Água Sanitária Santa Clara 5L,13.99,13.99
7,Água Sanitária Classic Embalagem 2 Litros,5.99,5.99
8,Água Sanitária Santa Clara Embalagem 2 Litros,5.99,5.99
9,Álcool Líquido 70% Start 1L,11.99,11.99
10,Água Sanitária Santa Clara Embalagem 1 Litro,3.59,3.59
11,Kit Limpador Multiuso Azulim 550Ml 3Un,8.79,8.79
12,Brilha Alumínio Uva Brilhaluminio 500Ml,2.99,2.99
13,Água Sanitária Classic 1Litro,3.89,3.89
14,Água Sanitária Marina 5 Litros,13.49,13.49
15,Kit Econômico Azulim Multiuso 4X1,14.99,10.99
16,Soda Cáustica Escorpião 1Kg,31.99,31.99
17,Desinfetante Casa Km Casa & Perfume Passione Embalagem 1L,8.49,8.49
18,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,4.19,4.19
19,Desinfetante Bak Lavanda Ypê 2L,11.99,11.99
20,Limpador Multiuso Uau Rosas Sedução 500Ml,4.19,4.19
21,Água Sanitária Super Globo Embalagem 2 Litros,6.99,6.99
22,Limpador Multiuso Super Globo Floral Embalagem 500Ml,3.39,3.39
23,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.99,2.99
24,Limpador Uau Cloro Ativo 2 Unidades de 500Ml Cada + Grátis Multiuso Lavanda 500Ml,16.99,16.99
25,Limpa Box Uau Blindex 200Ml,12.99,12.99
26,"Água Sanitária Ypê Leve 2L Pague 1,8L Grátis 200Ml",8.49,8.49
27,Limpador Uau Requinte 500Ml,4.59,4.59
28,Saponáceo Ypê Premium Cremoso Lavanda 300Ml,6.99,6.99
29,Super Cloro Classic Extra Forte 2L,8.49,8.49
30,Desinfetante Santa Clara Lavanda Embalagem 2 Litros,6.49,6.49
31,Limpador Uau Perfumes Lavanda e Conforto Embalagem L1p800ml,7.99,7.99
32,Limpador Uau Multiuso Flores e Folhas 500Ml,4.19,4.19
33,Desengordurante Uau Squeeze 500Ml,7.99,7.99
34,Limpador Uau Multiuso Lavanda 500Ml,4.19,4.19
35,Lustra Móveis Ypê Campestre 200Ml,6.49,6.49
36,Saponáceo Ypê Premium Original Cremoso 300Ml,6.99,6.99
37,Desinfetante Original Bruto Lysoform 1L,12.99,12.99
38,Desinfetante Bak Floral Ypê 2L,11.99,11.99
39,Saponáceo Cremoso Ypê Citrus Embalagem 300Ml,6.99,6.99
40,Gel Adesivo Pato Lavanda Aparelho com 6 Aplicações,16.49,16.49
41,Limpador Limpeza Pesada Veja 500Ml,10.39,10.39
42,Limpador de Pisos Laminados Destac 750Ml,19.99,19.99
43,Soda Cáustica Yara 950G,14.99,14.99
44,Limpador Diluível Ajax Festa das Flores Lavanda 500Ml,6.99,6.99
45,Desentupidor de Piá Diabo Verde Embalagem 300G,19.99,19.99
46,Gel Adesivo Marine Oferta Refil Pato 38G com 2Un,26.99,26.99
47,Água Sanitária Ypê 1L,4.99,4.99
48,Desinfetante Santa Clara Herbal Embalagem 2 Litros,6.49,6.49
49,Limpador Uau Cloro Ativo Limpeza Pesada 500Ml,6.59,6.59
50,Veja Limpeza Pesada 2X1 500Ml Cloro Ativo,12.99,12.99
51,Limpador Diluível Ajax Festa das Flores 500Ml,6.99,6.99
52,Limpador Multiuso Veja Lavanda e Álcool Oferta 500Ml,4.29,4.29
53,Cera Líquida Incolor Brilho Fácil 750Ml,12.79,12.79
54,Desinfetante Classic Floral 5 Litros,14.99,14.99
55,Água Sanitária Ypê 5L,22.99,22.99
56,Bry Lustra Móveis de Lavanda Ingleza 200Ml,6.99,6.99
57,Desengordurante Super Globo Squeeze 500Ml,5.49,5.49
58,Limpador Multiuso Veja Power Fusion Limão 500Ml,9.98,9.98
59,Limpador Multiuso Uau Cloro Ativo 500Ml,8.49,8.49
60,Desengordurante Azulim Limpeza Pesada Limão Embalagem 500Ml,5.59,5.59
61,Pastilha Adesiva Inspira Limpeza Ativa Power Embalagem Leve 4Un Pague 3Un,6.79,6.79
62,Limpador Azulim Azulejo Citrus Embalagem 1L,6.99,6.99
63,Azulim Limpa Piso de Cerâmica e Azulejos Start Embalagem 2L,13.99,13.99
64,Desinfetante Ypê Bak Floral 500Ml,3.69,3.69
65,Desinfetante Pinho Trop 1L,8.79,8.79
66,Bloco para Caixa Acoplada Marine Oferta Pato 80G,23.99,23.99
67,Limpador Perfumado Uau Flores e Sonhos Embalagem Leve 1 Litro Pague 800Ml,7.99,7.99
68,Limpador Diluível Ajax Fresh Limão 500Ml,9.49,9.49
69,Limpador Azulim Multiuso com Álcool para Inox Embalagem 550Ml,3.29,3.29
70,Limpador Multiuso Ação Clareadora Uau 500Ml,4.19,4.19
71,Gel Adesivo Pato Marine Rf 38G com Aparelho,16.49,16.49
72,Limpador Multiuso Veja Floral Oferta 500Ml,4.29,4.29
