,Produto,Preço Base,Preço Final
0,Limpador Multiuso Veja 10% Desconto 500Ml,4.29,4.29
1,Água Sanitária Marina Embalagem 2L,5.99,4.49
2,Água Sanitária Classic Embalagem 2 Litros,5.99,5.99
3,Sapólio Cremoso Radium Lavanda 250Ml,8.99,8.99
4,Água Sanitária Marina 5 Litros,13.49,13.49
5,Soda Cáustica Escorpião 1Kg,31.99,31.99
6,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.99,2.99
7,Saponáceo Cremoso Multiuso Limão Bom Bril Sapólio Radium 250Ml,8.99,8.99
8,Gel Adesivo Sanitário Marine Refil Pato 12G,8.99,8.99
9,Cloro Gel Vim Lavanda 700Ml,13.99,13.99
10,Limpador Perfumado Uau Rosas Sedução 1L,8.49,8.49
11,Sapólio Radium Pó Clássico,6.45,6.45
12,Bilha Alumínio Alumil Embalagem 500Ml,4.69,4.69
13,Limpador Uau Multiuso Lavanda 500Ml,4.19,4.19
14,Limpador Limpeza Pesada Veja X-14 Grátis 20% de Desconto Frasco 500Ml,9.98,9.98
15,Pedra Sanitária de Lavanda Harpic Oferta 25G,3.49,3.49
16,Gel Adesivo Pato Lavanda Aparelho com 6 Aplicações,16.49,16.49
17,Soda Cáustica Yara 950G,14.99,14.99
18,Cera Líquida Incolor Brilho Fácil 750Ml,11.99,11.99
19,Bry Lustra Móveis de Lavanda Ingleza 200Ml,6.99,6.99
20,Desengordurante Super Globo Squeeze 500Ml,5.49,5.49
21,Lustra Móveis Uau Perfumado Rosas e Sedução 200Ml,6.99,6.99
22,Pastilha Adesiva Inspira Limpeza Ativa Power Embalagem Leve 4Un Pague 3Un,6.79,6.79
23,Limpador Amable Casa e Perfume 1L,7.99,7.99
24,Bloco para Caixa Acoplada Marine Oferta Pato 80G,23.99,23.99
25,Gel Adesivo Pato Marine Rf 38G com Aparelho,16.49,16.49
26,Tira Manchas Semorin Embalagem 100Ml,11.99,11.99
27,Sapólio Radium Cremoso Clássico Multiuso Bombril 250Ml,8.99,8.99
28,Pastilha Adesiva Aplik Lavanda Embalagem 3 Un,6.75,6.75
29,Lustra Móveis Flores e Folhas Uau 200Ml,6.99,6.99
30,Limpador Uau Multiuso Cloro Ativo 5 em 1 Lavanda 500Ml,8.49,8.49
31,Limpeza Pesada Uau Rosas e Sedução 500Ml,6.29,6.29
32,Cera Líquida para Piso de Pedra Ardósia Verde Ingleza Embalagem 750Ml,10.59,10.59
33,Desengordurante Mr Musculo Cozinha Limão Oferta 500Ml,17.49,17.49
34,Pastilha Sanitária Adesiva Inspira Citrus Embalagem Leve 4Un Pague 3 Un,6.79,6.79
35,Cera Líquida Ingleza Maxx Incolor 750Ml,13.49,13.49
36,Pastilha Adesiva Aplik Marine Embalagem 3 Un,6.75,6.75
37,Limpador Perfumado Veja Multiuso Lavanda Embalagem 500Ml,4.29,4.29
38,Soda Caustica Escorpião Embalagem 500G,17.99,17.99
39,Limpador Casa e Perfume Bela Flore Embalagem 1L,7.99,7.99
40,Limpa Vidros Veja Vidrex Tradicional 500Ml,11.99,11.99
41,Desinfetante Pinho Bril Campos de Lavanda 1000Ml,7.99,7.99
42,Cera Super Tacolac 500Ml,12.99,12.99
43,Desinfetante Pinho Bril Silvestre Plus 1L,7.99,7.99
44,Limpador Casa e Perfume Passione Embalagem 500Ml,4.99,4.99
45,Gel Adesivo Pato Marine Aparelho Embalagem 2 Discos,9.99,9.99
46,Limpa Pisos Uau Eliminador de Odores Embalagem 750Ml,9.98,9.98
47,Limpador Uau Limpa Pisos Madeira 750Ml,9.98,9.98
48,Desinfetante Pinho Sol Original Oferta 1000Ml,10.79,9.99
49,Desinfetante Classic Eucalipto 5 Litros,14.99,14.99
50,Limpador Banheiro Oferta Mr Músculo 500Ml,11.99,11.99
51,Desodorizador Sanitário Pato Pastilha Adesiva Fresh 3 Unidades,8.99,8.99
52,"Limpador Perfumado Uau Brisa Frescor Leve 2 Litros Pague 1,8 Litro",12.49,12.49
53,Saponáceo em Pó Multiuso Limão Bom Bril Sapólio Radium 300G,6.45,6.45
54,Desengordurante Multiuso Limão Classic 500Ml,4.99,4.99
55,Desinfetante Pinho Sol Leve 500Ml Pague 450Ml,5.85,5.85
56,Desinfetante Pinho Bril Brisa do Mar 1000Ml,7.99,7.99
57,Limpador Uau Desengordurante Refil Embalagem 500Ml,13.99,13.99
58,Lustra Móveis Bry Jasmim Embalagem 200Ml,6.99,6.99
59,Limpador Multiuso Veja Floral Embalagem 500Ml,4.29,4.29
60,Limpador Multiuso Veja Power Fusion Laranja 500Ml,8.99,8.99
61,Polidor para Metais Brasso 200Ml,32.9,32.9
62,Óleo de Peroba 200Ml,14.99,14.99
63,Lustra Móveis Bravo Líquido Lavanda Embalagem 200Ml,11.98,11.98
64,Óleo de Peroba King 100Ml,9.98,9.98
65,Limpa Forno Uau 450Ml,19.79,19.79
66,Limpa Pisos Uau Ação Clareadora Embalagem 750Ml,9.99,9.99
67,Cera Líquida Ingleza Maxx Amarela Embalagem 750Ml,13.49,13.49
68,Limpador Uau Desengordurante 500Ml,11.99,11.99
69,Desinfetante Pinho Flores de Limão Leve 500Ml Pague 450Ml,3.99,3.99
70,Desinfetante Pinho Bril Flores de Limão 1000Ml,7.99,7.99
71,Cera Ingleza Ardosia Incolor Embalagem 750Ml,10.59,10.59
72,Cera Líquida Nugget Preto 33% de Desconto Embalagem 60Ml,13.99,13.99
73,Limpador Desengordurante com Gatilho Uau 500Ml,18.99,18.99
74,Cera Líquida Brilho Fácil Vermelha 750Ml,11.99,11.99
75,Desinfetante Pinho Sol Limão 500Ml,6.49,6.49
76,Limpador Perfumado Veja Aroma Sense Romance 500Ml,5.49,5.49
77,"Desinfetante Pinho Sol Original 1,75 Litro",19.98,19.98
78,Desengordurante Veja Laranja Refil 500Ml,15.79,15.79
79,Limpa Vidros Uau Refil 500Ml,11.79,11.79
80,Limpador Limpeza Pesada 4 em 1 Alta Performance Uau 500Ml,6.29,6.29
81,Desinfetante Veja Limão Oferta 480Ml,4.79,4.79
82,Graxa para Sapato em Pasta Preta Nugget Lata 36G,11.99,11.99
83,Cera Líquida para Sapato Nugget Incolor 60Ml,16.99,16.99
84,Limpador Perfumado Veja Aroma Sense Energia 500Ml,5.49,5.49
85,Desinfetante Ype Bak Lavanda 2 Litros,11.69,11.69
86,Cera para Calçados Ingleza Preta Embalagem 60Ml,10.99,10.99
87,Desinfetante Marina Pinho Embalagem 1 Litro,4.29,4.29
88,Graxa para Sapato em Pasta Marrom Nugget Lata 36G,11.99,11.99
89,Cera Líquida Ingleza Incolor Brilhomax Embalagem 60Ml,13.49,13.49
90,Desinfetante Veja Pinho Oferta 480Ml,4.79,4.79
91,Limpador Perfumado Uau Requite 500Ml Caixa com 24Un,4.59,4.59
92,Desinfetante Ype Bak Eucalipto 2 Litros,11.69,11.69
93,Cera em Pasta Ingleza Lavanda Vermelha Lata 400G,29.99,29.99
94,Limpador Uau Banheiro 7Em1 Gatilho sem Cloro 500Ml,19.98,19.98
95,Tira Ceras Inglesa Embalagem 1L,19.99,19.99
96,Água Sanitária Ypê 2L Caixa com 6Un,8.49,8.49
97,Desinfetante Marina Citronela 2 Litros,7.49,7.49
98,Desinfetante Classic Capim Limão e Eucalipto 5 Litros,14.99,14.99
99,Desinf Paranaiba Lavanda 2L,4.99,4.99
100,Desinfetante Eucalipto Paranaíba 2L,4.99,4.99
101,Desinf Paranaiba Pinho 2L,4.99,4.99
102,Desinfetante Ype Bak Floral 2 Litros,11.69,11.69
103,Água Sanitária Ypê Embalagem 1 Litro,4.99,4.99
104,Querosene Dragão 500Ml,17.99,17.99
105,Limpador Perfumado Ypê Jardim Secreto 500Ml Caixa 24Un,5.59,5.59
106,Desinfetante Lysoform Embalagem 1 Litro,6.99,6.99
107,"Desinfetante Ypê Bak Leve 2L Pague 1,8L Lavanda Caixa com 6Un",9.98,9.98
108,Desinfetante Pinho Sol Citros e Lavanda Leve 500Ml Pague 450Ml Caixa 12Un,5.85,5.85
109,Removedor Avante Esmalte sem Acetona 100Ml,6.99,6.99
110,Limpa Cerâmica Marina 1L,6.79,6.79
111,Limpa Vidros Classic Alvejante 500Ml,4.99,4.99
112,Limpador Perfumado Uau Flores Vermelhas e Sedução 500Ml Caixa 12Un,4.59,4.59
113,Limpador Multiuso Uau Flores Frescor 500Ml,4.19,4.19
114,Ácido Muriático Mais Embalagem 1 Litro,6.99,6.99
115,Desinfetante Batuta Floral 2 Litros,7.99,7.99
116,Desinfetante Floral Paranaiba 2L,4.99,4.99
117,Desinfetante Bak Ypê Lavanda Caixa 12 Unidades 500Ml,3.89,3.89
118,Pedra Sanitária Marina Floral Embalagem 25G,2.39,2.39
119,Limpador Uau com Cloro Ativo 500Ml,17.99,17.99
120,Desinfetante Uso Geral Lavanda Ypê 5L Caixa com 4Un,24.99,24.99
121,Desinfetante Batuta Eucalipto 2 Litros,7.99,7.99
122,Desinfetante Bak Ypê Floral Embalagem 500Ml Caixa com 12Un,3.89,3.89
123,"Álcool Everest 92,8º Embalagem 1 Litro",11.99,11.99
124,Limpador Multiuso Uau Ação Clareadora 500Ml,4.19,4.19
125,Limpador Perfumado Uau Natureza e Harmonia 500Ml,4.59,4.59
126,Aguarrás Petrovila 500Ml,14.99,14.99
127,Limpador Multiuso Fort Lar com Cloro Ativo 500Ml,8.49,8.49
128,Desinfetante Marina Lavanda Embalagem 1 Litro,4.29,4.29
129,Desinfetante Batuta Oceano 2 Litros,7.99,7.99
130,Desinfetante Marina Floral Embalagem 1 Litro,4.29,4.29
131,Soda Cáustica Yara 480G,10.99,10.99
132,Limpador de Cerâmicas e Azulejos Citrus Azulim 1L,7.49,7.49
133,Água Sanitária Ype 5 Litros,21.99,21.99
