,Produto,Preço Base,Preço Final
0,Água Sanitária Classic 5 Litros,10.49,10.49
1,Álcool Etílico Hidratado 70º Inpm Uzu 1L,9.49,9.49
2,Limpador Multiuso Veja 10% Desconto 500Ml,4.99,4.99
3,Água Sanitária Marina Embalagem 1L,2.79,2.79
4,Água Sanitária Marina Embalagem 2L,5.69,5.69
5,Desinfetante Marina Lavanda 2L,4.99,4.99
6,Água Sanitária Santa Clara 5L,11.99,11.99
7,Água Sanitária Classic Embalagem 2 Litros,4.99,4.99
8,Água Sanitária Santa Clara Embalagem 2 Litros,5.99,5.99
9,Água Sanitária Santa Clara Embalagem 1 Litro,3.49,3.49
10,Água Sanitária Classic 1Litro,2.99,2.99
11,Tira Limo Veja X14 Cloro Ativo Squeeze Oferta 500Ml,15.99,15.99
12,Água Sanitária Marina 5 Litros,11.49,11.49
13,Tira Limo Azulim Embalagem 500Ml,5.99,5.99
14,Querosene Jacaré Lata 900Ml,22.99,22.99
15,Limpador Cremoso Cif Original 250Ml,9.99,9.99
16,Limpa Alumínio Marina Verde Embalagem 500Ml,2.69,2.69
17,Soda Cáustica Escorpião 1Kg,33.99,33.99
18,Álcool Líquido 70º Everest Embalagem 1L,8.99,8.99
19,Água Sanitária Super Globo Embalagem 2 Litros,6.99,6.99
20,Limpador Desengordurante Cozinha Limão Veja 500Ml 20% de Desconto,9.99,9.99
21,Limpador Multiuso Suprema Tradicional Embalagem 500Ml,2.49,2.49
22,Limpador Agradable Casa e Perfume 1L,7.99,7.99
23,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.99,2.99
24,Cloro Super Cloro Classic Extra Forte 1 Litro,3.69,3.69
25,Limpador Casa e Perfume Sensualidad 1L,7.99,7.99
26,Pastilha Adesiva Pato Lavanda Oferta Embalagem 3Un,8.99,8.99
27,Limpador Sensazione Casa & Perfume 1L,7.99,7.99
28,Lustra Móvel Poliflor Lavanda 200Ml,7.99,7.99
29,Super Cloro Classic Extra Forte 2L,6.49,6.49
30,Limpador Multiuso Campestre Suprema 500Ml,2.49,2.49
31,Limpador Suprema Multiuso Fresh Embalagem 500Ml,2.49,2.49
32,Limpador Sanitário de Lavanda Oferta Pato 750Ml,14.49,14.49
33,Desinfetante Classic Capim Limão Eucalipto Embalagem 2 Litros,5.49,5.49
34,Casa e Perfume Sensazine 500Ml,5.49,5.49
35,Limpador Sensualidad Casa e Perfume 500Ml,5.49,5.49
36,Limpador Sanitário Limpeza Profunda Gel Marine Pato 750Ml,14.49,14.49
37,Limpador Uau Multiuso Lavanda 500Ml,3.99,3.99
38,Desinfetante Marina Marine Embalagem 2 Litros,4.99,4.99
39,Limpador Uau Perfumes Cuidado e Carinho 500Ml,3.99,3.99
40,Desinfetante Original Bruto Lysoform 1L,12.99,12.99
41,Pedra Sanitária de Lavanda Harpic Oferta 25G,3.99,3.99
42,Limpador Limpeza Pesada Veja 500Ml,8.99,8.99
43,Limpador Multiuso Veja Maçã Verde 500Ml,5.49,5.49
44,Soda Cáustica Yara 950G,14.49,14.49
45,Limpador Multiuso Fresh Marina 500Ml,2.99,2.99
46,Limpador Veja Perfumes Lavanda Oferta 500Ml,3.99,3.99
47,Cera Líquida Special Taco/Madeiras Ingleza Maxx 750Ml,12.99,12.99
48,Limpeza Pesada Suprema Embalagem 500Ml,2.49,2.49
49,Cera Líquida Incolor Brilho Fácil 750Ml,12.99,12.99
50,Limpador Multiuso Veja Lavanda e Álcool Oferta 500Ml,4.99,4.99
51,Limpador Multiuso Veja com Álcool 500Ml,5.49,5.49
52,Limpador Azulim Lavanda Embalagem 1L,7.99,7.99
53,Limpador Perfumado Uau Lavanda 500Ml,3.99,3.99
54,Limpador Multiuso Veja Power Fusion Limão 500Ml,7.99,7.99
55,Limpador Perfumado Uau Requinte Embalagem 1 Litro,6.49,6.49
56,Limpador Azulim Azulejo Citrus Embalagem 1L,7.99,7.99
57,Limpador Multiuso Suprema Citrus Embalagem 500Ml,2.49,2.49
58,Limpador Uau Flores e Sonhos 500Ml,3.99,3.99
59,Desinfetante Pinho Trop 1L,6.99,6.99
60,Desinfetante Bruto Suave Odor Lysoform 500Ml,5.99,5.99
61,Desinfetante Pinho Bril Campos de Lavanda 500Ml,3.19,3.19
62,Cera Líquida Brilhowax Incolor 750Ml,9.99,9.99
63,Limpador Diluível Ajax Fresh Limão 500Ml,8.49,8.49
64,Limpador Azulim Multiuso com Álcool para Inox Embalagem 550Ml,2.15,2.15
65,Detergente em Pó Casa e Roupa Urca 800G,3.99,3.99
66,Limpador Multiuso Veja Floral Oferta 500Ml,4.99,4.99
67,Água Sanitária Superglobo Embalagem 1L,3.99,3.99
68,Sapólio Radium Cremoso Clássico Multiuso Bombril 250Ml,7.99,7.99
69,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,4.99,4.99
70,Desinfetante Batuta Lavanda Embalagem 2L,6.49,6.49
71,Cera Líquida para Piso de Pedra Ardósia Verde Ingleza Embalagem 750Ml,9.99,9.99
72,Desinfetante Lavanda Pinho Sol 500Ml,7.49,7.49
73,Limpador Multiuso Azulim Original Azul 500Ml,3.99,3.99
74,Kit Veja - 1 Limpadores Multiuso Original 500Ml + 1 Limpador Cozinha Desengordurante Limão 500Ml + 1 Limpador Banheiro Tira Limo 500Ml,19.99,19.99
75,Pastilha Adesiva Aplik Marine Embalagem 3 Un,7.49,7.49
76,Soda Caustica Escorpião Embalagem 500G,17.49,17.49
77,Tira Ferrugem Semorin Embalagem 50Ml,8.99,8.99
78,Limpador Multiuso com Álcool Brilho Instantâneo Uau Frasco 500Ml,3.99,3.99
79,Desinfetante Marina Floral Embalagem 2 Litros,4.99,4.99
80,Limpa Piso Uau Cerâmicas 750Ml,9.49,9.49
81,Desinfetante Marina Eucalipto Embalagem 2L,4.99,4.99
82,Limpador Multiuso Floral Uau Embalagem 500Ml,3.99,3.99
83,Lustra Móveis Lavanda Preço Especial Poliflor 500Ml,16.99,16.99
84,Desinfetante Uso Geral Cloro Gel Marine Poderosa Espumação Pato 500Ml,14.49,14.49
85,Desinfetante Pinho Bril Campos de Lavanda 1000Ml,6.99,6.99
86,Desinfetante Pinho Sol Lavanda 1000Ml,12.99,12.99
87,Cera Super Tacolac 500Ml,11.99,11.99
88,Limpador Multiuso Azulim Florata 550Ml,3.99,3.99
89,Limpador Multiuso Cremoso Limão Cif 250Ml,9.99,9.99
90,Desinfetante Pinho Bril Silvestre Plus 500Ml,3.99,3.99
91,Limpador Banheiro Oferta Mr Músculo 500Ml,10.99,10.99
92,Desinfetante Pinho Sol Original 1000Ml,12.99,12.99
93,Limpador Sanitário Harpic Cloro Forte Fresh 500Ml,13.99,13.99
94,Desengordurante Multiuso Limão Classic 500Ml,4.49,4.49
95,Desinfetante Pinho Sol Leve 500Ml Pague 450Ml,7.49,7.49
96,Cera Líquida Brilho Fácil Ardósia Embalagem 750Ml,12.99,12.99
97,Desinfetante Classic Jasmim Embalagem 2 Litros,5.49,5.49
98,Lustra Móveis Bry Jasmim Embalagem 200Ml,5.99,5.99
99,Sapólio Radium Pedra Clássico 200G,2.99,2.99
100,Limpador Perfumado Amora Sense Euforia Veja 500Ml,5.79,5.79
101,Limpador Multiuso Uau Flores e Frescor Ingleza 500Ml,3.99,3.99
102,Limpador Diluível Ajax Fresh 500Ml,8.49,8.49
103,Óleo de Peroba 200Ml,12.99,12.99
104,Limpador Mr Músculo Desengordurante Cozinha Laranja 500Ml,12.99,12.99
105,Limpador Mr Músculo Cozinha Oferta Embalagem 500Ml,11.99,11.99
106,Desinfetante Líquido Harpic Active Fresh Lavanda 500Ml,13.99,13.99
107,Desinfetante Pinho Flores de Limão Leve 500Ml Pague 450Ml,3.99,3.99
108,Cera Ingleza Ardosia Incolor Embalagem 750Ml,9.99,9.99
109,Desinfetante Pinho Trop Pinho e Menta 500Ml,3.69,3.69
110,Desinfetante Pinho Sol Limão 500Ml,7.49,7.49
111,Desinfetante Pinho Sol Limão 1L,12.99,12.99
112,Limpador Perfumado Veja Aroma Sense Romance 500Ml,5.79,5.79
113,Desinfetante Batuta Eucalipto Embalagem 2L,6.49,6.49
114,Desinfetante Classic Lavanda Embalagem 2 Litros,5.49,5.49
115,Limpador Multiuso Classic Floral 500Ml,2.99,2.99
116,Desinfetante Marina Pinho Embalagem 2L,4.99,4.99
117,Limpa Forno Easy Off 250Ml,19.99,19.99
118,Desinfetante Pearson Creolina Embalagem 50Ml,12.99,12.99
119,Pedra Sanitária Bosque de Pinho Glade 25G,3.49,3.49
120,Pastilha Adesiva Desodor Limão Embalagem 3 Un,5.99,5.99
121,Limpador Perfumado Veja Aroma Sense Frescor 500Ml,5.79,5.79
122,Limpador Veja X14 Banheiro Refil 500Ml,9.99,9.99
123,Desinfetante Pinho Sol Original Unidade 1 Litro,12.99,12.99
124,Limpador Multiuso Classic Hortelã 500Ml,2.99,2.99
125,Graxa para Sapato em Pasta Preta Nugget Lata 36G,10.99,10.99
126,Pedra Sanitário Q-Odor Jasmim Embalagem 40G,1.49,1.49
127,Desinfetante Classic Eucalipto Embalagem 2 Litros,5.49,5.49
128,Limpa Alumínio Marina Azul Embalagem 500Ml,2.69,2.69
129,Limpador Casa e Perfume Sensualidad Embalagem 500Ml Pague 400Ml,7.99,7.99
130,Soda Líquida Ita 1L,19.99,19.99
131,Desinfetante Marina Pinho Embalagem 1 Litro,3.99,3.99
132,Polidor Kaol Silver Embalagem 200Ml,9.99,9.99
133,Limpador Gel Brilhex 4 em 1 Pinho 1 Litro,8.99,8.99
134,Desinfetante Marina Erva Doce Embalagem 2 Litros,4.99,4.99
135,Limpador Uau Cloro Ativo Refil 500Ml,12.99,12.99
136,Cera Líquida Nugget Calçado Marrom Unidade 60Ml,13.49,13.49
137,Graxa para Sapatos Nugget Pasta Preto 36G,10.99,10.99
138,Desinfetante Cif Alcool Refil 500Ml,12.49,12.49
139,Desinfetante Brilhex Citronela 1 Litro,4.49,4.49
140,Cera Liquida Incolor Panter Wax Embalagem 850 Ml,8.49,8.49
141,Limpa Pedras e Calçadas Brilhex 2L,12.99,12.99
142,Limpador Perfumado Uau Flores Vermelhas e Sedução 500Ml Caixa 12Un,3.99,3.99
143,Cera Liquida Incolor Panter Plus 850Ml,11.49,11.49
144,Limpador Multiuso Folhas e Flores Marina 500Ml,2.99,2.99
145,Ácido Muriático Mais Embalagem 1 Litro,5.99,5.99
146,Desinfetante Pinho Sol Lavanda Embalagem 500Ml,7.49,7.49
147,Soda Caustica Yara Embalagem 1Kg,14.49,14.49
148,Limpa Alumínio Amarelo Brilhex 500Ml,2.99,2.99
149,Desinfetante Panter Pinho Floral 500Ml,3.49,3.49
150,Cera Panter Polly Mil Incolor 750Ml,6.49,6.49
151,Limpador Casa & Perfume Agradable 1L,7.99,7.99
152,Desinfetante Creolina Pearson 12X50ml,12.99,12.99
153,Desinfetante Batuta Eucalipto 2 Litros,6.49,6.49
154,Limpa Brilha Alum Brilhex Tradicional 500Ml,2.99,2.99
155,"Álcool Everest 92,8º Embalagem 1 Litro",10.99,10.99
156,Pastilha Adesiva Marine Marina 3Un,4.49,4.49
157,Desinfetante Pinho Bril Flores de Lima Embalagem 500Ml,3.99,3.99
158,Multiuso Mil Floral 500Ml,2.69,2.69
159,Pedra Sanitária de Eucalipto Marina 25G,2.49,2.49
160,Desinfetante Panter Eucalipto 750Ml,2.49,2.49
