,Produto,Preço Base,Preço Final
0,Cloro Super Cloro Classic Extra Forte 1 Litro,3.69,3.69
1,Limpador Multiuso Veja 10% Desconto 500Ml,4.29,4.29
2,Água Sanitária Classic 5 Litros,11.49,11.49
3,Água Sanitária Santa Clara Embalagem 2 Litros,5.69,5.69
4,Álcool Líquido 70% Start 1L,11.99,11.99
5,Água Sanitária Santa Clara Embalagem 1 Litro,3.29,3.29
6,Água Sanitária Santa Clara 5L,11.99,11.99
7,Água Sanitária Classic Embalagem 2 Litros,5.49,4.69
8,Desinfetante Santa Clara Lavanda Embalagem 2 Litros,6.49,6.49
9,Lustra Móveis Uau Perfumado Rosas e Sedução 200Ml,6.99,6.99
10,Limpa Box Uau Blindex 200Ml,11.99,11.99
11,Limpador Veja Perfumes Flores do Mediterrâneo 30% Grátis 500Ml,3.99,3.99
12,Desinfetante Casa Km Casa & Perfume Passione Embalagem 1L,8.99,8.99
13,Água Sanitária Classic 1Litro,3.29,3.29
14,Limpador Multiuso Gold Original Veja 500Ml,4.29,4.29
15,Desinfetante Batuta Oceano Ação Limpa Pisos Elimina Germes e Bactérias Embalagem 2L,8.99,8.99
16,Limpador Sanitário Limpeza Profunda Gel Marine Pato 750Ml,14.99,14.99
17,Limpador Multiuso Cif Cremoso Original Oferta 450Ml,11.49,11.49
18,Limpador Limpa Alumínio Politriz Tradicional Embalagem 500Ml,2.99,2.99
19,"Álcool Líquido Araucária 46,2º Embalagem 500Ml",4.99,4.99
20,Desinfetante Batuta Lavanda Embalagem 2L,8.99,8.99
21,Água Sanitária Super Globo Embalagem 2 Litros,5.99,5.99
22,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.99,2.99
23,Super Cloro Classic Extra Forte 2L,7.29,7.29
24,Desengordurante Uau Squeeze 500Ml,7.49,7.49
25,Soda Cáustica Escorpião 1Kg,35.99,35.99
26,Limpador Multiuso Uau Rosas Sedução 500Ml,4.39,3.89
27,Soda Cáustica Yara 950G,14.99,14.99
28,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,4.39,3.89
29,Pedra Sanitária Master Sortida 25G,2.5,2.5
30,Limpador Casa e Perfume Sensualidad 1L,8.99,8.99
31,Desinfetante Classic Capim Limão Eucalipto Embalagem 2 Litros,5.69,5.69
32,Desinfetante Santa Clara Floral Embalagem 2 Litros,6.49,6.49
33,Limpador Uau Perfumes Flores Vermelhas Embalagem 1 Litro,6.98,6.98
34,Limpador Uau Multiuso Lavanda 500Ml,4.39,3.89
35,Cera Líquida Special Taco/Madeiras Ingleza Maxx 750Ml,14.99,14.99
36,Limpador Multiuso Ação Clareadora Uau 500Ml,4.39,3.89
37,Bry Lustra Móveis de Lavanda Ingleza 200Ml,7.29,7.29
38,Limpador Limpeza Pesada Veja 500Ml,8.99,8.99
39,Limpador Uau Perfumes Lavanda e Conforto Embalagem L1p800ml,6.98,6.98
40,Pastilha Adesiva Pato Lavanda Oferta Embalagem 3Un,9.99,9.99
41,Lustra Móveis Lavanda Preço Especial Poliflor 500Ml,17.49,17.49
42,Desinfetante Classic Floral 5 Litros,12.99,12.99
43,Lustra Móveis Poliflor Lavanda 500Ml,17.49,17.49
44,Limpador Uau Cloro Ativo Limpeza Pesada 500Ml,6.29,6.29
45,Tira Limo Veja X14 Cloro Ativo Squeeze Oferta 500Ml,11.99,11.99
46,Limpa Forno Uau 450Ml,17.99,17.99
47,Brilha-Móveis Lavanda Destac Squeeze 500Ml Grátis 20% de Desconto,14.99,14.99
48,Limpador Azulim Azulejo Citrus Embalagem 1L,7.59,7.59
49,Limpador Uau Multiuso Flores e Folhas 500Ml,4.39,3.89
50,Limpador Azulim Lavanda Embalagem 1L,7.59,7.59
51,Desinfetante Original Bruto Lysoform 1L,13.99,13.99
52,Cera Líquida Ingleza Maxx Incolor 750Ml,14.99,14.99
53,Pedra Sanitária de Lavanda Harpic Oferta 25G,2.99,2.99
54,Lustra Móvel Poliflor Lavanda 200Ml,8.49,8.49
55,Desinfetante Pinho Sol Original 500Ml,7.99,7.99
56,Limpa Piso Uau Cerâmicas 750Ml,9.99,9.99
57,Limpador Uau Requinte 500Ml,4.39,3.89
58,Desinfetante Ypê Bak Lavanda 500Ml,4.49,4.49
59,Limpador Diluível Ajax Fresh 500Ml,9.99,9.99
60,Desinfetante Lavanda Pinho Sol 500Ml,7.99,7.99
61,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,4.99,4.99
62,Limpador Multiuso com Álcool Brilho Instantâneo Uau Frasco 500Ml,4.39,3.89
63,Saponáceo em Pó Multiuso Limão Bom Bril Sapólio Radium 300G,5.99,5.99
64,Água Sanitária Superglobo Embalagem 1L,3.69,3.69
65,Soda Cáustica Indaia Pote 1Kg,16.99,16.99
66,Desinfetante Batuta Floral Embalagem 2L,8.99,8.99
67,Limpador Desengordurante Cozinha Laranja Mr Músculo 400Ml,11.99,11.99
68,Lustra Móveis Líquido Lavanda Embeleza Bravo 200Ml,7.59,7.59
69,Limpador Uau Perfumes Cuidado e Carinho 500Ml,4.39,3.89
70,Desinfetante Ypê Bak Floral 500Ml,3.99,3.99
71,Desinfetante Líquido Original Lysoform 500Ml,5.99,5.99
72,Limpador Uau Flores e Sonhos 500Ml,4.39,3.89
73,Desinfetante Multiuso + Antibac Squeeze Cif Leve 500Ml Pague 425Ml,3.99,3.99
74,Limpador Uau Brisa Frescor 500Ml,4.39,3.89
75,Limpador Perfumado Uau Requinte Embalagem 1 Litro,6.98,6.98
76,Limpador Uau Perfumes Lavanda e Conforto Ingleza Embalagem 500Ml,4.39,3.89
77,Limpador Uau Perfumes Flores Vermelhas e Sedução 500Ml,4.39,3.89
78,Limpa Vidros Veja Vidrex Gatilho 500Ml,19.99,19.99
79,Pedra Sanitária Marine Oferta Pato,3.99,3.99
80,Limpador Diluível Ajax Fresh Blue 500Ml,9.99,9.99
81,Limpador Multiuso Veja Lavanda e Álcool Oferta 500Ml,4.99,4.99
82,Desinfetante Pinho Sol Original 1000Ml,14.99,14.99
83,Desinfetante Pinho Sol Lavanda 1000Ml,14.99,14.99
84,Limpador Multiuso Floral Uau Embalagem 500Ml,4.39,3.89
85,Desinfetante Minuano Lavanda 500Ml,3.99,3.99
86,Lustra Móveis Bry Jasmim Embalagem 200Ml,7.29,7.29
87,Bloco Sanitário Pato Espuma Ativa Tropical Embalagem 8G,16.99,16.99
88,Desengordurante Multiuso Limão Classic 500Ml,3.89,3.89
89,Desinfetante Santa Clara Herbal Embalagem 2 Litros,6.49,6.49
90,Bloco Gel Sanitário Pato Espuma Ativa Marine Embalagem 8G,16.99,16.99
91,Desinfetante Suave Odor Lysoform Bruto Bombril 1L,13.99,13.99
92,Óleo de Peroba 200Ml,14.99,14.99
93,Desinfetante Pinho Sol Limão 1L,14.99,14.99
94,Desinfetante Batuta Eucalipto Embalagem 2L,8.99,8.99
95,Limpador Multiuso Uau Flores e Frescor Ingleza 500Ml,4.39,3.89
96,Cera Líquida para Piso de Pedra Ardósia Verde Ingleza Embalagem 750Ml,11.99,11.99
97,Bloco para Caixa Acoplada Marine Oferta Pato 80G,27.99,27.99
98,Desinfetante Pinho Trop Pinho e Menta 500Ml,4.29,4.29
99,Limpador Multiuso Classic Tradicional 500Ml,2.99,2.99
100,Desinfetante Classic Floral Embalagem 2 Litros,5.69,5.69
101,Bilha Alumínio Alumil Embalagem 500Ml,3.59,3.59
102,Limpador Uau Desengordurante 500Ml,10.99,10.99
103,Limpador Multiuso Veja Power Fusion Limão 500Ml,7.99,7.99
104,Cera Líquida Ingleza Maxx Amarela Embalagem 750Ml,14.99,14.99
105,Limpador Uau Harmonia 500Ml,4.39,3.89
106,Óleo de Peroba King 100Ml,8.99,8.99
107,Cera Líquida Nugget Preto 33% de Desconto Embalagem 60Ml,9.99,9.99
108,Limpador Perfumado Uau Flores e Sonhos Embalagem Leve 1 Litro Pague 800Ml,6.98,6.98
109,Desinfetante Eucalipto Santa Clara 2L,6.49,6.49
110,Cera Líquida Ingleza Maxx Vermelha 750Ml,14.99,14.99
111,Limpa Forno Easy Off 250Ml,16.99,16.99
112,Desinfetante Minuano Eucalipto 500Ml,3.99,3.99
113,Cera Líquida Brilhowax Vermelha 750Ml,10.99,10.99
114,Desinfetante Perfumado Minuano Marine 500Ml,3.99,3.99
115,Desengordurante Cozinha Laranja Refil Mr Músculo 400Ml,11.99,11.99
116,Desinfetante Pinho Ypê Lavanda 500Ml,6.49,6.49
117,Pedra Sanitária Bouquet de Lavanda Glade 25G,3.99,3.99
118,Limpador Uau Multiuso Folhas Verdes Embalagem 500Ml,4.39,3.89
119,Sapólio Radium Pedra Clássico 200G,3.49,3.49
120,Cera Líquida Brilhowax Incolor 750Ml,10.99,10.99
121,Desinfetante Trop Pinho Lavanda Inglesa 500Ml,4.29,4.29
