,Produto,Preço Base,Preço Final
0,Limpador Multiuso Cif +Antibac Oferta 500Ml,3.99,3.99
1,Limpador Multiuso Veja 10% Desconto 500Ml,4.39,4.39
2,Água Sanitária Santa Clara 5L,11.99,11.99
3,Kit Limpador Multiuso Azulim 550Ml 3Un,8.89,8.89
4,Limpador Multiuso Cif Cremoso Original Oferta 450Ml,14.19,14.19
5,Tira Limo Azulim Embalagem 500Ml,4.98,3.99
6,Água Sanitária Santa Clara Embalagem 1 Litro,3.38,3.38
7,Limpa Box Uau Blindex 200Ml,12.48,12.48
8,Cera Líquida Brilhowax Incolor 750Ml,9.98,9.98
9,Limpador Desengordurante Cozinha Limão Veja 500Ml 20% de Desconto,7.99,7.99
10,Desengordurante Super Globo Squeeze 500Ml,4.88,4.88
11,Limpador Multiuso Gold Original Veja 500Ml,4.79,4.79
12,Desinfetante Original Bruto Lysoform 1L,11.98,11.98
13,Desentupidor de Piá Diabo Verde Embalagem 300G,16.98,16.98
14,Limpador Uau Multiuso Lavanda 500Ml,4.48,3.48
15,Sapólio Radium Po com Cloro 300G,5.69,4.99
16,Desinfetante Ypê Bak Lavanda 500Ml,3.78,3.78
17,Limpador Multiuso Uau Cloro Ativo 500Ml,8.19,6.48
18,Limpador Perfumado Ypê Amor de Verão 500Ml,4.19,4.19
19,Limpador Azulim Lavanda Embalagem 1L,6.99,5.99
20,Sapólio Radium Cremoso Clássico Multiuso Bombril 250Ml,8.49,8.49
21,Pastilhas Ades Inspira Lavanda 20%Desc 3Un,4.94,4.94
22,Desinfetante Ypê Bak Floral 500Ml,3.78,3.78
23,Desengordurante Azulim Limpeza Pesada Limão Embalagem 500Ml,4.99,4.99
24,Desinfetante Pinho Sol Original 500Ml,7.98,7.98
25,Pedra Sanitária Santa Clara Lavanda Unidade 25G,2.39,2.39
26,Desinfetante Pinho Bril Lavanda Oferta 500Ml,4.19,4.19
27,Bry Lustra Móveis de Lavanda Ingleza 200Ml,6.68,6.68
28,Limpador Perfumado Azulim Felicidade Embalagem 1L,6.69,6.69
29,Limpador Azulim Azulejo Citrus Embalagem 1L,6.99,5.99
30,Desinfetante Líquido Original Lysoform 500Ml,6.98,6.98
31,Desinfetante Pinho Bril Brisa do Mar 500Ml,4.19,4.19
32,Desinfetante Pinho Sol Lavanda 1000Ml,12.98,12.98
33,Limpador Multiuso Azulim Original Azul 500Ml,2.98,2.98
34,Desinfetante Pinho Bril Campos de Lavanda 1000Ml,6.68,6.68
35,Limpa Pisos Cif Perfumes Purificante 450Ml,4.49,2.99
36,Desinfetante Multiuso Antibac Cif 500Ml,3.99,3.99
37,Limpador Perfumado Azulim Carinho Embalagem 1L,6.69,6.69
38,Desinfetante Pinho Sol Original 1000Ml,11.49,11.49
39,Desinfetante Pinho Bril Silvestre Plus 1L,5.98,5.98
40,Saponáceo em Pó Multiuso Limão Bom Bril Sapólio Radium 300G,5.69,4.99
41,Limpador Multiuso Azulim Florata 550Ml,2.98,2.48
42,Limpador Banheiro Cif sem Cloro Refil 450Ml,8.98,8.98
43,Desinfetante Pinho Bril Brisa do Mar 1000Ml,5.99,5.99
44,Desinfetante Pinho Bril Silvestre Plus 500Ml,4.19,4.19
45,Limpador Multiuso Azulim Citronela 500Ml,2.98,2.98
46,Desinfetante Eucalipto Santa Clara 2L,5.58,5.58
47,Limpa Pisos Cif Perfumes Envolvente 450Ml,4.49,2.99
48,Limpador Perfumado Ypê Jardim Secreto 500Ml,4.19,4.19
49,Cera em Pasta Ingleza Lavanda Incolor Lata 400G,34.48,34.48
50,Limpador Multiuso Super Globo Original Embalagem 500Ml,3.39,3.39
51,Limpador Multiuso Azulim Laranja 500Ml,2.98,2.48
52,Água Sanitária Mais Embalagem 1 Litro,3.39,3.39
53,Desinfetante Pinho Sol Limão 500Ml,6.48,6.48
54,Limpador Multiuso Super Globo Campestre Embalagem 500Ml,3.39,2.99
55,Limpador Perfumado Azulim Alegria Embalagem 1L,6.69,6.69
56,Limpador Mr Músculo Desengordurante Cozinha Laranja 500Ml,9.79,9.79
57,Desinfetante Sanitário Inspira Marine Embalagem 500Ml,9.6,9.6
58,Desinfetante Pearson Creolina Embalagem 50Ml,15.48,15.48
59,Limpa Inox Uau 200Ml,13.18,13.18
60,Higienizador Multiuso com Álcool Original Cif 500Ml,24.98,11.99
61,Cera Líquida Nugget Preto 33% de Desconto Embalagem 60Ml,11.99,11.99
62,Limpador Perfumado Super Globo Momento Tranquilo 1L,6.59,6.59
63,Tira Ceras Inglesa Embalagem 1L,18.98,18.98
64,Limpador Multiuso Super Globo Citrus 500Ml,3.39,3.39
65,"Desinfetante Uzzilim Lavanda Embalagem 1,75 Litro",5.89,4.48
66,Pedra Sanitária Santa Clara Floral Unidade 25G,2.39,2.39
67,Pedra Sanitária Eucalipto Santa Clara Embalagem 25G,2.39,2.39
68,Limpador Acido Muriatico Mais 1L,6.89,6.89
69,Agua Sanitaria Dular 2L,5.48,5.48
70,Limpa Brilha Alum Brilhex Tradicional 500Ml,2.78,2.78
71,Pedra Sanitária Santa Clara Tutti Frutti Unidade 25G,2.39,2.39
72,Detergente Ypê Clear 500Ml,2.48,2.48
73,Detergente Ypê Neutro 500Ml,2.48,2.48
74,Detergente Coco Ypê 500Ml,2.48,2.48
75,Detergente Limpol Coco 500Ml,2.28,2.28
76,Detergente Ypê Limão 500Ml,2.48,2.48
77,Detergente Ypê Capim Limão 500Ml,2.48,2.48
78,Detergente Líquido Limpol Cristal Embalagem 500Ml,2.28,2.28
79,Detergente Ypê Clear 500Ml Oferta 6Un Grátis Esponja,14.88,14.88
80,Detergente Líquido Neutro Limpol 500Ml,2.28,2.28
81,Detergente Azulim Coco 500Ml,1.79,1.79
82,Detergente Limpol Maçã 500Ml,2.28,2.28
83,Detergente Líquido Azulim Citrus 500Ml,1.79,1.79
84,Detergente Líquido Azulim Neutro 500Ml,1.79,1.79
85,Detergente Limpol Limão 500Ml,2.28,2.28
86,Detergente Líquido Maçã Ypê 500Ml,2.48,2.48
87,Detergente Lava Louças Minuano 1300 Limão Líquido 500Ml,2.28,1.88
88,Detergente Líquido Lava Louça Minuano 1300 Maçã 500Ml,2.28,1.88
89,Detergente Líquido Azulim Clear 500Ml,1.79,1.79
90,Detergente Líquido Uzzilim Neutro Embalagem 500Ml,1.98,1.68
91,Detergente Líquido Uzzilim Maçã Embalagem 500Ml,1.98,1.68
92,Detergente Liquido Maçã Smart 500Ml,1.79,1.79
93,Repelente Elétrico Raid Líquido Oferta Refil 2Un,21.9,21.9
94,Inseticida Raid Multi Insetos Base Água 420Ml,11.99,11.99
95,Inseticida Raid Multi Insetos Eucalipto Oferta 420Ml,12.98,12.98
96,K-Othrine Sc 25 Bayer 30Ml,12.98,12.98
97,"Repelente Elétrico Liquido 45 Noites Aparelho e Refil Original Raid 32,9M",13.98,13.98
98,Inseticida Raid Mata Baratas Formigas Oferta 420Ml,12.98,12.98
99,Inseticida Raid Multi Insetos Citronela Oferta 420Ml,12.98,12.98
100,Naftalina Sanilux 25G,3.98,3.98
101,Inseticida Boa Noite Original Espiral 96G,4.59,4.59
102,Inseticida Raid Elétrico Eucalipto Pastilha Oferta Refil 12 Un,4.98,4.98
103,Inseticida Mata Baratas Kelldrin Barakell Gel Embalagem 10G,10.48,10.48
104,Kit Aparelho + Repelente Elétrico Líquido Sbp Refil 35Ml,13.59,13.59
105,Baraticida em Gel Atack 10G,9.98,9.98
106,"Lava Roupas Limpeza Total Brilhante 1,6Kg",15.99,15.99
107,"Lava-Roupas Pó Lavagem Perfeita Omo 1,6Kg",20.98,20.98
108,Sabão em Pó Omo Lavagem Perfeita 400G,11.69,11.69
109,Sabão em Pó Uzzilim Lavanda Embalagem 1Kg,4.99,3.99
110,Lava-Roupas Pó Lavagem Perfeita Omo 800G,13.79,13.79
111,Sabão em Pó Lavanda Uzzilim 2Kg,9.49,7.48
112,Sabao Glic Ype Neutro 900G,14.29,13.49
113,"Lava-Roupas Pó Omo Lavagem Perfeita Caixa 2,2Kg Tamanho Família",27.99,27.99
114,Lava Roupas Sanitizante em Pó Brilhante Limpeza Total 2.2Kg,23.98,21.98
115,Amaciante Downy Brisa do Verão 500Ml,11.98,11.98
116,Lava Roupas Uzzilim Flores 1Kg,4.99,3.98
117,"Amaciante Azul Aconchego Ypê Leve 2L Pague 1,6L",8.99,8.99
118,Lava-Roupas Líquido Omo Lavagem Perfeita Sachê 900Ml Refil Econômico,13.98,13.98
119,"Lava-Roupas em Pó Omo Lavagem Perfeita Sanitiza & Higieniza Tamanho Família 2,2Kg",25.98,25.98
120,"Lava-Roupas em Pó Concentrado Primavera Tixan Ypê 1,6Kg",21.98,21.98
121,"Lava-Roupas Pó Omo Lavagem Perfeita Sanitiza & Higieniza Caixa 1,6Kg",20.98,20.98
122,"Lava-Roupas em Pó Concentrado Primavera Tixan Ypê 1,3Kg",19.29,19.29
123,"Lava Roupas em Pó Concentrado Primavera Tixan Ypê Leve 1,6Kg Pague 1,52Kg",22.39,22.39
124,Lava-Roupas em Pó Concentrado Maciez Tixan Ypê 400G,7.98,7.98
125,Detergente em Pó Limão e Bicarbonato Surf 800G,11.59,11.59
126,Sabão Barra Glicerinado Uzzilim 5Un,11.98,8.98
127,Amaciante Concentrado Comfort Intense Puro Cuidado 500Ml,10.59,10.59
128,Sabão em Barra Glicerinado Neutro Ypê 180G,3.98,3.98
129,"Amaciante para Roupas Baby Soft Carinho 1,8L",6.88,6.88
130,Sabão Líquido Brilhante Higiene Total 900Ml,10.29,10.29
131,Amaciante Concentrado Fofo Tradicional Oferta 500Ml,6.99,6.99
132,"Lava Roupas em Pó Cuidado do Coco 5 em 1 Surf 1,6Kg",16.98,16.98
133,Sabão em Barra Glicerinado Minuano 180G,3.69,3.69
134,Sabão Líquidobrilho Ativo Brilhante 3L,30.99,30.99
135,Amaciante Concentrado Downy Frescor da Primavera Embalagem 500Ml,11.98,11.98
136,Amaciante Amacitel Luxo Momento de Carinho 2L,8.88,6.98
137,Sabão Líquido Baby Soft Toque de Carinho 1L,9.09,9.09
138,Lava Roupas Desinfetante em Pó Brilhante Higiene Total Combate Germes e Bactérias 800G,13.98,13.98
139,Lava-Roupas em Pó Concentrado Primavera Tixan Ypê 400G,7.98,7.98
140,Detergente Lava Roupas em Pó Surf 5 em 1 Lavanda 800G Nova Formula,11.59,11.59
141,Lava Roupas Desinfetante em Pó Brilhante Higiene Total Combate Germe e Bactérias 1.6Kg,22.89,22.89
142,Amaciante de Roupa Concentrado Fiber Protect Comfort Cuidado Intensivo Frasco 500Ml,10.59,10.59
143,Amac Comfort Conc Intense 500Ml,10.98,10.98
144,Sabão em Barra Glicerinado Tira-Manchas Multiativo Ypê,15.29,15.29
145,Amaciante Concentrado Comfort Intense Cuidado Essencial 500Ml,7.99,7.99
146,Sabão em Barra Atlas Coco Pacote 200G,1.99,1.99
147,Amaciante Baby Soft Care Lavanda e Amêndoas Embalagem 1L,9.98,9.98
148,Sabão Líquido Urca Coco 500Ml,6.89,6.89
149,Sabão em Pedra Azul Limpeza Perfumada Minuano 5X180g,19.19,19.19
150,Tira Manchas Vanish Pré-Lavagem Resolv Tradicional 450Ml,18.98,18.98
151,Amaciante Concentrado Fofo Cheirinho de Infância 500Ml,6.99,6.99
152,Sabão em Pó Ufe Coco 500G,21.19,21.19
153,Sabão em Barra Ufe Coco Pacote 200G,4.99,4.99
154,Sabão em Barra Tira Manchas Assim 80G,4.99,4.99
155,Sabão de Coco Natural em Barra Minuano 200G,3.98,3.98
156,"Lava Roupas em Pó Sports Antiodor Omo 1,6Kg",21.98,21.98
157,Cloro Santa Clara Super Forte Embalagem 5 Litros,16.99,16.99
158,Sabão em Barra Artesanal Coco Uzzilim 200G,16.29,11.98
159,Saco para Lixo Esfrebom Piá e Banheiro 8 Litros Embalagem 50Un,6.48,6.48
160,Vassoura Noviça Fácil com Cabo,11.89,11.89
161,Esponja Multiuso Assolan 3Un,2.78,2.78
162,Esponja Santa Clara Oferta 4Un,3.98,3.98
163,Esponja Multiuso Limpeza Pesada Limppano Pacote 4Un,4.19,4.19
164,Saco para Lixo Peglixo 100 Litros 20 Unidades,16.98,16.98
165,Esponja Multiuso Esfrebom,1.99,1.99
166,Esponja Antiaderente Bombril 3 Un,4.68,4.68
167,Escova Noviça Limpeza Delicada 1Un,7.48,7.48
168,Pano Multiuso Limppano Toalex Reutilizáveis Embalagem 50 Un,13.58,13.58
169,Saco de Lixo Bye Bye 15L 60 Un,9.98,9.98
170,Luva Wish Multi Uso Amarelo Grande Embalagem 1 Par,9.99,9.99
171,Saco de Lixo Preto 30L Peg Lixo Rolo 40Un,15.99,15.99
172,Luva Wish Multiuso M Amarelo Embalagem 1 Par,9.99,9.99
173,Escova Bettanin Rec Rec Cozinha Noviça,9.59,9.59
174,Rodo Brilhus Simples Pequeno 1Un,15.59,15.59
175,Palha de Aço Açobom N2 Embalagem 22G,1.49,1.49
