,Produto,Preço Base,Preço Final
0,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",6.99,6.99
1,Água Sanitária Super Globo Embalagem 2 Litros,6.99,6.99
2,Limpador Agradable Casa e Perfume 1L,7.99,7.99
3,Limpador Perfumado Casa e Perfume Agradable Embalagem 1L Leve 1L Pague 900Ml,7.99,7.99
4,Limpador Uau Multiuso Flores e Folhas 500Ml,3.99,3.99
5,Limpador Multiuso Veja Floral Oferta 500Ml,4.79,4.79
6,Desinfetante Ypê Bak Floral 1 Litro,4.59,4.59
7,Kit Limpador Multiuso Clássico Ypê 500Ml Leve 4 Pague 3,12.99,12.99
8,Limpador Multiuso Veja Floral 500Ml,4.79,4.79
9,Limpador Multiuso Super Globo Original Embalagem 500Ml,2.99,2.48
10,Pedra Sanitária Marine Oferta Pato,2.99,2.99
11,Limpador Multiuso Uau Flores e Folhas Embalagem Leve 600Ml Pague 500Ml,3.99,3.99
12,Desinfetante Santa Clara Herbal Embalagem 2 Litros,5.49,5.49
13,Desinfetante Bak de Eucalipto Ypê 2L,7.99,7.99
14,Desinfetante Pinho Sol Original Oferta 1000Ml,10.99,10.99
15,Desinfetante Pinho Trop Pinho e Menta 500Ml,3.99,3.99
16,Limpador Multiuso Classic Tradicional 500Ml,2.59,2.59
17,Detergente Sanitário em Pedra Lavanda Pato Grátis 25% de Desconto,2.79,2.79
18,Desinfetante Pinho Bril Silvestre Plus 500Ml,3.99,3.99
19,Desinfetante Pinho Ypê Lavanda 1 Litro,6.99,6.99
20,Limpador Multiuso Super Globo Floral Embalagem 500Ml,2.99,2.48
21,Limpador Multiuso Classic Floral 500Ml,2.59,2.59
22,Pastilha Adesiva Floral Pato 3 Unidades,7.99,7.99
23,Limpador Multiuso Super Globo Campestre Embalagem 500Ml,2.99,2.48
24,Graxa para Sapato em Pasta Preta Nugget Lata 36G,7.99,7.99
25,Cera Líquida Ingleza Ardosia Incolor Embalagem 850Ml,9.99,9.99
26,Desinfetante Pinho Ypê Tradição 500Ml,4.99,4.99
27,Desinfetante Pinho Ypê Tradição 500Ml,4.99,4.99
28,Pedra Sanitária Pato Marine Limpa e Perfuma Embalagem 25G,2.99,2.99
29,Limpador Multiuso Squeeze com Alcool Super Globo 500Ml,2.99,2.48
30,Cera Ingleza Ardosia Incolor Embalagem 750Ml,9.99,9.99
31,Desinfetante Pinho Trop Limão Embalagem 500Ml,3.99,3.99
32,Limpador Multiuso Super Globo Campestre 500Ml,2.99,2.48
33,Limpador Multiuso Super Globo Floral 500Ml,2.99,2.48
34,Desodorizador e Aromatizante Glade Lavanda Aerosol 360Ml + Grátis 20%,11.99,11.99
35,Eliminador de Odores Multiuso Hortelã Uau 500Ml,3.99,3.99
36,Desodorizador e Aromatizante Glade Lavanda Aerosol 360Ml,11.99,11.99
37,Desodorizador Glade Aerosol Lavanda 360Ml,11.99,11.99
38,Desodorizador e Aromatizante de Lavanda Glade 360Ml,11.99,11.99
39,Desodorizador Aerossol Lavanda Oferta Especial Glade 360Ml,11.99,11.99
40,Desodorizador Glade Lavanda Aerosol 360Ml,11.99,11.99
41,Detergente Ypê Clear 500Ml,2.19,2.19
42,Detergente Coco Ypê 500Ml,2.19,2.19
43,Detergente Ypê Neutro 500Ml Oferta 6Un,11.69,11.69
44,Detergente Limpol Maçã 500Ml,2.29,2.29
45,Inseticida Raid Mata Baratas Formigas Oferta 420Ml,12.99,12.99
46,Repelente Sbp Elétrico Pastilha Refil Oferta 12 Un,5.99,5.99
47,Inseticida Raid Protector Multi Insetos Aerosol 300Ml Grátis 180Ml,12.99,12.99
48,Inseticida Aerossol Mata Baratas e Formigas Raid 285Ml,12.99,12.99
49,Lava Roupas em Pó Tixan Ypê Maciez 2Kg,15.99,15.99
50,Sabão em Barra Neutro Ypê 1Kg,12.99,9.89
51,Lava Roupas em Pó Primavera Tixan Ypê Embalagem Econômica 1Kg,9.99,9.99
52,Sabão em Pó Tixan Ypê Primavera 3Kg,24.99,24.99
53,Lava Roupas em Pó Primavera Tixan Ypê 2Kg,15.99,15.99
54,Cloro Santa Clara Super Forte Embalagem 1 Litro,3.99,3.99
55,Cloro Santa Clara Super Forte Unidade 2L,7.99,7.99
56,Tira Manchas Vanish Super Barra 75G,6.99,6.99
57,Sabão Pedra Ypê Glicerinado Fresh 200G,2.39,2.39
58,Sabão Barra Ypê Flores e Frutas 200G,2.39,2.39
59,"Lava-Roupas em Pó Power Act Ypê 1,6Kg",19.98,19.98
60,Sabão em Barra de Coco Ufe 500G,6.89,6.89
61,Cloro Santa Clara Super Forte Embalagem 5 Litros,16.99,16.99
62,Esponja de Aço Bombril Pacote 60G,2.49,2.49
63,Esponja Super Wish Multiuso Leve 4 Un,3.99,3.99
64,Esponja Multiuso Assolan 3Un,2.49,2.49
65,Pano Multiuso Limppano Expert 30X32cm Embalagem 2 Un,19.99,19.99
66,Esponja Salva Unhas Scotch Brite,4.99,4.99
67,Esponja Prateada Scotch-Brite,7.99,7.99
68,Escova Noviça Bettajeans 1Un,6.99,6.99
69,"Bacia Colorida com Tampa Mb Unidade 1,1L",5.99,4.99
70,Esponja Metálica Scotch Brite Espiral 1 Un,6.99,6.99
71,Esponja Multiuso 20% Desconto Limppano 3 Unidades,3.49,3.49
72,"Bacia Canelada Randon Unidade 3,2L",5.99,4.99
73,Saco de Lixo Embalalixo 30L Pacote 10 Un,4.99,4.99
74,Saco de Lixo Embalalixo 15L Pacote 20 Un,4.49,4.49
75,Saco Lixo Super Forte 15L,12.99,12.99
76,Saco de Lixo Super Forte 30 Litros Embalagem 50 Un,12.99,12.99
77,Açúcar Refinado União 1Kg,5.99,5.99
78,Adoçante Zero Cal Embalagem Leve 200Ml Pague 180Ml,10.99,10.99
79,Adoçante Sacarina Zero Cal 200Ml,10.99,10.99
80,Adoçante Líquido Sucralose Linea 75Ml,10.99,10.99
81,Adocante Linea Sucralose 25Ml,7.99,7.99
82,Açúcar Cristal Brucucar 1Kg,4.99,4.99
83,Adoçante Líquido Linea Sucralose 75Ml,10.99,10.99
84,Açúcar Cristal Brucucar 5Kg,18.99,18.99
85,Açúcar Cristal Brucucar 2Kg,8.99,8.99
86,Arroz Bianco Tipo 1 Sepé 5Kg,19.99,19.99
87,Arroz Bianco Tipo 1 Sepé 2Kg,8.99,8.99
88,Arroz Branco Primus 5Kg,16.99,15.48
89,Arroz Prato Fino Branco Tipo 1 Pacote 5Kg,28.99,28.99
90,Arroz Prato Fino 1Kg Tp1,6.99,6.99
91,Arroz Integral Prato Fino Pacote 1Kg,5.99,5.99
92,Farofa de Mandioca Yoki 400G,5.29,5.29
93,Amido de Milho Maizena Tradicional Oferta 200G,3.99,3.99
94,Amido de Milho Maizena Tradicional 200G,3.99,3.99
95,Farinha de Milho Flocada Yoki Kimilho Flocão 500G,3.99,3.99
96,Tapioca Pink 500G,5.99,5.99
97,Farofa de Milho Pronta Yoki 500G,7.99,7.99
98,Amido de Milho Kimimo 200G,3.99,3.99
99,Farinha de Milho Tipua 500G,3.99,3.99
100,Feijão Carioca Galante 1Kg,7.99,7.99
101,Feijão Roxo Galante 1Kg,10.99,10.99
102,Feijão Branco Tipua 500G,7.99,7.99
103,Canjica Branca Pacha Embalagem 500G,4.99,4.99
104,Canjiquinha Amarela Pacha 500G,2.99,2.99
105,Pipoca para Microondas Yoki Popcorn Manteiga 50G,1.99,1.99
106,Pipoca para Microondas Pink Natural Embalagem 100G,1.99,1.99
107,Trigo para Quibe Tipua 500G,3.98,3.98
108,Pipoca para Microondas Pink Natural Embalagem 100G,1.99,1.99
109,Canjiquinha Tipua 500G,2.98,2.98
110,Macarrão Parafuso com Ovos Vilma 500G,4.29,4.29
111,Macarrão Instantâneo Galinha Caipira Nissin Lámen 85G,2.29,2.29
112,Macarrão Massa Ovos Vilma Espaguete 8 500G,4.29,4.29
113,Macarrão Instantâneo Nissin Lámen Carne 85G,2.29,2.29
114,Macarrão Massa Ovos Vilma Penne 500G,4.29,4.29
115,Macarrão Parafuso Yara Sêmola Embalagem 500G,2.98,2.98
116,Macarrão de Sêmola Ninho Yara 500G,3.98,3.98
117,Massa para Lasanha com Ovos Vilma 500G,8.99,8.99
118,Macarrão Espaguete N8 Semolão Vilma 1Kg,5.99,5.99
119,Macarrão Massa Ovos Vilma Pai Nosso 500G,4.29,4.29
120,Macarrão Instantâneo Nissin Lámen Hot Mexicano 85G,2.29,2.29
121,Macarrão Instantâneo Cup Noodles Carne Defumada Nissin 69G,4.49,4.49
122,Macarrão Instantâneo Nissin Cremoso Picanha Pacote 88G,2.29,2.29
123,Massas Vilma Ovos Parafuso Mini 500G,4.29,4.29
124,Macarrão Instantâneo Nissin Lámen Hot Carne Desfiada 85G,2.29,2.29
125,Macarrão Penne Yara Sêmola Embalagem 500G,2.98,2.98
126,Vinagre de Álcool Belmont Pet 750Ml,3.49,3.49
127,Vinagre de Álcool Toscano Garrafa 750Ml,2.99,2.99
128,Azeite de Oliva Gallo Clássico 250Ml,20.99,20.99
129,Azeite de Oliva Cocinero Extra Virgem Embalagem 500Ml,24.99,24.99
130,Óleo de Girassol Soya Embalagem 900Ml,13.99,13.99
131,Vinagre de Álcool Tinto Belmont Agrin Pet 750Ml,3.49,3.49
132,Vinagre Toscano com Limão Embalagem 750Ml,4.99,4.99
133,Vinagre Branco de Álcool Belmont Agrin Pet 750Ml,3.49,3.49
134,Ovos Vermelhos Filmado Per'fa 30Un,19.99,19.99
135,Ovos Brancos Perfa Bandeja 20Un,9.99,9.99
136,Ovos Branco Perfa Filmado Pente Grande 30 Unidades,14.99,14.99
137,Sal Refinado Globo Pacote 1Kg,1.98,1.98
138,Sal Especial Gigante Pacote 1Kg,1.29,1.29
139,Cebola Branca Processada,3.99,3.99
140,Manjericão Unidade,1.49,1.49
141,Cebolinha Comum,1.49,1.49
142,Mostarda,1.99,1.99
143,Carne Moída de Frango Plena Congelada 500G,10.99,10.99
144,Coxa de Frango Sadia Congelada Zip Iqf Pacote 1Kg,19.98,19.98
145,Filezinho de Peito Sassami Sadia Bio Embalagem 1Kg,25.99,25.99
146,Coxinha da Asa Apimentada Sadia 400G,15.99,15.99
147,Peito de Frango Tropeira Desfiado Congelado 400G,16.99,16.99
148,Frango a Passarinho Sadia Temperado Congelado Embalagem 1Kg,18.99,18.99
149,Frango Resfriado Kg,10.99,10.99
150,Filé Peito Resfriado,17.99,17.99
151,Dobradinha Kg,25.99,25.99
152,Fígado Bovino Resfriado Kg,19.99,19.99
153,Camarão Bem Fresco Cinza Inteiro Cozido 200G,12.99,12.99
154,Linguiça Tropeira Tipo Calabresa Gomo 400G,13.99,13.99
155,Linguiça Sadia Calabresa Pacote 500G,19.99,19.99
156,Salsicha de Frango Sadia Hot Dog Embalagem 500G,11.99,11.99
157,Linguiça Pernil Lisa Grandminas Kg,22.99,22.99
158,Linguiça Calabresa Grandminas Kg,18.99,18.99
159,Salsicha Rezende Kg,12.99,12.99
160,Toucinho Especial Kg,18.99,18.99
161,Torresmo Torresmo Minas Pré Frito 200G,10.99,10.99
162,Pé Suíno Resfriado,11.99,11.99
163,Suino-Rabo Kg,19.89,19.89
164,Água Mineral com Gás Passa Quatro Pet 510Ml,1.99,1.99
165,Água Crystal com Gás 500Ml,2.69,2.69
166,Água Mineral sem Gás Passa Quatro Garrafa 510Ml,1.49,1.49
167,Água Mineral com Gás Acquissima Passion Garrafa 510Ml,2.39,2.39
168,Água Crystal sem Gás 1L,2.99,2.99
169,Água Mineral com Gás Lindoya Pet 510Ml,1.99,1.99
170,"Água Mineral Igarape 1,5 Litro",2.99,2.99
171,Água Crystal Sparkling Tangerina e Capim-Limão 510Ml,2.89,2.89
172,"Água Crystal sem Gás 1,5L",3.49,3.49
173,Água Crystal sem Gás 500Ml,2.29,2.29
174,"Água Mineral sem Gás Passa Quatro Pet 1,5L",2.99,2.99
175,Água Crystal Sparkling Limão 510Ml,2.89,2.89
176,"Água Mineral Igarape Pet 1,5Litro",3.49,3.49
177,Água Mineral Sem Gás Acquissima Garrafa 510Ml Azul,2.19,2.19
178,Agua Mineral Lindoya 510Ml Sense S/Gas,1.29,1.29
179,Água Mineral Igarape 500Ml,1.79,1.79
180,Água de Coco Esterilizada Kero Coco 200Ml,2.99,2.99
181,Água de Coco Tial 1L,9.99,9.99
182,Água Mineral Crystal com Gás Garrafa 500Ml,2.69,2.69
183,Água de Coco Esterilizada Kero Coco Caixa 330Ml,5.99,5.99
184,Água de Coco Esterilizada Kero Coco Caixa 1L,9.99,9.99
185,Agua Min Crystal 500Ml,2.29,2.29
186,Água Mineral com Gás Igarape Garrafa 500Ml,1.99,1.99
187,"Água Crystal sem Gás 1,5L",3.49,3.49
188,"Água Mineral sem Gás Igarapé Garrafa 1,5L",2.99,2.99
189,Água Mineral Igarape 10 Litros,17.99,17.99
190,Água sem Gás Mineral Igarape 500Ml,1.79,1.79
191,Ades Original 1L,6.99,6.99
192,Chá Ice Tea Leão Pêssego 250Ml,1.69,1.69
193,Refresco Leão Guaraná Power Açaí 300Ml,3.49,3.49
194,Leão Chá Verde Limão Zero 450Ml,3.79,3.79
195,Energético Red Bull Lata 250Ml,8.49,8.49
196,Isotônico de Morango com Maracujá Gatorade 500Ml,3.99,3.99
197,Isotônico de Frutas Cítricas Gatorade 500Ml,3.99,3.99
198,Energético Energy Green Monster 473Ml,7.99,7.99
199,Energético Monster Ultra Lata 473Ml,7.99,7.99
200,Energético Monster Ultra Violet 473Ml,7.99,7.99
201,Energético Monster Juice Pacific Punch Lata 473Ml,7.99,7.99
202,Energético Monster Khaos Lata 473Ml,7.99,7.99
203,Energético Red Bull Sugarfree sem Açúcar 250Ml,8.49,8.49
204,Energético Red Bull Tradicional 250Ml,8.49,8.49
205,Energético Energy Drink Red Bull Lata 355Ml,10.99,10.99
206,Energético Fusion Frutas Tropicais Zero Açúcar Lata 250Ml,3.99,3.99
207,Energético Red Bull Energy Drink Tropical 250Ml,8.49,8.49
208,Energético Summer Melancia Red Bull Lata 250Ml,8.49,8.49
209,Energético Monster Ultra Paradise Zero Açúcar Lata 473Ml,7.99,7.99
210,Energético Red Bull Energy Drink Açaí 250Ml,8.49,8.49
211,Energético Original Tnt Lata 473Ml,7.99,7.99
212,Energético Burn Passion Punch 260Ml,4.99,4.99
213,Energetico Burn 260Ml,4.99,4.99
214,Energético Burn Energy Drink Lata 260Ml,4.99,4.99
215,Isotônico I9 Uva Verde Garrafa 500Ml,4.99,4.99
216,Energético Reign Lemon Zero Açúcar Hdz 473Ml,8.99,8.99
217,Energético Power Bull Garrafa 2 Litros,7.99,7.99
218,Energético Fusion Citrus Lata 250Ml,3.99,3.99
219,Energético Energy Drink Tropical Red Bull 250Ml,8.49,8.49
220,Energético Fusion Garrafa 500Ml,5.59,5.59
221,Bebida Energético Red Bull 250Ml,8.49,8.49
222,Energético Power Blast 1 Litro,4.99,4.99
223,Energético Power Blast Tropical 2 Litros,7.99,7.99
224,Energético Power Blast Melancia 2L,7.99,7.99
225,"Monster Energy Drink, Absolutely Zero 24 Unidades",7.99,7.99
226,Energético Power Blast Coco e Açai 2L,7.99,7.99
227,Coca-Cola 2L,7.99,7.99
228,Refrigerante Guarapan Guaraná Garrafa 2 Litros,5.49,5.49
229,Coca-Cola Retornável 1L,3.99,3.99
230,Refrigerante de Guaraná Antárctica 200Ml,1.09,1.09
231,Kit 1 Coca-Cola Original 2L + 1 Fanta Laranja 2L,12.79,12.79
232,Coca-Cola Original 3L,10.29,10.29
233,Refrigerante Guaraná Antarctica 200Ml,1.09,1.09
234,Refrigerante Guaraná Antarctica 2L,6.79,6.79
235,Refrigerante Guaraná Antarctica 1L,3.99,3.99
236,"Refrigerante Pepsi 1,5L",4.49,4.49
237,Refrigerante Mate Couro Guaraná Tradicional Pet 2 Litros,5.99,5.99
238,"Refrigerante Schweppes Citrus 1,5L",6.99,6.99
239,Refrigerante de Laranja Mate Couro Garrafa 2 Litros,4.99,4.99
240,Refrigerante Sukita Laranja Garrafa 2L,4.78,4.38
241,Refrigerante Mate Couro Abacaxi 2 Litros,4.99,4.99
242,Refrigerante Guaraná Nick 2 Litros,3.29,3.29
243,Pepsi Twist 2L,5.49,5.49
244,Refrigerante Nick Uva 2L,3.29,3.29
245,Ref Coca Cola Original Pet 2.5L,8.99,8.99
246,Coca-Cola Original 3L,10.29,10.29
247,Guarapan 2L,5.49,5.49
248,Fanta Laranja 2L,6.99,6.99
249,Refrigerante Cola Pepsi 200Ml,1.19,1.19
250,Coca-Cola Original 350Ml,3.49,3.49
251,Fanta Laranja 200Ml,1.29,1.29
252,Refrigerante de Soda Limonada Antarctica 200Ml,1.09,1.09
253,"Refrigerante Schweppes Citrus Leve em Açúcares 1,5L",6.99,6.99
254,Água Tônica Schweppes 350Ml,2.99,2.99
255,Refrigerante de Laranja Sukita 200Ml,1.09,1.09
256,Sprite Original 220Ml,1.99,1.99
257,Fanta Guaraná 3L,7.99,7.99
258,Refrigerante de Laranja Sukita 200Ml,1.09,1.09
259,Refrigerante Limão H2oh 500Ml,3.79,3.79
260,Refrigerante de Uva Sukita 200Ml,1.09,1.09
261,Refrigerante de Uva Fanta 2L,6.99,6.99
262,Refrigerante Uva Sukita 200Ml,1.09,1.09
263,Refrigerante Limão Antarctica Soda 200Ml,1.09,1.09
264,Sprite Original 350Ml,2.99,2.99
265,Coca-Cola Original 220Ml,1.99,1.99
266,Sprite Original 600Ml,4.39,4.39
267,Coca-Cola sem Açúcar Lata 350Ml,3.49,3.49
268,"Refrigerante Citrus H2oh 1,5L",6.29,6.29
269,Fanta Laranja 250Ml,1.99,1.99
270,Coca-Cola sem Açúcar 220Ml,1.99,1.99
271,Pepsi Twist 350Ml,2.49,2.49
272,Refrigerante de Cola Mate Couro Garrafa 2 Litros,4.99,4.99
273,Refrigerante de Limão Mate Couro Garrafa 2 Litros,4.99,4.99
274,Fanta Uva 220Ml,1.99,1.99
