,Produto,Preço Base,Preço Final
0,"Álcool Araucaria 92,8 Inpm Embalagem 500Ml",4.99,4.99
1,Álcool Líquido 70 Araucaria 1L,9.99,9.99
2,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",6.99,6.99
3,"Álcool Líquido Araucaria Uso Geral 46,2 Embalagem 1L",8.99,8.99
4,Água Sanitária Classic Embalagem 2 Litros,4.99,4.49
5,Desinfetante Santa Clara Lavanda Embalagem 2 Litros,5.49,5.49
6,Limpador Multiuso Gold Original Veja 500Ml,4.19,4.19
7,Limpador Brilhaluminio Fresh Lemon Embalagem 500Ml,2.89,2.89
8,"Álcool Líquido Araucária 46,2º Embalagem 500Ml",4.99,4.99
9,Água Sanitária Super Globo Embalagem 2 Litros,6.99,6.99
10,Pedra Sanitária Inspira Lavanda 1Un,2.99,2.99
11,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.89,2.89
12,Soda Cáustica Yara 950G,12.99,12.99
13,Limpador Uau Multiuso com Cloro Ativo Embalagem 500Ml,7.99,7.99
14,Desinfetante Santa Clara Floral Embalagem 2 Litros,5.49,5.49
15,Desentupidor de Piá Diabo Verde Embalagem 300G,15.99,15.99
16,Casa e Perfume Sensazine 500Ml,4.59,4.59
17,Limpador Multiuso Uau Cloro Ativo 500Ml,7.99,7.99
18,Limpador Limpeza Pesada Veja 500Ml,4.99,4.99
19,Limpador Multiuso Super Globo Original 500Ml,2.99,2.48
20,Tira Limo Veja X14 Cloro Ativo Squeeze Oferta 500Ml,12.99,12.99
21,Limpador Multiuso Veja Floral Oferta 500Ml,4.79,4.79
22,Kit Limpador Multiuso Clássico Ypê 500Ml Leve 4 Pague 3,12.99,12.99
23,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,4.79,4.79
24,Limpador Multiuso Veja Floral 500Ml,4.79,4.79
25,Limpador Multiuso com Álcool Brilho Instantâneo Uau Frasco 500Ml,3.99,3.99
26,Água Sanitária Superglobo Embalagem 1L,3.49,3.49
27,Limpador Multiuso Super Globo Original Embalagem 500Ml,2.99,2.48
28,Soda Caustica Escorpião Embalagem 500G,12.99,12.99
29,Limpador Multiuso Veja Gold Campestre 500Ml,4.79,4.79
30,Limpador Veja Limpeza Pesada Floral Campestre 500Ml,6.99,6.99
31,Limpa Casa e Perfume Mistero Di Amore Embalagem 500Ml,4.59,4.59
32,Desinfetante Santa Clara Herbal Embalagem 2 Litros,5.49,5.49
33,Tira Limo Veja Banheiro X14 500Ml,12.99,12.99
34,Desinfetante Batuta Lavanda Embalagem 1 Litro,4.99,4.99
35,Desinfetante Pinho Bril Silvestre Oferta 500Ml,3.99,3.99
36,Limpador Perfumado Ypê Amor de Verão 1 Litro,5.99,5.99
37,Cera Líquida para Piso de Pedra Ardósia Verde Ingleza Embalagem 750Ml,9.99,9.99
38,Limpador Multiuso Uau Flores e Frescor Ingleza 500Ml,3.99,3.99
39,Limpador Multiuso Classic Tradicional 500Ml,2.59,2.59
40,Desinfetante Azulim Floratta 1L,5.49,5.49
41,Cera Líquida Ingleza Maxx Amarela Embalagem 750Ml,12.99,12.99
42,Desinfetante Eucalipto Santa Clara 2L,5.49,5.49
43,Limpador Uau Limpeza Pesada Alta Performance Embalagem 500Ml,4.99,4.99
44,Desinfetante Pinho Bril Silvestre Plus 500Ml,3.99,3.99
45,Cera Líquida Brilho Fácil Ardósia Embalagem 750Ml,10.99,10.99
46,Limpador Uau Multiuso Folhas Verdes Embalagem 500Ml,3.99,3.99
47,Limpador Veja com Álcool Limpeza Pesada Original 500Ml,6.99,6.99
48,Desinfetante Pinho Ypê Lavanda 1 Litro,6.99,6.99
49,Desinfetante Pinho Sol Limão 500Ml,5.99,5.99
50,Limpador Veja Limpeza Pesada Original Leve 600Ml Pague 500Ml Embalagem 600Ml,6.99,6.99
51,Limpador Uau Desengordurante Refil Embalagem 500Ml,13.99,13.99
52,Desinfetante Ypê Bak Eucalipto 500Ml,2.99,2.99
53,Limpador Multiuso Super Globo Campestre Embalagem 500Ml,2.99,2.48
54,Limpador Veja Limpeza Pesada Laranja Citrus 500Ml,7.99,7.99
55,Cera Líquida Ingleza Max Ardosia Verde Embalagem 750Ml,12.99,12.99
56,Desinfetante Pinho Ypê Citrus 500Ml,3.98,3.98
57,Limpador Multiuso Squeeze com Alcool Super Globo 500Ml,2.99,2.48
58,Limpador Veja Limpeza Pesada Original Embalagem 500Ml,6.99,6.99
59,Querosene Solar 900Ml,13.99,13.99
60,Desinfetante Pinho Trop Limão Embalagem 500Ml,3.99,3.99
61,Desinfetante Pearson Creolina Embalagem 50Ml,12.99,12.99
62,Limpador Acido Muriatico Mais 1L,5.99,5.99
63,Água Sanitária Limpão 2 Litros,4.99,4.99
64,Ácido Muriático Mais Embalagem 1 Litro,5.99,5.99
65,Limpa Pedras e Calçadas Brilhex 2L,9.99,9.99
66,Desinfetante Pinho Sol Citrus Eucalipto Embalagem 500Ml,5.99,5.99
67,Limpador Multiuso Super Globo Citrus 500Ml,2.99,2.48
68,Desinfetante Creolina Pearson 12X50ml,12.99,12.99
69,Água Sanitaria Santa Clara 5 Litros,12.99,12.99
70,Limpador Multiuso Super Globo Campestre 500Ml,2.99,2.48
71,Desodorizador e Aromatizante Glade Lavanda Aerosol 360Ml + Grátis 20%,11.99,11.99
72,Desodorizador e Aromatizante Glade Lavanda Aerosol 360Ml,11.99,11.99
73,Desodorizador Glade Aerosol Lavanda 360Ml,11.99,11.99
74,Desodorizador e Aromatizante de Lavanda Glade 360Ml,11.99,11.99
75,Desodorizador Aerossol Lavanda Oferta Especial Glade 360Ml,11.99,11.99
76,Evita Mofo Azulim Citrus Embalagem 80G,5.99,5.99
77,Evita Mofo Azulim Baby Embalagem 80G,5.99,5.99
78,Aromatizante Águas Florais Aerosol Glade 360Ml,9.99,9.99
79,Desodorizador Glade Lavanda Aerosol 360Ml,11.99,11.99
80,Detergente Limpol Coco 500Ml,2.29,2.29
81,Detergente Ypê Limão 500Ml,2.19,2.19
82,Detergente Ypê Neutro 500Ml Oferta 6Un,11.69,11.69
83,Detergente Líquido Limpol Cristal Embalagem 500Ml,2.29,2.29
84,Detergente Líquido Neutro Limpol 500Ml,2.29,2.29
85,Detergente Limpol Maçã 500Ml,2.29,2.29
86,Lava Louças com 10% de Desconto Clear Ypê 500Ml com 6Un,11.69,11.69
87,Detergente Classic Maçã 500Ml,1.49,1.49
88,Detergente Líquido Classic Neutro 500Ml,1.49,1.49
89,Pasta Multiuso Cristal Rosa 500G,4.99,4.99
90,Detergente Líquido Classic Clear 500Ml,1.49,1.49
91,"Repelente Raid Elétrico Líquido 45 Noites Embalagem 1 Un + 1 Refil 32,9Ml",15.99,15.99
92,Inseticida Raid Elétrico Eucalipto Pastilha Oferta Refil 12 Un,4.99,4.99
93,Inseticida Sbp Elétrico 45 Noites Refil Líquido Embalagem 35Ml,12.99,12.99
94,"Repelente Elétrico Liquido 45 Noites Refil Original Raid 32,9M",15.99,15.99
95,K-Othrine 30Ml,10.99,10.99
96,Kit Aparelho + Repelente Elétrico Líquido Sbp Refil 35Ml,12.99,12.99
97,Inseticida Líquido Detefon Ação Total 500Ml,19.98,19.98
98,Inseticida Líquido Baygon Ação Total Base Água Oferta Embalagem 475Ml,15.99,15.99
99,Lava Roupas em Pó Tixan Ypê Maciez 2Kg,15.99,15.99
100,Sabão em Barra Neutro Ypê 1Kg,12.99,9.89
101,Sabao Glic Ype Neutro 900G,10.29,10.29
102,"Lava-Roupas Pó Omo Lavagem Perfeita Caixa 2,2Kg Tamanho Família",24.99,24.99
103,"Amaciante Ypê Intenso Leve 2L Pague 1,6L",7.99,7.99
104,Lava Roupas em Pó Primavera Tixan Ypê 2Kg,15.99,15.99
105,"Lava-Roupas Pó Omo Lavagem Perfeita Pacote 2,4Kg Tamanho Família",26.99,26.99
106,"Amaciante Azul Aconchego Ypê Leve 2L Pague 1,6L",7.99,6.99
107,"Lava-Roupas Pó Omo Lavagem Perfeita Caixa 1,6Kg",17.99,17.99
108,"Sabão em Pó Brilhante Limpeza Total 2,4Kg",22.99,22.99
109,"Amaciante Tradicional Puro Cuidado Comfort 1,8L",15.99,15.99
110,Amaciante Comfort Tradicional Explosão Azul 1.8L,15.99,15.99
