,Produto,Preço Base,Preço Final
0,Água Sanitária Santa Clara Embalagem 2 Litros,5.49,5.49
1,Querosene Jacaré Lata 900Ml,27.99,27.99
2,Limpador Cremoso Cif Original 250Ml,9.69,9.69
3,Limpador Multiuso Uau Rosas Sedução 500Ml,3.79,3.79
4,Limpador Desengordurante Cozinha Limão Veja 500Ml 20% de Desconto,9.99,9.99
5,Limpador Multiuso Gold Original Veja 500Ml,3.99,3.99
6,Sapólio Radium Po com Cloro 300G,5.79,5.79
7,Soda Cáustica Yara 950G,20.69,20.69
8,Desentupidor de Piá Diabo Verde Embalagem 300G,19.69,19.69
9,Limpa Vidros Veja Vidrex Squeeze Oferta 500Ml,8.89,8.89
10,Limpador Multiuso Ação Clareadora Uau 500Ml,3.79,3.79
11,Limpador Multiuso Veja Floral Oferta 500Ml,4.29,4.29
12,Limpador Multiuso Veja Gold Campestre 500Ml,4.59,3.99
13,Sapólio Radium em Pó com Cloro Embalagem 300G,5.79,5.79
14,Desinfetante Pinho Sol Original 500Ml,6.99,6.99
15,Pedra Sanitária Santa Clara Lavanda Unidade 25G,1.99,1.99
16,Limpador Cozinha Cif Removedor de Gorduras 500Ml,11.99,11.99
17,Limpador Multiuso Veja Lavanda e Álcool 500Ml,4.59,3.99
18,Limpeza Pesada Ypê Original 500Ml,4.98,4.98
19,Limpador Banheiro Cif sem Cloro Refil 450Ml,10.49,10.49
20,Limpador Multiuso Uau Flores e Frescor Ingleza 500Ml,3.79,3.79
21,Desinfetante Líquido Brisa da Manhã Lysol 500Ml,4.79,4.79
22,Desinfetante Batuta Eucalipto Embalagem 2L,6.99,6.99
23,Limpa Forno Easy Off 250Ml,15.69,15.69
24,Pedra Sanitária Eucalipto Santa Clara Embalagem 25G,1.59,1.59
25,Limpa Brilha Alum Brilhex Tradicional 500Ml,1.99,1.99
26,Detergente Ypê Neutro 500Ml,2.89,2.89
27,Detergente Limpol Coco 500Ml,2.49,2.49
28,Detergente Líquido Limpol Cristal Embalagem 500Ml,2.49,2.49
29,Detergente Ypê Limão 500Ml,2.89,2.89
30,Detergente Líquido Neutro Limpol 500Ml,2.49,2.49
31,Detergente Limpol Limão 500Ml,2.49,2.49
32,Sapólio Radium Cremoso Multiuso C/Cloro 250Ml,7.89,7.89
33,Detergente Líquido Maçã Ypê 500Ml,2.89,2.89
34,Inseticida Líquido Detefon Ação Total 500Ml,21.99,21.99
35,Amaciante Concentrado Cuidado Essencial Comfort Refil 900Ml,20.39,20.39
36,Lava Roupas Líquido Vida Macia Bebê Embalagem 500Ml,9.99,9.99
37,Amaciante Downy Lirios do Campo 500Ml,10.99,10.99
38,Amaciante para Roupinhas de Bebê Vida Macia Amêndoas Embalagem 1Lt,9.99,9.99
39,Amaciante para Roupinhas de Bebê Vida Macia Camomila Embalagem 1L,9.99,9.99
40,Lava-Roupas em Pó Concentrado Maciez Tixan Ypê 400G,5.99,5.99
41,Tira Manchas Vanish Super Barra 75G,9.69,9.69
42,Amaciante Concentrado Downy Sensitive Hipoalergênico 450Ml,10.99,10.99
43,Amaciante Ypê Aconchego 500Ml,4.59,4.59
44,Sabão em Barra Ypê Coco e Toque de Aveia 200G,3.89,3.89
45,Sabão em Barra Fresh Ypê 180G,3.29,3.29
46,Amaciante Comfort Concentrado Detox 500G.,10.59,10.59
47,Sabão Líquido Comfort Hydra Serum Refil 900Ml,18.99,18.99
48,Sabão Glicerinado em Barra Aloe Vera Ypê 180G,3.29,3.29
49,Sabão em Pó Ufe Coco 500G,14.39,14.39
50,Amaciante Carinho Ypê 500Ml,4.59,4.59
51,Sabão Líquido Coquel Coco 500Ml,10.79,10.79
52,Esponja de Aço Bombril Pacote 60G,2.69,2.69
53,Esponja Multiuso Starlux Pacote Leve 4Un Pague 3,2.99,2.99
54,Saco de Lixo Starlux 50L 20 Un,10.79,10.79
55,Saco de Lixo Bye Bye 15L 60 Un,13.69,13.69
56,Flanela Pasqualini Amarela 39X59cm 1Un,2.19,2.19
57,Vassoura Bettanin Varry 1000 com Cabo,24.49,24.49
58,Pano Multiuso Azul Scotch Brite com 5Un,14.69,14.69
59,Escova Noviça Multiuso 1Un,12.49,12.49
60,Vassoura Noviça Varry 1000 1 Unidade,24.49,24.49
61,Escova Noviça Bettajeans 1Un,6.59,6.59
62,Saco de Lixo para Pia e Banheiro Perfumado 10L 38Cmx40cm Bye Bye Lixo 60Un,10.29,10.29
63,Saco de Lixo Bye Bye 50L 30 Un,11.99,11.99
64,Flanela Rainha do Vale 38X58cm Embalagem 1Un,2.19,2.19
65,Saco de Lixo Sacobril 30L 25 Un,13.89,13.89
66,Saco de Lixo Sacobril 100L 5 Un,5.29,5.29
67,Saco de Lixo Sacobril 10 Litros Embalagem 25 Un,7.59,7.59
68,Saco para Lixo 50Lt Preto Sacobril 10Un,5.29,5.29
69,Saco Alvejado Extra 52X72cm Mc Têxtil,5.99,5.99
70,Saco de Lixo Sacobril 30L 25Un,13.89,13.89
71,Saco Cru Mc 55X78cm 1Un,4.69,4.69
72,Saco de Lixo Sacobril Preto 100L 25 Un,20.99,20.99
73,Saco de Lixo 100L Sacobril com 25Un,20.99,20.99
74,Saco de Lixo Sacobril 50 Litros Embalagem 10 Un,5.29,5.29
75,Saco de Lixo Sacobril Preto 50L 25 Un,16.59,16.59
76,Saco de Lixo Pia 10L Sacobril com 25 Unidades,7.59,7.59
77,Saco de Lixo 50L Sacobril 25Un,16.59,16.59
78,Açúcar Refinado União 1Kg,4.99,4.99
79,Açúcar Cristal LAçúcar Embalagem 2Kg,7.49,7.49
80,Açúcar Cristal Laçúcar Embalagem 1Kg,3.79,3.79
81,Adoçante com Stevia Magro 80Ml,9.99,9.99
82,Adoçante Sacarina Zero Cal 100Ml,7.69,7.69
83,Adoçante Sacarina Zero Cal 200Ml,10.79,10.79
84,Adoçante Plus com Stevia Líquido Lowçucar 80Ml,18.49,18.49
85,Adocante Linea Sucralose 25Ml,7.59,7.59
86,Adoçante Tradicional Ciclamato e Sacarina Wolfs 100Ml,3.99,3.99
87,Adoçante Wolfs 100Ml,3.99,3.99
88,Adoçante Zero Cal Aspartame 100Ml,7.69,7.69
89,Arroz Branco Tipo 1 Tio Urbano 1Kg,5.29,5.29
90,Arroz Integral Cocal Miri Agulhinha Embalagem 1Kg,5.49,5.49
91,Arroz Agulinha Paranaiba Embalagem 5Kg,17.99,16.98
92,Arroz Prato Fino Tipo1 2Kg,11.99,11.99
93,Arroz Parboilizado Prato Fino Tipo 1 Pacote 1Kg,5.69,5.69
94,Arroz Parboilizado Prato Fino 1Kg,5.69,5.69
95,Farinha de Trigo Útil sem Fermento Embalagem 1Kg,4.99,4.99
96,Farinha de Trigo Vilma Pacote 1Kg,5.99,5.99
97,Fubá Mimoso Yoki 1Kg,7.59,7.59
98,Farinha de Trigo com Fermento Vilma 1Kg,7.79,7.79
99,Amido de Milho Pacha Embalagem 500G,4.29,4.29
100,Tapioca Goma de Mandioca Hidratada Akio 500G,6.69,6.69
101,Farinha de Mandioca Pachá Torrada Embalagem 1Kg,6.69,6.69
102,Amido de Milho Maizena Tradicional 200G,4.29,4.29
103,Fubá Mimoso Pacha Embalagem 1Kg,4.69,4.69
104,Farinha de Trigo Vilma Embalagem 1Kg,6.69,6.69
105,Farinha de Mandioca Pink Branca Embalagem 1Kg,7.89,7.89
106,Polvilho Doce Pink Embalagem 1Kg,9.39,9.39
107,Fubá Pink Embalagem 1Kg,5.29,5.29
108,Farofa Pronta Pacha Sabor Picanha Picante Embalagem 300G,3.29,3.29
109,Amido Milho Maizena 500G,8.99,8.99
110,Farinha de Mandioca Pacha Branca Embalagem 1Kg,6.99,6.99
111,Farofa de Milho Pacha Embalagem 300G,3.29,3.29
112,Farinha de Milho Biju Pacha 500G,3.89,3.89
113,Farinha de Milho Kimilho Yoki 500G,6.29,6.29
114,Fubá de Milho Yoki Pré Cozido Pacote 1Kg,10.49,10.49
115,Farofa Pronta Tradicional Pink Embalagem 250G,4.39,4.39
116,Farinha de Milho Pacha Biju 500G,3.89,3.89
117,Maizena Amido de Milho 500G,8.99,8.99
118,Farinha de Pão,9.99,9.99
