,Produto,Preço Base,Preço Final
0,"Álcool Araucaria 92,8 Inpm Embalagem 500Ml",4.99,4.99
1,Álcool Etílico Hidratado 70º Inpm Uzu 1L,8.99,8.99
2,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",6.99,6.99
3,"Álcool Líquido Araucaria Uso Geral 46,2 Embalagem 1L",8.99,8.99
4,Limpador Multiuso Veja 10% Desconto 500Ml,4.98,4.98
5,Água Sanitária Santa Clara Embalagem 2 Litros,5.99,5.99
6,Água Sanitária Santa Clara Embalagem 1 Litro,3.49,3.49
7,Água Sanitária Santa Clara 5L,12.99,12.99
8,Lustra Móveis Uau Perfumado Rosas e Sedução 200Ml,6.99,6.99
9,Limpa Box Uau Blindex 200Ml,11.99,11.99
10,Limpador Veja Perfumes Flores do Mediterrâneo 30% Grátis 500Ml,4.39,4.39
11,Desinfetante Casa Km Casa & Perfume Passione Embalagem 1L,8.99,8.99
12,Água Sanitária Classic 1Litro,3.49,3.49
13,Limpador Multiuso Gold Original Veja 500Ml,4.98,4.98
14,Desinfetante Batuta Oceano Ação Limpa Pisos Elimina Germes e Bactérias Embalagem 2L,8.99,8.99
15,Limpador Brilhaluminio Fresh Lemon Embalagem 500Ml,2.99,2.99
16,"Álcool Líquido Araucária 46,2º Embalagem 500Ml",4.99,4.99
17,Desinfetante Batuta Lavanda Embalagem 2L,8.99,8.99
18,Água Sanitária Super Globo Embalagem 2 Litros,6.99,6.99
19,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.99,2.99
20,Desengordurante Uau Squeeze 500Ml,7.99,7.99
21,Soda Cáustica Escorpião 1Kg,34.99,34.99
22,Limpador Multiuso Uau Rosas Sedução 500Ml,4.99,4.99
23,Soda Cáustica Yara 950G,12.99,12.99
24,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,3.99,3.99
25,Limpador Casa e Perfume Sensualidad 1L,8.99,8.99
26,Limpador Uau Multiuso com Cloro Ativo Embalagem 500Ml,7.99,7.99
27,Limpador Uau Perfumes Flores Vermelhas Embalagem 1 Litro,5.99,5.99
28,Limpador Uau Multiuso Lavanda 500Ml,4.99,4.99
29,Cera Líquida Special Taco/Madeiras Ingleza Maxx 750Ml,13.99,13.99
30,Limpador Multiuso Ação Clareadora Uau 500Ml,3.99,3.99
31,Limpador Desengordurante Cozinha Limão Veja 500Ml 20% de Desconto,9.99,9.99
32,Bry Lustra Móveis de Lavanda Ingleza 200Ml,6.99,6.99
33,Casa e Perfume Sensazine 500Ml,4.99,4.99
34,Limpador Multiuso Uau Cloro Ativo 500Ml,7.99,7.99
35,Limpador Limpeza Pesada Veja 500Ml,7.99,7.99
36,Limpador Uau Perfumes Lavanda e Conforto Embalagem L1p800ml,5.99,5.99
37,"Álcool Araucaria 92,8 Embalagem 1 Litro",8.99,8.99
38,Limpador Sensazione Casa & Perfume 1L,8.99,8.99
39,Sapólio Radium Pó Clássico,6.99,6.99
40,Cera Líquida Incolor Brilho Fácil 750Ml,12.99,12.99
41,Pastilha Adesiva Pato Lavanda Oferta Embalagem 3Un,7.99,7.99
42,Sapólio Radium Po com Cloro 300G,6.99,6.99
43,Limpador Perfumado Uau Cuidado e Carinho Embalagem 1 Litro,6.99,6.99
44,Desinfetante de Lavanda Lysoform 1L,12.99,12.99
45,Limpador Sensualidad Casa e Perfume 500Ml,4.99,4.99
46,Limpa Pisos Uau Eliminador de Odores Embalagem 750Ml,9.99,9.99
47,Saponaceo Sany Limão Sany 250Ml,4.99,4.99
48,Limpa Forno Uau 450Ml,16.59,16.59
49,Limpador Agradable Casa e Perfume 500Ml,4.99,4.99
50,Limpador Azulim Azulejo Citrus Embalagem 1L,7.99,7.99
51,Limpador Uau Multiuso Flores e Folhas 500Ml,4.99,4.99
52,Limpador Multiuso Veja Floral Oferta 500Ml,4.59,4.59
53,Limpador Azulim Lavanda Embalagem 1L,6.99,6.99
54,Desinfetante Original Bruto Lysoform 1L,12.99,12.99
55,Cera Líquida Ingleza Maxx Incolor 750Ml,13.99,13.99
56,Limpador Uau Requinte 500Ml,3.99,3.99
57,Desinfetante Pinho Sol Original 500Ml,7.99,7.99
58,Limpa Piso Uau Cerâmicas 750Ml,10.99,10.99
59,Limpador Limpeza Pesada Veja X-14 Grátis 20% de Desconto Frasco 500Ml,7.99,7.99
60,Desinfetante Ypê Bak Lavanda 500Ml,3.98,3.98
61,Limpador Diluível Ajax Fresh 500Ml,9.99,9.99
62,Desinfetante Lavanda Pinho Sol 500Ml,7.99,7.99
63,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,4.59,4.59
64,Limpador Multiuso Veja Floral 500Ml,4.59,4.59
65,Cera Super Tacolac 500Ml,12.99,12.99
