,Produto,Preço Base,Preço Final
0,Água Sanitária Classic 5 Litros,11.65,11.65
1,Álcool Líquido 70 Araucaria 1L,7.95,7.95
2,Kit Multiuso Mais Perfume 500Ml Azulim 3Un,8.39,8.39
3,Álcool Líquido 70º Inpm Flop's 1L,7.99,7.99
4,"Álcool Líquido Nobre 76,9 Inpm 500Ml",4.99,4.99
5,Limpador Multiuso Veja 10% Desconto 500Ml,4.15,4.15
6,Água Sanitária Santa Clara Embalagem 2 Litros,4.98,4.98
7,Água Sanitária Classic Embalagem 2 Litros,5.39,5.39
8,Água Sanitária Santa Clara Embalagem 1 Litro,3.1,3.1
9,Alcool Anhanguera 70 Embalagem 1 Litro,7.15,7.15
10,Lustra Móveis Destac Lavanda 200Ml,8.19,8.19
11,Soda Cáustica Escorpião 1Kg,30.5,30.5
12,Kit Limpador Multiuso Azulim 550Ml 3Un,8.39,8.39
13,Água Sanitária Classic 1Litro,3.19,3.19
14,Limpador Multiuso Cif Cremoso Original Oferta 450Ml,13.35,13.35
15,Água Sanitária Ypê 2L,8.49,8.49
16,Água Sanitária Super Globo Embalagem 2 Litros,6.29,6.29
17,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.5,2.5
18,Kit Econômico Azulim Multiuso 4X1,12.98,12.98
19,Cloro Super Cloro Classic Extra Forte 1 Litro,3.85,3.85
20,Limpador Multiuso Cif 500Ml Leve 3 Pague até 50% 3ºunidade Multiuso+Antibac,10.89,10.89
21,Limpador Uau Cloro Ativo 2 Unidades de 500Ml Cada + Grátis Multiuso Lavanda 500Ml,15.5,15.5
22,Super Cloro Classic Extra Forte 2L,6.9,6.9
23,Limpador Uau Perfumes Lavanda e Conforto Embalagem L1p800ml,6.39,5.99
24,Desinfetante Santa Clara Lavanda Embalagem 2 Litros,5.49,5.49
25,Limpador Agradable Casa e Perfume 500Ml,4.69,4.69
26,Limpador Sensualidad Casa e Perfume 500Ml,4.69,4.69
27,Lustra Móvel Poliflor Lavanda 200Ml,7.1,7.1
28,Limpador Uau Perfumes Flores Vermelhas e Sedução 500Ml,4.29,4.29
29,Soda Cáustica Yara 950G,13.69,13.69
30,Limpa Porcelanato Azulim Powder Lavanda Embalagem 750Ml,8.39,8.39
31,Desinfetante Original Bruto Lysoform 1L,11.99,11.99
32,Limpador Multiuso Cif Gel Oferta 475G,10.29,10.29
33,Cera Líquida Special Taco/Madeiras Ingleza Maxx 750Ml,13.99,13.99
34,Água Sanitária Ypê 1L,4.29,4.29
35,Desinfetante Santa Clara Herbal Embalagem 2 Litros,5.29,5.29
36,Limpador Desengordurante Cozinha Laranja Mr Músculo 400Ml,10.19,10.19
37,Cera Líquida Incolor Brilho Fácil 750Ml,10.75,10.75
38,Desinfetante Classic Floral 5 Litros,12.89,12.89
39,Limpador Uau Limpa Vidros Embalagem 500Ml,7.15,7.15
40,Cera Líquida Brilhowax Incolor 750Ml,9.59,9.59
41,Desinfetante Batuta Floral Embalagem 2L,7.39,7.39
42,Desengordurante Azulim Limpeza Pesada Limão Embalagem 500Ml,4.99,4.99
43,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,4.1,4.1
44,Limpador Multiuso Veja Floral Oferta 500Ml,4.1,4.1
45,Água Sanitária Superglobo Embalagem 1L,3.39,3.39
46,Bry Lustra Móveis de Lavanda Ingleza 200Ml,5.95,5.95
47,Limpador Uau Perfumes Lavanda e Conforto Ingleza Embalagem 500Ml,4.29,4.29
48,Limpador Multiuso Ação Clareadora Uau 500Ml,4.29,4.29
49,Sapólio Radium Cremoso Clássico Multiuso Bombril 250Ml,8.6,8.6
50,Cera Líquida para Piso de Pedra Ardósia Verde Ingleza Embalagem 750Ml,9.85,9.85
51,Limpador Perfumado Intuizione New Casa & Perfume 500Ml,4.69,4.69
52,Limpador Cif Banheiro Tira Limo com Cloro 450Ml,9.99,9.99
53,Desinfetante Lavanda Pinho Sol 500Ml,7.45,7.45
54,Limpador Uau Brisa Frescor 500Ml,4.29,4.29
55,Limpa Pedra Start Pedrex Embalagem 2L,18.2,18.2
56,Desinfetante Pinho Sol Original 500Ml,7.45,7.45
57,Multiuso Limpa e Desinfecta Ação Bactericida Azulim 550Ml,2.99,2.99
58,Limpador Multiuso Cif Elimina Mau Odor Gatilho 500Ml,10.99,10.99
59,Limpador Mr. Músculo Banheiro Sachet Menor Preço 400Ml,9.1,9.1
60,Limpador Removedor de Gordura Cozinha Cif Sch 450Ml Refil,9.65,9.65
61,Cera Líquida Ingleza Maxx Incolor 750Ml,12.8,12.8
62,Cloro Aditivado Vim Original 700 Ml,12.1,12.1
63,Soda Caustica Escorpião Embalagem 500G,16.5,16.5
64,Limpador Uau Flores Vermelhas e Sedução Embalagem 1L,6.39,5.99
65,Limpador Bela Flore Casa e Perfume 500Ml,4.69,4.69
66,Cera Líquida Ingleza Max Ardosia Verde Embalagem 750Ml,12.8,12.8
67,Desinfetante Santa Clara Floral Embalagem 2 Litros,5.29,5.29
68,Desinfetante Omo Lavanda 1.75L,13.75,13.75
69,Limpador Casa e Perfume Amable 500Ml,4.69,4.69
70,Limpador Multiuso Floral Uau Embalagem 500Ml,4.29,4.29
71,Desinfetante Pinho Bril Brisa do Mar 500Ml,3.65,3.65
72,Desinfetante Uso Geral Cloro Gel Marine Poderosa Espumação Pato 500Ml,15.5,15.5
73,Desinfetante Scarlim Rosas e Jasmim 2L,5.79,5.79
74,Desinfetante Pinho Sol Lavanda 1000Ml,14.35,14.35
75,Desinfetante Pinho Trop Fresh 500Ml,3.65,3.65
76,Gel Adesivo Pato Marine Aparelho Embalagem 2 Discos,10.75,10.75
77,Desinfetante Pinho Bril Silvestre Plus 500Ml,3.65,3.65
78,Limpa Vidros Cif Refil 450Ml,8.75,8.75
79,Cera Líquida Ingleza Maxx Vermelha 750Ml,12.8,12.8
80,Desinfetante Pinho Sol Original 1000Ml,14.35,14.35
81,Desinfetante Scarlim Eucalipto 2L,5.79,5.79
82,Desengordurante Multiuso Limão Classic 500Ml,4.19,4.19
83,Cera Líquida Brilho Fácil Ardósia Embalagem 750Ml,10.75,10.75
84,Limpador Uau Perfumes Brisa e Frescor Ingleza Frasco 1L 20% de Desconto,6.39,5.99
85,Limpador Diluível Ajax Fresh 500Ml,9.46,9.46
86,Limpador Casa e Perfume Intuizione New Embalagem 1L,7.85,7.85
87,Óleo de Peroba King 100Ml,8.29,8.29
88,Limpador Multiuso Uau Flores e Frescor Ingleza 500Ml,3.89,3.89
89,Desinfetante de Lavanda Spray Lysoform 360Ml,25.9,25.9
90,Limpador Mr Músculo Cozinha Oferta Embalagem 500Ml,13.99,13.99
91,Limpador Multiuso Super Globo Original Embalagem 500Ml,3.29,3.29
92,Álcool Flop's Embalagem 1L,10.99,10.99
93,Limpador Uau Multiuso Folhas Verdes Embalagem 500Ml,3.89,3.89
94,Limpador Multiuso Classic Tradicional 500Ml,3.29,3.29
95,Cera em Pasta Ingleza Lavanda Incolor Lata 400G,31.9,31.9
96,Pedra Sanitária Azulim Jasmim Embalagem 25G,2.29,2.29
97,Desinfetante Eucalipto Santa Clara 2L,5.49,5.49
98,Desinfetante Ypê Bak Eucalipto 500Ml,3.19,3.19
99,Desinfetante Trop Pinho Lavanda Inglesa 500Ml,3.65,3.65
100,Limpa Pisos Cif Perfumes Envolvente 450Ml,5.29,5.29
101,Cera Líquida Ingleza Maxx Amarela Embalagem 750Ml,12.8,12.8
102,Cera Ingleza Ardosia Incolor Embalagem 750Ml,10.29,10.29
103,Limpador Diluível Ajax Fresh Blue 500Ml,9.46,9.46
104,Desinfetante Pinho Flores de Limão Leve 500Ml Pague 450Ml,3.65,3.65
105,Desinfetante Pinho Sol Limão 500Ml,7.45,7.45
106,Desinfetante Pinho Trop Pinho e Menta 500Ml,3.65,3.65
107,Desinfetante Lembrança de Infância Lysoform 360Ml,25.9,25.9
108,Limpador Multiuso Classic Floral 500Ml,3.29,3.29
109,Limpador Limpeza Pesada 4 em 1 Alta Performance Uau 500Ml,5.5,5.5
110,Limpador Multi Uso Clareadora Super Globo 500Ml,3.29,3.29
111,Desinfetante Aerosol Original Lysoform 55Ml,12.9,12.9
112,Desinfetante Pinho Trop Limão Embalagem 500Ml,3.65,3.65
113,Desinfetante Pinho Trop Pínho Menta Embalagem Leve 1L Pague 900Ml,6.59,6.59
114,Limpador Multiuso Classic Hortelã 500Ml,3.29,3.29
115,Limpador Multiuso Super Globo Embalagem 500Ml,4.29,4.29
116,Desinfetante Omo Pinho 1.75L,13.75,13.75
117,Desinfetante Classic Eucalipto Embalagem 2 Litros,5.29,5.29
118,Cera em Pasta Ingleza Lavanda Vermelha Lata 400G,31.9,31.9
119,Limpa Alumínio Brilhex Plus Embalagem 500Ml,2.45,2.45
