,Produto,Preço Base,Preço Final
0,Água Sanitária Classic 5 Litros,12.9,12.9
1,Limpador Multiuso Veja 10% Desconto 500Ml,4.89,4.89
2,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",5.69,5.69
3,Água Sanitária Santa Clara Embalagem 2 Litros,5.59,4.98
4,Água Sanitária Classic Embalagem 2 Litros,5.59,5.59
5,"Álcool Flops 92,8 1 Litro",9.99,9.99
6,Alcool Anhanguera 70 Embalagem 1 Litro,7.9,7.9
7,Lustra Móveis Destac Lavanda 200Ml,6.09,6.09
8,Soda Cáustica Escorpião 1Kg,30.9,30.9
9,Água Sanitária Classic 1Litro,3.29,3.29
10,Tira Limo Azulim Embalagem 500Ml,3.99,3.99
11,Limpador Desengordurante Cozinha Limão Veja 500Ml 20% de Desconto,10.5,10.5
12,Limpador Agradable Casa e Perfume 1L,7.99,7.99
13,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.59,2.59
14,Limpador Multiuso Gold Original Veja 500Ml,4.89,4.89
15,Cloro Super Cloro Classic Extra Forte 1 Litro,4.3,4.3
16,Limpador Multiuso Cif 500Ml Leve 3 Pague até 50% 3ºunidade Multiuso+Antibac,10.5,10.5
17,Super Cloro Classic Extra Forte 2L,7.5,7.5
18,Sapólio Radium Pó Clássico,4.99,4.99
19,Desinfetante Classic Capim Limão Eucalipto Embalagem 2 Litros,6.69,6.69
20,Limpador Sensualidad Casa e Perfume 500Ml,4.8,4.8
21,Limpador Agradable Casa e Perfume 500Ml,4.8,4.8
22,Pastilhas Ades Inspira Lavanda 20%Desc 3Un,6.2,6.2
23,Limpador Uau Multiuso Lavanda 500Ml,4.3,4.3
24,Veja X-14 Tira Limo Limpador para Banheiro Pulverizador 500Ml com 30% de Desconto,15.89,15.89
25,Limpa Piso Uau Laminado 750Ml,9.25,9.25
26,Limpador Limpeza Pesada Veja 500Ml,7.99,7.99
27,Soda Cáustica Yara 950G,14.9,14.9
28,Limpa Porcelanato Azulim Powder Lavanda Embalagem 750Ml,6.75,6.75
29,Limpador Multiuso Cif Gel Oferta 475G,12.5,12.5
30,Limpador Multiuso Cif Anti Bacterial Ultra Rápido Embalagem 500Ml,4.99,4.99
31,Desentupidor de Piá Diabo Verde Embalagem 300G,21.5,21.5
32,Água Sanitária Ypê 1L,4.8,4.8
33,Limpador Multiuso Veja Lavanda e Álcool Oferta 500Ml,4.89,4.89
34,Limpador Multiuso Veja Power Fusion Limão 500Ml,9.89,9.89
35,Cera Líquida Incolor Brilho Fácil 750Ml,11.79,11.79
36,Limpador Azulim Lavanda Embalagem 1L,6.75,5.99
37,Cera Líquida Brilhowax Incolor 750Ml,9.59,9.59
38,Álcool Mega Gel Neutro 70º Embalagem 500Ml,5.99,5.99
39,Desengordurante Azulim Limpeza Pesada Limão Embalagem 500Ml,5.5,4.99
40,Limpador Multiuso Veja Floral Oferta 500Ml,4.89,4.89
41,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,4.89,4.89
42,Desinfetante Pinho Bril Campos de Lavanda 500Ml,4.4,4.4
43,Limpador Multiuso Veja Gold Campestre 500Ml,4.89,4.89
44,Limpador Perfumado Intuizione New Casa & Perfume 500Ml,4.8,4.8
45,Limpador Multiuso Azulim Original Azul 500Ml,3.15,2.99
46,Limpa Pedra Start Pedrex Embalagem 2L,18.49,18.49
47,Desinfetante Pinho Sol Original 500Ml,7.3,7.3
48,Limpador Removedor de Gordura Cozinha Cif Sch 450Ml Refil,9.69,9.69
49,Cera Líquida Ingleza Maxx Incolor 750Ml,12.5,12.5
50,Álcool Líquido Flops 96 Embalagem 500Ml,4.28,4.28
51,Lustra Móveis Lavanda Preço Especial Poliflor 500Ml,15.9,15.9
52,Limpa Piso Uau Cerâmicas 750Ml,9.25,9.25
53,Desinfetante Líquido Original Lysoform 500Ml,6.25,6.25
54,Desinfetante Multiuso Antibac Cif 500Ml,4.99,4.99
55,Limpador Casa e Perfume Amable 500Ml,4.8,4.8
56,Limpador Multiuso Floral Uau Embalagem 500Ml,4.3,4.3
57,Desinfetante Pinho Trop Fresh 500Ml,3.79,3.79
58,Limpador Multiuso Veja Oxigênio Ativo sem Cloro 500Ml,6.29,6.29
59,Desinfetante Pinho Bril Silvestre Plus 1L,7.99,7.99
60,Limpador Multiuso Cremoso Limão Cif 250Ml,9.5,9.5
61,Limpador Multiuso Coco Veja Power Fusion Squeeze 500Ml,9.35,9.35
62,Desengordurante Multiuso Limão Classic 500Ml,4.25,4.25
63,Limpa Piso Porcelanato e Cerâmica Super Globo 750Ml,8.49,8.49
64,Pedra Sanitária de Jasmin Starlux 35G,1.99,1.99
65,Desinfetante Classic Jasmim Embalagem 2 Litros,6.69,6.69
66,Cera Líquida Brilho Fácil Ardósia Embalagem 750Ml,11.79,11.79
67,Óleo de Peroba King 100Ml,8.95,8.95
68,Desinfetante Suave Odor Lysoform Bruto Bombril 1L,12.4,12.4
