,Produto,Preço Base,Preço Final
0,Água Sanitária Classic 5 Litros,12.55,12.55
1,Limpador Multiuso Veja 10% Desconto 500Ml,4.29,4.29
2,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",5.69,5.69
3,Água Sanitária Santa Clara Embalagem 2 Litros,5.39,4.98
4,Alcool Anhanguera 70 Embalagem 1 Litro,7.39,7.39
5,Soda Cáustica Escorpião 1Kg,30.99,30.99
6,Tira Limo Veja X14 Cloro Ativo Squeeze Oferta 500Ml,14.15,14.15
7,Kit Limpador Multiuso Azulim 550Ml 3Un,8.39,8.39
8,Água Sanitária Classic 1Litro,3.29,3.29
9,Limpador Multiuso Cif Cremoso Original Oferta 450Ml,13.39,13.39
10,Tira Limo Azulim Embalagem 500Ml,4.25,3.99
11,Limpador Desengordurante Cozinha Limão Veja 500Ml 20% de Desconto,9.99,9.99
12,Pedra Sanitária Mil Aromas Fragrâncias Embalagem 25G,2.49,2.49
13,Pastilha Adesiva Pato Lavanda Oferta Embalagem 3Un,9.2,9.2
14,Limpador Uau Perfumes Lavanda e Conforto Embalagem L1p800ml,5.95,5.95
15,Sapólio Radium Pó Clássico,5.65,4.99
16,Pedra Sanitária Inspira Lavanda 1Un,2.79,2.79
17,Limpador Uau Multiuso Lavanda 500Ml,4.2,4.2
18,Limpador Limpeza Pesada Veja 500Ml,7.55,7.55
19,Cera Líquida Special Taco/Madeiras Ingleza Maxx 750Ml,14.29,14.29
20,Desentupidor de Piá Diabo Verde Embalagem 300G,18.85,18.85
21,Desinfetante Pinho Lavanda Super Globo 500Ml,3.25,3.25
22,Detergente Tablete para Máquina de Lavar Louças Limpol Caixa 20G Cada 25 Unidades,33.1,33.1
23,Cera Líquida Incolor Brilho Fácil 750Ml,11.15,11.15
24,Limpador Azulim Lavanda Embalagem 1L,6.89,5.99
25,Cera Líquida Brilhowax Incolor 750Ml,9.59,9.59
26,Álcool Mega Gel Neutro 70º Embalagem 500Ml,6.25,6.25
27,Limpador Multiuso Uau Cloro Ativo 500Ml,7.89,7.89
28,Desengordurante Azulim Limpeza Pesada Limão Embalagem 500Ml,4.99,4.99
29,Sapólio Radium Cremoso Clássico Multiuso Bombril 250Ml,8.89,8.89
30,Desinfetante Pinho Bril Campos de Lavanda 500Ml,3.79,3.79
31,Cera Líquida para Piso de Pedra Ardósia Verde Ingleza Embalagem 750Ml,9.89,9.89
32,Limpador Cif Banheiro Tira Limo com Cloro 450Ml,7.69,7.69
33,Limpador Multiuso Azulim Original Azul 500Ml,2.69,2.69
34,Limp Alumínio Mix Embalagem 500Ml,2.49,2.49
35,Desinfetante Pinho Sol Original 500Ml,7.29,7.29
36,Pedra Sanitária Marine Oferta Pato,3.45,3.45
37,Lustra Móveis Lavanda Preço Especial Poliflor 500Ml,16.35,16.35
38,Álcool Líquido Flops 96 Embalagem 500Ml,5.29,5.29
39,Cloro Aditivado Vim Original 700 Ml,10.79,10.79
40,Soda Caustica Escorpião Embalagem 500G,17.95,17.95
41,Desinfetante Citrus Lysoform 1L,12.6,12.6
42,Sapólio Radium Pó Lavanda 300G,5.65,4.99
43,Gel Adesivo Sanitário Pato Citrus Refil 38G,15.49,15.49
44,Desinfetante Líquido Original Lysoform 500Ml,5.85,5.85
45,Desinfetante Multiuso Antibac Cif 500Ml,3.99,3.99
46,Desinfetante Santa Clara Floral Embalagem 2 Litros,5.7,5.7
47,Limpador Multiuso Coco Veja Power Fusion Squeeze 500Ml,9.59,9.59
48,Limpador Veja Limpeza Pesada Floral Campestre 500Ml,12.35,12.35
49,Pedra Sanitária Bosque de Pinho Oferta Glade 25G,3.45,3.45
50,Limpa Alumínio Feroz Embalagem 500 Ml,2.98,2.98
51,Óleo de Peroba King 100Ml,9.1,9.1
52,Óleo de Peroba 200Ml,13.99,13.99
