,Produto,Preço Base,Preço Final
0,Água Sanitária Marina Embalagem 2L,5.99,5.99
1,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",6.69,6.69
2,Água Sanitária Classic Embalagem 2 Litros,6.29,6.29
3,Álcool 70% Asseptgel Start Embalagem 500Ml,7.19,7.19
4,Álcool Líquido 70% Start 1L,12.69,12.69
5,Água Sanitária Santa Clara Embalagem 1 Litro,3.79,3.79
6,"Álcool Start 46,2º Embalagem 1L",10.49,10.49
7,Tira Limo Veja X14 Cloro Ativo Squeeze Oferta 500Ml,14.99,14.99
8,Kit Limpador Multiuso Azulim 550Ml 3Un,8.99,8.99
9,Água Sanitária Classic 1Litro,3.69,3.69
10,Limpador Multiuso Cif Cremoso Original Oferta 450Ml,14.99,14.99
11,Limpa Alumínio Marina Verde Embalagem 500Ml,2.69,2.69
12,Água Sanitária Super Globo Embalagem 2 Litros,6.69,6.69
13,Limpador Multiuso Uau Rosas Sedução 500Ml,4.49,4.49
14,Limpador Multiuso Gold Original Veja 500Ml,4.59,4.59
15,Kit Econômico Azulim Multiuso 4X1,12.98,12.98
16,Limpador Multiuso Uau Lavanda Embalagem Leve 600Ml Pague 500Ml,4.49,4.49
17,Limpador Casa e Perfume Sensualidad 1L,8.49,8.49
18,Cloro Super Cloro Classic Extra Forte 1 Litro,4.59,4.59
19,Acido Muriático Clarix 1L,7.39,7.39
20,Limpador Perfumado Ypê Azul Tropical 500Ml,4.99,4.99
21,Limpador Uau Cloro Ativo 2 Unidades de 500Ml Cada + Grátis Multiuso Lavanda 500Ml,16.39,16.39
22,Pedra Sanitária Sany Mix Floral Embalagem 25G,2.19,2.19
23,Super Cloro Classic Extra Forte 2L,7.99,7.99
24,Limpador Uau Perfumes Lavanda e Conforto Embalagem L1p800ml,6.99,5.99
25,Limpador Uau Perfumes Flores Vermelhas Embalagem 1 Litro,6.79,5.99
26,Sapólio Radium Pó Clássico,5.99,4.99
27,Desinfetante Santa Clara Lavanda Embalagem 2 Litros,7.89,7.89
28,Limpador Multiuso Ypê Clássico 500Ml,4.79,4.79
29,Pastilhas Ades Inspira Lavanda 20%Desc 3Un,7.49,7.49
30,Limpador Uau Multiuso Lavanda 500Ml,4.49,4.49
31,Limpador Uau Multiuso Flores e Folhas 500Ml,4.49,4.49
32,Limpador Uau Perfumes Flores Vermelhas e Sedução 500Ml,4.39,4.39
33,Limpadores Ypê Multi Uso Clássico 500Ml,4.79,4.79
34,Sapólio Radium Po com Cloro 300G,5.69,4.99
35,Cera Líquida Special Taco/Madeiras Ingleza Maxx 750Ml,14.99,14.99
36,Desentupidor de Piá Diabo Verde Embalagem 300G,21.69,21.69
37,Água Sanitária Ypê 1L,5.19,5.19
38,Limpador Multiuso Super Globo Original 500Ml,3.69,3.69
39,Kit Limpador Multiuso Clássico Ypê 500Ml Leve 4 Pague 3,14.09,14.09
40,Limpador Multiuso Veja Lavanda e Álcool Oferta 500Ml,6.19,6.19
41,Desinfetante Bruto Suave Odor Lysoform 500Ml,7.59,7.59
42,Limpador Uau Limpa Vidros Embalagem 500Ml,8.59,8.59
43,Limpador Multiuso Uau Cloro Ativo 500Ml,8.29,8.29
44,Desinfetante Pinho Trop 1L,8.59,8.59
45,Limpador Azulim Azulejo Citrus Embalagem 1L,8.49,5.99
46,Desengordurante Azulim Limpeza Pesada Limão Embalagem 500Ml,6.39,4.99
47,"Limpador Perfumado Perfumes Flores Vermelhas e Sedução Uau Inglesa Leve 2L Pague 1,6L)",11.39,11.39
48,Limpador Diluível Ajax Fresh Limão 500Ml,10.69,10.69
49,Limpador Multiuso Veja Floral Oferta 500Ml,6.19,6.19
50,Água Sanitária Superglobo Embalagem 1L,3.99,3.99
51,Bry Lustra Móveis de Lavanda Ingleza 200Ml,7.49,7.49
52,Limpador Uau Perfumes Lavanda e Conforto Ingleza Embalagem 500Ml,4.39,4.39
53,Limpador Multiuso Ação Clareadora Uau 500Ml,4.49,4.49
54,Desinfetante Pinho Bril Campos de Lavanda 500Ml,4.99,4.99
55,Desinfetante Batuta Lavanda Embalagem 2L,9.29,9.29
56,Limpador Multiuso Azulim Original Azul 500Ml,3.29,2.99
57,Desinfetante Lavanda Pinho Sol 500Ml,9.59,9.59
58,Limpador Uau Brisa Frescor 500Ml,4.39,4.39
59,Limpador Perfumado Azulim Alegria Embalagem 1L,7.69,7.69
60,Multiuso Limpa e Desinfecta Ação Bactericida Azulim 550Ml,3.29,3.29
61,Desinfetante Pinho Sol Original 500Ml,9.59,9.59
62,Álcool Líquido Flops 96 Embalagem 500Ml,10.99,10.99
63,Cloro Aditivado Vim Original 700 Ml,14.49,14.49
64,Desinfetante Citrus Lysoform 1L,15.29,15.29
65,Sapólio Radium Pó Lavanda 300G,5.69,4.99
66,Limpador Multiuso com Álcool Brilho Instantâneo Uau Frasco 500Ml,4.49,4.49
67,Desinfetante de Limão Pinho Bril 500Ml,4.99,4.99
68,Pedra Sanitária Sany Mix Jasmim Embalagem 25G,2.19,2.19
69,Lustra Móveis Jasmim Poliflor 500Ml,23.69,23.69
70,Desinfetante Omo Lavanda 1.75L,16.9,13.98
71,Limpador Casa e Perfume Amable 500Ml,4.99,4.99
72,Limpador Multiuso Floral Uau Embalagem 500Ml,4.49,4.49
73,Desinfetante Pinho Bril Brisa do Mar 500Ml,4.99,4.99
74,Limpador Multiuso Brisa Suave Azulim 500Ml,3.79,3.79
75,Desinfetante Pinho Bril Lavanda Oferta 500Ml,4.99,4.99
76,Limpador Multiuso Frescor do Campo Azulim 500Ml,3.79,3.79
77,Desinfetante Pinho Sol Lavanda Oferta 500Ml,9.59,9.59
78,Desinfetante Pinho Trop Fresh 500Ml,4.79,4.79
79,Desinfetante Pinho Bril Brisa Mar Embalagem 500Ml,4.99,4.99
80,Limpador Uau Limpa Pisos Madeira 750Ml,9.9,9.9
81,Limpa Casa e Perfume Mistero Di Amore Embalagem 500Ml,4.99,4.99
82,Limpador Uau Lavanda Conforto com 20% de Desconto 2L,11.69,11.69
83,Desinfetante Pinho Bril Silvestre Plus 500Ml,4.99,4.99
84,Cloro Aditivado Floral Vim 700Ml,5.29,5.29
85,Limpador Multiuso Veja Lavanda e Álcool 500Ml,6.19,6.19
86,Pedra Sanitária Bosque de Pinho Oferta Glade 25G,4.99,4.99
87,Desinfetante Aerossol Lysoform 360Ml,29.9,29.9
88,Limpador Casa e Perfume Speciale Embalagem 500Ml,4.99,4.99
89,Desinfetante Pinho Sol Leve 500Ml Pague 450Ml,9.59,9.59
90,Limpador Banheiro Cif sem Cloro Refil 450Ml,9.9,9.9
91,Limpa Piso Porcelanato e Cerâmica Super Globo 750Ml,8.99,8.99
92,Limpador Multiuso Marina Tradicional 500Ml,3.39,3.39
93,Limpador Multiuso Uau Flores e Folhas Embalagem Leve 600Ml Pague 500Ml,4.49,4.49
94,Desinfetante Classic Jasmim Embalagem 2 Litros,7.49,7.49
95,Desinfetante Pinho Bril Silvestre Oferta 500Ml,4.99,4.99
96,Limpador Diluível Ajax Fresh 500Ml,9.99,9.99
97,Limpador Uau Perfumes Brisa e Frescor Ingleza Frasco 1L 20% de Desconto,6.79,5.99
98,Óleo de Peroba King 100Ml,9.9,9.9
99,Lustra Móveis Bry Jasmim Embalagem 200Ml,7.49,7.49
100,Limpador Multiuso Uau Flores e Frescor Ingleza 500Ml,4.49,4.49
101,Limpador Multiuso Super Globo Original Embalagem 500Ml,3.69,3.69
102,Pastilha Adesiva Limppano Inspira Lavanda Embalagem 3 Un,7.49,7.49
103,Pedra Sanitária Eucalipto Azulim 25G,3.09,3.09
104,Pedra Sanitária Sany Brill Lavanda 25G,5.99,5.99
105,Limpador Veja Limpeza Pesada Cloro Ativo Embalagem 500Ml 10% de Desconto,14.99,14.99
106,Limpador Multiuso Classic Tradicional 500Ml,3.59,3.59
107,Bloco Sanitario Azulim Lavanda 50G,6.59,6.59
108,Pedra Sanitária Lavanda Azulim Start Embalagem 25G,3.09,3.09
109,Pedra Sanitária Azulim Jasmim Embalagem 25G,3.09,3.09
110,Desinfetante Ypê Bak Eucalipto 500Ml,3.99,3.99
111,Desinfetante Eucalipto Santa Clara 2L,7.89,7.89
112,Desinfetante Trop Pinho Lavanda Inglesa 500Ml,4.79,4.79
113,Limpa Pisos Cif Perfumes Relaxante Frasco 450Ml,7.49,7.49
114,Limpa Pisos Cif Perfumes Envolvente 450Ml,5.49,5.49
115,Cera Ingleza Ardosia Incolor Embalagem 750Ml,11.95,11.95
116,Desinfetante Pinho Flores de Limão Leve 500Ml Pague 450Ml,4.99,4.99
117,Limpa Pisos Cif Perfumes Energizante 450Ml,5.49,5.49
118,Desinfetante Pinho Sol Limão 1L,15.99,15.99
119,Desinfetante Pinho Trop Pinho e Menta 500Ml,4.79,4.79
120,Desinfetante Omo Pinho 1L,9.9,9.9
121,Cera Líquida Brilho Fácil Amarela Embalagem 750Ml,14.89,14.89
122,Pedra Sanitária Bosque de Pinho Glade 25G,4.99,4.99
123,Limpa Forno Easy Off 250Ml,23.9,23.9
124,Limpa Forno Easy Off Embalagem 226Ml,23.9,23.9
125,Limp.Uau 500Ml Multi Uso Lavanda C/10%Gts,4.49,4.49
126,Limpador Limpeza Pesada 4 em 1 Alta Performance Uau 500Ml,8.49,8.49
127,Limpador Multi Uso Clareadora Super Globo 500Ml,3.69,3.69
128,Desinfetante Pinho Trop Limão Embalagem 500Ml,4.79,4.79
129,Graxa para Sapato em Pasta Preta Nugget Lata 36G,13.99,13.99
130,Desinfetante Uso Geral Ufe 750Ml,13.9,13.9
131,Limpadores Concentrado Uau Lavanda 130Ml,11.39,11.39
132,Limpador Uau Limpeza Pesada Alta Performance Embalagem 500Ml,8.49,8.49
