,Produto,Preço Base,Preço Final
0,Álcool Líquido 70 Araucaria 1L,10.15,10.15
1,"Álcool Líquido Nobre 76,9 Inpm 500Ml",5.84,5.84
2,Limpador Multiuso Veja 10% Desconto 500Ml,5.74,5.74
3,Alcool Anhanguera 70 Embalagem 1 Litro,10.05,10.05
4,Tira Limo Veja X14 Cloro Ativo Squeeze Oferta 500Ml,14.4,14.4
5,Água Sanitária Classic 1Litro,3.95,3.95
6,Água Sanitária Super Globo Embalagem 2 Litros,7.72,7.72
7,Limpador Desengordurante Cozinha Limão Veja 500Ml 20% de Desconto,9.94,9.94
8,Cloro Super Cloro Classic Extra Forte 1 Litro,4.39,4.39
9,Desinfetante Classic Capim Limão Eucalipto Embalagem 2 Litros,7.79,7.79
10,Limpador para Limpeza Pesada Cloro Ativo 2 em 1 com 20% de Desconto Veja 1L,17.53,17.53
11,Desinfetante de Lavanda Lysoform 1L,14.68,14.68
12,Limpador de Pisos Destac Laminados 750Ml,17.74,17.74
13,Limpador Desengordurante Cozinha Laranja Mr Músculo 400Ml,11.86,11.86
14,Limpador Multiuso Veja Power Fusion Limão 500Ml,11.65,11.65
15,Água Sanitária Superglobo Embalagem 1L,3.8,3.8
16,Sapólio Radium Cremoso Clássico Multiuso Bombril 250Ml,10.86,10.86
17,Desinfetante Pinho Bril Campos de Lavanda 500Ml,5.06,5.06
18,Desinfetante Classic Jasmim Embalagem 2 Litros,7.79,7.79
19,Limpador Multiuso Super Globo Original Embalagem 500Ml,4.24,4.24
20,Desinfetante Classic Lavanda Embalagem 2 Litros,7.79,7.79
21,Desinfetante Classic Eucalipto Embalagem 2 Litros,7.79,7.79
22,Limpa Brilha Alum Brilhex Tradicional 500Ml,3.78,3.78
23,Limpa Alumínio Amarelo Brilhex 500Ml,3.78,3.78
24,Desodorizador Aerossol Lavanda Oferta Especial Glade 360Ml,14.83,14.83
25,Detergente Ypê Clear 500Ml,3.17,3.17
26,Detergente Coco Ypê 500Ml,3.17,3.17
27,Detergente Ypê Limão 500Ml,3.17,3.17
28,Detergente Líquido Neutro Limpol 500Ml,2.84,2.84
29,Detergente Líquido Classic Neutro 500Ml,2.42,2.42
30,Inseticida Sbp Multi Inset Citronela Aerosol 273Ml,12.69,12.69
31,Sabao Glic Ype Neutro 900G,19.84,19.84
32,Amaciante Downy Brisa do Verão 500Ml,11.49,11.49
33,"Lava-Roupas em Pó Omo Lavagem Perfeita Sanitiza & Higieniza Tamanho Família 2,2Kg",32.26,32.26
34,Lava-Roupas Líquido Omo Lavagem Perfeita Sachê 900Ml Refil Econômico,21.3,21.3
35,Lava Roupas em Pó Tixan Ypê Primavera 800G,13.83,13.83
36,Sabão em Pó Classic Plus 1Kg,7.13,7.13
37,"Lava Roupas em Pó Limpeza Total para Roupas Brancas e Coloridas Brilhante Sachê 1,6Kg",23.26,23.26
38,"Lava-Roupas em Pó Concentrado Primavera Tixan Ypê 1,6Kg",30.33,30.33
39,Tira Manchas em Pó Vanish Oxi Action Crystal White Refil 400G,24.44,24.44
40,Amaciante Concentrado Comfort Intense Puro Cuidado 500Ml,12.38,12.38
41,Tira Manchas Gel Vanish Roupas Coloridas 500Ml,16.79,16.79
42,Amaciante Concentrado Downy Frescor da Primavera Embalagem 500Ml,11.49,11.49
43,Lava-Roupas Pó Omo Lavagem Perfeita Sanitiza & Higieniza Caixa 800G,16.09,16.09
44,Cloro Santa Clara Super Forte Embalagem 1 Litro,7.53,7.53
45,Sabão em Pó Alquimisa Amarelo Ecológico 1Kg,8.44,8.44
46,Amaciante Concentrado Fofo Tradicional 500Ml,12.64,12.64
47,Sabão em Pó Comfort Fiber Protect 1.6Kg,28.23,28.23
48,Amaciante Concentrado Comfort Intense Cuidado Essencial 500Ml,12.26,12.26
49,Sabão em Barra Ufe Coco Pacote 200G,5.99,5.99
50,Sabão Glicerinado Neutro Barra Classic 5X200g,18.31,18.31
51,Esponja de Aço Bombril Pacote 60G,3.05,3.05
52,Esponja de Aço 60G Bombril com 8Un,3.05,3.05
53,Escova Anatômica Limpamania,4.64,4.64
54,Saco de Lixo Vare 50L 40Un,17.7,17.7
55,Espoja Scotch-Briet Economia Embalagem Unitária,2.86,2.86
56,Esponja Inox Flash Limp Limpeza Pesada 1Un,3.76,3.76
57,Saco de Lixo Vare 30L 40Un,14.86,14.86
58,Saco de Pano Alvejado,8.59,8.59
59,Saco de Pano Alvejado 65X40,8.59,8.59
60,"Saco Vacuo Liso Zpp 25X40x0,005",30.54,30.54
61,Açúcar Refinado União 1Kg,6.49,6.49
