,Produto,Preço Base,Preço Final
0,Água Sanitária Super Globo Embalagem 5 Litros,12.99,12.99
1,Água Sanitária Qboa 1L,3.99,3.99
2,Álcool Etílico Hidratado 70º Inpm Uzu 1L,11.99,11.99
3,Água Sanitária Marina Embalagem 2L,4.99,4.99
4,Água Sanitária Santa Clara 5L,11.99,11.99
5,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",5.69,5.69
6,Água Sanitária Santa Clara Embalagem 2 Litros,5.79,4.98
7,Água Sanitária Santa Clara Embalagem 1 Litro,3.39,3.39
8,Lustra Móveis Destac Lavanda 200Ml,9.99,9.99
9,Brilha Alumínio Uva Brilhaluminio 500Ml,2.89,2.89
10,Limpador Uau Multiuso com Cloro Ativo Embalagem 500Ml,7.99,7.99
11,Soda Cáustica Escorpião 1Kg,34.99,34.99
12,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,4.19,4.19
13,Limpador Multiuso Uau Rosas Sedução 500Ml,4.19,4.19
14,Limpador Uau Cloro Ativo 2 Unidades de 500Ml Cada + Grátis Multiuso Lavanda 500Ml,14.99,14.99
15,Bilha Alumínio Alumil Embalagem 500Ml,3.99,3.99
16,Limpador Uau Perfumes Flores Vermelhas Embalagem 1 Litro,7.99,5.99
17,Casa e Perfume Sensazine 500Ml,4.89,4.89
18,Desengordurante Uau Squeeze 500Ml,7.59,7.59
19,Desinfetante Santa Clara Lavanda Embalagem 2 Litros,6.39,6.39
20,Limpador Agradable Casa e Perfume 500Ml,4.89,4.89
21,Limpador Multiuso Ypê Clássico 500Ml,5.29,5.29
22,Pedra Sanitária Sampa Clean 25G,3.29,3.29
23,Limpador Azulim Multiuso Embalagem 500Ml,3.19,2.99
24,Lustra Móvel Poliflor Lavanda 200Ml,9.49,9.49
25,Limpador Uau Multiuso Lavanda 500Ml,4.19,4.19
26,Limpa Piso Uau Laminado 750Ml,9.99,9.99
27,Limpador Limpeza Pesada Veja X-14 Grátis 20% de Desconto Frasco 500Ml,9.99,9.99
28,Limpador Limpeza Pesada Veja 500Ml,9.99,9.99
29,Limpa Porcelanato Azulim Powder Lavanda Embalagem 750Ml,7.79,7.79
30,Limpadores Ypê Multi Uso Clássico 500Ml,5.29,5.29
31,Desinfetante Pinho Lavanda Super Globo 500Ml,3.49,3.49
32,Água Sanitária Ypê 1L,5.29,5.29
33,Desinfetante Santa Clara Herbal Embalagem 2 Litros,6.39,6.39
34,Desinfetante Lavanda Pinho Urca 2L,6.99,6.99
35,Limpador Multiuso Veja Lavanda e Álcool Oferta 500Ml,5.49,5.49
36,Desinfetante Ypê Bak Lavanda 500Ml,5.99,5.99
37,Cera Líquida Incolor Brilho Fácil 750Ml,12.99,12.99
38,Limpador Multiuso Veja Power Fusion Limão 500Ml,9.99,9.99
39,Limpador Azulim Lavanda Embalagem 1L,7.29,5.99
40,Cera Líquida Brilhowax Incolor 750Ml,10.99,10.99
41,Limpador Uau Limpa Vidros Embalagem 500Ml,7.99,7.99
42,Desinfetante Urca Floral Brisa 2L,6.99,6.99
43,Lustra Móveis Uau Perfumado Rosas e Sedução 200Ml,7.59,7.59
44,Desengordurante Azulim Limpeza Pesada Limão Embalagem 500Ml,5.99,4.99
45,Desinfetante Ypê Bak Floral 500Ml,5.99,5.99
46,Limpador Diluível Ajax Fresh Limão 500Ml,9.89,9.89
47,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,5.49,5.49
48,Limpador Multiuso Veja Floral Oferta 500Ml,5.49,5.49
49,Água Sanitária Superglobo Embalagem 1L,3.59,3.59
50,Bry Lustra Móveis de Lavanda Ingleza 200Ml,6.69,6.69
51,Sapólio Radium Cremoso Clássico Multiuso Bombril 250Ml,7.99,7.99
52,Cera Líquida para Piso de Pedra Ardósia Verde Ingleza Embalagem 750Ml,11.89,11.89
53,Limpador Cif Banheiro Tira Limo com Cloro 450Ml,11.99,11.99
54,Limpador Multiuso Azulim Original Azul 500Ml,3.19,2.99
55,Desinfetante Lavanda Pinho Sol 500Ml,8.89,8.89
56,Limpador Multiuso Super Globo Lavanda 500Ml,3.39,3.39
57,Limpa Pedra Start Pedrex Embalagem 2L,19.99,19.99
58,Multiuso Limpa e Desinfecta Ação Bactericida Azulim 550Ml,3.19,2.99
59,Desinfetante Urca Eucalipto Fresh 2L,6.99,6.99
60,Limpa Forno Diabo Verde Embalagem 250G,13.99,13.99
61,Limpeza Pesada Uau Rosas e Sedução 500Ml,5.99,5.99
62,Desengordurante Cozinha Laranja Refil Mr Músculo 400Ml,12.89,12.89
63,Limpador Removedor de Gordura Cozinha Cif Sch 450Ml Refil,10.49,10.49
64,Cera Líquida Ingleza Maxx Incolor 750Ml,14.99,14.99
65,Limpa Piso Uau Cerâmicas 750Ml,9.99,9.99
66,Tira Ferrugem Semorin Embalagem 50Ml,7.99,7.99
67,Desinfetante de Limão Pinho Bril 500Ml,4.49,4.49
68,Desinfetante Flor de Lavanda Urca 2L,6.99,6.99
69,Desinfetante Multiuso Antibac Cif 500Ml,3.99,3.99
70,Desinfetante Santa Clara Floral Embalagem 2 Litros,6.39,6.39
71,Lustra Móveis Jasmim Poliflor 500Ml,17.89,17.89
72,Limpador Multiuso Floral Uau Embalagem 500Ml,4.19,4.19
73,Limpador Casa e Perfume Amable 500Ml,4.89,4.89
74,Desinfetante de Eucalipto Urca 2L,6.99,6.99
75,Desinfetante Pinho Bril Campos de Lavanda 1000Ml,6.99,6.99
76,Cera Super Tacolac 500Ml,13.99,13.99
77,Desinfetante Pinho Sol Lavanda 1000Ml,13.99,13.99
78,Desinfetante Pinho Trop Fresh 500Ml,3.99,3.99
79,Desinfetante Pinho Bril Silvestre Plus 1L,6.99,6.99
80,Desinfetante Pinho Bril Brisa Mar Embalagem 500Ml,4.49,4.49
81,Limpador Multiuso Coco Veja Power Fusion Squeeze 500Ml,9.99,9.99
82,Limpa Casa e Perfume Mistero Di Amore Embalagem 500Ml,4.89,4.89
83,Removedor King Plus 500Ml,20.99,20.99
84,Limpador Multiuso Azulim Florata 550Ml,3.19,2.99
85,Gel Adesivo Pato Marine Aparelho Embalagem 2 Discos,10.99,10.99
86,Limpa Vidros Cif Refil 450Ml,10.49,10.49
87,Desinfetante Pinho Sol Original Oferta 1000Ml,13.99,13.99
88,Cera Líquida Ingleza Maxx Vermelha 750Ml,14.99,14.99
89,Desinfetante Bak Turquesa Bak Squeeze Ypê 500Ml,5.99,5.99
90,Desinfetante Pinho Sol Leve 500Ml Pague 450Ml,7.89,7.89
91,Limpa Piso Porcelanato e Cerâmica Super Globo 750Ml,7.99,7.99
92,Limpador Banheiro Cif sem Cloro Refil 450Ml,10.49,10.49
93,Limpador Uau Harmonia 500Ml,4.29,4.29
94,Limpador Multiuso Veja Power Fusion Laranja 500Ml,9.99,9.99
95,Cera Líquida Brilho Fácil Ardósia Embalagem 750Ml,12.99,12.99
96,Limpador Uau Perfumes Brisa e Frescor Ingleza Frasco 1L 20% de Desconto,7.99,5.99
97,Óleo de Peroba King 100Ml,9.99,9.99
98,Óleo de Peroba 200Ml,15.99,15.99
