,Produto,Preço Base,Preço Final
0,Limpador Multiuso Veja 10% Desconto 500Ml,4.99,4.99
1,Água Sanitária Classic Embalagem 2 Litros,6.59,6.59
2,Água Sanitária Classic 1Litro,4.19,4.19
3,Água Sanitária Ypê 1L,5.49,5.49
4,Limpador Uau Multiuso Lavanda 500Ml,4.99,4.99
5,Detergente Ypê Clear 500Ml,3.39,3.39
6,Detergente Ypê Limão 500Ml,2.99,2.99
7,Detergente Líquido Limpol Cristal Embalagem 500Ml,2.89,2.89
8,Detergente Líquido Neutro Limpol 500Ml,2.89,2.89
9,Detergente Limpol Limão 500Ml,2.79,2.79
10,Detergente Líquido Maçã Ypê 500Ml,2.79,2.79
11,Alvejante Classic sem Cloro 2 Litros,16.99,16.99
12,Amac Mon Bijou 2L Azul,10.99,10.99
13,Amaciante Ypê Aconchego 500Ml,4.59,4.59
14,Amaciante Concentrado Ypê Blue 500Ml,12.99,12.99
15,Esponja de Aço Bombril Pacote 60G,2.99,2.99
16,Esponja Multiuso Esfrebom,2.29,2.29
17,Saco de Lixo Pok 50 Litros Rolo 25Un,8.99,8.99
18,Adoçante Sacarina Zero Cal 100Ml,6.89,6.89
19,Arroz Branco Tipo 1 Camil Pacote 1Kg,5.99,5.99
20,Fubá Mimoso Pacha Embalagem 1Kg,5.99,5.99
21,Amido de Milho Maizena Tradicional 200G,4.39,4.39
22,Macarrão Instantâneo Nissin Lámen Galinha 85G,2.89,2.89
23,Macarrão Instantâneo Nissin Lámen Carne 85G,2.89,2.89
24,Macarrão Instantâneo Santa Amália Galinha Caipira Pacote 85G,1.99,1.99
25,Óleo de Soja Vitaliv Embalagem 900Ml,9.99,9.99
26,Água Mineral sem Gás Inga Garrafa 510Ml,1.49,1.49
27,"Água Mineral com Gás Inga Garrafa 1,5 Litro",3.59,3.59
28,Água Mineral sem Gás Inga Galão 5 Litros,7.99,7.99
29,Água Mineral com Gás Ingá Garrafa 510Ml,1.79,1.79
30,"Água Mineral sem Gás Inga Garrafa 1,5 Litros",2.89,2.89
31,Isotônico de Limão Gatorade 500Ml,4.99,4.99
32,Isotônico de Uva Gatorade 500Ml,4.99,4.99
33,Energético Tnt Energy Drink Zero Açúcar Lata 269Ml,5.89,5.89
34,Coca-Cola Original 2L,9.69,9.69
35,Coca-Cola Retornável 2L,6.49,6.49
36,Coca-Cola Original 200Ml,2.0,2.0
37,Refrigerante de Guaraná Antárctica 200Ml,1.49,1.49
38,Refrigerante Guaraná Antarctica 2L,7.69,7.69
39,Coca-Cola sem Açucar 200 Ml,2.0,2.0
40,Pepsi Cola 2L,7.59,7.59
41,Fanta Laranja 2L,7.99,7.99
42,Coca-Cola sem Açúcar Retornável 2L,6.49,6.49
43,Refrigerante Guaraná Nick 2 Litros,3.99,3.99
44,Refrigerante Guaraná sem Açúcar Antarctica 2L,7.99,7.99
45,Refrigerante Nick Uva 2L,3.99,3.99
46,Coca-Cola Original 350Ml,2.99,2.99
47,Refrigerante Cola Pepsi 200Ml,1.49,1.49
48,Água Tônica Antárctica 350Ml,3.39,3.39
49,Água Tônica Zero Antarctica 350Ml,2.99,2.99
50,Refrigerante Mate Couro Guaraná Tradicional Pet 2 Litros,6.99,6.99
51,Refrigerante Nick Laranja 2Litros,3.99,3.99
52,Refrigerante Mate Couro Guaraná Zero Garrafa 2 Litros,6.99,6.99
