,Produto,Preço Base,Preço Final
0,Álcool Etílico Hidratado 70º Inpm Uzu 1L,7.15,7.15
1,Álcool Líquido 70º Inpm Flop's 1L,9.49,9.49
2,"Álcool Líquido Nobre 76,9 Inpm 500Ml",4.85,4.85
3,Limpador Multiuso Veja 10% Desconto 500Ml,4.39,4.39
4,Água Sanitária Marina Embalagem 2L,4.95,4.95
5,Desinfetante Marina Lavanda 2L,4.85,4.85
6,Água Sanitária Classic Embalagem 2 Litros,5.15,4.78
7,"Álcool Flops 92,8 1 Litro",10.89,10.89
8,Sapólio Cremoso Radium Lavanda 250Ml,7.85,7.85
9,Brilha Alumínio Uva Brilhaluminio 500Ml,2.75,2.75
10,Limpador Multiuso Cif Cremoso Original Oferta 450Ml,14.89,14.89
11,Limpador Cremoso Cif Original 250Ml,9.45,9.45
12,Limpa Alumínio Marina Verde Embalagem 500Ml,2.65,2.65
13,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,3.79,3.79
14,Limpador Multiuso Uau Rosas Sedução 500Ml,3.79,3.79
15,Limpador Agradable Casa e Perfume 1L,7.59,7.59
16,Limpador Multiuso Super Globo Floral Embalagem 500Ml,3.25,3.25
17,Limpador Casa e Perfume Sensualidad 1L,7.59,7.59
18,Saponáceo Cremoso Multiuso Limão Bom Bril Sapólio Radium 250Ml,7.85,7.85
19,Limpador Uau Requinte 500Ml,4.25,4.25
20,Desinfetante Suprema Lavanda Bouquet Embalagem 2 Litros,5.99,5.99
21,Pastilha Adesiva Pato Lavanda Oferta Embalagem 3Un,8.35,8.35
22,Super Cloro Classic Extra Forte 2L,6.55,6.55
23,Limpador Sensazione Casa & Perfume 1L,7.59,7.59
24,Limpador Uau Perfumes Lavanda e Conforto Embalagem L1p800ml,6.29,6.29
25,Limpador Uau Perfumes Flores Vermelhas Embalagem 1 Litro,6.29,6.29
26,Casa e Perfume Sensazine 500Ml,4.69,4.69
27,Sapólio Radium Pó Clássico,4.99,4.99
28,Desengordurante Uau Squeeze 500Ml,4.89,4.89
29,Desinfetante Classic Capim Limão Eucalipto Embalagem 2 Litros,6.29,4.98
30,Limpador Sensualidad Casa e Perfume 500Ml,4.69,4.69
31,Pedra Sanitária Sampa Clean 25G,2.49,2.49
32,Desinfetante Flores do Campo Suprema 2L,5.99,5.99
33,Limpador Uau Multiuso Lavanda 500Ml,3.79,3.79
34,Limpador Uau Multiuso Flores e Folhas 500Ml,3.79,3.79
35,Limpador Multiuso Cif +Limpeza 500Ml,5.45,5.45
36,Desinfetante Marina Marine Embalagem 2 Litros,4.85,4.85
37,Limpador Uau Perfumes Flores Vermelhas e Sedução 500Ml,4.25,4.25
38,Limpa Piso Uau Laminado 750Ml,8.39,8.39
39,Lustra Móveis Poliflor Lavanda 200Ml,9.49,9.49
40,Limpador Uau Perfumes Cuidado e Carinho 500Ml,4.25,4.25
41,Limpador Limpeza Pesada Veja 500Ml,8.99,8.99
42,Soda Cáustica Yara 950G,15.29,15.29
43,Desinfetante Suprema Oceanic Embalagem 2 Litros,5.99,5.99
44,Limpador Veja Perfumes Lavanda Oferta 500Ml,4.59,4.59
