,Produto,Preço Base,Preço Final
0,Água Sanitária Classic 5 Litros,11.99,11.99
1,Álcool Líquido 70 Araucaria 1L,9.98,9.98
2,"Álcool Líquido Araucaria Uso Geral 46,2 Embalagem 1L",7.98,7.98
3,Álcool Líquido 70º Inpm Flop's 1L,7.99,7.99
4,Limpador Multiuso Veja 10% Desconto 500Ml,4.49,4.49
5,Água Sanitária Santa Clara 5L,11.99,11.99
6,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",5.99,5.99
7,Água Sanitária Santa Clara Embalagem 2 Litros,5.48,5.48
8,Água Sanitária Classic Embalagem 2 Litros,5.49,5.49
9,Kit Banheiro Azulim 500Ml,11.9,11.9
10,Água Sanitária Santa Clara Embalagem 1 Litro,3.29,3.29
11,Alcool Anhanguera 70 Embalagem 1 Litro,6.99,6.99
12,Sapólio Cremoso Radium Lavanda 250Ml,7.99,7.99
13,Soda Cáustica Escorpião 1Kg,28.99,28.99
14,Tira Limo Veja X14 Cloro Ativo Squeeze Oferta 500Ml,11.98,11.98
15,Querosene Jacaré Lata 900Ml,26.99,26.99
16,Kit Limpador Multiuso Azulim 550Ml 3Un,9.9,9.9
17,Água Sanitária Classic 1Litro,3.29,3.29
18,Água Sanitária Super Globo Embalagem 2 Litros,5.98,5.98
19,Desinfetante Casa Km Casa & Perfume Passione Embalagem 1L,7.89,7.89
20,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,3.98,3.98
21,Limpador Multiuso Uau Rosas Sedução 500Ml,3.98,3.98
22,Kit Econômico Azulim Multiuso 4X1,12.99,12.99
23,Cloro Super Cloro Classic Extra Forte 1 Litro,3.98,3.98
24,Saponáceo Cremoso Multiuso Limão Bom Bril Sapólio Radium 250Ml,7.99,7.99
25,Limpador Uau Cloro Ativo 2 Unidades de 500Ml Cada + Grátis Multiuso Lavanda 500Ml,14.99,14.99
26,Limpa Box Uau Blindex 200Ml,11.89,11.89
27,Pastilha Adesiva Pato Lavanda Oferta Embalagem 3Un,8.99,8.99
28,"Água Sanitária Ypê Leve 2L Pague 1,8L Grátis 200Ml",6.98,6.98
29,Super Cloro Classic Extra Forte 2L,6.99,6.99
30,Bilha Alumínio Alumil Embalagem 500Ml,3.49,3.49
31,Casa e Perfume Sensazine 500Ml,4.98,4.98
32,Limpador Uau Perfumes Flores Vermelhas Embalagem 1 Litro,5.98,5.98
33,Limpador Multiuso Veja Gold Original 750Ml Embalagem Econômica,8.49,8.49
34,Sapólio Radium Pó Clássico,4.98,4.98
35,Desengordurante Uau Squeeze 500Ml,6.98,6.98
36,Desinfetante Classic Capim Limão Eucalipto Embalagem 2 Litros,5.99,5.99
37,Desinfetante Santa Clara Lavanda Embalagem 2 Litros,5.49,5.49
38,Limpador Multiuso Ypê Clássico 500Ml,4.99,4.99
39,Gel Adesivo Sanitário Marine Refil Pato 12G,11.9,11.9
40,Pedra Sanitária Sampa Clean 25G,2.49,2.49
41,Limpador Uau Multiuso Lavanda 500Ml,3.98,3.98
42,Limpador Uau Multiuso Flores e Folhas 500Ml,3.98,3.98
43,Limpador Uau Perfumes Flores Vermelhas e Sedução 500Ml,3.98,3.98
44,Limpador Uau Perfumes Cuidado e Carinho 500Ml,3.98,3.98
45,Limpador Limpeza Pesada Veja X-14 Grátis 20% de Desconto Frasco 500Ml,9.9,9.9
46,Desinfetante de Lavanda Lysoform 1L,11.99,11.99
47,Soda Cáustica Yara 950G,13.99,13.99
48,Pedra Sanitária de Lavanda Azulim 25G,1.98,1.98
49,Limpador Veja Perfumes Lavanda Oferta 500Ml,4.98,4.98
50,Desinfetante Original Bruto Lysoform 1L,13.5,13.5
51,Sapólio Radium Po com Cloro 300G,4.98,4.98
52,Água Sanitária Ypê 1L,4.49,4.49
53,Limpador Multiuso Veja Lavanda e Álcool Oferta 500Ml,4.49,4.49
54,Limpador Multiuso Veja com Álcool 500Ml,4.49,4.49
55,Limpador Azulim Lavanda Embalagem 1L,7.99,7.99
56,Desinfetante Classic Floral 5 Litros,12.99,12.99
57,Limpador Uau Limpa Vidros Embalagem 500Ml,7.89,7.89
58,Cera Líquida Brilhowax Incolor 750Ml,8.99,8.99
59,Pastilha Adesiva Floral Pato 3 Unidades,8.99,8.99
60,Limpador Veja Gold Limpeza Pesada Oferta 1L,16.99,16.99
61,Desinfetante Batuta Floral Embalagem 2L,7.49,7.49
62,Limpador Multiuso Veja Floral 500Ml,4.49,4.49
63,Limpador Azulim Multiuso com Álcool para Inox Embalagem 550Ml,3.49,3.49
64,Limpador Uau Flores e Sonhos 500Ml,3.98,3.98
65,Gel Adesivo Pato Marine Rf 38G com Aparelho,19.9,19.9
66,Limpador Multiuso Veja Floral Oferta 500Ml,4.49,4.49
67,Água Sanitária Superglobo Embalagem 1L,3.48,3.48
68,Limpador Multiuso Ação Clareadora Uau 500Ml,3.98,3.98
69,Limpador Uau Perfumes Lavanda e Conforto Ingleza Embalagem 500Ml,3.98,3.98
70,Sapólio Radium Cremoso Clássico Multiuso Bombril 250Ml,7.99,7.99
71,Cera Líquida para Piso de Pedra Ardósia Verde Ingleza Embalagem 750Ml,9.89,9.89
72,Desinfetante Batuta Lavanda Embalagem 2L,7.49,7.49
73,Secador Abrilhantador Finish para Lava Louças 250Ml,39.9,39.9
74,Limpador Multiuso Azulim Original Azul 500Ml,3.49,3.49
75,Limpador Uau Multiuso Cloro Ativo 5 em 1 Lavanda 500Ml,7.98,7.98
76,Limpador Uau Brisa Frescor 500Ml,3.98,3.98
77,Desinfetante Pinho Sol Original 500Ml,7.99,7.99
78,Multiuso Limpa e Desinfecta Ação Bactericida Azulim 550Ml,3.49,3.49
79,Limpador Spray Multiuso Power Fusion Limão Veja 500Ml,16.99,16.99
80,Pedra Sanitária Marine Oferta Pato,3.29,3.29
81,Limpador Mr. Músculo Banheiro Sachet Menor Preço 400Ml,10.99,10.99
82,Cera Líquida Ingleza Maxx Incolor 750Ml,12.89,12.89
83,Desinfetante Citrus Lysoform 1L,13.5,13.5
84,Soda Caustica Escorpião Embalagem 500G,16.99,16.99
85,Limpador Multiuso com Álcool Brilho Instantâneo Uau Frasco 500Ml,3.98,3.98
86,Desinfetante Líquido Original Lysoform 500Ml,6.89,6.89
87,Kit Limpador Uau Desengordurante Cozinha Limão 500Ml 2Un,11.48,11.48
88,Cera Líquida Ingleza Max Ardosia Verde Embalagem 750Ml,11.98,11.98
89,Limpador Multiuso Floral Uau Embalagem 500Ml,3.98,3.98
90,Limpador Casa e Perfume Amable 500Ml,4.98,4.98
91,Desinfetante Pinho Bril Brisa do Mar 500Ml,3.89,3.89
92,Limpador Casa e Perfume Passione Embalagem 500Ml,4.98,4.98
93,Desinfetante Pinho Bril Silvestre Plus 1L,6.99,6.99
94,Limpador Multiuso Coco Veja Power Fusion Squeeze 500Ml,9.9,9.9
95,Limpa Casa e Perfume Mistero Di Amore Embalagem 500Ml,4.98,4.98
96,Limpador Multiuso Azulim Florata 550Ml,3.49,3.49
97,Gel Adesivo Pato Marine Aparelho Embalagem 2 Discos,16.99,16.99
98,Limpador Gel Azulim Start Lavanda 500G,7.98,7.98
99,Limpador Banheiro Oferta Mr Músculo 500Ml,12.99,12.99
100,Desinfetante Classic Eucalipto 5 Litros,12.99,12.99
101,Pedra Sanitária Bosque de Pinho Oferta Glade 25G,3.99,3.99
102,Desinfetante Pinho Sol Original Oferta 1000Ml,12.99,12.99
103,Pedra Sanitária Harpic Ar Plus Flores do Campo 25G,3.49,3.49
104,Cera Líquida Ingleza Maxx Vermelha 750Ml,12.89,12.89
105,Saponáceo em Pó Multiuso Limão Bom Bril Sapólio Radium 300G,4.98,4.98
106,Limpador Perfumado Amora Sense Euforia Veja 500Ml,5.98,5.98
107,Limpador Casa e Perfume Speciale Embalagem 500Ml,4.98,4.98
108,Limpador Banheiro Cif sem Cloro Refil 450Ml,10.98,10.98
109,Desengordurante Multiuso Limão Classic 500Ml,4.79,4.79
110,Limpa Piso Porcelanato e Cerâmica Super Globo 750Ml,8.49,8.49
111,Limpador Uau Harmonia 500Ml,3.98,3.98
112,Lustra Móveis Bry Alfazema Embalagem 200Ml,5.99,5.99
113,Desinfetante Classic Jasmim Embalagem 2 Litros,5.99,5.99
114,Pedra Sanitária Jasmin Azulim 25G,1.98,1.98
115,Desinfetante Pinho Bril Brisa do Mar 1000Ml,6.99,6.99
116,Limpador Diluível Ajax Fresh 500Ml,8.99,8.99
117,Solução Acida para Limpeza Pesada Start Embalagem 1L,15.99,15.99
118,Desinfetante Suave Odor Lysoform Bruto Bombril 1L,11.99,11.99
119,Desengordurante Veja Gold Laranja Refil 400Ml,9.98,9.98
120,Lustra Móveis Bry Jasmim Embalagem 200Ml,5.99,5.99
121,Limpador Multiuso Uau Flores e Frescor Ingleza 500Ml,3.98,3.98
122,Limpa Forno Uau 450Ml,16.98,16.98
123,Limpador Mr Músculo Cozinha Oferta Spray 500Ml,24.98,24.98
124,Limpa Pisos Uau Ação Clareadora Embalagem 750Ml,8.99,8.99
125,Desinfetante Classic Floral Embalagem 2 Litros,5.99,5.99
126,Limpador Multiuso Classic Tradicional 500Ml,3.49,3.49
127,Polidor para Metais Brasso 200Ml,29.9,29.9
128,Limpador Uau Desengordurante Refil Embalagem 500Ml,12.98,12.98
129,Desinfetante Banheiro Lavanda Squeeze Veja 500Ml,11.89,11.89
130,Desinfetante para Superfícies Original em Spray Lysoform 250Ml,13.99,13.99
131,Desinfetante Batuta Oceano Ação Limpa Pisos Elimina Germes e Bactérias Embalagem 2L,7.49,7.49
132,Limpa Piso Elimina Odores Super Globo 750Ml,8.49,8.49
133,Desinfetante Pinho Trop Fresh Leve 1000Ml Pague 900Ml,6.49,6.49
134,Cera Ingleza Ardosia Incolor Embalagem 750Ml,9.89,9.89
135,Cera Líquida Nugget Preto 33% de Desconto Embalagem 60Ml,10.98,10.98
136,Limpador Perfumado Azulim Carinho 500Ml,4.49,4.49
137,Limpador Diluível Ajax Fresh Blue 500Ml,8.99,8.99
138,Desinfetante Pinho Flores de Limão Leve 500Ml Pague 450Ml,3.89,3.89
139,Cera Líquida Brilho Fácil Vermelha 750Ml,11.98,11.98
140,Desinfetante Pinho Sol Limão 1L,12.99,12.99
141,Desinfetante Pinho Trop Pinho e Menta 500Ml,3.75,3.75
