,Produto,Preço Base,Preço Final
0,Água Sanitária Classic 5 Litros,10.98,10.98
1,Água Sanitária Super Globo Embalagem 5 Litros,12.89,12.89
2,Álcool Líquido 70 Araucaria 1L,7.98,7.98
3,Kit Limpeza 2 Cloros de 500Ml + 1 Limpador Multiuso 500Ml Super Globo,9.98,9.98
4,Álcool Líquido 70º Inpm Flop's 1L,7.98,7.98
5,Limpador Multiuso Veja 10% Desconto 500Ml,3.99,3.99
6,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",5.89,5.89
7,Água Sanitária Santa Clara 5L,11.49,11.49
8,"Álcool Flops 92,8 1 Litro",10.88,10.88
9,Água Sanitária Santa Clara Embalagem 2 Litros,5.49,5.49
10,Água Sanitária Santa Clara Embalagem 1 Litro,3.48,3.48
11,"Álcool Líquido Araucária 46,2º Embalagem 500Ml",3.98,3.98
12,Sapólio Cremoso Radium Lavanda 250Ml,9.98,9.98
13,Kit Limpador Multiuso Azulim 550Ml 3Un,9.89,9.89
14,Brilha Alumínio Uva Brilhaluminio 500Ml,2.98,2.98
15,Água Sanitária Classic 1Litro,3.29,3.29
16,Tira Limo Veja X14 Cloro Ativo Squeeze Oferta 500Ml,11.89,11.89
17,Kit Econômico Azulim Multiuso 4X1,11.89,11.89
18,Soda Cáustica Escorpião 1Kg,29.98,29.98
19,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,3.98,3.98
20,Limpador Multiuso Uau Rosas Sedução 500Ml,3.99,3.99
21,Limpador Uau Requinte 500Ml,3.98,3.98
22,Pastilha Adesiva Pato Lavanda Oferta Embalagem 3Un,9.98,9.98
23,Super Cloro Classic Extra Forte 2L,6.98,6.98
24,Desinfetante Pinho Lavanda Super Globo 500Ml,3.49,3.49
25,Pedra Sanitária Sampa Clean 25G,3.49,3.49
26,Desinfetante Santa Clara Lavanda Embalagem 2 Litros,5.98,5.98
27,Limpador Uau Multiuso Flores e Folhas 500Ml,3.99,3.99
28,Limpador Uau Multiuso Lavanda 500Ml,3.99,3.99
29,Limpador Uau Perfumes Cuidado e Carinho 500Ml,3.98,3.98
30,Limpador Limpeza Pesada Veja X-14 Grátis 20% de Desconto Frasco 500Ml,9.98,9.98
31,Sapólio Radium Po com Cloro 300G,5.98,5.98
32,Limpador Limpeza Pesada Veja 500Ml,7.98,7.98
33,Soda Cáustica Yara 950G,14.99,14.99
34,Água Sanitária Ypê 1L,4.98,4.98
35,Desinfetante Santa Clara Herbal Embalagem 2 Litros,5.98,5.98
36,Cera Líquida Incolor Brilho Fácil 750Ml,11.89,11.89
37,Limpador Multiuso Veja Lavanda e Álcool Oferta 500Ml,4.98,4.98
38,Limpador Desengordurante Cozinha Laranja Mr Músculo 400Ml,11.98,11.98
39,Limpador Azulim Lavanda Embalagem 1L,7.99,7.99
40,Limpador Multiuso Veja Power Fusion Limão 500Ml,7.89,7.89
41,Pastilha Adesiva Floral Pato 3 Unidades,8.99,8.99
42,Desinfetante Pinho Trop 1L,6.49,6.49
43,Desinfetante Pinho Bril Campos de Lavanda 500Ml,4.89,4.89
44,Desinfetante Bruto Suave Odor Lysoform 500Ml,6.98,6.98
45,Limpador Perfumado Uau Flores e Sonhos Embalagem Leve 1 Litro Pague 800Ml,6.49,6.49
46,Limpador Azulim Multiuso com Álcool para Inox Embalagem 550Ml,3.59,3.59
47,Limpador Perfumado Uau Cuidado e Carinho Embalagem 1 Litro,6.49,6.49
48,Limpador Diluível Ajax Fresh Limão 500Ml,8.99,8.99
49,Limpador Uau Perfumes Lavanda e Conforto Ingleza Embalagem 500Ml,3.98,3.98
50,Limpador Multiuso Veja Floral Oferta 500Ml,4.49,4.49
51,Água Sanitária Superglobo Embalagem 1L,3.78,3.78
52,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,4.49,4.49
53,Limpador Perfumado Intuizione New Casa & Perfume 500Ml,4.98,4.98
54,Limpador Uau Multiuso Cloro Ativo 5 em 1 Lavanda 500Ml,7.99,7.99
55,Limpador Multiuso Azulim Original Azul 500Ml,3.59,3.59
56,Limpador Uau Brisa Frescor 500Ml,3.98,3.98
57,Óleo King Lavanda Peroba Embalagem 200Ml,14.98,14.98
58,Desinfetante Pinho Sol Original 500Ml,6.99,6.99
59,Limpa Forno Diabo Verde Embalagem 250G,12.98,12.98
60,Cloro Aditivado Vim Original 700 Ml,12.89,12.89
61,Limpador Mr. Músculo Banheiro Sachet Menor Preço 400Ml,12.98,12.98
62,Soda Caustica Escorpião Embalagem 500G,17.98,17.98
63,Desinfetante Santa Clara Floral Embalagem 2 Litros,5.98,5.98
64,Desinfetante Pinho Bril Brisa do Mar 500Ml,4.89,4.89
65,Limpador Multiuso Floral Uau Embalagem 500Ml,3.99,3.99
66,Desinfetante Pinho Sol Lavanda Oferta 500Ml,6.49,6.49
67,Desinfetante Pinho Bril Campos de Lavanda 1000Ml,7.98,7.98
68,Desinfetante Pinho Sol Lavanda 1000Ml,12.98,12.98
69,Desinfetante Pinho Trop Fresh 500Ml,3.98,3.98
70,Desinfetante Pinho Bril Silvestre Plus 1L,7.98,7.98
71,Limpador Casa e Perfume Passione Embalagem 500Ml,4.98,4.98
72,Desinfetante Pinho Bril Silvestre Plus 500Ml,4.89,4.89
73,Desinfetante Classic Eucalipto 5 Litros,12.35,12.35
74,Desodorizador Sanitário Pato Pastilha Adesiva Fresh 3 Unidades,10.98,10.98
75,Limpador Uau Harmonia 500Ml,3.98,3.98
76,Cera Polylar Incolor 750Ml,4.98,4.98
77,Desinfetante Pinho Sol Leve 500Ml Pague 450Ml,6.49,6.49
78,Pedra Sanitária Jasmin Azulim 25G,2.29,2.29
79,Cera Líquida Brilho Fácil Ardósia Embalagem 750Ml,11.89,11.89
80,Desinfetante Classic Jasmim Embalagem 2 Litros,5.98,5.98
81,"Desinfetante Pinho Sol Lavanda 1,75 Litro",18.99,18.99
82,Limpador Banheiro Cif sem Cloro Refil 450Ml,10.98,10.98
83,Sapólio Radium Pedra Clássico 200G,3.98,3.98
84,Limpador Uau Perfumes Brisa e Frescor Ingleza Frasco 1L 20% de Desconto,6.49,6.49
85,Limpador Multiuso Uau Flores e Frescor Ingleza 500Ml,3.99,3.99
86,Limpador Multiuso Veja Power Fusion Laranja 500Ml,8.49,8.49
87,Desinfetante Pinho Sol Floral 500Ml,6.99,6.99
88,Desinfetante Trop Pinho Lavanda Inglesa 500Ml,3.98,3.98
89,Limpador Multiuso Classic Tradicional 500Ml,3.28,3.28
90,Desinfetante Eucalipto Santa Clara 2L,5.98,5.98
91,Limpador Uau Desengordurante 500Ml,10.98,10.98
92,Desinfetante Pinho Flores de Limão Leve 500Ml Pague 450Ml,4.89,4.89
93,Limpador Diluível Ajax Fresh Blue 500Ml,8.99,8.99
94,Cera Líquida Nugget Preto 33% de Desconto Embalagem 60Ml,14.99,14.99
95,Desinfetante Pinho Bril Flores de Limão 1000Ml,7.98,7.98
96,Brilha Alumínio Alumil Uva Embalagem 500Ml,3.69,3.69
97,Desinfetante Pinho Trop Pinho e Menta 500Ml,3.98,3.98
98,Limpador Desengordurante com Gatilho Uau 500Ml,15.98,15.98
99,Desinfetante Pinho Sol Limão 500Ml,6.99,6.99
100,Desinfetante Pinho Sol Limão 1L,12.98,12.98
101,Desinfetante Batuta Eucalipto Embalagem 2L,7.49,7.49
102,Pedra Sanitária Azulim Eucalipto,2.29,2.29
103,Limpador Multiuso Classic Floral 500Ml,3.28,3.28
104,"Desinfetante Pinho Sol Original 1,75 Litro",18.99,18.99
105,Pedra Sanitária Dia a Dia Lavanda Embalagem 25G,3.49,3.49
106,Pedra Sanitária Dia a Dia Jasmim Embalagem 25G,3.49,3.49
107,Desinfetante Pearson Creolina Embalagem 50Ml,11.99,11.99
108,Desinfetante Pinho Citrus Super Globo 1L,5.49,5.49
109,Pedra Sanitária Dia a Dia Eucalipto Embalagem 25G,3.49,3.49
110,Desinfetante Concentrado Dia a Dia Lavanda Embalagem 140Ml,17.99,17.99
111,Limpador Veja Limpeza Pesada Laranja Citrus 500Ml,12.98,12.98
112,Desinfetante Concentrado Dia a Dia Giovana 140Ml,17.99,17.99
113,Desinfetante Pinho Trop Citrus Leve 1000Ml Pague 900Ml,6.49,6.49
114,Desinfetante Pinho Trop Pínho Menta Embalagem Leve 1L Pague 900Ml,6.49,6.49
115,Kit Econômico Cozinha Azulim Limpa + 3X500ml,10.98,10.98
116,Limpa Porcelanatos Azulim Power Citrus Embalagem 750Ml,8.99,8.99
117,Limpador Multiuso Classic Hortelã 500Ml,3.28,3.28
118,Graxa para Sapato em Pasta Preta Nugget Lata 36G,12.98,12.98
119,Desinfetante Concentrado Dia a Dia Floral 140Ml,17.99,17.99
120,Cera Líquida para Sapato Nugget Incolor 60Ml,16.98,16.98
121,Limpador Multiuso Super Globo Embalagem 500Ml,4.19,4.19
122,Desinfetante Classic Eucalipto Embalagem 2 Litros,5.98,5.98
123,Graxa para Sapato em Pasta Marrom Nugget Lata 36G,12.98,12.98
124,Cera Líquida Polylar Amarela Embalagem 750Ml,4.98,4.98
125,Cera Líquida Brilhowax Vermelha 750Ml,8.99,8.99
126,Cera Líquida Nugget Calçado Marrom Unidade 60Ml,14.99,14.99
127,Cera Polylar Verde 750Ml,4.98,4.98
128,Cera Polylar Vermelha 750Ml,4.98,4.98
129,Desinfetante Super Globo Pinha Embalagem 1Litro,5.49,5.49
130,Limpa Estofados Sun Car 500Ml,19.99,19.99
131,Desinfetante Pinho Super Globo 500Ml,3.49,3.49
132,Limpa Brilha Alum Brilhex Tradicional 500Ml,2.49,2.49
133,Desinfetante Super Globo Pinho Lavanda 1L,5.49,5.49
134,Desinfetante Pinho Citrus Super Globo Embalagem 500Ml,3.49,3.49
135,Soda Cáustica Yara 480G,9.98,9.98
136,Pedra Sanitária Dia a Dia Tutti Frutti Embalagem 25G,3.49,3.49
137,Eliminador de Odores Multiuso Hortelã Uau 500Ml,3.99,3.99
138,Pastilha Adesiva Pato Citrus 20% de Desconto 3Un,9.98,9.98
139,Essência Capim Limão Aromatec 140Ml,8.49,8.49
140,Neutralizador de Odores Jardim de Pêonia Bom Ar Frasco 360Ml Embalagem Econômica,13.98,13.98
141,Bom Ar Air Wick Campos de Lavanda 360Ml,13.98,13.98
142,Neutralizador de Odores Cheirinho de Talco Bom Ar Frasco Embalagem Econômica 360Ml,13.98,13.98
143,Essência Aromatec Lavanda Embalagem Leve 140Ml Pague 100Ml,8.49,8.49
