,Produto,Preço Base,Preço Final
0,Água Sanitária Classic 5 Litros,13.98,13.98
1,Álcool Etílico Hidratado 70º Inpm Uzu 1L,7.99,7.99
2,Limpador Multiuso Veja 10% Desconto 500Ml,4.99,4.99
3,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",7.99,7.99
4,Desinfetante Marina Lavanda 2L,4.99,4.99
5,Água Sanitária Dragão 2L,3.98,3.98
6,Desinfetante Dragão Lavanda Embalagem 2 Litros,5.49,5.49
7,Água Sanitária Santa Clara 5L,18.58,18.58
8,Água Sanitária Classic Embalagem 2 Litros,5.98,5.98
9,Água Sanitária Santa Clara Embalagem 2 Litros,6.99,4.98
10,Água Sanitária Santa Clara Embalagem 1 Litro,4.48,4.48
11,Kit Limpador Multiuso Azulim 550Ml 3Un,8.98,8.98
12,Água Sanitária Classic 1Litro,3.68,3.68
13,Soda Cáustica Escorpião 1Kg,31.98,31.98
14,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,3.99,3.99
15,Limpador Multiuso Uau Rosas Sedução 500Ml,3.99,3.99
16,Água Sanitária Super Globo Embalagem 2 Litros,7.99,7.99
17,Limpador Multiuso Super Globo Floral Embalagem 500Ml,3.48,3.48
18,Cloro Super Cloro Classic Extra Forte 1 Litro,4.19,4.19
19,Limpa Vidros Azulim Embalagem 500Ml,2.48,2.48
20,Super Cloro Classic Extra Forte 2L,7.68,7.68
21,Limpador Agradable Casa e Perfume 500Ml,7.98,7.98
22,Desinfetante Classic Capim Limão Eucalipto Embalagem 2 Litros,6.58,6.58
23,Pedra Sanitária Sampa Clean 25G,2.38,2.38
24,Desinfetante Santa Clara Lavanda Embalagem 2 Litros,7.39,7.39
25,Limpador Uau Multiuso Flores e Folhas 500Ml,3.99,3.99
26,Desengordurante Uau Squeeze 500Ml,7.99,7.99
27,Limpador Uau Multiuso Lavanda 500Ml,3.99,3.99
28,Limpador Azulim Multiuso Embalagem 500Ml,3.48,2.99
29,Limpador Uau Perfumes Cuidado e Carinho 500Ml,4.68,4.68
30,Limpador Uau Perfumes Flores Vermelhas e Sedução 500Ml,4.68,4.68
31,Desinfetante de Lavanda Lysoform 1L,16.58,16.58
32,Desinfetante Original Bruto Lysoform 1L,16.58,16.58
33,Soda Cáustica Yara 950G,15.48,15.48
34,Limpador Multiuso Ypê Tira Manchas 500Ml,5.48,5.48
35,Cera Líquida Special Taco/Madeiras Ingleza Maxx 750Ml,13.98,13.98
36,Limpador Uau Limpa Vidros Embalagem 500Ml,7.99,7.99
37,Limpador Multiuso Uau Cloro Ativo 500Ml,7.98,7.98
38,Desengordurante Azulim Limpeza Pesada Limão Embalagem 500Ml,7.48,4.99
39,Lustra Móveis Uau Perfumado Rosas e Sedução 200Ml,7.28,7.28
40,Limpador Uau Flores e Sonhos 500Ml,4.68,4.68
41,Cera Líquida Brilhowax Incolor 750Ml,9.98,9.98
42,Limpador Diluível Ajax Fresh Limão 500Ml,7.99,7.99
43,Limpador Azulim Multiuso com Álcool para Inox Embalagem 550Ml,3.48,2.99
44,Limpador Uau Perfumes Lavanda e Conforto Ingleza Embalagem 500Ml,4.68,4.68
45,Limpador Multiuso Ação Clareadora Uau 500Ml,3.99,3.99
46,Desinfetante Batuta Floral Embalagem 2L,8.48,8.48
47,Sapólio Radium Cremoso Clássico Multiuso Bombril 250Ml,9.98,9.98
48,Limpador Perfumado Intuizione New Casa & Perfume 500Ml,7.98,7.98
49,Desinfetante Batuta Lavanda Embalagem 2L,8.48,8.48
50,Limpador Uau Multiuso Cloro Ativo 5 em 1 Lavanda 500Ml,7.98,7.98
51,Limpador Uau Brisa Frescor 500Ml,4.68,4.68
52,Limpador Multiuso Azulim Original Azul 500Ml,3.48,3.48
53,Limpador Multiuso Azulim Limão Verde 500Ml,3.48,2.99
54,Desinfetante Pinho Sol Original 500Ml,7.99,7.99
55,Limpador Multiuso Super Globo Lavanda 500Ml,3.48,3.48
56,Limpa Forno Diabo Verde Embalagem 250G,17.98,17.98
57,Cera Líquida Ingleza Maxx Incolor 750Ml,13.98,13.98
58,Pedra Sanitária Santa Clara Lavanda Unidade 25G,2.98,2.98
59,Cloro Aditivado Vim Original 700 Ml,12.98,12.98
60,Limpador Mr. Músculo Banheiro Sachet Menor Preço 400Ml,11.98,11.98
61,Soda Caustica Escorpião Embalagem 500G,17.98,17.98
62,Água Sanitária Cloral Embalagem 2 Litros,3.58,3.58
63,Limpador Bela Flore Casa e Perfume 500Ml,7.98,7.98
64,Desinfetante Multiuso Antibac Cif 500Ml,3.99,3.99
65,Desinfetante Marina Eucalipto Embalagem 2L,4.99,4.99
66,Limpador Multiuso Azulim Citronela 500Ml,3.48,2.99
67,Tira Limo Azulim Spray 500Ml,15.98,15.98
68,Desinfetante Pinho Bril Campos de Lavanda 1000Ml,6.99,6.99
69,Desinfetante Pinho Sol Lavanda 1000Ml,12.98,12.98
70,Limpa Casa e Perfume Mistero Di Amore Embalagem 500Ml,7.98,7.98
71,Limpa Pisos Uau Eliminador de Odores Embalagem 750Ml,9.98,9.98
72,Desinfetante Vorel Pinho Embalagem 2L,5.99,5.99
73,Desinfetante Pinho Sol Original 1000Ml,14.98,14.98
74,Limpador Uau Harmonia 500Ml,4.68,4.68
75,Limpa Piso Porcelanato e Cerâmica Super Globo 750Ml,8.99,8.99
76,Desinfetante Pinho Bril Brisa do Mar 1000Ml,7.48,7.48
