,Produto,Preço Base,Preço Final
0,Sapólio Radium Cremoso Lavanda 300Ml,6.98,6.98
1,Limpador Multiuso Veja 10% Desconto 500Ml,4.98,4.98
2,Água Sanitária Marina Embalagem 2L,5.69,5.69
3,Água Sanitária Marina Embalagem 1L,3.48,3.48
4,Desinfetante Marina Lavanda 2L,5.59,5.59
5,Água Sanitária Santa Clara 5L,12.98,12.98
6,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",6.39,6.39
7,Água Sanitária Classic Embalagem 2 Litros,5.98,5.98
8,Álcool 70% Asseptgel Start Embalagem 500Ml,6.49,6.49
9,Álcool Líquido 70% Start 1L,10.9,10.9
10,Água Sanitária Santa Clara Embalagem 1 Litro,3.59,3.59
11,"Álcool Líquido Araucária 46,2º Embalagem 500Ml",5.49,5.49
12,Sapólio Cremoso Radium Lavanda 250Ml,6.98,6.98
13,"Álcool Start 46,2º Embalagem 1L",10.9,10.9
14,Querosene Jacaré Lata 900Ml,26.9,26.9
15,Água Sanitária Classic 1Litro,3.59,3.59
16,Limpador Multiuso Cif Cremoso Original Oferta 450Ml,15.98,15.98
17,Tira Limo Azulim Embalagem 500Ml,4.59,4.59
18,Água Sanitária Ypê 2L,8.98,8.98
19,Água Sanitária Super Globo Embalagem 2 Litros,6.39,6.39
20,Limpador Desengordurante Cozinha Limão Veja 500Ml 20% de Desconto,9.98,9.98
21,Limpador Multiuso Gold Original Veja 500Ml Oferta com 3Un,14.94,14.94
22,Limpador Multiuso Uau Rosas Sedução 500Ml,4.75,4.75
23,Limpador Multiuso Gold Original Veja 500Ml,4.98,4.98
24,Água Sanitária Marina 5 Litros,12.98,12.98
25,Pedra Sanitária Q-Odor Lavanda 40G,2.99,2.99
26,Cloro Super Cloro Classic Extra Forte 1 Litro,4.39,4.39
27,Limpa Vidros Azulim Embalagem 500Ml,4.98,4.98
28,Limpador Uau Requinte 500Ml,4.98,4.98
29,"Água Sanitária Ypê Leve 2L Pague 1,8L Grátis 200Ml",8.98,8.98
30,Limpador Cif Cremoso Original Oferta Embalagem 500Ml,15.98,15.98
31,Super Cloro Classic Extra Forte 2L,7.59,7.59
32,Limpador Uau Perfumes Flores Vermelhas Embalagem 1 Litro,6.49,5.99
33,Sapólio Radium Pó Clássico,5.79,5.79
34,Desengordurante Uau Squeeze 500Ml,7.59,7.59
35,Desinfetante Santa Clara Lavanda Embalagem 2 Litros,6.49,6.49
36,Desinfetante Classic Capim Limão Eucalipto Embalagem 2 Litros,6.39,6.39
37,Limpador Agradable Casa e Perfume 500Ml,5.49,5.49
38,Limpador Sensualidad Casa e Perfume 500Ml,5.49,5.49
39,Limpador Cremoso Cif Original 450Ml,15.98,15.98
40,Pedra Sanitária Bouquet Lavanda Embalagem com 25% de Desconto Glade 25G,4.39,4.39
