,Produto,Preço Base,Preço Final
0,Água Sanitária Classic 5 Litros,12.98,12.98
1,Água Sanitária Super Globo Embalagem 5 Litros,15.98,15.98
2,Álcool Etílico Hidratado 70º Inpm Uzu 1L,8.98,8.98
3,Água Sanitária Marina Embalagem 1L,3.38,3.38
4,Água Sanitária Marina Embalagem 2L,5.98,5.98
5,Álcool 70% Asseptgel Start Embalagem 500Ml,6.18,6.18
6,Água Sanitária Santa Clara 5L,13.98,13.98
7,Água Sanitária Classic Embalagem 2 Litros,5.98,5.98
8,"Álcool Flops 92,8 1 Litro",14.98,14.98
9,Água Sanitária Santa Clara Embalagem 2 Litros,5.98,4.98
10,Álcool Líquido 70% Start 1L,10.98,10.98
11,Água Sanitária Santa Clara Embalagem 1 Litro,3.38,3.38
12,Água Sanitária Classic 1Litro,3.58,3.58
13,Limpador Uau Multiuso com Cloro Ativo Embalagem 500Ml,8.38,8.38
14,Água Sanitária Marina 5 Litros,13.98,13.98
15,Tira Limo Azulim Embalagem 500Ml,5.38,5.38
16,Kit Econômico Azulim Multiuso 4X1,16.95,16.95
17,Querosene Jacaré Lata 900Ml,28.98,28.98
18,Limpador Cremoso Cif Original 250Ml,9.98,9.98
19,Soda Cáustica Escorpião 1Kg,33.98,33.98
20,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,4.58,4.58
21,Água Sanitária Super Globo Embalagem 2 Litros,7.18,7.18
22,Limpador Desengordurante Cozinha Limão Veja 500Ml 20% de Desconto,8.98,8.98
23,Limpador Multiuso Super Globo Floral Embalagem 500Ml,3.78,3.78
24,Limpador Multiuso Uau Lavanda Embalagem Leve 600Ml Pague 500Ml,4.58,4.58
25,Cloro Super Cloro Classic Extra Forte 1 Litro,4.18,4.18
26,Limpador Multiuso Cif 500Ml Leve 3 Pague até 50% 3ºunidade Multiuso+Antibac,11.98,11.98
27,Pedra Sanitária Q-Odor Lavanda 40G,3.38,3.38
28,Limpador Perfumado Uau Flores Vermelhas e Sedução Embalagem 500Ml,4.55,4.55
29,Limpador Sanitário Gel Marine Pato 500Ml,13.95,13.95
30,Super Cloro Classic Extra Forte 2L,8.18,8.18
31,Desinfetante Santa Clara Lavanda Embalagem 2 Litros,6.58,6.58
32,Desinfetante Classic Capim Limão Eucalipto Embalagem 2 Litros,6.38,6.38
33,Limpador Uau Multiuso Flores e Folhas 500Ml,4.58,4.58
34,Casa e Perfume Sensazine 500Ml,4.98,4.98
35,Desengordurante Uau Squeeze 500Ml,7.58,7.58
36,Limpador Uau Multiuso Lavanda 500Ml,4.58,4.58
37,Limpador Uau Perfumes Flores Vermelhas e Sedução 500Ml,4.55,4.55
38,Desinfetante de Lavanda Lysoform 1L,12.98,12.98
39,Limpa Piso Uau Laminado 750Ml,10.8,10.8
40,Limpa Porcelanato Azulim Powder Lavanda Embalagem 750Ml,10.95,10.95
41,Desinfetante Original Bruto Lysoform 1L,12.98,12.98
42,Limpador Limpeza Pesada Veja 500Ml,8.38,8.38
43,Soda Cáustica Yara 950G,15.98,15.98
44,Lustra Móveis Poliflor Lavanda 200Ml,11.48,11.48
45,Limpador Multiuso Fresh Marina 500Ml,3.58,3.58
46,Desengordurante Veja Limão Squeeze 500Ml,8.98,8.98
47,Limpador para Limpeza Pesada Cloro Ativo 2 em 1 com 20% de Desconto Veja 1L,19.95,19.95
48,Cera Líquida Special Taco/Madeiras Ingleza Maxx 750Ml,13.98,13.98
49,Desinfetante Santa Clara Herbal Embalagem 2 Litros,6.58,6.58
50,Limpador Multiuso Super Globo Original 500Ml,3.78,3.78
51,Limpador Multiuso Veja Lavanda e Álcool Oferta 500Ml,4.98,4.98
52,Limpador Multiuso Veja com Álcool 500Ml,5.98,5.98
53,Limpador Azulim Lavanda Embalagem 1L,7.98,7.98
54,Limpador Multi-Uso Antibac Cif Leve 3 Pague 2 500Ml,11.98,11.98
55,Bry Lustra Móveis de Lavanda Ingleza 200Ml,6.78,6.78
56,Desengordurante Super Globo Squeeze 500Ml,5.8,5.8
57,Limpador Multiuso Uau Cloro Ativo 500Ml,8.38,8.38
58,Lustra Móveis Uau Perfumado Rosas e Sedução 200Ml,6.58,6.58
59,Desengordurante Azulim Limpeza Pesada Limão Embalagem 500Ml,5.95,5.95
60,Limpador Azulim Azulejo Citrus Embalagem 1L,7.98,7.98
61,Limpa Vidros Veja Vidrex Squeeze Oferta 500Ml,13.98,13.98
62,Limpa Piso Uau Rosas e Sedução 750Ml,10.8,10.8
63,Pedra Sanitária Q-Odor Marine 40G,3.38,3.38
64,Limpador Veja Gold Limpeza Pesada Oferta 1L,19.95,19.95
65,Desinfetante Bruto Suave Odor Lysoform 500Ml,6.98,6.98
66,Limpador Azulim Multiuso com Álcool para Inox Embalagem 550Ml,3.78,2.99
67,Cera Líquida Brilhowax Incolor 750Ml,9.95,9.95
68,Limpador Uau Perfumes Lavanda e Conforto Ingleza Embalagem 500Ml,4.55,4.55
69,Limpador Multiuso Ação Clareadora Uau 500Ml,4.58,4.58
70,Tira Manchas Semorin Embalagem 100Ml,14.98,14.98
71,Água Sanitária Superglobo Embalagem 1L,3.68,3.68
72,Sapólio Radium Cremoso Clássico Multiuso Bombril 250Ml,8.38,8.38
73,Desinfetante Batuta Floral Embalagem 2L,8.38,8.38
74,Desinfetante Perfumado Azulim Mariner Embalagem 1L,6.58,6.58
75,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,4.98,4.98
76,Desinfetante Batuta Lavanda Embalagem 2L,8.38,8.38
77,Limpador Perfumado Intuizione New Casa & Perfume 500Ml,4.98,4.98
78,Limpador Uau Multiuso Cloro Ativo 5 em 1 Lavanda 500Ml,8.78,8.78
79,Cera Líquida para Piso de Pedra Ardósia Verde Ingleza Embalagem 750Ml,10.98,10.98
80,Desinfetante Lavanda Pinho Sol 500Ml,7.78,7.78
81,Limpador Uau Brisa Frescor 500Ml,4.55,4.55
82,Limpador Multiuso Azulim Original Azul 500Ml,3.78,2.99
83,Desinfetante Pinho Sol Original 500Ml,7.78,7.78
84,Cera Líquida Ingleza Maxx Incolor 750Ml,13.98,13.98
85,Cloro Aditivado Vim Original 700 Ml,13.95,13.95
86,Pedra Sanitária Santa Clara Lavanda Unidade 25G,2.28,2.28
87,Pulverizador Tropical Guarany Spray 500Ml,8.98,8.98
88,Veja Uso Direto Original 900Ml,17.98,17.98
89,Soda Caustica Escorpião Embalagem 500G,19.98,19.98
90,Desinfetante Citrus Lysoform 1L,12.98,12.98
91,Tira Ferrugem Semorin Embalagem 50Ml,9.78,9.78
92,Desinfetante Perfumado Wave Azulim 1L,7.58,7.58
93,Desinfetante Líquido Original Lysoform 500Ml,6.98,6.98
94,Limpador Multiuso com Álcool Brilho Instantâneo Uau Frasco 500Ml,4.58,4.58
95,Desinfetante de Limão Pinho Bril 500Ml,4.38,4.38
96,Limpador Bela Flore Casa e Perfume 500Ml,4.98,4.98
97,Limpador Perfumado Uau Lavanda e Conforto Embalagem 500Ml,4.55,4.55
98,Limpa Vidros Veja Vidrex Tradicional 500Ml,13.98,13.98
99,Limpador Spray Multiuso Power Fusion Limão Veja 500Ml,17.98,17.98
100,Limpa Piso Uau Cerâmicas 750Ml,10.8,10.8
101,Desinfetante Pinho Bril Brisa do Mar 500Ml,4.38,4.38
102,Limpador Multiuso Floral Uau Embalagem 500Ml,4.58,4.58
103,Limpador Multiuso Cereja Tropical Explosão de Perfume Veja 500Ml,5.98,5.98
104,Limpa Alumínio Polylar Limão 500Ml,3.95,3.95
105,Cera Líquida Ingleza Max Ardosia Verde Embalagem 750Ml,13.98,13.98
106,Desinfetante Pinho Sol Lavanda 1000Ml,13.98,13.98
107,Desinfetante Pinho Trop Fresh 500Ml,3.99,3.99
108,Cera Super Tacolac 500Ml,12.98,12.98
109,Limpador Multiuso Azulim Florata 550Ml,3.78,2.99
110,Lustra Móveis Bry Alfazema Embalagem 200Ml,6.78,6.78
111,Limpador Banheiro Cif sem Cloro 500Ml,14.98,14.98
112,Limpa Pisos Uau Eliminador de Odores Embalagem 750Ml,10.8,10.8
113,Desinfetante Pinho Bril Silvestre Plus 500Ml,4.38,4.38
114,Limpador Uau Limpa Pisos Madeira 750Ml,10.8,10.8
115,Tira Ferrugem Semorin Embalagem 50Ml,9.78,9.78
116,Saponáceo em Pó Multiuso Limão Bom Bril Sapólio Radium 300G,5.95,5.95
117,Desinfetante Pinho Sol Original 1000Ml,13.98,13.98
118,Cera Polylar Incolor 750Ml,6.98,6.98
119,Limpador Veja Aroma Sense Bem Estar 500Ml,6.78,6.78
120,Limpa Piso Porcelanato e Cerâmica Super Globo 750Ml,8.98,8.98
121,Limpador Multiuso Marina Tradicional 500Ml,3.58,3.58
122,Limpador Multiuso Uau Flores e Folhas Embalagem Leve 600Ml Pague 500Ml,4.58,4.58
123,Desinfetante Classic Jasmim Embalagem 2 Litros,6.38,6.38
124,Super Desengordurante Veja Power Gel Laranja 500Ml,14.95,14.95
125,Limpador Uau Desengordurante Refil Embalagem 500Ml,13.98,13.98
126,Sapólio Radium Pedra Clássico 200G,2.79,2.79
127,Limpador Banheiro Cif sem Cloro Refil 450Ml,11.98,11.98
128,Lustra Móveis Bry Jasmim Embalagem 200Ml,6.78,6.78
129,Limpador Veja Perfumes Flores do Mediterrâneo 30% Grátis 500Ml,6.78,6.78
130,Limpador Diluível Ajax Fresh 500Ml,9.98,9.98
131,Cera Líquida Ingleza Maxx Vermelha 750Ml,13.98,13.98
132,Limpador Multiuso Uau Flores e Frescor Ingleza 500Ml,4.58,4.58
133,X 14 Tira Limo Pulver 500Ml,24.98,24.98
134,Desinfetante Casa e Cuidado Escudo Floral 500Ml,6.98,6.98
135,Desinfetante Suave Odor Lysoform Bruto Bombril 1L,12.98,12.98
136,Limpador Multiuso Super Globo Original Embalagem 500Ml,3.78,3.78
137,Limpador para Limpeza Pesada Original Veja 1L,19.95,19.95
138,Limpador Perfumado Super Globo Momentos de Tranquilidade Embalagem 500Ml,4.39,4.39
139,Cera em Pasta Ingleza Lavanda Incolor Lata 400G,32.98,32.98
140,Desinfetante Trop Pinho Lavanda Inglesa 500Ml,3.99,3.99
141,Cera Líquida para Sapato Nugget Preto Embalagem 60Ml Grátis 33%,19.98,19.98
142,Limpador Veja Banheiro Anti Bac Trigger Oferta 500Ml,18.98,18.98
143,Limpador Uau Multiuso Folhas Verdes Embalagem 500Ml,4.58,4.58
144,Limpador Multiuso Classic Tradicional 500Ml,3.58,3.58
145,Desinfetante Classic Floral Embalagem 2 Litros,6.38,6.38
146,Desinfetante Eucalipto Santa Clara 2L,6.58,6.58
147,Cera Líquida Ingleza Maxx Amarela Embalagem 750Ml,13.98,13.98
148,Desinfetante Batuta Oceano Ação Limpa Pisos Elimina Germes e Bactérias Embalagem 2L,8.38,8.38
149,Desinfetante Pinho Flores de Limão Leve 500Ml Pague 450Ml,4.38,4.38
150,Limpador Destac Multipisos Lavanda 750Ml,18.98,18.98
151,Cera Líquida Nugget Preto 33% de Desconto Embalagem 60Ml,19.98,19.98
152,Cera Ingleza Ardosia Incolor Embalagem 750Ml,10.98,10.98
153,Desinfetante Pinho Bril Flores de Limão 1000Ml,7.98,7.98
154,Limpador Desengordurante com Gatilho Uau 500Ml,17.98,17.98
155,Desinfetante Pinho Trop Pinho e Menta 500Ml,3.99,3.99
156,Azulim 500Ml,13.98,13.98
157,Desinfetante Pinho Sol Limão 500Ml,7.78,7.78
158,Desinfetante Pinho Sol Limão 1L,13.98,13.98
159,Limpador Multiuso Lavanda Tradicional Uau 600Ml,4.58,4.58
160,Desinfetante Batuta Eucalipto Embalagem 2L,8.38,8.38
161,Desinfetante Classic Lavanda Embalagem 2 Litros,6.38,6.38
162,Limpador Perfumado Paixão Super Globo Embalagem 500Ml,4.39,4.39
163,Limpa Vidro Super Globo 500Ml,5.98,5.98
164,Desinfetante Super Globo Eucalipto 2 Litros,7.38,7.38
165,Limpador Multiuso Classic Floral 500Ml,3.58,3.58
166,Limpador Multiuso Uau Eliminador de Odores Hortelã Leve 600Ml Pague 500Ml,4.58,4.58
167,Limpa Alumínio Polylar Verde Maçã 500Ml,3.95,3.95
168,Óleo de Peroba Lavanda 100Ml,8.98,8.98
169,Limp.Uau 500Ml Multi Uso Lavanda C/10%Gts,4.58,4.58
170,Limpador Multiuso Super Globo Campestre Embalagem 500Ml,3.78,3.78
171,Limpador Perfumado Super Globo Vida Marinha Embalagem 500Ml,4.39,4.39
172,Desinfetante Ajax Fresh Oferta 500Ml,9.98,9.98
173,Pedra Sanitária Pratik Lavanda Embalagem 35G,2.58,2.58
174,Limpador Multi Uso Clareadora Super Globo 500Ml,3.78,3.78
175,Limpador Perfumado Veja Aroma Sense Alegria 500Ml,6.78,6.78
176,Desinfetante Power Action Pinho Veja 500Ml,8.38,8.38
177,Desinfetante Pinho Trop Limão Embalagem 500Ml,3.99,3.99
178,Limpa Porcelanatos Azulim Power Citrus Embalagem 750Ml,10.95,10.95
179,Limpador Multiuso Classic Hortelã 500Ml,3.58,3.58
180,Limpador Multiuso Super Globo Embalagem 500Ml,5.38,5.38
181,Desinfetante Uso Geral Ufe 750Ml,12.98,12.98
182,Desinfetante Zip My Place 350Ml,15.98,15.98
183,Desinfetante Classic Eucalipto Embalagem 2 Litros,6.38,6.38
184,Cera Líquida Ingleza Brilhowax Vermelha Embalagem 850Ml,9.95,9.95
185,Limpa Piso Laminado Super Globo 750Ml,8.98,8.98
186,Limpador Casa e Perfume Sensualidad Embalagem 500Ml Pague 400Ml,4.98,4.98
187,Pedra Sanitária Q-Odor Marine Embalagem 40G,3.38,3.38
188,Limpa Vidro Marina Embalagem 500Ml,5.98,5.98
189,Cera Líquida Brilhowax Vermelha 750Ml,9.95,9.95
190,Cera Polylar Verde 750Ml,6.98,6.98
191,Desinfetante Azulim Eucalipto Embalagem 1L,7.58,7.58
192,Desinfetante Creolina Pearson Embalagem 100Ml,18.98,18.98
193,Limpador Multiuso Super Globo Floral 500Ml,3.78,3.78
194,Desinfetante Classic Floral Embalagem 2 Litros,6.38,6.38
195,Limpador Multiuso Cloro Ativo 5 em 1 Super Globo 500Ml,5.38,5.38
196,Desinfetante Classic Lavanda 5 Litros,17.98,17.98
197,Pedra Sanitária Santa Clara Tutti Frutti Unidade 25G,2.28,2.28
198,Limpador Acido Muriatico Clarix 1L,7.98,7.98
199,Desinfetante Classic Eucalipto Embalagem 2 Litros,6.38,6.38
200,Desinfetante Classic Lavanda Embalagem 2 Litros,6.38,6.38
201,Desinfetante Classic Jasmim Embalagem 2 Litros,6.38,6.38
202,Limpador Perfumado Casa e Perfume Bela Fiore 500Ml,4.98,4.98
