,Produto,Preço Base,Preço Final
0,Álcool Etílico Hidratado 70º Inpm Uzu 1L,6.99,6.99
1,Sapólio Radium Cremoso Lavanda 300Ml,7.99,7.99
2,Álcool Líquido 70º Inpm Flop's 1L,11.59,11.59
3,Água Sanitária Marina Embalagem 1L,3.99,3.99
4,Água Sanitária Marina Embalagem 2L,5.29,5.29
5,"Álcool Flops 92,8 1 Litro",11.59,11.59
6,Sapólio Cremoso Radium Lavanda 250Ml,7.99,7.99
7,Limpador Multiuso Gold Original Veja 500Ml,4.49,4.49
8,Limpador Perfumado Uau Flores Vermelhas e Sedução Embalagem 500Ml,4.19,4.19
9,Limpador Perfumado Uau Rosas Sedução 1L,7.99,7.99
10,Limpador Uau Multiuso Lavanda 500Ml,4.29,4.29
11,Limpador Uau Perfumes Flores Vermelhas e Sedução 500Ml,4.19,4.19
12,Desinfetante Ypê Bak Lavanda 500Ml,3.89,3.89
13,Limpa Vidros Veja Vidrex Squeeze Oferta 500Ml,9.89,9.89
14,Limpador Perfumado Uau Flores e Sonhos Embalagem Leve 1 Litro Pague 800Ml,6.49,6.49
15,Limpador Perfumado Uau Cuidado e Carinho Embalagem 1 Litro,6.49,6.49
16,Água Sanitária Superglobo Embalagem 1L,3.99,3.99
17,Desinfetante Batuta Lavanda Embalagem 2L,8.49,8.49
18,Lustra Móveis Flores e Folhas Uau 200Ml,5.99,5.99
19,Álcool Líquido Flops 96 Embalagem 500Ml,5.99,5.99
20,Limpador Multiuso com Álcool Brilho Instantâneo Uau Frasco 500Ml,4.29,4.29
21,Limpador Multiuso Floral Uau Embalagem 500Ml,4.29,4.29
22,Limpador Uau Harmonia 500Ml,4.19,4.19
23,Desinfetante Bak de Eucalipto Ypê 2L,8.59,8.59
24,Desinfetante Ypê Bak Eucalipto 500Ml,3.89,3.89
25,Limpador Perfumado Natureza e Harmonia Ingleza Uau Leve 1L Pague 800Ml,6.49,6.49
26,Limpa Piso Elimina Odores Super Globo 750Ml,8.59,8.59
27,Cera Líquida Nugget Preto 33% de Desconto Embalagem 60Ml,15.99,15.99
28,Limpador Multiuso Lavanda Tradicional Uau 600Ml,4.29,4.29
29,Limpa Alumínio Sapólio Radium 300Ml,7.99,7.99
30,Desengordurante Marina 500Ml,3.89,3.89
31,Limpador Perfumado Uau Natureza & Harmonia Embalagem 500Ml,4.19,4.19
32,Pedra Sanitária Marina Floral Embalagem 25G,2.49,2.49
33,Limpador Multiuso Folhas e Flores Marina 500Ml,3.59,3.59
34,Limpador Veja Multiuso Original 500Ml,4.49,4.49
35,Limpa Uau Perfumada Flores Vermelho 500Ml,4.19,4.19
36,Limpador Multiuso Original Veja 500Ml,4.49,4.49
37,Eliminador de Odores Multiuso Hortelã Uau 500Ml,4.29,4.29
38,Essência de Eucalipto Marina 140Ml,6.59,6.59
39,Essencia Marina Talco Spray 140Ml,7.89,7.89
40,Detergente Limpol Coco 500Ml,2.09,2.09
41,Detergente Liq.Limpol 500Ml Lavanda,2.09,2.09
42,Detergente Líquido Neutro Limpol 500Ml,2.09,2.09
43,Detergente Líquido Azulim Neutro 500Ml,2.09,2.09
44,Detergente Azulim Coco 500Ml,2.09,2.09
45,Detergente Limpol Maçã 500Ml,2.09,2.09
46,Detergente Líquido Azulim Citrus 500Ml,2.09,2.09
47,Detergente Líquido Limpol Jabuticaba 500Ml,2.09,2.09
48,Detergente Líquido Azulim Clear 500Ml,2.09,2.09
49,Saponáceo Cremoso Sapólio Radium Bombril Lavanda Embalagem 300Ml,7.99,7.99
50,Detergente Liquido Maçã Smart 500Ml,2.09,2.09
51,Detergente Líquido Limpol Fragrancia Coco 500Ml,2.09,2.09
52,Lava Loucas Limpol Maçã 500Ml,2.09,2.09
53,Detergente Líquido Limpol Cristal 500Ml,2.09,2.09
54,Naftalina em Bolas Sany Embalagem 30G,1.99,1.99
55,Lava Roupas Sanitizante em Pó Brilhante Limpeza Total 2.2Kg,24.99,24.99
56,"Lava-Roupas Pó Lavagem Perfeita Omo 1,6Kg",25.99,25.99
57,Lava-Roupas Pó Lavagem Perfeita Omo 800G,13.59,13.59
58,Sabão em Pó Omo Lavagem Perfeita 400G,8.99,8.99
59,Lava Roupas em Pó Brilhante Limpeza Total 800G,10.99,10.99
60,Cloro Marina 5L,15.99,15.99
61,Lava Roupas Sanitizante em Pó Brilhante Limpeza Total 2.2Kg,24.99,24.99
62,Lava-Roupas Pó Concentrado Primavera Tixan Ypê Leve 800G Pague 720G,9.29,9.29
63,"Amaciante Ypê Intenso Leve 2L Pague 1,6L",8.99,8.99
64,Lava Roupas em Pó para Roupas Brancas e Coloridas Limpeza Total Brilhante Sachê 800G,10.99,10.99
65,Lava Roupas em Pó Tixan Ypê Primavera 800G,11.99,11.99
66,"Lava-Roupas Pó Concentrado Maciez Tixan Ypê 1,6Kg",18.99,18.99
67,"Lava Roupas em Pó Limpeza Total para Roupas Brancas e Coloridas Brilhante Sachê 1,6Kg",18.59,18.59
68,"Lava-Roupas em Pó Concentrado Primavera Tixan Ypê 1,6Kg",21.99,21.99
69,"Lava-Roupas Pó Omo Lavagem Perfeita Pacote 2,4Kg Tamanho Família",32.99,32.99
70,"Lava-Roupas em Pó Concentrado Primavera Tixan Ypê 1,3Kg",17.59,17.59
71,"Lava-Roupas em Pó Concentrado Maciez Tixan Ypê Caixa Leve 1,6Kg Pague 1,52Kg",21.99,21.99
72,"Lava-Roupas em Pó Roupas Brancas e Coloridas Brilhante Limpeza Total Pacote 1,6Kg",18.59,18.59
73,Sabão em Barra Glicerinado Neutro Ypê 180G,2.99,2.99
74,Tira Manchas Marina Embalagem 450G,16.99,16.99
75,Lava-Roupas em Pó Concentrado Maciez Tixan Ypê 400G,6.99,6.99
76,Cloro Santa Clara Super Forte Embalagem 1 Litro,3.98,3.98
77,Amaciante Concentrado Água Fresca Downy 1L,22.99,22.99
78,Amaciante Urca Estação em Flor 2L,6.99,6.99
79,Amaciante Toque de Poesia Luxo Amacitel 2L,7.99,7.99
80,Sabão em Barra Marina Coco Embalagem 200G,2.69,2.69
81,Amaciante Concentrado Frescor da Primavera Downy 1 Litro,22.99,22.99
82,Amaciante Concentrado Downy Adorável Premium 450Ml,10.99,10.99
83,Amaciante de Roupa Diluído Toque de Carinho Baby Soft 2L,7.99,7.99
