,Produto,Preço Base,Preço Final
0,Álcool Líquido 70º Inpm Flop's 1L,8.39,8.39
1,Limpador Multiuso Veja 10% Desconto 500Ml,4.39,4.39
2,Desinfetante Marina Lavanda 2L,5.29,5.29
3,Álcool 70% Asseptgel Start Embalagem 500Ml,6.49,6.49
4,"Álcool Líquido Nobre 76,9 Inpm 500Ml",5.69,5.69
5,Água Sanitária Santa Clara 5L,12.89,12.89
6,Água Sanitária Santa Clara Embalagem 2 Litros,5.79,5.79
7,Álcool Líquido 70% Start 1L,10.98,10.98
8,Água Sanitária Santa Clara Embalagem 1 Litro,3.39,3.39
9,Lustra Móveis Destac Lavanda 200Ml,8.59,8.59
10,Brilha Alumínio Uva Brilhaluminio 500Ml,2.69,2.69
11,Desinfetante Marina Talco Embalagem 2 Litros,5.29,5.29
12,Limpador Multiuso Cif Cremoso Original Oferta 450Ml,13.98,13.98
13,Tira Limo Azulim Embalagem 500Ml,4.69,4.69
14,Limpador Cremoso Cif Original 250Ml,9.98,9.98
15,Limpa Alumínio Marina Verde Embalagem 500Ml,2.89,2.89
16,Soda Cáustica Escorpião 1Kg,31.98,31.98
17,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,4.39,4.39
18,Limpador Multiuso Uau Rosas Sedução 500Ml,4.39,4.39
19,Limpador Desengordurante Cozinha Limão Veja 500Ml 20% de Desconto,8.69,8.69
20,Limpador Agradable Casa e Perfume 1L,7.98,7.98
21,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.69,2.69
22,Cloro Super Cloro Classic Extra Forte 1 Litro,3.98,3.98
23,Limpador Casa e Perfume Sensualidad 1L,7.98,7.98
24,Limpador Sanitário Removedor de Manchas Pato 500Ml,12.49,12.49
25,Limpador Uau Cloro Ativo 2 Unidades de 500Ml Cada + Grátis Multiuso Lavanda 500Ml,15.98,15.98
26,Limpa Vidros Azulim Embalagem 500Ml,4.69,4.69
27,Saponáceo Cremoso Multiuso Limão Bom Bril Sapólio Radium 250Ml,7.98,7.98
28,Pastilha Adesiva Pato Lavanda Oferta Embalagem 3Un,9.39,9.39
29,Limpador Uau Requinte 500Ml,4.29,4.29
30,Pedra Sanitária Inspira Lavanda 1Un,2.59,2.59
31,Super Cloro Classic Extra Forte 2L,7.39,7.39
32,Limpador Sanitário de Lavanda Oferta Pato 750Ml,13.98,13.98
33,Sapólio Radium Pó Clássico,5.49,5.49
34,Limpador Agradable Casa e Perfume 500Ml,4.79,4.79
35,Limpador Uau Perfumes Flores Vermelhas Embalagem 1 Litro,7.98,7.98
36,Limpador Uau Perfumes Lavanda e Conforto Embalagem L1p800ml,7.98,7.98
37,Pedra Sanitária Sampa Clean 25G,2.98,2.98
38,Limpador Uau Multiuso Flores e Folhas 500Ml,4.39,4.39
39,Casa e Perfume Sensazine 500Ml,4.79,4.79
