,Produto,Preço Base,Preço Final
0,Água Sanitária Super Globo Embalagem 5 Litros,12.98,12.98
1,Álcool Líquido 70 Araucaria 1L,8.79,8.79
2,Kit Limpeza 2 Cloros de 500Ml + 1 Limpador Multiuso 500Ml Super Globo,9.48,9.48
3,Limpador Multiuso Veja 10% Desconto 500Ml,4.19,4.19
4,Água Sanitária Marina Embalagem 1L,3.28,3.28
5,Água Sanitária Santa Clara 5L,11.98,11.98
6,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",5.98,5.98
7,Água Sanitária Santa Clara Embalagem 2 Litros,5.68,4.98
8,Água Sanitária Santa Clara Embalagem 1 Litro,3.18,3.18
9,Sapólio Cremoso Radium Lavanda 250Ml,7.98,7.98
10,Brilha Alumínio Uva Brilhaluminio 500Ml,2.99,2.99
11,Querosene Jacaré Lata 900Ml,27.68,27.68
12,Kit Limpador Multiuso Azulim 550Ml 3Un,8.98,8.98
13,Tira Limo Azulim Embalagem 500Ml,4.49,3.99
14,Limpador Cremoso Cif Original 250Ml,8.98,8.98
15,Desinfetante Casa Km Casa & Perfume Passione Embalagem 1L,8.39,8.39
16,Limpador Desengordurante Cozinha Limão Veja 500Ml 20% de Desconto,8.79,8.79
17,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.99,2.99
18,Limpador Multiuso Super Globo Floral Embalagem 500Ml,3.48,3.48
19,Limpador Multiuso Gold Original Veja 500Ml,4.49,4.49
20,Kit Econômico Azulim Multiuso 4X1,15.48,15.48
21,Limpador Casa e Perfume Sensualidad 1L,8.39,8.39
22,Limpa Vidros Azulim Embalagem 500Ml,3.98,3.98
23,Saponáceo Cremoso Multiuso Limão Bom Bril Sapólio Radium 250Ml,7.98,7.98
24,Pastilha Adesiva Pato Lavanda Oferta Embalagem 3Un,7.98,7.98
25,Limpador Sensazione Casa & Perfume 1L,8.39,8.39
26,Casa e Perfume Sensazine 500Ml,4.89,4.89
27,Limpador Uau Perfumes Flores Vermelhas Embalagem 1 Litro,6.59,5.99
28,Sapólio Radium Pó Clássico,5.28,4.99
29,Desengordurante Uau Squeeze 500Ml,6.89,6.89
30,Desinfetante Santa Clara Lavanda Embalagem 2 Litros,5.89,5.89
31,Limpador Agradable Casa e Perfume 500Ml,4.89,4.89
32,Pedra Sanitária Sampa Clean 25G,2.98,2.98
33,Limpador Azulim Multiuso Embalagem 500Ml,3.38,2.99
34,Limpador Uau Multiuso Lavanda 500Ml,4.29,4.29
35,Limpador Uau Perfumes Flores Vermelhas e Sedução 500Ml,4.18,4.18
36,Limpador Uau Perfumes Cuidado e Carinho 500Ml,4.18,4.18
37,Soda Cáustica Yara 950G,13.98,13.98
38,Desinfetante Original Bruto Lysoform 1L,12.98,12.98
39,Limpador Multiuso Veja Maçã Verde 500Ml,5.78,5.78
40,Veja Limpeza Pesada 2X1 500Ml Cloro Ativo,9.39,9.39
41,Cera Líquida Special Taco/Madeiras Ingleza Maxx 750Ml,13.28,13.28
42,Desentupidor de Piá Diabo Verde Embalagem 300G,17.98,17.98
43,Desinfetante Pinho Lavanda Super Globo 500Ml,3.38,3.38
44,Desinfetante Santa Clara Herbal Embalagem 2 Litros,5.89,5.89
45,Limpador Multiuso Veja Lavanda e Álcool Oferta 500Ml,4.38,4.38
46,Desengordurante Super Globo Squeeze 500Ml,5.18,5.18
47,Limpador Multiuso Veja com Álcool 500Ml,5.78,5.78
48,Limpador Azulim Lavanda Embalagem 1L,6.98,5.99
49,Desinfetante Batuta Floral Embalagem 2L,7.68,7.68
50,Limpador Multiuso Uau Cloro Ativo 500Ml,7.89,7.89
51,Limpador Multiuso Veja Floral 500Ml,5.78,5.78
52,Limpador Azulim Azulejo Citrus Embalagem 1L,6.98,5.99
53,Desengordurante Azulim Limpeza Pesada Limão Embalagem 500Ml,5.58,4.99
54,Limpador Uau Flores e Sonhos 500Ml,4.18,4.18
55,Tira Manchas Semorin Embalagem 100Ml,11.38,11.38
56,Limpador Diluível Ajax Fresh Limão 500Ml,9.49,9.49
57,Gel Adesivo Pato Marine Rf 38G com Aparelho,16.98,16.98
58,Limpador Multiuso Veja Floral Oferta 500Ml,4.38,4.38
59,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,4.38,4.38
60,Água Sanitária Superglobo Embalagem 1L,3.48,3.48
61,Limpador Multiuso Ação Clareadora Uau 500Ml,4.29,4.29
