,Produto,Preço Base,Preço Final
0,Álcool Líquido 70 Araucaria 1L,8.79,8.79
1,Kit Multiuso Mais Perfume 500Ml Azulim 3Un,8.98,8.98
2,Kit Limpeza 2 Cloros de 500Ml + 1 Limpador Multiuso 500Ml Super Globo,9.48,9.48
3,Álcool Líquido 70º Inpm Flop's 1L,8.19,8.19
4,Água Sanitária Marina Embalagem 2L,5.29,5.29
5,Água Sanitária Marina Embalagem 1L,3.28,3.28
6,Desinfetante Marina Lavanda 2L,5.39,5.39
7,Água Sanitária Santa Clara 5L,11.98,11.98
8,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",5.98,5.98
9,Água Sanitária Santa Clara Embalagem 2 Litros,5.68,4.98
10,"Álcool Flops 92,8 1 Litro",11.39,11.39
11,Álcool Líquido 70% Start 1L,9.89,9.89
12,Água Sanitária Santa Clara Embalagem 1 Litro,3.18,3.18
13,Alcool Anhanguera 70 Embalagem 1 Litro,7.18,7.18
14,Sapólio Cremoso Radium Lavanda 250Ml,7.98,7.98
15,Lustra Móveis Destac Lavanda 200Ml,6.48,6.48
16,Desinfetante Marina Talco Embalagem 2 Litros,5.39,5.39
17,Tira Limo Veja X14 Cloro Ativo Squeeze Oferta 500Ml,11.68,11.68
18,Querosene Jacaré Lata 900Ml,27.68,27.68
19,Kit Limpador Multiuso Azulim 550Ml 3Un,8.98,8.98
20,Tira Limo Azulim Embalagem 500Ml,4.49,3.99
21,Limpador Cremoso Cif Original 250Ml,8.98,8.98
22,Desinfetante Casa Km Casa & Perfume Passione Embalagem 1L,8.39,8.39
23,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,4.29,4.29
24,Limpador Multiuso Uau Rosas Sedução 500Ml,4.29,4.29
25,Limpador Multiuso Super Globo Floral Embalagem 500Ml,3.48,3.48
26,Kit Econômico Azulim Multiuso 4X1,15.48,15.48
27,Água Sanitária Marina 5 Litros,12.59,12.59
28,Saponáceo Cremoso Multiuso Limão Bom Bril Sapólio Radium 250Ml,7.98,7.98
29,Limpa Box Uau Blindex 200Ml,11.18,11.18
30,Limpador Sanitário Lipex Caixa Acoplada Embalagem 50G,11.98,11.98
31,Tira Limo Veja Banheiro X14 500Ml,15.38,15.38
32,"Água Sanitária Ypê Leve 2L Pague 1,8L Grátis 200Ml",8.89,8.89
33,Limpador Sensazione Casa & Perfume 1L,8.39,8.39
34,Limpador Sanitário Gel Marine Pato 500Ml,13.48,13.48
35,Limpador Uau Perfumes Lavanda e Conforto Embalagem L1p800ml,6.59,5.99
36,Limpador Uau Perfumes Flores Vermelhas Embalagem 1 Litro,6.59,5.99
37,Limpa Alumínio e Inox Neutro Magic Brill Embalagem 500Ml,6.28,6.28
38,Sapólio Radium Pó Clássico,5.28,4.99
39,Desengordurante Uau Squeeze 500Ml,6.89,6.89
