,Produto,Preço Base,Preço Final
0,Limpador Multiuso Veja 10% Desconto 500Ml,5.49,5.49
1,Água Sanitária Marina Embalagem 1L,3.49,3.49
2,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",6.49,6.49
3,Desinfetante Marina Lavanda 2L,5.99,5.99
4,Álcool 70% Asseptgel Start Embalagem 500Ml,5.99,5.99
5,Água Sanitária Santa Clara 5L,13.49,13.49
6,Água Sanitária Santa Clara Embalagem 2 Litros,6.49,6.49
7,Álcool Líquido 70% Start 1L,10.99,10.99
8,Água Sanitária Start Tuff Embalagem 5L,14.49,14.49
9,Água Sanitária Santa Clara Embalagem 1 Litro,3.49,3.49
10,Sapólio Cremoso Radium Lavanda 250Ml,8.98,8.98
11,Tira Limo Veja X14 Cloro Ativo Squeeze Oferta 500Ml,14.99,14.99
12,Água Sanitária Marina 5 Litros,12.99,12.99
13,Água Sanitária Ypê 2L,9.98,9.98
14,Kit Econômico Azulim Multiuso 4X1,16.99,16.99
15,Limpador Cremoso Cif Original 250Ml,11.99,11.99
16,Limpa Alumínio Marina Verde Embalagem 500Ml,2.99,2.99
17,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,4.49,4.49
18,Limpador Multiuso Uau Rosas Sedução 500Ml,4.49,4.49
19,Água Sanitária Super Globo Embalagem 2 Litros,6.99,6.99
20,Limpador Agradable Casa e Perfume 1L,7.99,7.99
21,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.98,2.98
22,Limpador Uau Requinte 500Ml,4.49,4.49
23,Limpador Sensazione Casa & Perfume 1L,7.99,7.99
24,Desinfetante Start Vorel Eucalipto Embalagem 2L,5.49,5.49
25,Limpador Agradable Casa e Perfume 500Ml,5.49,5.49
26,Pedra Sanitária Sampa Clean 25G,1.99,1.99
27,Limpador Uau Perfumes Flores Vermelhas Embalagem 1 Litro,6.99,6.99
28,Limpador Uau Multiuso Flores e Folhas 500Ml,4.49,4.49
29,Limpador Sensualidad Casa e Perfume 500Ml,5.49,5.49
30,Limpador Uau Multiuso Lavanda 500Ml,4.49,4.49
31,Limpador Azulim Multiuso Embalagem 500Ml,3.19,3.19
32,Desinfetante Marina Marine Embalagem 2 Litros,5.99,5.99
33,Limpador Uau Perfumes Cuidado e Carinho 500Ml,4.49,4.49
34,Limpador Limpeza Pesada Veja 500Ml,6.98,6.98
35,Soda Cáustica Yara 950G,14.99,14.99
36,Desentupidor de Piá Diabo Verde Embalagem 300G,19.99,19.99
37,Água Sanitária Start Tuff 2L,6.49,6.49
38,Cera Líquida Special Taco/Madeiras Ingleza Maxx 750Ml,13.99,13.99
39,Limpador Multiuso Veja Lavanda e Álcool Oferta 500Ml,5.49,5.49
40,Limpador Azulim Lavanda Embalagem 1L,7.99,7.99
41,Desengordurante Super Globo Squeeze 500Ml,5.99,5.99
42,Limpador Multiuso Uau Cloro Ativo 500Ml,8.49,8.49
43,Lustra Móveis Uau Perfumado Rosas e Sedução 200Ml,6.99,6.99
44,Desengordurante Azulim Limpeza Pesada Limão Embalagem 500Ml,5.99,5.99
45,Limpador Azulim Azulejo Citrus Embalagem 1L,6.98,6.98
46,Limpador Uau Flores e Sonhos 500Ml,4.49,4.49
47,Limpador Amable Casa e Perfume 1L,7.99,7.99
48,Limpador Azulim Multiuso com Álcool para Inox Embalagem 550Ml,3.19,3.19
49,Cera Líquida Brilhowax Incolor 750Ml,9.99,9.99
50,Limpador Uau Perfumes Lavanda e Conforto Ingleza Embalagem 500Ml,4.49,4.49
51,Limpador Multiuso Ação Clareadora Uau 500Ml,4.49,4.49
52,Limpador Multiuso Veja Floral Oferta 500Ml,5.49,5.49
53,Água Sanitária Superglobo Embalagem 1L,3.89,3.89
54,Desinfetante Batuta Floral Embalagem 2L,6.99,6.99
55,Limpador Perfumado Intuizione New Casa & Perfume 500Ml,5.49,5.49
56,Desinfetante Batuta Lavanda Embalagem 2L,6.99,6.99
