,Produto,Preço Base,Preço Final
0,Álcool Safra 70º 1 Litro,7.99,7.99
1,Água Sanitária Classic 5 Litros,11.99,11.99
2,Álcool Mega 70° 1Lt,8.29,8.29
3,Álcool Líquido 70º Inpm Tupi 1L,6.69,6.69
4,Água Sanitária Marina Embalagem 1L,3.29,3.29
5,Água Sanitária Marina Embalagem 2L,4.99,4.99
6,"Álcool Nobre 76,9 1 Litro",7.99,7.99
7,Álcool 70% Asseptgel Start Embalagem 500Ml,4.99,4.99
8,"Álcool Líquido Nobre 76,9 Inpm 500Ml",4.99,4.99
9,Água Sanitária Santa Clara 5L,12.49,12.49
10,Água Sanitária Classic Embalagem 2 Litros,4.99,4.99
11,Água Sanitária Santa Clara Embalagem 2 Litros,5.69,5.69
12,Álcool Líquido 70% Start 1L,9.89,9.89
13,Água Sanitária Suprema 1L,6.49,6.49
14,Água Sanitária Santa Clara Embalagem 1 Litro,3.29,3.29
15,Alcool Anhanguera 70 Embalagem 1 Litro,6.99,6.99
16,Tira Limo Veja X14 Cloro Ativo Squeeze Oferta 500Ml,14.49,14.49
17,Água Sanitária Marina 5 Litros,11.49,11.49
18,Querosene Jacaré Lata 900Ml,20.99,20.99
19,Limpador Cremoso Cif Original 250Ml,9.29,9.29
20,Soda Cáustica Escorpião 1Kg,29.99,29.99
21,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,3.99,3.99
22,Limpador Multiuso Uau Rosas Sedução 500Ml,3.99,3.99
23,Água Sanitária Super Globo Embalagem 2 Litros,6.69,6.69
24,Limpador Multiuso Uau Lavanda Embalagem Leve 600Ml Pague 500Ml,3.99,3.99
25,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.69,2.69
26,Cloro Super Cloro Classic Extra Forte 1 Litro,3.99,3.99
27,Acido Muriático Clarix 1L,6.99,6.99
28,Super Cloro Classic Extra Forte 2L,6.99,6.99
29,Lustra Móvel Poliflor Lavanda 200Ml,9.49,9.49
30,Tira Limo Veja Banheiro X14 500Ml,14.49,14.49
31,Gel Adesivo Aplik Limão Embalagem 3 Un,7.29,7.29
32,Limpador Uau Perfumes Lavanda e Conforto Embalagem L1p800ml,6.49,6.49
33,Sapólio Radium Pó Clássico,4.89,4.89
