,Produto,Preço Base,Preço Final
0,Limpador Multiuso Veja 10% Desconto 500Ml,3.99,3.99
1,Álcool Etílico Hidratado 70º Inpm Uzu 1L,7.75,7.75
2,Água Sanitária Marina Embalagem 1L,3.09,3.09
3,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",5.59,5.59
4,Desinfetante Marina Lavanda 2L,4.89,4.89
5,Água Sanitária Santa Clara 5L,11.99,11.99
6,Água Sanitária Marina Embalagem 2L,5.49,5.49
7,Álcool Líquido 70% Start 1L,9.95,9.95
8,Água Sanitária Marina 5 Litros,12.49,12.49
9,Água Sanitária Santa Clara Embalagem 2 Litros,5.29,5.29
10,Soda Cáustica Escorpião 1Kg,31.99,31.99
11,Desinfetante Marina Talco Embalagem 2 Litros,4.89,4.89
12,Lustra Móveis Destac Lavanda 200Ml,5.89,5.89
13,Água Sanitária Santa Clara Embalagem 1 Litro,3.19,3.19
14,Água Sanitária Ypê 2L,8.89,8.89
15,Limpador Multiuso Cif Cremoso Original Oferta 450Ml,12.99,12.99
16,Tira Limo Veja X14 Cloro Ativo Squeeze Oferta 500Ml,11.19,11.19
17,Kit Econômico Azulim Multiuso 4X1,15.99,15.99
18,Querosene Jacaré Lata 900Ml,29.95,29.95
19,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.49,2.49
20,Limpador Multiuso Uau Rosas Sedução 500Ml,3.99,3.99
21,Limpa Alumínio Marina Verde Embalagem 500Ml,2.69,2.69
22,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,3.99,3.99
23,Desinfetante Santa Clara Lavanda Embalagem 2 Litros,5.99,5.99
24,Limpador Desengordurante Cozinha Limão Veja 500Ml 20% de Desconto,8.49,8.49
25,Limpador Uau Cloro Ativo 2 Unidades de 500Ml Cada + Grátis Multiuso Lavanda 500Ml,15.49,13.99
26,Limpador Agradable Casa e Perfume 1L,7.79,7.79
27,Saponáceo Cremoso Multiuso Limão Bom Bril Sapólio Radium 250Ml,6.49,6.49
28,Limpador Uau Requinte 500Ml,4.29,4.29
29,Pastilhas Ades Inspira Lavanda 20%Desc 3Un,5.49,5.49
30,Água Sanitária Super Globo Embalagem 2 Litros,6.49,6.49
31,Limpador Sensazione Casa & Perfume 1L,7.79,7.79
32,Limpa Vidros Azulim Embalagem 500Ml,4.49,4.49
33,Pastilha Adesiva Pato Lavanda Oferta Embalagem 3Un,8.99,8.99
34,Casa e Perfume Sensazine 500Ml,4.69,4.69
35,Pedra Sanitária Inspira Lavanda 1Un,3.29,3.29
36,Limpador Agradable Casa e Perfume 500Ml,4.69,4.69
37,Limpador Sensualidad Casa e Perfume 500Ml,4.69,4.69
38,Limpador Cremoso Cif Original 450Ml,14.89,14.89
39,Lustra Móvel Poliflor Lavanda 200Ml,8.99,8.99
40,Água Sanitária Superglobo Embalagem 1L,3.49,3.49
41,Limpa Porcelanato Azulim Powder Lavanda Embalagem 750Ml,9.49,9.49
