,Produto,Preço Base,Preço Final
0,Limpador Multiuso Veja 10% Desconto 500Ml,4.19,4.19
1,Água Sanitária Marina Embalagem 2L,5.19,5.19
2,Água Sanitária Marina Embalagem 1L,3.29,3.29
3,Desinfetante Marina Lavanda 2L,5.29,5.29
4,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",5.99,5.99
5,"Álcool Start 46,2º Embalagem 1L",10.9,10.9
6,Soda Cáustica Escorpião 1Kg,36.9,36.9
7,Querosene Jacaré Lata 900Ml,27.9,27.9
8,Água Sanitária Barra Embalagem 2 Litros,5.29,5.29
9,Limpador Multiuso Cif Cremoso Original Oferta 450Ml,15.9,15.9
10,Limpador Cremoso Cif Original 250Ml,9.99,9.99
11,Limpa Alumínio Marina Verde Embalagem 500Ml,2.99,2.99
12,Limpador Multiuso Uau Rosas Sedução 500Ml,4.29,4.29
13,Limpador Agradable Casa e Perfume 1L,7.99,7.99
14,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.89,2.89
15,Limpador Multiuso Super Globo Floral Embalagem 500Ml,3.69,3.69
16,Limpador Casa e Perfume Sensualidad 1L,7.99,7.99
17,Limpa Vidros Azulim Embalagem 500Ml,4.99,4.99
18,Saponáceo Cremoso Multiuso Limão Bom Bril Sapólio Radium 250Ml,9.79,9.79
19,Limpa Box Uau Blindex 200Ml,11.29,11.29
20,Limpador Uau Requinte 500Ml,4.39,4.39
21,Pastilha Adesiva Pato Lavanda Oferta Embalagem 3Un,9.99,9.99
22,"Água Sanitária Ypê Leve 2L Pague 1,8L Grátis 200Ml",8.69,8.69
23,Limpador Sensazione Casa & Perfume 1L,7.99,7.99
24,Limpador Uau Perfumes Lavanda e Conforto Embalagem L1p800ml,6.49,6.49
25,Limpador Uau Perfumes Flores Vermelhas Embalagem 1 Litro,6.49,6.49
26,Casa e Perfume Sensazine 500Ml,4.79,4.79
27,Desengordurante Uau Squeeze 500Ml,5.49,5.49
28,Desinfetante Classic Capim Limão Eucalipto Embalagem 2 Litros,6.59,4.98
29,Limpador Sensualidad Casa e Perfume 500Ml,4.79,4.79
30,Pedra Sanitária Sampa Clean 25G,2.39,2.39
31,Limpador Uau Multiuso Lavanda 500Ml,4.29,4.29
32,Limpador Uau Multiuso Flores e Folhas 500Ml,4.29,4.29
33,Desinfetante Marina Marine Embalagem 2 Litros,5.29,5.29
34,Lustra Móveis Poliflor Lavanda 200Ml,11.9,11.9
35,Limpador Uau Perfumes Flores Vermelhas e Sedução 500Ml,4.39,4.39
36,Limpa Porcelanato Azulim Powder Lavanda Embalagem 750Ml,10.9,10.9
37,Limpador Multiuso Veja Maçã Verde 500Ml,4.89,4.89
38,Desentupidor de Piá Diabo Verde Embalagem 300G,18.9,18.9
39,Limpador Multiuso Veja Lavanda e Álcool Oferta 500Ml,4.89,4.89
40,Limpador Multiuso Veja Power Fusion Limão 500Ml,9.99,9.99
41,Limpador Azulim Lavanda Embalagem 1L,7.79,7.79
42,Limpador Perfumado Uau Cuidado e Carinho Embalagem 1 Litro,6.49,6.49
43,Cera Líquida Brilhowax Incolor 750Ml,10.49,10.49
44,Limpador Multiuso Uau Cloro Ativo 500Ml,8.19,8.19
45,Desinfetante Batuta Floral Embalagem 2L,8.79,8.79
46,Lustra Móveis Uau Perfumado Rosas e Sedução 200Ml,6.99,6.99
47,Limpador Azulim Azulejo Citrus Embalagem 1L,7.79,7.79
48,Desinfetante Pinho Trop 1L,7.49,7.49
49,Limpador Perfumado Uau Flores e Sonhos Embalagem Leve 1 Litro Pague 800Ml,6.49,6.49
50,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,4.89,4.89
51,Limpador Multiuso Ação Clareadora Uau 500Ml,4.29,4.29
52,Limpador Uau Perfumes Lavanda e Conforto Ingleza Embalagem 500Ml,4.39,4.39
53,Sapólio Radium Cremoso Clássico Multiuso Bombril 250Ml,9.79,9.79
54,Cera Líquida para Piso de Pedra Ardósia Verde Ingleza Embalagem 750Ml,11.49,11.49
55,Óleo King Lavanda Peroba Embalagem 200Ml,18.9,18.9
56,Desinfetante Batuta Lavanda Embalagem 2L,8.79,8.79
57,Desinfetante Lavanda Pinho Sol 500Ml,8.19,8.19
58,Desinfetante Pinho Sol Original 500Ml,8.19,8.19
59,Limpador Multiuso Cif Gel 475G,12.49,12.49
60,Lustra Móveis Flores e Folhas Uau 200Ml,6.59,6.59
61,Pedra Sanitária Marine Oferta Pato,3.49,3.49
62,Soda Caustica Escorpião Embalagem 500G,19.9,19.9
63,Limpador Multiuso com Álcool Brilho Instantâneo Uau Frasco 500Ml,4.29,4.29
64,Tira Ferrugem Semorin Embalagem 50Ml,13.9,13.9
65,Limpador Multiuso Cereja Tropical Explosão de Perfume Veja 500Ml,6.79,6.79
66,Desinfetante Marina Floral Embalagem 2 Litros,5.29,5.29
67,Cera Líquida Ingleza Max Ardosia Verde Embalagem 750Ml,14.49,14.49
68,Desinfetante Multiuso Antibac Cif 500Ml,4.89,4.89
69,Desinfetante Marina Eucalipto Embalagem 2L,5.29,5.29
70,Limpador Multiuso Floral Uau Embalagem 500Ml,4.29,4.29
71,Desinfetante Pinho Bril Brisa do Mar 500Ml,4.39,4.39
72,Limpa Pisos Uau Eliminador de Odores Embalagem 750Ml,9.39,9.39
73,Desinfetante Pinho Bril Campos de Lavanda 1000Ml,7.99,7.99
74,Limpador de Banheiro Antibac Oxi Ativo Veja 500Ml Oferta 20% Desconto,15.9,15.9
75,Desinfetante Pinho Sol Lavanda 1000Ml,13.9,13.9
76,Limpador Multiuso Veja Oxigênio Ativo sem Cloro 500Ml,5.99,5.99
77,Tira Limo Azulim Spray 500Ml,13.49,13.49
78,Limpador Multiuso Cremoso Limão Cif 250Ml,9.99,9.99
79,Desinfetante Pinho Bril Silvestre Plus 500Ml,4.39,4.39
80,Limpador Banheiro Cif sem Cloro 500Ml,13.9,13.9
81,Pedra Sanitária Bosque de Pinho Oferta Glade 25G,3.59,3.59
82,Gel Limpador Sanitário Sampa Clean Marine Embalagem 14G,6.99,6.99
83,Cera Líquida Ingleza Maxx Vermelha 750Ml,14.49,14.49
84,Desinfetante Scarlim Eucalipto 2L,4.98,4.98
85,Desinfetante Classic Jasmim Embalagem 2 Litros,6.59,4.98
86,Limpador Multiuso Veja Power Fusion Laranja 500Ml,7.99,7.99
87,Desinfetante Pinho Bril Brisa do Mar 1000Ml,7.99,7.99
88,Limpador Uau Perfumes Brisa e Frescor Ingleza Frasco 1L 20% de Desconto,6.49,6.49
89,Azulim 500Ml,12.79,12.79
90,Desinfetante Suave Odor Lysoform Bruto Bombril 1L,11.99,11.99
91,Limpador Multiuso Uau Flores e Frescor Ingleza 500Ml,4.29,4.29
92,Limpa Forno Uau 450Ml,16.9,16.9
93,Limpador Mistero Di Amore Casa & Perfume 1L,7.99,7.99
94,Limpador Perfumado Azulim Felicidade Embalagem 1L,6.99,6.99
95,Limpa Pisos Uau Ação Clareadora Embalagem 750Ml,9.39,9.39
96,Limpador Uau Multiuso Folhas Verdes Embalagem 500Ml,4.29,4.29
97,Desinfetante Batuta Oceano Ação Limpa Pisos Elimina Germes e Bactérias Embalagem 2L,8.79,8.79
98,Cera Líquida Ingleza Maxx Amarela Embalagem 750Ml,14.49,14.49
99,Cera Ingleza Ardosia Incolor Embalagem 750Ml,11.49,11.49
100,Cera Líquida Nugget Preto 33% de Desconto Embalagem 60Ml,17.9,17.9
101,Desinfetante Pinho Flores de Limão Leve 500Ml Pague 450Ml,4.39,4.39
102,Desinfetante Pinho Sol Limão 500Ml,8.19,8.19
103,Desinfetante Pinho Trop Pinho e Menta 500Ml,4.29,4.29
104,Desinfetante Batuta Eucalipto Embalagem 2L,8.79,8.79
105,Limpa Inox Uau 200Ml,9.9,9.9
106,Desinfetante Biobrilho Eucalipto Embalagem 2 Litros,6.59,6.59
107,Desinfetante Classic Lavanda Embalagem 2 Litros,6.59,4.98
108,Pedra Sanitária Dia a Dia Lavanda Embalagem 25G,2.99,2.99
109,Pedra Sanitária Dia a Dia Jasmim Embalagem 25G,2.99,2.99
110,Pedra Sanitária Dia a Dia Eucalipto Embalagem 25G,2.99,2.99
111,Desinfetante Pearson Creolina Embalagem 50Ml,12.9,12.9
112,Limpador Limpeza Pesada 4 em 1 Alta Performance Uau 500Ml,5.69,5.69
113,Limpa Vidros Líquido Cif 500Ml 20% Grátis,8.79,8.79
114,Desinfetante Pinho Trop Pínho Menta Embalagem Leve 1L Pague 900Ml,7.49,7.49
115,Desinfetante Pinho Trop Limão Embalagem 500Ml,4.29,4.29
116,Gel Adesivo Sanitário Sampa Clean Lavander Embalagem 7G,6.99,6.99
117,Desinfetante Biobrilho Blue Marine Embalagem 2 Litros,6.59,6.59
118,Graxa para Sapato em Pasta Preta Nugget Lata 36G,13.9,13.9
119,Limpa Porcelanatos Azulim Power Citrus Embalagem 750Ml,9.99,9.99
120,Desinfetante Uso Geral Ufe 750Ml,13.49,13.49
121,Graxa para Sapato em Pasta Marrom Nugget Lata 36G,13.9,13.9
122,Pedra Sanitária Odorizante Floral Barra 1Un,2.59,2.59
123,Desinfetante Classic Eucalipto Embalagem 2 Litros,6.59,4.98
124,Limpa Alumínio Marina Azul Embalagem 500Ml,2.99,2.99
125,Pedra Sanitária Dia a Dia Refil 2Un,7.49,7.49
126,Cera Líquida Polylar Amarela Embalagem 750Ml,6.89,6.89
127,Cera Líquida Brilhowax Vermelha 750Ml,10.49,10.49
128,Limpador Perfumado Marina Casa Tern.Bem Estar 1 L,5.99,5.99
129,Limpador Acido Muriatico Mais 1L,7.69,7.69
130,Pedra Sanitária Lavanda Barra 30G 72Un,2.59,2.59
131,Álcool Líquido 70% Cleanner 1L,8.49,8.49
132,Pedra Sanitária Dia a Dia Tutti Frutti Embalagem 25G,2.99,2.99
133,Pedra Sanitária Bouquet Lavanda Embalagem com 25% de Desconto Glade 25G,3.59,3.59
134,Eliminador de Odores Multiuso Hortelã Uau 500Ml,4.29,4.29
135,Pastilha Adesiva Pato Citrus 20% de Desconto 3Un,9.99,9.99
136,Desodorizante Sanitário Sampa Clean 3 Unidades,8.29,8.29
137,Aromatizante Águas Florais Aerosol Glade 360Ml,14.9,14.9
138,Essência Aromatec Violeta 140Ml,8.99,8.99
139,Odorizador Lembranças de Infância Oferta Glade 360Ml,14.9,14.9
