,Produto,Preço Base,Preço Final
0,Água Sanitária Classic 5 Litros,11.19,11.19
1,Limpador Multiuso Veja 10% Desconto 500Ml,4.39,4.39
2,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",5.79,5.79
3,Água Sanitária Santa Clara 5L,12.29,12.29
4,Água Sanitária Classic Embalagem 2 Litros,5.69,4.49
5,"Álcool Líquido Araucária 46,2º Embalagem 500Ml",5.29,5.29
6,Água Sanitária Santa Clara Embalagem 2 Litros,5.59,5.59
7,Pedra Sanitária Lipex 25G,2.25,1.99
8,Água Sanitária Santa Clara Embalagem 1 Litro,3.35,3.35
9,Limpador Multiuso Uau Rosas Sedução 500Ml,4.39,3.69
10,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,4.39,3.69
11,Limpador Sanitário Lipex Caixa Acoplada Embalagem 50G,10.99,10.99
12,Desinfetante Santa Clara Lavanda Embalagem 2 Litros,6.29,6.29
13,Limpador Multiuso Gold Original Veja 500Ml,4.89,4.89
14,Cloro Super Cloro Classic Extra Forte 1 Litro,4.19,4.19
15,Água Sanitária Classic 1Litro,3.59,3.59
16,"Água Sanitária Ypê Leve 2L Pague 1,8L Grátis 200Ml",7.89,7.89
17,Limpador Uau Requinte 500Ml,4.39,4.39
18,Água Sanitária Super Globo Embalagem 2 Litros,6.29,6.29
19,Super Cloro Classic Extra Forte 2L,7.59,7.59
20,Limpador Agradable Casa e Perfume 500Ml,4.99,4.99
21,Limpador Sensualidad Casa e Perfume 500Ml,4.99,4.99
22,Desinfetante Classic Capim Limão Eucalipto Embalagem 2 Litros,6.45,4.99
23,Limpador Multiuso Ypê Clássico 500Ml,5.29,5.29
24,Limpa Porcelanato Azulim Powder Lavanda Embalagem 750Ml,9.69,9.69
25,Limpador Uau Multiuso Lavanda 500Ml,4.39,3.69
26,Limpador Uau Perfumes Flores Vermelhas e Sedução 500Ml,4.39,4.39
27,Limpador Uau Multiuso Flores e Folhas 500Ml,4.39,3.69
28,Bilha Alumínio Alumil Embalagem 500Ml,4.39,4.39
29,Desinfetante Bak Floral Ypê 2L,11.99,11.99
30,Desinfetante Ypê Bak Lavanda 1 Litro,7.29,7.29
31,Desentupidor de Piá Diabo Verde Embalagem 300G,20.79,20.79
32,Limpador Multiuso Ypê Tira Manchas 500Ml,5.29,5.29
33,Limpador Azulim Azulejo Citrus Embalagem 1L,7.99,7.99
34,Limpador Multiuso Veja Lavanda e Álcool Oferta 500Ml,4.39,4.39
