,Produto,Preço Base,Preço Final
0,Água Sanitária Classic 5 Litros,12.99,12.99
1,Água Sanitária Super Globo Embalagem 5 Litros,14.99,14.99
2,Álcool Etílico Hidratado 70º Inpm Uzu 1L,7.99,7.99
3,Álcool Líquido 70º Inpm Flop's 1L,7.99,7.99
4,Limpador Multiuso Veja 10% Desconto 500Ml,4.99,4.99
5,Água Sanitária Marina Embalagem 2L,5.69,5.69
6,"Agua Sanitaria Super Globo Pague 1,8Ltr Leve 2Ltr",6.99,4.99
7,Desinfetante Marina Lavanda 2L,5.99,5.99
8,Água Sanitária Classic Embalagem 2 Litros,5.69,5.69
9,Água Sanitária Santa Clara Embalagem 2 Litros,6.49,6.49
10,Água Sanitária Clarix 2 Litros,5.69,5.69
11,Água Sanitária Santa Clara Embalagem 1 Litro,3.49,3.49
12,Água Sanitária Ypê 2L,8.99,8.99
13,Querosene Jacaré Lata 900Ml,24.99,24.99
14,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,4.69,4.69
15,Limpador Multiuso Uau Rosas Sedução 500Ml,4.69,4.69
16,Limpador Multiuso Super Globo Floral Embalagem 500Ml,3.99,3.99
17,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.99,2.99
18,Saponáceo Cremoso Multiuso Limão Bom Bril Sapólio Radium 250Ml,9.99,9.99
19,Pastilha Adesiva Pato Lavanda Oferta Embalagem 3Un,9.99,9.99
20,Limpador Sensazione Casa & Perfume 1L,7.99,7.99
21,Super Cloro Classic Extra Forte 2L,7.99,7.99
22,Limpador Uau Multiuso Flores e Folhas 500Ml,4.69,4.69
23,Limpador Cremoso Cif Original 450Ml,12.99,12.99
24,Limpador Sanitário Limpeza Profunda Gel Marine Pato 750Ml,14.99,14.99
25,Desengordurante Uau Squeeze 500Ml,8.99,8.99
26,Limpador Uau Multiuso Lavanda 500Ml,4.69,4.69
27,Desinfetante Marina Marine Embalagem 2 Litros,5.99,5.99
28,Limpador Uau Perfumes Cuidado e Carinho 500Ml,4.49,4.49
29,Limpador Uau Perfumes Flores Vermelhas e Sedução 500Ml,4.49,4.49
30,Desinfetante Original Bruto Lysoform 1L,12.99,12.99
31,Lustra Móveis Poliflor Lavanda 200Ml,8.99,8.99
32,Cera Líquida Special Taco/Madeiras Ingleza Maxx 750Ml,16.99,16.99
33,Desinfetante Santa Clara Herbal Embalagem 2 Litros,6.99,5.69
34,Limpador Uau Cloro Ativo Limpeza Pesada 500Ml,7.99,7.99
35,Limpador Desengordurante Cozinha Laranja Mr Músculo 400Ml,11.99,11.99
36,Desinfetante Ypê Bak Lavanda 500Ml,3.99,3.99
37,Limpador Azulim Lavanda Embalagem 1L,7.99,7.99
38,Bry Lustra Móveis de Lavanda Ingleza 200Ml,6.99,6.99
39,Limpador Multiuso Uau Cloro Ativo 500Ml,8.99,8.99
40,Pastilha Adesiva Floral Pato 3 Unidades,9.99,9.99
41,Desinfetante Ypê Bak Floral 500Ml,3.99,3.99
42,Limpador Uau Flores e Sonhos 500Ml,4.49,4.49
43,Desinfetante Pinho Trop 1L,7.99,7.99
44,Limpador Perfumado Uau Cuidado e Carinho Embalagem 1 Litro,6.99,6.99
45,Limpador Diluível Ajax Fresh Limão 500Ml,6.99,6.99
46,Limpador para Banheiro X14 Tira Limo Refil Veja 500Ml,14.99,14.99
47,Limpador Multiuso Veja Floral 500Ml,4.99,4.99
48,Limpador Uau Perfumes Lavanda e Conforto Ingleza Embalagem 500Ml,4.49,4.49
49,Limpador Multiuso Ação Clareadora Uau 500Ml,4.69,4.69
50,Limpador Multiuso Veja Floral Oferta 500Ml,4.99,4.99
51,Água Sanitária Superglobo Embalagem 1L,3.99,3.99
52,Desinfetante Batuta Floral Embalagem 2L,7.99,7.99
53,Limpador Multiuso Veja Campestre Oferta 10% de Desconto 500Ml,4.99,4.99
54,Limpador Multiuso Veja Gold Campestre 500Ml,4.99,4.99
55,Desinfetante Batuta Lavanda Embalagem 2L,7.99,7.99
56,Lustra Móveis Flores e Folhas Uau 200Ml,6.99,6.99
57,Cera Líquida para Piso de Pedra Ardósia Verde Ingleza Embalagem 750Ml,11.99,11.99
58,Desinfetante Lavanda Pinho Sol 500Ml,6.99,6.99
59,Álcool Mega Gel Neutro 70º Embalagem 500Ml,7.99,7.99
60,Limpador Uau Brisa Frescor 500Ml,4.49,4.49
61,Desinfetante Pinho Sol Original 500Ml,6.99,6.99
62,Limpador Mr Músculo Limpa Limo Oferta 500Ml,24.99,24.99
63,Limpa Forno Diabo Verde Embalagem 250G,12.99,12.99
64,Limpador Multiuso Super Globo Lavanda 500Ml,3.99,3.99
65,Cera Líquida Ingleza Maxx Incolor 750Ml,16.99,16.99
66,Pedra Sanitária Santa Clara Lavanda Unidade 25G,2.49,2.49
67,Cloro Aditivado Vim Original 700 Ml,11.99,11.99
68,Pedra Sanitária Marine Oferta Pato,3.99,3.99
69,Álcool Líquido Flops 96 Embalagem 500Ml,5.99,5.99
70,Soda Caustica Escorpião Embalagem 500G,16.99,16.99
71,Desinfetante Líquido Original Lysoform 500Ml,6.99,6.99
72,Desinfetante Marina Floral Embalagem 2 Litros,5.99,5.99
73,Limpador Bela Flore Casa e Perfume 500Ml,4.99,4.99
74,Limpa Piso Uau Cerâmicas 750Ml,9.99,9.99
75,Desinfetante Marina Eucalipto Embalagem 2L,5.99,5.99
76,Desinfetante Santa Clara Floral Embalagem 2 Litros,6.99,5.69
77,Limpador Multiuso Floral Uau Embalagem 500Ml,4.69,4.69
78,Limpador Multiuso Ypê Controle de Odor 500Ml,4.99,4.99
79,Desinfetante Pinho Sol Lavanda Oferta 500Ml,6.99,6.99
80,Desinfetante Pinho Trop Fresh 500Ml,4.69,4.69
81,Cera Líquida Ingleza Max Ardosia Verde Embalagem 750Ml,16.99,16.99
82,Cera Super Tacolac 500Ml,12.99,12.99
83,Limpador Multiuso Cremoso Limão Cif 250Ml,7.99,7.99
84,Limpador de Cozinha Mr Músculo Oferta 500Ml,16.99,16.99
85,Limpador Casa e Perfume Intuizione New Embalagem 1L,7.99,7.99
86,Pedra Sanitária Bosque de Pinho Oferta Glade 25G,3.99,3.99
87,Limpador Multiuso Veja Lavanda e Álcool 500Ml,4.99,4.99
88,Desinfetante Pinho Sol Original 1000Ml,12.99,12.99
89,Limpador Multiuso Limpol Clássico 500Ml,3.99,3.99
90,Desinfetante Classic Jasmim Embalagem 2 Litros,5.99,5.99
91,Lustra Móveis Bry Jasmim Embalagem 200Ml,6.99,6.99
92,Limpador Diluível Ajax Fresh 500Ml,6.99,6.99
93,Limpador Multiuso Uau Flores e Frescor Ingleza 500Ml,4.69,4.69
94,Limpador Mistero Di Amore Casa & Perfume 1L,7.99,7.99
95,Desinfetante Suave Odor Lysoform Bruto Bombril 1L,12.99,12.99
96,Limpador Multiuso Super Globo Original Embalagem 500Ml,3.99,3.99
97,Limpador Multiuso Limpol com Álcool 500Ml,3.99,3.99
98,Desinfetante Trop Pinho Lavanda Inglesa 500Ml,4.69,4.69
99,Óleo de Peroba King 100Ml,8.99,8.99
100,Desinfetante Classic Floral Embalagem 2 Litros,5.99,5.99
101,Limpador Uau Multiuso Folhas Verdes Embalagem 500Ml,4.69,4.69
102,Limpador Mr Músculo Cozinha Oferta Embalagem 500Ml,14.99,14.99
103,Desinfetante Eucalipto Santa Clara 2L,6.99,5.69
104,Desinfetante Ypê Bak Eucalipto 500Ml,3.99,3.99
105,Limpa Piso Elimina Odores Super Globo 750Ml,8.99,8.99
106,Limpador Uau Desengordurante 500Ml,12.99,12.99
107,Desinfetante Batuta Oceano Ação Limpa Pisos Elimina Germes e Bactérias Embalagem 2L,7.99,7.99
108,Cera Líquida Nugget Preto 33% de Desconto Embalagem 60Ml,19.99,19.99
109,Desinfetante Pinho Trop Pinho e Menta 500Ml,4.69,4.69
110,Desinfetante Pinho Trop Fresh Leve 1000Ml Pague 900Ml,7.99,7.99
111,Limpador Multiuso Limpol Limão 500Ml,3.99,3.99
112,Desinfetante Batuta Eucalipto Embalagem 2L,7.99,7.99
113,Limpa Vidro Super Globo 500Ml,6.99,6.99
114,Limpador Perfumado Paixão Super Globo Embalagem 500Ml,3.99,3.99
115,Limpador Multiuso Classic Floral 500Ml,3.29,3.29
116,Desinfetante Marina Pinho Embalagem 2L,5.99,5.99
117,Desinfetante Super Globo Eucalipto 2 Litros,6.99,6.99
118,Limpa Forno Easy Off 250Ml,16.99,16.99
119,Anil Líquido Colman 200Ml,19.99,19.99
120,Limpador Multiuso Super Globo Campestre Embalagem 500Ml,3.99,3.99
121,Limpador Multiuso Pratice Limpol Floral Embalagem 500Ml,3.99,3.99
122,Limpador Limpeza Pesada 4 em 1 Alta Performance Uau 500Ml,6.99,6.99
123,Limpador Multi Uso Clareadora Super Globo 500Ml,4.99,4.99
124,Desinfetante Pinho Trop Citrus Leve 1000Ml Pague 900Ml,7.99,7.99
125,Desinfetante Pinho Trop Pínho Menta Embalagem Leve 1L Pague 900Ml,7.99,7.99
126,Desinfetante Pinho Trop Limão Embalagem 500Ml,4.69,4.69
127,Graxa para Sapato em Pasta Preta Nugget Lata 36G,12.99,12.99
128,Cera Líquida para Sapato Nugget Incolor 60Ml,19.99,19.99
129,Limpador Multiuso Super Globo Embalagem 500Ml,5.99,5.99
130,Limpador Perfumado Super Globo Jardim Embalagem 500Ml,3.99,3.99
131,Limpador Multiuso Squeeze com Alcool Super Globo 500Ml,3.99,3.99
132,Graxa para Sapato em Pasta Marrom Nugget Lata 36G,12.99,12.99
133,Limpa Piso Super Globo Acao Clareadora 750Ml,8.99,8.99
134,Desinfetante Marina Erva Doce Embalagem 2 Litros,5.99,5.99
135,Desinfetante Ufe Tradicional Embalagem 1L,11.99,11.99
136,Desinfetante Panter Aromas Lavanda 500Ml,7.99,7.99
137,Cera Panter Piso Pedra Verde 850Ml,11.99,11.99
138,Desinfetante Panter Lavanda 750Ml,3.99,3.99
139,"Álcool Uzu Cean 92,8% 1Lt",9.99,9.99
140,Limpeza Diária Aromas Floral Panter,7.99,7.99
141,Multiuso Mil Floral 500Ml,3.69,3.69
142,Pedra Sanitária Eucalipto Santa Clara Embalagem 25G,2.49,2.49
143,Cera Liquida Incolor Panter Wax Embalagem 850 Ml,11.99,11.99
144,Cera Líquida Incolor Auto Brilho Panter Plus 850Ml,13.99,13.99
145,Cera Panter Polly Mil Incolor 750Ml,10.99,10.99
146,Desinfetante Pinho Panter Marine 2L,6.99,6.99
147,Limpador Multiuso Super Globo Citrus 500Ml,3.99,3.99
148,Pinho Tradicional Panter,6.99,6.99
149,Pedra Sanitária Santa Clara Floral Unidade 25G,2.49,2.49
150,Cera Liquida Incolor Panter Plus 850Ml,13.99,13.99
151,"Limpador Classic Limpa Porcelanato 1,5 Litro",11.99,11.99
152,Desinfetante Panter Lavanda 2 Litros,6.99,6.99
153,Limpa Ar Condicionado Lavanda Mundial Prime 200Ml,19.99,19.99
154,Desinfetante Panter Pinho Tradicional 500Ml,3.99,3.99
155,Cloro Clarix 2L,7.99,7.99
156,Pedra Sanitária Santa Clara Tutti Frutti Unidade 25G,2.49,2.49
157,Limpa Brilha Alum Brilhex Tradicional 500Ml,2.99,2.99
158,Desinfetante Panter Eucalipto 2 Litros,6.99,6.99
159,Ácido Muriático Mais Embalagem 1 Litro,6.99,6.99
160,Eliminador de Odores Multiuso Hortelã Uau 500Ml,4.69,4.69
161,Pastilha Adesiva Pato Citrus 20% de Desconto 3Un,9.99,9.99
162,Essência de Eucalipto Marina 140Ml,9.99,9.99
163,Desodorizador Aerossol Frutas e Flores Vibrantes Glade 360Ml,14.99,14.99
164,Difusor de Aromas Sensação Citronela Secar Embalagem 100Ml,22.99,22.99
165,Essência Aromatec Violeta 140Ml,9.99,9.99
166,Odorizador Toque de Frescor Infância Glade 12Ml,16.99,16.99
167,Essência de Lavanda Marina 140Ml,9.99,9.99
168,Aromatizante Kharis Spray Lava 60Ml,13.99,13.99
169,Desodorizador Gel Pequenos Ambientes Lavanda Glade 70G,9.99,9.99
170,Desodorizador Gel Pequenos Ambientes Citrus Glade 70G,9.99,9.99
171,Aromatizante Kharis Spray Carr 60Ml,13.99,13.99
172,Antimofo Secar Kids 80 Gr,3.69,3.69
173,Detergente Ypê Clear 500Ml,2.89,2.89
174,Detergente Ypê Neutro 500Ml,2.89,2.89
175,Detergente Coco Ypê 500Ml,2.89,2.89
176,Detergente Limpol Coco 500Ml,2.69,1.99
177,Detergente Líquido Limpol Cristal Embalagem 500Ml,2.69,1.99
178,Detergente Ypê Limão 500Ml,2.89,2.89
179,Detergente Ypê Clear Care 500Ml,2.89,2.89
180,Detergente Ypê Capim Limão 500Ml,2.89,2.89
181,Detergente Líquido Neutro Limpol 500Ml,2.69,1.99
182,Detergente Líquido Lava Louças Minuano 1300 Neutro 500Ml,2.69,2.69
183,Detergente Líquido Lava Louça Minuano 1300 Coco 500Ml,2.69,2.69
184,Detergente Limpol Maçã 500Ml,2.69,1.99
185,Detergente Micelar Minuano 500Ml,2.69,2.69
186,Detergente Líquido Lava Louças Minuano 1300 Marine 500Ml,2.69,2.69
187,Detergente Líquido Suprema Coco Embalagem 500Ml,2.29,2.29
188,Detergente Limpol Limão 500Ml,2.69,1.99
189,Lava-Louças Líquido Clear Minuano Embalagem 500Ml,2.69,2.69
190,Detergente Líquido Maçã Ypê 500Ml,2.89,2.89
191,Detergente Lava Louças Minuano 1300 Limão Líquido 500Ml,2.69,2.69
192,Detergente Líquido Lava Louça Minuano 1300 Maçã 500Ml,2.69,2.69
193,Limpa Alumínio em Pasta Alumil Start 500G,9.99,9.99
194,Inseticida Mat Inset Multi Cintronela 360Ml,12.99,9.99
195,Inseticida Kaocid Carbaril Pó Lata 50G,7.99,7.99
196,Naftalina Sanilar em Bolas Embalagem 50G,2.99,2.99
197,Inseticida Raid Ação Total 285Ml,14.99,14.99
198,K-Othrine 30Ml,11.99,11.99
199,Inseticida Raid Multi Insetos Base Água 420Ml,14.99,14.99
200,Inseticida Citronela Sbp 380Ml,14.99,14.99
201,Inseticida Raid Acqua Protec Aerosol 420Ml,14.99,14.99
202,Inseticida Raid Multi Insetos Eucalipto Oferta 420Ml,14.99,14.99
203,"Repelente Elétrico Liquido 45 Noites Aparelho e Refil Original Raid 32,9M",16.99,16.99
204,Inseticida Raid Multi Insetos Citronela Oferta 420Ml,14.99,14.99
205,Inseticida Mat Inset Multi Inseticidas Aerosol 360Ml,12.99,9.99
206,Inseticida Baygon Multi Insetos 285Ml,12.99,12.99
207,Repelente Elétrico Raid Pastilha Oferta Refil 12Un,5.99,5.99
208,Inseticida Aerosol Ação Total Óleo de Eucalipto Baygon 360Ml,12.99,12.99
209,Inseticida Aerosol Ação Total Baygon 360Ml,12.99,12.99
210,Inseticida Mata Baratas Baygon 360Ml,12.99,12.99
211,Inseticida Aerossol Ultra Baygon Embalagem Econômica 360Ml,12.99,12.99
212,Repelente Espiral Metal Baygon com 10Un,6.99,6.99
213,Inseticida Multi Mat Inset Eucalipto Embalagem 400Ml Grátis +33%,12.99,9.99
214,Sbp Repelente Elétrico Líquido 45 Noites 50% Grátis 2ª Unidade 35Ml,19.99,19.99
215,Inseticida Detefon Espiral 10Un,4.99,4.99
216,Kit Aparelho + Repelente Elétrico Líquido Sbp Refil 35Ml,14.99,14.99
