,Produto,Preço Base,Preço Final
0,Álcool Etílico Hidratado 70º Inpm Uzu 1L,7.99,7.99
1,Limpador Multiuso Veja 10% Desconto 500Ml,4.99,4.99
2,Água Sanitária Marina Embalagem 2L,5.49,5.49
3,Água Sanitária Marina Embalagem 1L,2.99,2.99
4,Água Sanitária Santa Clara Embalagem 2 Litros,5.99,5.99
5,Água Sanitária Classic Embalagem 2 Litros,5.49,5.49
6,Água Sanitária Santa Clara Embalagem 1 Litro,3.49,3.49
7,Sapólio Cremoso Radium Lavanda 250Ml,8.99,8.99
8,Lustra Móveis Destac Lavanda 200Ml,9.99,9.99
9,Querosene Jacaré Lata 900Ml,24.99,24.99
10,Limpador Uau Multiuso Desengordurante Limão Siciliano 500Ml,3.99,3.99
11,Limpador Multiuso Uau Rosas Sedução 500Ml,3.99,3.99
12,Limpador Brilhalumínio Tradicional Embalagem 500Ml,2.99,2.99
13,Limpador Multiuso Uau Lavanda Embalagem Leve 600Ml Pague 500Ml,3.99,3.99
14,Limpador Uau Cloro Ativo 2 Unidades de 500Ml Cada + Grátis Multiuso Lavanda 500Ml,16.99,16.99
15,Limpa Box Uau Blindex 200Ml,12.99,12.99
16,Limpador Uau Requinte 500Ml,3.99,3.99
17,Tira Limo Veja Banheiro X14 500Ml,15.99,15.99
18,Super Cloro Classic Extra Forte 2L,7.49,7.49
19,Limpador Sanitário Gel Marine Pato 500Ml,12.99,12.99
20,Desengordurante Uau Squeeze 500Ml,7.99,7.99
21,Desinfetante Classic Capim Limão Eucalipto Embalagem 2 Litros,6.49,6.49
22,Limpador Sensualidad Casa e Perfume 500Ml,4.99,4.99
23,Limpador Agradable Casa e Perfume 500Ml,4.99,4.99
24,Gel Adesivo Sanitário Marine Refil Pato 12G,8.99,8.99
25,Gel Adesivo Marine Oferta Refil Pato 38G com 2Un,24.99,24.99
26,Limpador Uau Multiuso Flores e Folhas 500Ml,3.99,3.99
27,Lustra Móveis Poliflor Lavanda 200Ml,8.99,8.99
28,Limpador Uau Perfumes Flores Vermelhas e Sedução 500Ml,3.99,3.99
29,Limpa Piso Uau Laminado 750Ml,10.99,10.99
30,Desinfetante de Lavanda Lysoform 1L,12.99,12.99
31,Soda Cáustica Yara 950G,13.99,13.99
32,Limpa Porcelanato Azulim Powder Lavanda Embalagem 750Ml,10.99,10.99
33,Desinfetante Original Bruto Lysoform 1L,12.99,12.99
34,Gel Adesivo Pato Lavanda Aparelho com 6 Aplicações,18.99,18.99
35,Sapólio Radium Po com Cloro 300G,6.99,6.99
36,Veja Limpeza Pesada 2X1 500Ml Cloro Ativo,9.99,9.99
37,Limpa Maquinas Mon Bijou 80G,11.99,11.99
38,Cera Líquida Special Taco/Madeiras Ingleza Maxx 750Ml,15.99,15.99
39,Desentupidor de Piá Diabo Verde Embalagem 300G,19.99,19.99
40,Secante Abrilhantador Limpol Lava Louças 100Ml,14.99,14.99
41,Cera Líquida Incolor Brilho Fácil 750Ml,12.99,12.99
42,Limpador Multiuso Veja Power Fusion Limão 500Ml,8.99,8.99
43,Limpador para Banheiro X14 Tira Limo Refil Veja 500Ml,19.99,19.99
44,Limpador Uau Limpa Vidros Embalagem 500Ml,7.99,7.99
45,Cera Líquida Brilhowax Incolor 750Ml,10.99,10.99
46,Pastilha Adesiva Floral Pato 3 Unidades,9.59,9.59
47,Limpador Multiuso Uau Cloro Ativo 500Ml,8.99,8.99
48,Bloco para Caixa Acoplada Marine Oferta Pato 80G,25.99,25.99
49,Lustra Móveis Uau Perfumado Rosas e Sedução 200Ml,6.99,6.99
50,Limpa Piso Uau Rosas e Sedução 750Ml,10.99,10.99
51,Tira Manchas Semorin Embalagem 100Ml,14.99,14.99
52,Limpador Diluível Ajax Fresh Limão 500Ml,8.99,8.99
53,Gel Adesivo Pato Marine Rf 38G com Aparelho,18.99,18.99
54,Limpador Multiuso Ação Clareadora Uau 500Ml,3.99,3.99
55,Limpador Uau Perfumes Lavanda e Conforto Ingleza Embalagem 500Ml,3.99,3.99
56,Desengordurante Cif Ultra Rápido Original 500Ml,14.99,14.99
57,Desinfetante Pinho Bril Campos de Lavanda 500Ml,3.99,3.99
58,Lustra Móveis Poliflor Lavanda 500Ml,23.99,23.99
59,Desinfetante Batuta Lavanda Embalagem 2L,7.99,7.99
